placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Nevada+Advanced+Pain+Specialists/data=!4m7!3m6!1s0x80993950f69bef67:0xf7eeaa945a629fae!8m2!3d39.541936!4d-119.697035!16s%2Fg%2F11bwkdzlz2!19sChIJZ--b9lA5mYARrp9iWpSq7vc,Nevada Advanced Pain Specialists,4.8,238,Pain control clinic,"2385 E Prater Way #204, Sparks, NV 89434, United States","G8R3+Q5 Sparks, Nevada, USA",http://www.nvadvancedpain.com/?utm_source=GMBSocialClimb&utm_medium=NevadaAdvancedPainSpecialists,+1 775-284-8650,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCisW6uhhIDg14yJ5dG0f4RCKdXC2cKb9CUpiauysrrP1_HycZkCOFxR2eiu-ncAwiOajvsR5BQXnAdMn-0WQ0Whb67SQl_LiDCT1gXz1MS4NIm54mBFyK3zuzHdU1ideYOvr5LQKQinrg=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:38:42.600Z,,
https://www.google.com/maps/place/Sweetwater+Pain+and+Spine/data=!4m7!3m6!1s0x809939fe7f05c577:0x196b5a839128eaf3!8m2!3d39.5798853!4d-119.723465!16s%2Fg%2F11ssfmk1rp!19sChIJd8UFf_45mYAR8-ookYNaaxk,Sweetwater Pain and Spine,4.1,30,Pain management physician,"4838 Sparks Blvd Suite 102, Sparks, NV 89436, United States","H7HG+XJ Sparks, Nevada, USA",http://www.sweetwaterpain.com/,+1 775-870-1480,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOgbtlZfIsV9LcU1K4e1goNe8wCptc_FEUvqaxq=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:38:48.196Z,,
https://www.google.com/maps/place/Sweetwater+Pain+and+Spine/data=!4m7!3m6!1s0x80994730eeab9559:0x2c0f306e21fdfc20!8m2!3d39.5316628!4d-119.8196753!16s%2Fg%2F11b5ww4wvy!19sChIJWZWr7jBHmYARIPz9IW4wDyw,Sweetwater Pain and Spine,3.9,112,Pain management physician,"645 N Arlington Ave #670, Reno, NV 89503, United States","G5JJ+M4 Reno, Nevada, USA",http://www.sweetwaterpain.com/,+1 775-870-1480,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNMqMYYFqG5b1Fuk9w56lsaqK0xjtCyT6fDsukN=w408-h320-k-no,true,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:38:53.700Z,,
https://www.google.com/maps/place/Nevada+Advanced+Pain+Specialists/data=!4m7!3m6!1s0x809914fc956ef3d1:0x2799e8e9fbe04901!8m2!3d39.4689294!4d-119.7674333!16s%2Fg%2F1yh5tr4nk!19sChIJ0fNulfwUmYARAUng--nomSc,Nevada Advanced Pain Specialists,4.8,907,Pain control clinic,"5578 Longley Ln, Reno, NV 89511, United States","F69M+H2 Reno, Nevada, USA",http://www.nvadvancedpain.com/?utm_source=GMBSocialClimb&utm_medium=NevadaAdvancedPainSpecialists,+1 775-284-8650,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOK-ZOGx-Wer7ypiv4ukwaKhOiswwrUibQPVAjM=w408-h322-k-no,true,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:38:58.511Z,,
"https://www.google.com/maps/place/Dr.+Christopher+A.+Woolley,+MD/data=!4m7!3m6!1s0x809939b54688d7f3:0x96944467ed9acfb4!8m2!3d39.5845439!4d-119.7304479!16s%2Fg%2F11rd7_mpjf!19sChIJ89eIRrU5mYARtM-a7WdElJY","Dr. Christopher A. Woolley, MD",4.9,207,Pain management physician,"5070 Ion Dr #200, Sparks, NV 89436, United States","H7M9+RR Sparks, Nevada, USA",https://www.sierraneurosurgery.com/,+1 775-323-2080,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNSkNKntD8h9AYpJUuga-FlCh4rw0hVApFEt77o=w408-h611-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:03.166Z,,
https://www.google.com/maps/place/Nevada+Pain+%26+Spine+Specialists/data=!4m7!3m6!1s0x8099407331570e9f:0x8242124abd30e78a!8m2!3d39.4748688!4d-119.7960655!16s%2Fg%2F1tmqgg6m!19sChIJnw5XMXNAmYARiucwvUoSQoI,Nevada Pain & Spine Specialists,4.5,248,Pain control clinic,"605 Sierra Rose Dr # 4, Reno, NV 89511, United States","F6F3+WH Reno, Nevada, USA",https://painspine.com/,+1 775-689-5410,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2Tr0GkM8h_8VoTJnUgTXZcRpj7b6nhHrApxTJ97nM8KfJAneQBpsQ9jZsysw92_Fh6oXMQcU1t1NwlwBEldBGsmRkZs4_ZwWkl6oDeoxrmom36-mJITdE9yJPLRJkhLFx7oqQ=w408-h725-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:08.122Z,,
https://www.google.com/maps/place/Swift+Institute+-+Sparks/data=!4m7!3m6!1s0x80993ea063e74ecf:0xb20820783629816!8m2!3d39.5414552!4d-119.7029198!16s%2Fg%2F1tf6xlqt!19sChIJz07nY6A-mYARFphigweCIAs,Swift Institute - Sparks,4.9,2154,Neurosurgeon,"780 Vista Blvd #100, Sparks, NV 89434, United States","G7RW+HR Sparks, Nevada, USA",https://theswiftinstitute.com/,+1 775-348-8800,,https://lh3.googleusercontent.com/p/AF1QipOiombc47PwJWi7XNI0ameJMACNLAMgvW6yc2fz=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:13.295Z,,
"https://www.google.com/maps/place/Dr.+Jacob+Blake,+MD,+ABA-BC/data=!4m7!3m6!1s0x80993939cab3c929:0x4bead777945dce02!8m2!3d39.5845439!4d-119.7304479!16s%2Fg%2F11p64nplp_!19sChIJKcmzyjk5mYARAs5dlHfX6ks","Dr. Jacob Blake, MD, ABA-BC",5.0,123,Pain management physician,"5070 Ion Dr #200, Sparks, NV 89436, United States","H7M9+RR Sparks, Nevada, USA",http://www.sierraneurosurgery.com/,+1 775-323-2080,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMMgv2WVpJcm22aZvia-E1v_oOYNUhJ3T8_xmRl=w408-h611-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:18.480Z,,
"https://www.google.com/maps/place/ProCare+Pain+%26+Spine,+Dr+Dan+Brady+DC,+PA-C/data=!4m7!3m6!1s0x809941c8874292df:0xaa3835d1196ce4be!8m2!3d39.4931074!4d-119.8056632!16s%2Fg%2F11n138s59m!19sChIJ35JCh8hBmYARvuRsGdE1OKo","ProCare Pain & Spine, Dr Dan Brady DC, PA-C",5.0,22,Pain management physician,"3500 Lakeside Ct, Reno, NV 89509, United States","F5VV+6P Reno, Nevada, USA",http://www.procarepainandspine.com/,+1 775-636-6200,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPQOThc4igbAYxQQ7VVy7yqkVNIw6vuy4IT5my5=w425-h240-k-no,false,9 am–5 pm,Closed,9 am–5 pm,Closed,Closed,9 am–5 pm,Closed,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:23.418Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Thunder+Pain+And+Wellness/data=!4m7!3m6!1s0x80993f6571a3b6d7:0x8ef17480812c6dcd!8m2!3d39.475263!4d-119.7998394!16s%2Fg%2F11c38j0kzc!19sChIJ17ajcWU_mYARzW0sgYB08Y4,Thunder Pain And Wellness,4.7,39,Medical office,"6548 S McCarran Blvd A, Reno, NV 89509, United States","F6G2+43 Reno, Nevada, USA",https://www.thunderpain.com/,+1 775-336-1256,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPaOzDiM70gmH_PglqMTTqCLScxExwRz8rvc7-M=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2026-01-28T19:39:28.402Z,,
