placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Hospice+De+La+Luz/data=!4m7!3m6!1s0x8722745c56f9cee7:0xf1515bd419e2571c!8m2!3d35.1578121!4d-106.6022003!16s%2Fg%2F1tfqg7_z!19sChIJ5875Vlx0IocRHFfiGdRbUfE,Hospice De La Luz,4.3,28,Hospice,"3812 Academy Pkwy N NE, Albuquerque, NM 87109, United States","595X+44 Albuquerque, New Mexico, USA",http://hospicedelaluz.com/,+1 505-217-2490,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO7Vu5hbvNWUT-tGkS4-AdfXfna6z9mGWe-e8At=w553-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:25:46.836Z,,,
https://www.google.com/maps/place/High+Desert+Hospice/data=!4m7!3m6!1s0x872274fd8fbe1897:0x4bffc0b6074242d4!8m2!3d35.1881146!4d-106.5937927!16s%2Fg%2F11c1ny7dd1!19sChIJlxi-j_10IocR1EJCB7bA_0s,High Desert Hospice,4.7,47,Hospice,"8920 Adams St Suite B, Albuquerque, NM 87113, United States","5CQ4+6F Albuquerque, New Mexico, USA",https://highdeserthospice.care/,+1 505-585-2603,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMlealqbb43-apqAwjUskkHivSP3MlfWw3E734=w510-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:25:52.756Z,,,
"https://www.google.com/maps/place/Corus+Health+-+Home+Health,+Hospice,+Palliative,+and+Medical+Care/data=!4m7!3m6!1s0x87220b29041a2cdd:0x2fe60dc556cadadc!8m2!3d35.1847531!4d-106.6063953!16s%2Fg%2F11bxg0dlyf!19sChIJ3SwaBCkLIocR3NrKVsUN5i8","Corus Health - Home Health, Hospice, Palliative, and Medical Care",4.2,102,Home health care service,"8725 Alameda Park Dr NE, Albuquerque, NM 87113, United States","59MV+WC Albuquerque, New Mexico, USA",https://corushealth.com/,+1 505-828-0232,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuyb64Cdrrhx_ifoI-_adKcLBN8Pe3NrBax4sw7apPoB4Q8E_LqXBkXfJz4dSZb4_uLVNzEHu2MdEv8xpcjxWyOBh8wHcUnw1hEvKJX5LrHf5s0H8ifVxsKUP8qs_AEATIpJjwlQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:25:58.242Z,,,
https://www.google.com/maps/place/Alliance+Home+Health+Care/data=!4m7!3m6!1s0x87227457fdfe56e1:0x9bfecdfa44899a34!8m2!3d35.1540124!4d-106.6060686!16s%2Fg%2F1tdk5mzl!19sChIJ4Vb-_Vd0IocRNJqJRPrN_ps,Alliance Home Health Care,3.9,29,Home health care service,"2129 Osuna Rd NE, Albuquerque, NM 87113, United States","593V+JH Albuquerque, New Mexico, USA",https://www.alliancehhcare.com/,+1 505-884-4080,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMswbr89NB3vH5nBQej0_jZ1pN4m1_wTt4U0kAM=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:03.226Z,,,
https://www.google.com/maps/place/Bosque+Trails+Hospice/data=!4m7!3m6!1s0x854cc69d70004279:0x636595472c675931!8m2!3d35.093117!4d-106.5678547!16s%2Fg%2F11srsrwmdl!19sChIJeUIAcJ3GTIURMVlnLEeVZWM,Bosque Trails Hospice,5.0,35,Hospice,"1700 Louisiana Blvd NE #120, Albuquerque, NM 87110, United States","3CVJ+6V Albuquerque, New Mexico, USA",http://bosquetrailshospice.com/,+1 505-808-2870,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMZKFHfzFatbDRNwTPAkcQX3p-2tUDNV6dYyiTm=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:08.175Z,,,
https://www.google.com/maps/place/Q+Hospice/data=!4m7!3m6!1s0x872275a5fcef3e09:0xed797313fece5589!8m2!3d35.145947!4d-106.5582429!16s%2Fg%2F11trt_zs2z!19sChIJCT7v_KV1IocRiVXO_hNzee0,Q Hospice,5.0,6,Hospice,"7801 Academy Rd NE Ste 214, Albuquerque, NM 87109, United States","4CWR+9P Albuquerque, New Mexico, USA",https://qhospice.com/,+1 505-636-0888,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNhALC1NuOSXDmqkgXDymU1KCXMgaurkWi7_zc=w408-h510-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:13.189Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/ABQ+Hospice+%26+Palliative+Care+Co./data=!4m7!3m6!1s0x87189f8026dbf30d:0xec1650b46f3eef00!8m2!3d35.1318594!4d-106.5327242!16s%2Fg%2F11wbtq3h2_!19sChIJDfPbJoCfGIcRAO8-b7RQFuw,ABQ Hospice & Palliative Care Co.,5.0,3,Hospice,"4550 Eubank Blvd NE Suite 108, Albuquerque, NM 87111, United States","4FJ8+PW Albuquerque, New Mexico, USA",https://www.abqhospice.com/,+1 505-616-0915,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZpTxpXCaSkoaNJFCcpNoyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.774433&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:18.149Z,,,
https://www.google.com/maps/place/Roadrunner+Healthcare+Hospice/data=!4m7!3m6!1s0x8722712d7f6d5495:0x2472d1c37e4a6cf3!8m2!3d35.1745298!4d-106.5518616!16s%2Fg%2F11c2pn4315!19sChIJlVRtfy1xIocR82xKfsPRciQ,Roadrunner Healthcare Hospice,4.0,22,Home health care service,"8300 Carmel Ave NE STE 401, Albuquerque, NM 87122, United States","5CFX+R7 Albuquerque, New Mexico, USA",https://roadrunnerhhc.com/,+1 505-321-4819,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM8E4plm9kKCgsEg_fKBhfdXa2yD_PVjupxb2ZR=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:23.316Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Ambercare/data=!4m7!3m6!1s0x87227460a46b8465:0x4290697e1515f45e!8m2!3d35.1538355!4d-106.6058771!16s%2Fg%2F1tdqt_dx!19sChIJZYRrpGB0IocRXvQVFX5pkEI,Ambercare,3.4,200,Home health care service,"2129 Osuna Rd NE, Albuquerque, NM 87113, United States","593V+GJ Albuquerque, New Mexico, USA",https://ambercare.com/?y_source=1_MTI1NTkwNjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 505-792-8230,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMWGn_uNu5Cq26XGWqXFR37k2OrUHJ3ZbNQH7MG=w408-h598-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:28.171Z,,,
https://www.google.com/maps/place/State+Serve+Medical/data=!4m7!3m6!1s0x8722745ef92f22f9:0x84bb48f254f845ce!8m2!3d35.1531539!4d-106.6024965!16s%2Fg%2F113h0vxwt!19sChIJ-SIv-V50IocRzkX4VPJIu4Q,State Serve Medical,3.0,14,Hospice,"3700 Osuna Rd NE # 615, Albuquerque, NM 87109, United States","593X+72 Albuquerque, New Mexico, USA",http://www.stateserv.com/,+1 877-633-7250,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iHiSrbHqsAF_3K1VYPyybg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.57979&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2025-09-17T23:26:31.200Z,,,
