placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,isBlackOwned,error,attributes
"https://www.google.com/maps/place/Vein+and+Laser+Center/@41.5249512,-88.0829698,14z/data=!4m6!3m5!1s0x880e61a05225521b:0x3558172113bc4f80!8m2!3d41.528147!4d-88.1314437!16s%2Fg%2F1vjdqnhx",Vein and Laser Center,5.0,,Surgeon,"302 N Hammes Ave Ste. 2, Joliet, IL 60435, United States","GVH9+7C Joliet, Illinois, USA",http://www.veinandlasercenterillinois.com/,+1 815-744-0005,Open · Closes 5:30 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOFI9iOEHIomO9aWFJQh5mh_uce3Mdk1wOe9A9w=w426-h240-k-no,true,10 am–5:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Joliet+IL+IL/@41.5249512,-88.0829698,14z",2025-12-16T22:02:49.538Z,,,,,,,,,
https://www.google.com/maps/place/Grand+Vein+Specialists/data=!4m7!3m6!1s0x880fed569d0d4549:0x87882af45df99849!8m2!3d42.3704946!4d-87.8500206!16s%2Fg%2F113f16nsz!19sChIJSUUNnVbtD4gRSZj5XfQqiIc,Grand Vein Specialists,4.4,7,Medical Center,"1508 Grand Ave, Waukegan, IL 60085, United States","94CX+5X Waukegan, Illinois, USA",http://www.gvsmed.com/,+1 773-942-6141,Closed · Opens 11 am Thu,,https://lh3.googleusercontent.com/p/AF1QipNdShUJR0KQK0F9sad9Nz-tRrVdgl2tQeXPLz5Y=w408-h306-k-no,true,Closed,"https://www.google.com/maps/search/vein+clinics+in+Waukegan+IL+IL/@42.3636331,-87.8447938,14z",2025-12-16T22:03:03.267Z,Closed,11 am–7 pm,Closed,Closed,Closed,11 am–7 pm,,,
https://www.google.com/maps/place/USA+Vein+Clinics+-+Gurnee/data=!4m7!3m6!1s0x880f92614f725275:0x13df933cf0a6a244!8m2!3d42.359101!4d-87.898603!16s%2Fg%2F1tdn9839!19sChIJdVJyT2GSD4gRRKKm8DyT3xM,USA Vein Clinics - Gurnee,4.1,127,Medical clinic,"15 Tower Ct Ste 200, Gurnee, IL 60031, United States","9452+JH Gurnee, Illinois, USA",https://www.usaveinclinics.com/company/locations/illinois/office/gurnee/,+1 847-481-6387,,,https://lh3.googleusercontent.com/p/AF1QipNm3CH8RqHy4_0_WVUNavecOazuX7ibrDinoloU=w408-h272-k-no,true,,"https://www.google.com/maps/search/vein+clinics+in+Waukegan+IL+IL/@42.3636331,-87.8447938,14z",2025-12-16T22:03:09.219Z,,,,,,,,,
https://www.google.com/maps/place/Grand+Vein+Specialists/data=!4m7!3m6!1s0x880e34799821da71:0xc547821c1578b772!8m2!3d41.8505196!4d-87.7801213!16s%2Fg%2F11clp3gvks!19sChIJcdohmHk0DogRcrd4FRyCR8U,Grand Vein Specialists,4.3,18,Medical clinic,"6227 Cermak Rd, Berwyn, IL 60402, United States","V629+6X Berwyn, Illinois, USA",http://www.gvsmed.com/,+1 773-942-6141,Closed · Opens 9:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipOVElpFbhUGbeC0lwQ2Am44VsHEHm2cZ0cC4fbe=w426-h240-k-no,true,Closed,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:27.499Z,9:30 am–8 pm,Closed,8 am–12 pm,Closed,Closed,8 am–12 pm,,,
https://www.google.com/maps/place/The+Vein+Care+Center+%7C+Oak+Park/data=!4m7!3m6!1s0x880e34e836e9e307:0xd0fdd394cd39a9ee!8m2!3d41.877961!4d-87.803351!16s%2Fg%2F1tdl6q9f!19sChIJB-PpNug0DogR7qk5zZTT_dA,The Vein Care Center | Oak Park,4.2,19,Doctor,"610 S Maple Ave #2800, Oak Park, IL 60304, United States","V5HW+5M Oak Park, Illinois, USA",http://theveincarecenter.com/,+1 312-563-4120,Closes soon · 5 pm · Opens 9 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPMmzaaFeD1dDNjEq0w75VzGFqa6mDVT3S9XLi9=w408-h270-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:32.794Z,9 am–6 pm,Closed,9 am–5 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/USA+Vein+Clinics+-+Chicago+on+Archer+Ave./data=!4m7!3m6!1s0x880e36ce92a359f9:0x4c4a00c328520bef!8m2!3d41.7921191!4d-87.7825205!16s%2Fg%2F1pp2vdl5r!19sChIJ-Vmjks42DogR7wtSKMMASkw,USA Vein Clinics - Chicago on Archer Ave.,4.0,72,Medical clinic,"6415 W Archer Ave, Chicago, IL 60638, United States","Q6R8+RX Chicago, Illinois, USA",https://www.usaveinclinics.com/company/locations/illinois/office/chicago-archer-ave/,+1 773-906-8060,,,https://lh3.googleusercontent.com/p/AF1QipOZwsfusC_9nHAmO_jPiuwflylybouVjJrVFUt-=w408-h289-k-no,true,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:37.655Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x880e359160270273:0x43dcb4d3e3c2e47a!8m2!3d41.8874652!4d-87.8112938!16s%2Fg%2F11r2hvv4xt!19sChIJcwInYJE1DogReuTC49O03EM,United Vein & Vascular Centers,4.6,30,Medical clinic,"7420 Central Ave Bldg. C, Suite 2030, River Forest, IL 60305, United States","V5PQ+XF River Forest, Illinois, USA",https://unitedveincenters.com/find-a-clinic/illinois/river-forest/?utm_campaign=directory,+1 708-954-0090,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipOMzmSWJR974YbNo2n_QLfp7MsoMXUF25zigRDQ=w408-h408-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:42.482Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,
https://www.google.com/maps/place/Chicago+Vein+Institute/data=!4m7!3m6!1s0x880fd2049dd73617:0x487e09471cdfc886!8m2!3d41.9538342!4d-87.6875725!16s%2Fg%2F1v_s6gwp!19sChIJFzbXnQTSD4gRhsjfHEcJfkg,Chicago Vein Institute,4.9,397,Medical clinic,"2333 W Irving Park Rd, Chicago, IL 60618, United States","X836+GX Chicago, Illinois, USA",https://chicagoveininstitute.com/,+1 773-231-9884,Closes soon · 5 pm · Opens 11 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzK0e2GRRWyxu0_ycKiavrpBuOxfcQojkFxzNrZhlZApA50FPphdYh17XHBx2c7t8Ps6bDcWd1w_CLeVRzUloUypeqYnW196MjDYK0qjveoAO7eJz9vmTduMOSlRbj1_BngM4pt=w408-h272-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:47.294Z,11 am–7 pm,12–8 pm,9 am–5 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x880e55705eb477df:0x5cfc071027097507!8m2!3d41.8038963!4d-87.9321206!16s%2Fg%2F1tfnz556!19sChIJ33e0XnBVDogRB3UJJxAH_Fw,Vein & Vascular Centers,4.9,102,Medical diagnostic imaging center,"7 N Grant St, Hinsdale, IL 60521, United States","R339+H5 Hinsdale, Illinois, USA",https://www.veinandvascularcenters.com/,+1 708-354-8881,Closes soon · 5 pm · Opens 9 am Wed,,https://lh3.googleusercontent.com/p/AF1QipP55rg7L0HIgV74tiLI4lFJ8yJebIxTMIRP-v4a=w408-h544-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:52.203Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x880e3be79b5fb365:0xfaa35f4140a43ff9!8m2!3d41.7203825!4d-87.7380763!16s%2Fg%2F11h9m42pff!19sChIJZbNfm-c7DogR-T-kQEFfo_o,United Vein & Vascular Centers,4.4,50,Medical clinic,"4700 W 95th St #303, Oak Lawn, IL 60453, United States","P7C6+5Q Oak Lawn, Illinois, USA",https://unitedveincenters.com/find-a-clinic/illinois/oak-lawn/?utm_campaign=directory,+1 708-809-2238,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipN_h2X99t_b-QLDpH7z_dPwv_fkkLBYKGMoAsdz=w408-h408-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Cicero+IL+IL/@41.8494148,-87.7466746,14z",2025-12-16T22:03:57.096Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,,
