placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,error,attributes
"https://www.google.com/maps/place/Parks+Parking+Lot/@27.632505,-80.3955698,17z/data=!3m1!4b1!4m6!3m5!1s0x88de5f7c0d95d21d:0x6b21a7a0a2c4b5ff!8m2!3d27.632505!4d-80.3955698!16s%2Fg%2F11f9xs4dm1",Parks Parking Lot,,,Parking lot,"33390100000500000001.0, Vero Beach, FL 32960, United States","JJM3+2Q Vero Beach, Florida, USA",,,,,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-10-28T18:58:15.980Z,,,,,,,,,,
https://www.google.com/maps/place/6200+20th+Street+Parking/data=!4m7!3m6!1s0x88de608006ff9711:0xecaee5017adf29d4!8m2!3d27.6423925!4d-80.4554195!16s%2Fg%2F11f3sc6qxr!19sChIJEZf_BoBg3ogR1CnfegHlruw,6200 20th Street Parking,5.0,1,Parking lot,"6200 20th Street, Vero Beach, FL 32960, United States","JGRV+XR Vero Beach, Florida, USA",,+1 954-731-0062,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xisNTm8pg5Yyg89PyIkGJA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.36599&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-10-28T18:58:21.607Z,,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x88d8df4e92bd168f:0x20d8eba9fbe3c67d!8m2!3d26.4650445!4d-80.0695462!16s%2Fg%2F11vx7kmmts!19sChIJjxa9kk7f2IgRfcbj-6nr2CA,parkingmgt.com,,,Parking lot,"306 NE 2nd St, Delray Beach, FL 33483, United States","FW8J+25 Delray Beach, Florida, USA",https://parkingmgt.com/delray-beach-parking-management-services/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iiUiKAQFz43nHHRK1nKooQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.0855&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:58:36.572Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x88c2f963d70f2d81:0xb31371c18072a846!8m2!3d27.8975619!4d-82.8482738!16s%2Fg%2F11w2h0t49x!19sChIJgS0P12P5wogRRqhygMFxE7M,parkingmgt.com,,,Parking lot,"1501 Gulf Blvd, Indian Rocks Beach, FL 33785, United States","V5X2+2M Indian Rocks Beach, Florida, USA",https://parkingmgt.com/indian-rocks-beach-parking-management-services/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QIHwsiBN6LUsXpRqluHGoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.13624&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:58:41.424Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Environmental+Learning+Center/data=!4m7!3m6!1s0x88de5d221745c159:0x969b4fa35cde67dc!8m2!3d27.7576583!4d-80.4158811!16s%2Fg%2F1v3dsyn5!19sChIJWcFFFyJd3ogR3GfeXKNPm5Y,Environmental Learning Center,4.8,327,Tourist attraction,"255 Live Oak Dr Building A, Vero Beach, FL 32963, United States","QH5M+3J Vero Beach, Florida, USA",http://www.discoverelc.org/,+1 772-589-5050,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPegMt1Du88H0xeUYzHvkk9f-y-Z2134BDxQfHJ=w408-h305-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:58:46.681Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,8 am–4 pm,8 am–5 pm,LGBTQ+ friendly,,
https://www.google.com/maps/place/Indian+River+Emergency+Services/data=!4m7!3m6!1s0x88de5efbc4a53559:0xbe4366d300eb9268!8m2!3d27.6706224!4d-80.4310318!16s%2Fg%2F1v96mlzs!19sChIJWTWlxPte3ogRaJLrANNmQ74,Indian River Emergency Services,4.3,4,Public safety office,"4225 43rd Ave, Vero Beach, FL 32967, United States","MHC9+6H Vero Beach, Florida, USA",https://indianriver.gov/services/emergency_services/emergency_management/index.php,+1 772-226-3900,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-3D7JCbT0olTd-hXNfcQ8l6KA3J_KWQNOkD7ur_jmFSPpxl3QlHzBxvHXbrwkGKST2iOg8sjHmuNNF0ZOEldPRG4GTZVa0Rk6xeHAJmVnfkak_gzLX8yhqgVcEMkl1JwzeUKj=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:58:51.664Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,,,
https://www.google.com/maps/place/Kimpton+Vero+Beach+Hotel+%26+Spa/data=!4m10!3m9!1s0x88de593709d900f3:0x7c1f2157d569e913!5m2!4m1!1i2!8m2!3d27.6557392!4d-80.3567917!16s%2Fg%2F1ptww9zf8!19sChIJ8wDZCTdZ3ogRE-lp1VchH3w,Kimpton Vero Beach Hotel & Spa,4.7,1330,,"3500 Ocean Dr, Vero Beach, FL 32963, United States","MJ4V+77 Vero Beach, Florida, USA",https://www.verobeachhotelandspa.com/?&cm_mmc=WEB-_-KI-_-AMER-_-EN-_-EV-_-Google%20Business%20Profile-_-DD-_-vero%20beach,+1 772-231-5666,,https://lh3.googleusercontent.com/p/AF1QipMAwO6Hyvp43CAFoj1cS6sFPGrgC4WMSXi_3rqo=w408-h271-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:58:54.952Z,,,,,,,,,,
https://www.google.com/maps/place/Paddles+By+The+Sea/data=!4m7!3m6!1s0x88de5ecc117a76c3:0xddbecef674acc79d!8m2!3d27.6528228!4d-80.3704312!16s%2Fg%2F11b80c8ws5!19sChIJw3Z6Ecxe3ogRncesdPbOvt0,Paddles By The Sea,4.8,192,Canoe & kayak rental service,"3321 Bridge Plaza Dr, Vero Beach, FL 32963, United States","MJ3H+4R Vero Beach, Florida, USA",https://paddlesbythesea.com/,+1 772-234-9585,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNs5p2EYSUkE2lzEtj1cKLXFNln0JLeMyg0vS9t=w426-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:59:00.026Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/River+Explorer+Boat+Tours+%28Previously+located+at+the+Riverside+Cafe%29/data=!4m7!3m6!1s0x88de5ecc89d9d85d:0xab6cce040863c70c!8m2!3d27.6543123!4d-80.3692954!16s%2Fg%2F11_psjl7t!19sChIJXdjZicxe3ogRDMdjCATObKs,River Explorer Boat Tours (Previously located at the Riverside Cafe),4.8,163,Boat tour agency,"3301-3321 Bridge Plaza Dr, Vero Beach, FL 32963, United States","MJ3J+P7 Vero Beach, Florida, USA",https://www.riverexplorerboattours.com/,+1 772-713-7132,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_fIGPiruEHeJ7OhfKQhFEc4mLngVXlaVDtriDRxQSZWCX_mV5VFyLSRtcfSQe9xMUSHmMcV0sFVH1RblgxK444iWtGbQVmV4M_b2y5fUVYEjbHewqxQNV3KmMN1NStXaVYYh-=w408-h306-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:59:05.241Z,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Identifies as women-owned,,
https://www.google.com/maps/place/Sail+Moonraker/data=!4m7!3m6!1s0x88de5eca41bd370f:0x8e034b2d76b0f743!8m2!3d27.657541!4d-80.369766!16s%2Fg%2F1vcjn1kt!19sChIJDze9Qcpe3ogRQ_ewdi1LA44,Sail Moonraker,5.0,10,Tour operator,"3611 Rio Vista Blvd, Vero Beach, FL 32963, United States","MJ5J+23 Vero Beach, Florida, USA",http://www.sailmoonraker.com/,+1 772-696-2941,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNm9sXgBcaY6_D99u7W2RXxL5CBgWlt6w2cBqI=w648-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Indian+River+Shores+Vero+Beach+FL/@27.7166964,-80.3842173,14z",2025-10-28T18:59:10.366Z,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,,,
