placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,sunday,monday,tuesday,wednesday,thursday,friday,saturday,isBlackOwned,error
https://www.google.com/maps/place/Debra+J+Best+Tax+%26+Accounting+Services/data=!4m7!3m6!1s0x89c0ee88a21e9fdb:0x5dbeb37e9fdcb98d!8m2!3d39.3506474!4d-74.4568228!16s%2Fg%2F1tf3_89w!19sChIJ258eoojuwIkRjbncn36zvl0,Debra J Best Tax & Accounting Services,4.5,15,Tax preparation service,"3817 Ventnor Ave, Atlantic City, NJ 08401, United States","9G2V+77 Atlantic City, New Jersey, USA",,+1 609-348-1097,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vka2dBOFE_K462RatD7Idw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.88184&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:39.511Z,,,,,,,,,,
https://www.google.com/maps/place/J+Y+Tax+Center/data=!4m7!3m6!1s0x89c0ee3f236dd2cd:0x449e45dae626a293!8m2!3d39.3605188!4d-74.4267912!16s%2Fg%2F1tddyp4x!19sChIJzdJtIz_uwIkRk6Im5tpFnkQ,J Y Tax Center,5.0,1,Tax preparation service,"1328 Pacific Ave, Atlantic City, NJ 08401, United States","9H6F+67 Atlantic City, New Jersey, USA",,+1 609-343-9933,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9vKnnqrue8jtdxmK9VP06Rna00Xu2FaRRhIo4fDiEu11xtRPT8p6N2D29CRO5uJGsfXQhW458SCLiPEdYJQVnK0VrMBnqVWFXChQO3T97O2pjFvjs6B9NizWHF8igCKln4PfS=w408-h535-k-no,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:43.601Z,,,,,,,,,,
"https://www.google.com/maps/place/E%26M+Tax+Services+%26+Immigration,LLC/data=!4m7!3m6!1s0x89c0e5c88c99bea3:0xe7365eb88ca1f94a!8m2!3d39.3635652!4d-74.4255828!16s%2Fg%2F11qpr3s0qv!19sChIJo76ZjMjlwIkRSvmhjLheNuc","E&M Tax Services & Immigration,LLC",5.0,5,Tax preparation service,"1125 Atlantic Ave # 649, Atlantic City, NJ 08401, United States","9H7F+CQ Atlantic City, New Jersey, USA",http://em-tax-services-llc.mailchimpsites.com/,+1 609-402-6549,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipNGgtUj5hYp_bnlEof5g6hOwflKvznUU_l0LVSS=w886-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:48.698Z,LGBTQ+ friendly,Closed,10 am–4 pm,10 am–5 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,Closed,,
https://www.google.com/maps/place/Atlantic+Income+Tax+%26+Immigration/data=!4m7!3m6!1s0x89c0ee8633b706f5:0xcd90a6f17b43667a!8m2!3d39.3494194!4d-74.4557913!16s%2Fg%2F1262phrzh!19sChIJ9Qa3M4buwIkRemZDe_GmkM0,Atlantic Income Tax & Immigration,3.9,9,Tax preparation service,"3825 Atlantic Ave, Atlantic City, NJ 08401, United States","8GXV+QM Atlantic City, New Jersey, USA",,+1 609-435-8637,,https://lh3.googleusercontent.com/p/AF1QipMJFSpycjFNVbChVb7YYuRxx-I27Pwbo2fpMZKp=w408-h544-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:53.612Z,,,,,,,,,,
https://www.google.com/maps/place/Sunsource+Financial+LLC/data=!4m7!3m6!1s0x89c0ee3979970001:0x81ecbc26fa7fbd4f!8m2!3d39.3634217!4d-74.4238576!16s%2Fg%2F11ghq_s8nf!19sChIJAQCXeTnuwIkRT71_-ia87IE,Sunsource Financial LLC,5.0,1,Accountant,"5 S Pennsylvania Ave, Atlantic City, NJ 08401, United States","9H7G+9F Atlantic City, New Jersey, USA",,+1 856-942-1230,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nsoeEtymf8Db5EiIWy75tQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.789585&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:56.497Z,,,,,,,,,,
https://www.google.com/maps/place/M+A+Goloff+%26+Co/data=!4m7!3m6!1s0x89c0e984e3fd5457:0xc1785a8735d8c849!8m2!3d39.3589715!4d-74.430144!16s%2Fg%2F1thz2km_!19sChIJV1T944TpwIkRScjYNYdaeME,M A Goloff & Co,5.0,1,Lawyer,"1616 Pacific Ave, Atlantic City, NJ 08401, United States","9H59+HW Atlantic City, New Jersey, USA",http://magoloff.com/,+1 609-350-6958,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pHVZ4VxgiuJOhSrJFlJkbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=261.28915&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:14:59.206Z,,,,,,,,,,
https://www.google.com/maps/place/Tax+Authority/data=!4m7!3m6!1s0x89c0ee38b6f7fa35:0x8eb5717b2c97f507!8m2!3d39.361917!4d-74.427642!16s%2Fg%2F1tf24_5x!19sChIJNfr3tjjuwIkRB_WXLHtxtY4,Tax Authority,,,Tax preparation service,"1334 Atlantic Ave, Atlantic City, NJ 08401, United States","9H6C+QW Atlantic City, New Jersey, USA",,+1 609-345-4240,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OwFxBOs0hwoZD5jRWPfsZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.44061&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:15:01.919Z,,,,,,,,,,
https://www.google.com/maps/place/L+%26+L+Tax+Services/data=!4m7!3m6!1s0x89c0ee63c9ef70f5:0xd7f2d95f2d33338c!8m2!3d39.3532582!4d-74.4492686!16s%2Fg%2F1thnpp3h!19sChIJ9XDvyWPuwIkRjDMzLV_Z8tc,L & L Tax Services,,,Tax preparation service,"3112 Atlantic Ave, Atlantic City, NJ 08401, United States","9H32+87 Atlantic City, New Jersey, USA",,+1 609-348-1158,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OCg8nu9p3KRK0EGDn-9H5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.0818&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:15:04.749Z,,,,,,,,,,
https://www.google.com/maps/place/CNT+Services/data=!4m7!3m6!1s0x89c0eff9d030487b:0x80506d3c29b5df59!8m2!3d39.3543542!4d-74.4477469!16s%2Fg%2F11nrsznjds!19sChIJe0gw0PnvwIkRWd-1KTxtUIA,CNT Services,,,Tax preparation service,"2925 Atlantic Ave, Atlantic City, NJ 08401, United States","9H32+PW Atlantic City, New Jersey, USA",,+1 609-245-0010,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMz0bYeN8KqkuM1lD6cVVwyfOc1fWJ8IrEfhSIS=w408-h408-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:15:09.651Z,,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,10 am–3 pm,,
https://www.google.com/maps/place/Latino+Tax+LLC/data=!4m7!3m6!1s0x89c0ee84c072d11b:0x8a2a5630089c3b7a!8m2!3d39.34743!4d-74.4628598!16s%2Fg%2F1tfs1zp4!19sChIJG9FywITuwIkRejucCDBWKoo,Latino Tax LLC,,,Tax preparation service,"4406 Ventnor Ave, Atlantic City, NJ 08401, United States","8GWP+XV Atlantic City, New Jersey, USA",,+1 609-347-4565,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5OciGZREJeXbeacFEX7ADw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.67107&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Atlantic+City+Atlantic+City+NJ/@39.3636917,-74.4291041,14z",2025-10-19T15:15:12.405Z,,,,,,,,,,
