placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
https://www.google.com/maps/place/MD+ONE+Concierge+Physicians/data=!4m7!3m6!1s0x88c341d9be679bd9:0x2fdfe87c7eee8a68!8m2!3d27.338165!4d-82.541354!16s%2Fg%2F11zhxg5dnq!19sChIJ2ZtnvtlBw4gRaIrufnzo3y8,MD ONE Concierge Physicians,5.0,1,Doctor,"1451 2nd St, Sarasota, FL 34236, United States","8FQ5+7F Sarasota, Florida, USA",https://www.md1sarasota.com/,+1 941-312-1061,"Open 24 hours

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMkdu7hN7dwBiLJj7RtMvniI6en1tp2wukT2nLt=w408-h514-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:31.120Z,,
https://www.google.com/maps/place/Sarasota+Vascular+Specialists/data=!4m7!3m6!1s0x88c34761bdfbe1f9:0xdf543cd91c3088ad!8m2!3d27.3436908!4d-82.44944!16s%2Fg%2F1td0ntk_!19sChIJ-eH7vWFHw4gRrYgwHNk8VN8,Sarasota Vascular Specialists,4.9,1057,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+F6 Sarasota, Florida, USA",https://www.sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPqtK0NUpSPMZin8UsmrEYReInFfWICZRKULFaM=w435-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:36.296Z,,
https://www.google.com/maps/place/Vein+Center+Of+Sarasota/data=!4m7!3m6!1s0x88c34045d2e19dcb:0x60569d34389c3cd0!8m2!3d27.3180596!4d-82.5339301!16s%2Fg%2F1tcw8znf!19sChIJy53h0kVAw4gR0DycODSdVmA,Vein Center Of Sarasota,1.0,1,Surgical center,"1762 Hawthorne St #4, Sarasota, FL 34239, United States","8F98+6C Sarasota, Florida, USA",,+1 941-364-8346,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyl0H1u-MnB5aifg6s4-EY6Eh-c-faKbee7elAnML6KOANSv-crjvXajVBsZ_hqmErjM3gF26MxV4LrLFg3lLBwljiQaQEUiFTOA5IliD6YuTdevoKuqdiFha2Rgtt_lh0bJHWL-Bz32YPa=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:39.151Z,,
https://www.google.com/maps/place/Michael+R+Lepore+Jr+MD+FACS+RVT/data=!4m7!3m6!1s0x88c3476195102c43:0x22b9d15ef35f27fb!8m2!3d27.3438896!4d-82.4494315!16s%2Fg%2F11qgb70rwl!19sChIJQywQlWFHw4gR-ydf817RuSI,Michael R Lepore Jr MD FACS RVT,4.9,241,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+H6 Sarasota, Florida, USA",https://www.sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPgY65qWAjNtpnPOfTJR_lN9RmmObj5JqbTLM7l=w408-h612-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:43.810Z,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x88c33fa977edeb5d:0xbed32113f25d98ef!8m2!3d27.3989015!4d-82.454157!16s%2Fg%2F11c4bdp35g!19sChIJXevtd6k_w4gR75hd8hMh074,United Vein & Vascular Centers,4.6,137,Medical clinic,"8029 Cooper Creek Blvd #104, University Park, FL 34201, United States","9GXW+H8 University Park, Florida, USA",https://unitedveincenters.com/find-a-clinic/florida/sarasota/?utm_campaign=directory,+1 941-336-7482,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPTm1hP-6xeOZbetTMhPILpAkDiCmwUSVKhJmH-=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:48.888Z,,
https://www.google.com/maps/place/Jason+K+Wagner+MD+RPVI/data=!4m7!3m6!1s0x88c3476195102c43:0xab4429898c628174!8m2!3d27.3438896!4d-82.4494315!16s%2Fg%2F11qgb7gqb4!19sChIJQywQlWFHw4gRdIFijIkpRKs,Jason K Wagner MD RPVI,4.9,164,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+H6 Sarasota, Florida, USA",https://www.sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPFx3V463omeyQtfxnJ53DE-0MunSiVsTNKGlx9=w408-h298-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:53.878Z,,
https://www.google.com/maps/place/Florida+Lakes+Vein+Center/data=!4m7!3m6!1s0x88c339a131a47623:0x80defb65ae338320!8m2!3d27.3906969!4d-82.4403023!16s%2Fg%2F11jnmc3tmj!19sChIJI3akMaE5w4gRIIMzrmX73oA,Florida Lakes Vein Center,4.9,109,Medical Center,"9114 Town Center Pkwy STE 101, Lakewood Ranch, FL 34202, United States","9HR5+7V Lakewood Ranch, Florida, USA",https://lakewoodranch.floridalakesveincenter.com/,+1 941-866-8989,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lARYCvF_blG8vknYCg89CA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.06197&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:46:58.775Z,,
"https://www.google.com/maps/place/Jeffrey+B.+Edwards+MD,+FACS,+RPVI/data=!4m7!3m6!1s0x88c3471251a788eb:0x5369f984cd02e03!8m2!3d27.3438896!4d-82.4494315!16s%2Fg%2F11rjkc26ns!19sChIJ64inURJHw4gRAy7QTJifNgU","Jeffrey B. Edwards MD, FACS, RPVI",4.9,189,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+H6 Sarasota, Florida, USA",https://www.sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipM8s2Q6Bv_e3cF7FAPjssZ3pxGoAaOW2ZFhwo4g=w408-h298-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:47:03.380Z,,
https://www.google.com/maps/place/Richard+Hershberger+MD+FACS+RVT/data=!4m7!3m6!1s0x88c3476195102c43:0x4a2acc13f9bb6165!8m2!3d27.3438896!4d-82.4494315!16s%2Fg%2F11qgb7m7gm!19sChIJQywQlWFHw4gRZWG7-RPMKko,Richard Hershberger MD FACS RVT,4.9,217,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+H6 Sarasota, Florida, USA",https://www.sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMsJzKMBpTTTjIJV16mq1XHLvoqz31ojZoo8-KG=w408-h442-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:47:07.823Z,,
https://www.google.com/maps/place/Inkyong+K+Parrack/data=!4m7!3m6!1s0x88c3476195102c43:0x6e050cf0469c5097!8m2!3d27.3438896!4d-82.4494315!16s%2Fg%2F11p07b2rg6!19sChIJQywQlWFHw4gRl1CcRvAMBW4,Inkyong K Parrack,5.0,199,Vascular surgeon,"600 N Cattlemen Rd # 220, Sarasota, FL 34232, United States","8HV2+H6 Sarasota, Florida, USA",https://sarasotavascular.com/,+1 941-371-6565,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOtw3kUABZ8CSvEnLAvIU_xG_XQ6hagWqcjndYK=w408-h612-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2025-12-16T22:47:12.453Z,,
