placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,info,attributes
https://www.google.com/maps/place/Community+Hospice+%26+Palliative+Care+of+Alachua+County/data=!4m7!3m6!1s0x88e8a56b739a2db3:0x2d8742626c362026!8m2!3d29.6884842!4d-82.4307748!16s%2Fg%2F11h6p_y2hw!19sChIJsy2ac2ul6IgRJiA2bGJChy0,Community Hospice & Palliative Care of Alachua County,4.7,14,Hospice,"3870 NW 83 St, Gainesville, FL 32606, United States","MHQ9+9M Gainesville, Florida, USA",https://www.communityhospice.com/,+1 866-253-6681,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPN3uOvffrb7_iWaovkui34HEH-m9e2wjZfIpLV=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:05:56.294Z,,,
"https://www.google.com/maps/place/Haven+-+E.T.+York+Hospice+Care+Center+-+Gainesville,+FL/data=!4m7!3m6!1s0x88e8bba3eeaa47d1:0x4fd5b0321c5891bf!8m2!3d29.6931169!4d-82.438117!16s%2Fg%2F1vxzbg2v!19sChIJ0Ueq7qO76IgRv5FYHDKw1U8","Haven - E.T. York Hospice Care Center - Gainesville, FL",4.1,74,Hospice,"4200 NW 90 Blvd, Gainesville, FL 32606, United States","MHV6+6Q Gainesville, Florida, USA",https://beyourhaven.org/,+1 352-379-6210,"Open 24 hours

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPJObd3WHuNoDdqEzSq32kmfTmHCFm6-qnVluNC=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:02.329Z,,,
https://www.google.com/maps/place/VITAS+Healthcare/data=!4m7!3m6!1s0x88e8c9aa58fd0503:0x954814dc76699091!8m2!3d29.6771837!4d-82.3908233!16s%2Fg%2F11cn6dzhr2!19sChIJAwX9WKrJ6IgRkZBpdtwUSJU,VITAS Healthcare,3.6,16,Hospice,"2614 NW 43rd St, Gainesville, FL 32606, United States","MJG5+VM Gainesville, Florida, USA",https://www.vitas.com/locations-search/citrus-and-nature-coast/gainesville-hospice-office/?utm_source=google&utm_medium=locallisting&utm_content=VHC7901&y_source=1_MTA1MDM0NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 352-565-6270,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNh8xT_4rwll2VQzlK-FOFFoLIZwII8XbOjrgDA=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:07.728Z,,,
"https://www.google.com/maps/place/Haven+Hospice:+Cromer+Cynthia+S+MD/@29.693146,-82.4381473,17z/data=!3m1!4b1!4m6!3m5!1s0x88e8bba3eeaa47d1:0x7e22d1a68502eaba!8m2!3d29.693146!4d-82.4381473!16s%2Fg%2F1tgh3thy",Haven Hospice: Cromer Cynthia S MD,3.0,1,Doctor,"4200 NW 90 Blvd, Gainesville, FL 32606, United States","MHV6+7P Gainesville, Florida, USA",https://beyourhaven.org/about-us/meet-our-providers/,+1 352-378-2121,,,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:12.454Z,,,
https://www.google.com/maps/place/Granny+NANNIES+%7C+Senior+home+care+Gainesville/data=!4m7!3m6!1s0x88e8bb2c7444083b:0x3d837b2a418db162!8m2!3d29.6897658!4d-82.4035889!16s%2Fg%2F1tgpnvy2!19sChIJOwhEdCy76IgRYrGNQSp7gz0,Granny NANNIES | Senior home care Gainesville,4.6,42,Home health care service,"5800 NW 39th Ave STE 103, Gainesville, FL 32606, United States","MHQW+WH Gainesville, Florida, USA",https://grannynannies.com/Gainesville?utm_source=GMB&utm_medium=organic&utm_campaign=Gainesville,+1 352-327-3877,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP-d--wKJgLnWw9LGirSu9ZTXPlzZRdfs-2FxZq=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:17.491Z,,,
https://www.google.com/maps/place/Park+Meadows+Health+%26+Rehabilitation+Center/data=!4m7!3m6!1s0x88e8a3209b163edb:0xf73998c090c9059d!8m2!3d29.6164615!4d-82.3703046!16s%2Fg%2F1wj_6w1x!19sChIJ2z4WmyCj6IgRnQXJkMCYOfc,Park Meadows Health & Rehabilitation Center,3.5,148,Rehabilitation center,"3250 SW 41st Pl, Gainesville, FL 32608, United States","JJ8H+HV Gainesville, Florida, USA",https://parkmeadowshrc.com/,+1 352-378-1558,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMyKzItwxjoqayv2jdlVKYb-agO3sFZHNJ2_MY=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:22.461Z,,,
https://www.google.com/maps/place/Plaza+Health+and+Rehab+Center/data=!4m7!3m6!1s0x88e8bd688fe04645:0x2c13c23ab2ecec0c!8m2!3d29.6141107!4d-82.3953115!16s%2Fg%2F11f6y3g0b0!19sChIJRUbgj2i96IgRDOzssjrCEyw,Plaza Health and Rehab Center,4.2,247,Nursing home,"4842 SW Archer Rd, Gainesville, FL 32608, United States","JJ73+JV Gainesville, Florida, USA",https://www.plazahrc.com/,+1 352-376-8821,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM50DEAF_iLL2qMcT7u8_32FMmMK2bprXw9E5Ri=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:27.551Z,,,
https://www.google.com/maps/place/Florida+Cancer+Specialists+%26+Research+Institute/data=!4m7!3m6!1s0x88e8bd45d02fc7eb:0xfe1ec42178d2e8f!8m2!3d29.6632215!4d-82.4101781!16s%2Fg%2F11b6t3bqhp!19sChIJ68cv0EW96IgRjy6NF0Ls4Q8,Florida Cancer Specialists & Research Institute,4.7,927,Cancer treatment center,"6420 W Newberry Rd STE 100, Gainesville, FL 32605, United States","MH7Q+7W Gainesville, Florida, USA",https://flcancer.com/location/gainesville-cancer-center/,+1 352-332-3900,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipOGJBu2DipSb1r0BMf8rIYpnsnrbLkRTi7BNbc1=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-09-18T00:06:32.704Z,,,
https://www.google.com/maps/place/Terrace+Health+%26+Rehabilitation+Center/data=!4m7!3m6!1s0x88e8bce56570d677:0xc1bfb2dc89f9e6ca!8m2!3d29.6293977!4d-82.4192772!16s%2Fg%2F11bbww_5p2!19sChIJd9ZwZeW86IgRyub5idyyv8E,Terrace Health & Rehabilitation Center,4.0,198,Rehabilitation center,"7207 SW 24th Ave, Gainesville, FL 32607, United States","JHHJ+Q7 Gainesville, Florida, USA",https://terracehrc.com/,+1 352-333-0600,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPx-i7yzGLHaB83s7mVtYp26l9ycss0D_gsoRaM=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Haile+Plantation+Gainesville+FL/@29.6111929,-82.4400679,14z",2025-09-18T00:06:47.229Z,,,
https://www.google.com/maps/place/Palm+Garden+of+Gainesville/data=!4m7!3m6!1s0x88e8bcbcef2f0427:0x66a65da46064087!8m2!3d29.6507393!4d-82.4065559!16s%2Fg%2F1vzn6d1s!19sChIJJwQv77y86IgRh0AGRtplagY,Palm Garden of Gainesville,4.6,280,Rehabilitation center,"227 SW 62nd Blvd, Gainesville, FL 32607, United States","MH2V+79 Gainesville, Florida, USA",http://palmgardenofgainesville.com/,+1 352-331-0601,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNFCkwebw5LGlQjR4EYotIjVce434Im9kmOJUuQ=w608-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Haile+Plantation+Gainesville+FL/@29.6111929,-82.4400679,14z",2025-09-18T00:06:57.044Z,,,
