placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,sunday,monday,tuesday,wednesday,thursday,friday,saturday,isBlackOwned,attributes,error
https://www.google.com/maps/place/Option+Care+Health/data=!4m7!3m6!1s0x89e80dd19cebe1e7:0xdffa76bbd6af440!8m2!3d41.205592!4d-73.2052224!16s%2Fg%2F11kjp5dj65!19sChIJ5-HrnNEN6IkRQPRqvWun_w0,Option Care Health,3.7,3,Specialized clinic,"3180 Main St Suite G-3A, Bridgeport, CT 06606, United States","6Q4V+6W Bridgeport, Connecticut, USA",https://optioncarehealth.com/locations/bridgeport-ct-3180-main-street-suite-g-3a,+1 800-205-5467,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=26Wx8RBvdSUikxDuaPjyTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=98.20173&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-28T23:02:23.971Z,,,,,,,,,,,
https://www.google.com/maps/place/St.+Vincent%27s+Center+for+Cancer+Care/data=!4m7!3m6!1s0x89e80e8d8befec81:0x2310a640c1c991ac!8m2!3d41.201187!4d-73.2016535!16s%2Fg%2F11byyln4km!19sChIJgezvi40O6IkRrJHJwUCmECM,St. Vincent's Center for Cancer Care,3.7,3,Cancer treatment center,"2800 Main St, Bridgeport, CT 06606, United States","6Q2X+F8 Bridgeport, Connecticut, USA",https://stvincents.org/services/cancer-care,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w5wgk1E_FbjK5AFe16u5mQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.126736&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-28T23:02:27.339Z,,,,,,,,,,,
https://www.google.com/maps/place/Medical+Specialist+Of+Fairfield/data=!4m7!3m6!1s0x89e80e8d9fda197b:0x7d03390aacccafbd!8m2!3d41.201187!4d-73.2016535!16s%2Fg%2F1hc53h548!19sChIJexnan40O6IkRva_MrAo5A30,Medical Specialist Of Fairfield,,,Cancer treatment center,"2800 Main St 3rd fl, Bridgeport, CT 06606, United States","6Q2X+F8 Bridgeport, Connecticut, USA",,+1 203-382-2475,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w5wgk1E_FbjK5AFe16u5mQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.126736&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-28T23:02:29.949Z,,,,,,,,,,,
https://www.google.com/maps/place/Infusion+Center/data=!4m7!3m6!1s0x89c2a1fa4c939f87:0xaa322b594868821!8m2!3d41.0550158!4d-73.5523754!16s%2Fg%2F11g6vjmv_t!19sChIJh5-TTPqhwokRIYiGlLUiowo,Infusion Center,1.0,2,Medical clinic,"Warner Building, One Hospital Plaza 2nd Floor, Stamford, CT 06902, United States","3C4X+22 Stamford, Connecticut, USA",https://www.stamfordhealth.org/locations/locations-profile/infusion-center-stamford-ct/?utm_source=google&utm_medium=organic&utm_campaign=Yext,+1 203-276-2339,,https://lh3.googleusercontent.com/p/AF1QipPQ_GD13YqTR-NKqPXiZd7-lFWEdHI0vxytT2sY=w408-h408-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Stamford+CT/@41.0633519,-73.5427122,14z",2025-09-28T23:02:41.892Z,,,,,,,,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x89c2a32cd2de3753:0xcecafec0571cdfc!8m2!3d41.0493467!4d-73.5639207!16s%2Fg%2F11qbrftn9z!19sChIJUzfe0iyjwokR_M1xBeyv7Aw,Metro Infusion Center,,,Medical office,"2001 W Main St Suite 220, Stamford, CT 06902, United States","2CXP+PC Stamford, Connecticut, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPXHedh3ooJCb3uPVP1bzF-Bxo2Q5K0G5-h88-X=w423-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Stamford+CT/@41.0633519,-73.5427122,14z",2025-09-28T23:02:46.595Z,LGBTQ+ friendly,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/Novella+Infusion+Stamford/data=!4m7!3m6!1s0x89c2a19787c1e0c5:0xc2637c77cfdc924a!8m2!3d41.062514!4d-73.5361827!16s%2Fg%2F11lp6bp146!19sChIJxeDBh5ehwokRSpLcz3d8Y8I,Novella Infusion Stamford,,,Medical clinic,"144 Morgan St #1, Stamford, CT 06905, United States","3F77+2G Stamford, Connecticut, USA",https://novellainfusion.com/submit-a-referral/,+1 203-712-9995,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNXiBoIpUaFlJBJOrNJLdvXIjDmGnhR-WtOqFDz=w408-h349-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Stamford+CT/@41.0633519,-73.5427122,14z",2025-09-28T23:02:51.281Z,,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Novella+Infusion+Waterbury/data=!4m7!3m6!1s0x89e7c1cf9fe83cfb:0xf07f5fb719252722!8m2!3d41.5512199!4d-73.0663986!16s%2Fg%2F11x90npx7r!19sChIJ-zzon8_B54kRIiclGbdff_A,Novella Infusion Waterbury,,,Medical clinic,"1320 W Main St Bldg. 2, Waterbury, CT 06708, United States","HW2M+FC Waterbury, Connecticut, USA",https://novellainfusion.com/waterbury-infusion-center/,+1 203-706-4982,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6fBaG_oDfkd9e78QjMI3yw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.02487&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Waterbury+CT/@41.5581525,-73.0514965,14z",2025-09-28T23:03:04.360Z,,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/Harold+Leever+Regional+Cancer+Center/data=!4m7!3m6!1s0x89e7c1e6d5fb0e57:0xae01477ff84dd31d!8m2!3d41.5415126!4d-73.0804184!16s%2Fg%2F1thq1r74!19sChIJVw771ebB54kRHdNN-H9HAa4,Harold Leever Regional Cancer Center,4.8,22,Cancer treatment center,"1075 Chase Pkwy, Waterbury, CT 06708, United States","GWR9+JR Waterbury, Connecticut, USA",https://www.leevercancercenter.org/,+1 203-575-5555,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nplTNxGh_uwBWXFmmUPQtsCteQgTXyjruyeWoziOXjbhfdhpkX0RwpEh4d8wD58M9XV0L5qtu4tqqykFDklaWN7BY9T68Hl_YV96l3o6Dd10Y8D6yfcnFSzb0zMqobiBL3jIyYJ=w437-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Waterbury+CT/@41.5581525,-73.0514965,14z",2025-09-28T23:03:09.244Z,,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,,,
https://www.google.com/maps/place/Smilow+Cancer+Hospital+Care+Center+-+Waterbury/data=!4m7!3m6!1s0x89e7c1e6d5fb0e57:0x6e4c1abcc565d00f!8m2!3d41.5415168!4d-73.0803172!16s%2Fg%2F1tsr472s!19sChIJVw771ebB54kRD9BlxbwaTG4,Smilow Cancer Hospital Care Center - Waterbury,3.0,4,Medical laboratory,"1075 Chase Pkwy suite b, Waterbury, CT 06708, United States","GWR9+JV Waterbury, Connecticut, USA",,+1 203-755-6311,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OYrY6qAZDpklVVpxPOUkVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.95064&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Waterbury+CT/@41.5581525,-73.0514965,14z",2025-09-28T23:03:14.244Z,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,
https://www.google.com/maps/place/Local+Infusion/data=!4m7!3m6!1s0x89e81fa97da06e15:0x6ee0840b581da042!8m2!3d41.1024779!4d-73.4402263!16s%2Fg%2F11x0mwfm4w!19sChIJFW6gfakf6IkRQqAdWAuE4G4,Local Infusion,5.0,2,Medical clinic,"360 Connecticut Ave Suite 3, Norwalk, CT 06854, United States","4H25+XW Norwalk, Connecticut, USA",https://www.mylocalinfusion.com/,+1 475-348-8280,,https://lh3.googleusercontent.com/p/AF1QipPt7up9x7vn-I-rI986B8qA5GBQj_gh0sWKXiAD=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Norwalk+CT/@41.0974576,-73.4028214,14z",2025-09-28T23:03:25.374Z,,,,,,,,,,,
