placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,attributes,info
"https://www.google.com/maps/place/Truck+Parking+Club/@44.963816,-123.0175719,17z/data=!3m1!4b1!4m6!3m5!1s0x54bfff57787892fd:0x33d8c4e1002dac4e!8m2!3d44.963816!4d-123.0175719!16s%2Fg%2F11yld5m2gf",Truck Parking Club,,,Parking lot,"2680 Cherry Ave NE, Salem, OR 97301, United States","XX7J+GX Salem, Oregon, USA",https://truckparkingclub.com/truck-parking/oregon/salem/2680-cherry-ave-ne-97301?advocate=RYV436&utm_source=pm_marketing_link&utm_medium=referral&utm_campaign=gmb_marketing_link&el=Salem-Oregon-97301-RYV436-1&htrafficsource=gmb,+1 503-782-5190,Open 24 hours,,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:23.079Z,,,
https://www.google.com/maps/place/Salem+Hospital+Visitors+Parking+Garage/data=!4m7!3m6!1s0x54bfff6a7aad25fd:0xa80fa7502c169b14!8m2!3d44.9317109!4d-123.0333357!16s%2Fg%2F1hf0k8pkm!19sChIJ_SWtemr_v1QRFJsWLFCnD6g,Salem Hospital Visitors Parking Garage,3.8,178,Parking garage,"Capitol St SE, Salem, OR 97302, United States","WXJ8+MM Salem, Oregon, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzayVFoggll5MdVgZxSL417DyIOWAqeZ7mekxrigvRQEnkP4R0fF_aaTWeoZ1ntw0SJAPyYxOjty5nZLYt9Okt7bAha0R96KcG88sJ1AsB69kDQBBq12KeEBtrxoedMQ7pLL-l1=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Closed,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:28.665Z,,,
https://www.google.com/maps/place/Diamond+Parking+Service/data=!4m7!3m6!1s0x54bfff0d74ad7485:0xc8c22b755d2d8625!8m2!3d44.9416701!4d-123.0367047!16s%2Fg%2F11f_p3c8qt!19sChIJhXStdA3_v1QRJYYtXXUrwsg,Diamond Parking Service,1.0,5,Parking lot,"283 High St NE, Salem, OR 97301, United States","WXR7+M8 Salem, Oregon, USA",http://www.diamondparking.com/,+1 541-343-3733,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V3gF-1C4KZ5Hu1HJn3eXNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.79953&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:32.124Z,,,
https://www.google.com/maps/place/Capitol+Mall+Parking+Structure/data=!4m7!3m6!1s0x54bfff117b1aa783:0x6234aaceff280946!8m2!3d44.9398795!4d-123.0285921!16s%2Fg%2F11c2y8rjmj!19sChIJg6caexH_v1QRRgko_86qNGI,Capitol Mall Parking Structure,4.3,7,Parking garage,"927-999 Chemeketa St NE, Salem, OR 97301, United States","WXQC+XH Salem, Oregon, USA",http://www.oregon.gov/das/FleetPark/Pages/commute.aspx,+1 503-378-5090,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8Nv-kaB5crIvzdIs-33xUgrdiTjWAYVYsgESOnfRP753jVFmKe30NSPlfp3-Sow55qn4MmPmeG45PYIFOYqCUkGZYhhPnvQw07pAfxEnQ3ytev0aolwZ0xkXaJLg8IBq74oBw=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:35.032Z,,,
https://www.google.com/maps/place/401+State+St+Parking/data=!4m7!3m6!1s0x54bfff12a9b45c2d:0x7d52cb76b1906a7a!8m2!3d44.939967!4d-123.0376716!16s%2Fg%2F11gd681r7m!19sChIJLVy0qRL_v1QRemqQsXbLUn0,401 State St Parking,4.0,2,Parking lot,"City Parking Lot, 401 State St, Salem, OR 97301, United States","WXQ6+XW Salem, Oregon, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3P28spKIVtEGkptzJNWOxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.75082&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:37.919Z,,,
https://www.google.com/maps/place/AirGarage+%7C+Public+Parking/data=!4m7!3m6!1s0x54bfffb86ee80eef:0xe93fff81b465469d!8m2!3d44.9406349!4d-123.0398078!16s%2Fg%2F11s19nqxzz!19sChIJ7w7obrj_v1QRnUZltIH_P-k,AirGarage | Public Parking,3.3,32,Parking lot,"120 Commercial St SE, Salem, OR 97301, United States","WXR6+73 Salem, Oregon, USA",https://pay.airgarage.com/spots/jH4k6JtRR6EstaA5oPuYde?ref=gmaps,+1 415-417-0975,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP8NKd7VSQgE3tSly_nfHU2ytpamJ7TRXiMq55e=w408-h320-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:42.949Z,,,
https://www.google.com/maps/place/Chemeketa+Parkade/data=!4m7!3m6!1s0x54bfff92ca293609:0xa789dd5bd2587bb!8m2!3d44.9426057!4d-123.0389315!16s%2Fg%2F11hz8_4jft!19sChIJCTYpypL_v1QRu4clvdWdeAo,Chemeketa Parkade,3.8,39,Parking garage,"300 Commercial St NE, Salem, OR 97301, United States","WXV6+2C Salem, Oregon, USA",,+1 503-588-6133,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzQ-WLmPehS0X67inIVH3k233vaPL36fJM-NoJ68GmbLF2kBqWAGPpuNwX0wTdsgUSYEfOzrR0_QvtpnmSWH9GcHrqT7tLd5KG34o10yAY1vPHrSY3zpnap2-kKHlrYiBGIYi2C=w480-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:47.756Z,,,
https://www.google.com/maps/place/Marion+Parkade+-+Free+Customer+Parking/data=!4m7!3m6!1s0x54bfff0ea06ae2af:0x14eba8122cccf28d!8m2!3d44.9447417!4d-123.0355665!16s%2Fg%2F11gd67_ts5!19sChIJr-JqoA7_v1QRjfLMLBKo6xQ,Marion Parkade - Free Customer Parking,4.0,76,Parking lot,"538 Liberty St NE, Salem, OR 97303, United States","WXV7+VQ Salem, Oregon, USA",,+1 503-588-6133,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMKfSyJ9lvRkqC3eCYBfarpb4XgqXTDjPpF6WiJK7FLTXwb7Qi_hxayxDUWxv8bV98qVYWBP8oSB9s1KFgGkakL6bOrGhIj2zlIOSyrxClf-yywuERsM1niI56l9NcyuH-q5cp=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:52.699Z,,,
https://www.google.com/maps/place/Liberty+Square+Parkade/data=!4m7!3m6!1s0x54bfff2230301a0d:0x424eb1a648d28d21!8m2!3d44.9391518!4d-123.0394209!16s%2Fg%2F11j4slz0sn!19sChIJDRowMCL_v1QRIY3SSKaxTkI,Liberty Square Parkade,4.3,12,Parking garage,"Salem, OR 97301, United States","WXQ6+M6 Salem, Oregon, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7s8syV-LxugWoAl3xElayh5nFss3hsrpPq-w1NqnbEz8ig_FNb753iM6XDIiCHX1lSx57hO2CzIgsiZcnbj8DFdj4c8P-m3QsHIUXFUSC1WGtqI-3LkjOcLuH-T6-eUJdW0ISaQ=w426-h240-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:55.709Z,,,
https://www.google.com/maps/place/Salem+Community+Enforcement/data=!4m7!3m6!1s0x54bfff0ce24f7d71:0x57a680966dee6724!8m2!3d44.9424999!4d-123.0389241!16s%2Fg%2F1264k4k7t!19sChIJcX1P4gz_v1QRJGfubZaAplc,Salem Community Enforcement,,,Government office,"340 Chemeketa St NE, Salem, OR 97301, United States","WXR6+XC Salem, Oregon, USA",http://www.cityofsalem.net/,+1 503-588-6471,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_nqsKEc6552RmHenmrB5eg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.0911&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2025-10-28T19:11:58.463Z,,,
