placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Preferred+Parking+Service/data=!4m7!3m6!1s0x89ac5f67dee7431b:0x2c241615ba159c6b!8m2!3d35.7876717!4d-78.6457517!16s%2Fg%2F11f2gsp95d!19sChIJG0Pn3mdfrIkRa5wVuhUWJCw,Preferred Parking Service,2.0,5,Parking lot,"618N N West St, Raleigh, NC 27603, United States","Q9Q3+3M Raleigh, North Carolina, USA",https://www.preferredparking.com/2019_Raleigh-Durham.html,+1 800-313-7275,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ma4tpWBYncm3VYlVl_w4QA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=207.03311&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:48:54.928Z,,,,,,,,,,,
https://www.google.com/maps/place/Preferred+Parking+Service/data=!4m7!3m6!1s0x89acf589fab888e3:0x7005e23379a1c0e4!8m2!3d35.7843817!4d-78.6575181!16s%2Fg%2F11f_p3ch5c!19sChIJ44i4-on1rIkR5MCheTPiBXA,Preferred Parking Service,,,Parking lot,"1500 Hillsborough St, Raleigh, NC 27605, United States","Q8MR+QX Raleigh, North Carolina, USA",https://www.preferredparking.com/2019_Raleigh-Durham.html,+1 800-313-7275,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mY4HV6lSdnlWha7zD5Qjaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=323.15427&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:00.011Z,,,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x89ac5fb8d7b59a1d:0x6d6db09e181f0c1c!8m2!3d35.773244!4d-78.637996!16s%2Fg%2F11vx6chb88!19sChIJHZq117hfrIkRHAwfGJ6wbW0,parkingmgt.com,1.7,6,Parking lot,"521 S Wilmington St, Raleigh, NC 27601, United States","Q9F6+7R Raleigh, North Carolina, USA",https://parkingmgt.com/521-s-wilmington-st-raleigh/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zp2y7Tu4xDytMLLlwfXBfQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.72684&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:05.585Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/McDowell+Lot+Raleigh+%7C+Secure+Parking/data=!4m7!3m6!1s0x89ac5ffb3cb5d4a7:0xf9b54524d757f37!8m2!3d35.7745961!4d-78.6417133!16s%2Fg%2F11vx2hdn0p!19sChIJp9S1PPtfrIkRN391TVJUmw8,McDowell Lot Raleigh | Secure Parking,5.0,11,Parking lot,"431 South McDowell St, Raleigh, NC 27601, United States","Q9F5+R8 Raleigh, North Carolina, USA",https://secureparkingusa.com/parking-location/mcdowell-lot/?utm_source=googlebusiness&utm_medium=websitelink&utm_campaign=Google+Business+Raleigh+North+Carolina+NC&utm_content=McDowell+Lot+Raleigh,+1 414-847-5723,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMnayRgE8RAp56BS35EKCcPCWkHRs_n-v-bJRWg=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:10.913Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Municipal+Complex+Parking+Deck/data=!4m7!3m6!1s0x89ac5f6e46e8baf7:0x99ccb50bcc7fae39!8m2!3d35.7792804!4d-78.6424698!16s%2Fg%2F1tdzb8qp!19sChIJ97roRm5frIkROa5_zAu1zJk,Municipal Complex Parking Deck,4.2,46,Parking lot,"201 W Morgan St, Raleigh, NC 27601, United States","Q9H5+P2 Raleigh, North Carolina, USA",http://www.thecarpark.com/find-parking,+1 919-833-7522,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy_njoKmORJJtxmuRlBECNyHze7zMIzOgrJUbGZoFv9Ed7D5O3KoCnU_PBfxhq8Pww4kiB1QWsL8wFey3X39YIBTaFYKdePBhZYKj5Ra-AIfPadlTkthj58TpTDoI9OYRc70hvT=w426-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:13.926Z,,,,,,,,,,,
https://www.google.com/maps/place/Performing+Arts+Parking+Deck/data=!4m7!3m6!1s0x89ac5f7133970303:0xa78e9f9374e6e5!8m2!3d35.7727011!4d-78.6414785!16s%2Fg%2F11b7v7h3k6!19sChIJAwOXM3FfrIkR5eZ0k5-OpwA,Performing Arts Parking Deck,3.8,54,Parking garage,"128 W South St, Raleigh, NC 27601, United States","Q9F5+3C Raleigh, North Carolina, USA",http://www.thecarpark.com/find-parking,+1 919-833-7522,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaVI94DjOJHkxRYp9t16TS3N2Uv0jvsrBO1tCF_a4Rmy0HA7JXsBPxGaDH_zRjoBsL8Esu6bLhTwew_x52GXfzjI0YJpHEYcrF3kXBzSn6UW_2I0rUmBiI7m5F0q7PX5rEuutkoA=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:19.097Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Lane+Lot+Raleigh+%7C+Secure+Parking/data=!4m7!3m6!1s0x89ac5fbcab779b1f:0xd9d3ea566db710eb!8m2!3d35.7837649!4d-78.6433755!16s%2Fg%2F11r9gkbwy6!19sChIJH5t3q7xfrIkR6xC3bVbq09k,Lane Lot Raleigh | Secure Parking,3.2,11,Parking lot,"313 W Lane St, Raleigh, NC 27603, United States","Q9M4+GJ Raleigh, North Carolina, USA",https://secureparkingusa.com/parking-location/lane-lot/,+1 414-847-5723,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7VfxFf73ft69tgim5AUIdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.59872&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:24.246Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/504+Hillsborough+Lot/data=!4m7!3m6!1s0x89ac5f807f76bc9d:0xcc43151f55142d4f!8m2!3d35.780913!4d-78.646168!16s%2Fg%2F11h6437l9h!19sChIJnbx2f4BfrIkRTy0UVR8VQ8w,504 Hillsborough Lot,1.5,28,Parking lot,"504 W Hillsborough St, Raleigh, NC 27603, United States","Q9J3+9G Raleigh, North Carolina, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzT3grNbmd6FvM2nG5MDopDPFq1AV14AhVuofXcwNB6e63eArmO8mwPUR1phiku2UYEXsWqNngkMs_7SzzixJn6LKlAFZPksBOXsZtMj5OpUjKPn-tWL5sCeozZu5HiYAILVoKvsA=w408-h906-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:29.649Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Raleigh+Municipal+Building+Parking+Deck/data=!4m7!3m6!1s0x89ac5f6e3443bb31:0x4c301a7926d768c0!8m2!3d35.7793226!4d-78.6424632!16s%2Fg%2F11g6rktx5m!19sChIJMbtDNG5frIkRwGjXJnkaMEw,Raleigh Municipal Building Parking Deck,4.5,4,Parking garage,"209 W Morgan St, Raleigh, NC 27601, United States","Q9H5+P2 Raleigh, North Carolina, USA",https://raleighnc.gov/parking/places/municipal-complex-parking-deck,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVfXtL_iF50shz5QTUpKhdvfcXpVaa-dQZaXlN7Ey0HhSDl7RLc3DdF6pmU2BoG2ZqG-QMOe19Tz4WWoa2Cud9A4N1CLKmSROrklwP9KPzlyCNqlA6Sa3XeThgXeWF1zlklNq-Eg=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:32.835Z,,,,,,,,,,,
https://www.google.com/maps/place/Lenoir+Street+Parking+Garage/data=!4m7!3m6!1s0x89ac5f34e526d81b:0x85737425963f1ab2!8m2!3d35.7729034!4d-78.6419379!16s%2Fg%2F11p0vqz8gw!19sChIJG9gm5TRfrIkRsho_liV0c4U,Lenoir Street Parking Garage,3.0,3,Parking garage,"McDowell St at, W Lenoir St, Raleigh, NC 27601, United States","Q9F5+56 Raleigh, North Carolina, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=na2ek1p9QfXmnprvtagiAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.22153&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-28T18:49:35.573Z,,,,,,,,,,,
