placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,info
https://www.google.com/maps/place/Ohio%27s+Hospice+of+Dayton/data=!4m7!3m6!1s0x884085052ce89b85:0xa809e263ca7689c1!8m2!3d39.735036!4d-84.159807!16s%2Fg%2F11kq8r9tzv!19sChIJhZvoLAWFQIgRwYl2ymPiCag,Ohio's Hospice of Dayton,4.6,33,Hospice,"324 Wilmington Ave, Dayton, OH 45420, United States","PRPR+23 Dayton, Ohio, USA",https://www.hospiceofdayton.org/,+1 937-256-4490,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMqu6sooewttpqzHmhdX2bd9UT64rzGqHQrPIDoIdfo2SnQ_JbKpUCrwg7KUeEj_tqnBaogpA_2ulxSBj0HMxJff3yImbVQcZRss0w1cSZoB1TpSSLWZUk4i0NPOwhFBDwIU42=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:13.868Z,,
https://www.google.com/maps/place/VITAS+Palliative+Care/data=!4m7!3m6!1s0x88408731e2e7e6cd:0x370b5cdeec3eb82c!8m2!3d39.7073512!4d-84.2046899!16s%2Fg%2F11rgw1k19w!19sChIJzebn4jGHQIgRLLg-7N5cCzc,VITAS Palliative Care,2.0,1,Hospice,"3055 Kettering Blvd Ste 400, Dayton, OH 45439, United States","PQ4W+W4 Dayton, Ohio, USA",https://www.vitas.com/locations-search/dayton/dayton-hospice-and-palliative-care-office?utm_source=google&utm_medium=locallisting&utm_content=PMA5001&y_source=1_MjI1Mjk3ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 937-299-5379,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMZc1vofNyOxDbC_Svb-GKv87-1tGWMBg625k3c=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:19.532Z,,
https://www.google.com/maps/place/Day+City+Hospice/data=!4m7!3m6!1s0x8840898d7cc8dc97:0x432afd166aeed5c8!8m2!3d39.6338438!4d-84.1774029!16s%2Fg%2F11hdr83j90!19sChIJl9zIfI2JQIgRyNXuahb9KkM,Day City Hospice,4.8,91,Home health care service,"7601 Paragon Rd Suite 201, 203, & 301, Dayton, OH 45459, United States","JRMF+G2 Dayton, Ohio, USA",https://www.daycityhospice.com/?y_source=1_MjI1MzMyODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 937-404-5490,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2qH11Pj1_xhc7O00iScujQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.98322&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:25.186Z,,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x884088d7867459c1:0x20de3adf3290a2bd!8m2!3d39.6331043!4d-84.1960628!16s%2Fg%2F1tfcp05j!19sChIJwVl0hteIQIgRvaKQMt863iA,Gentiva Hospice,4.5,20,Hospice,"7887 Washington Village Dr #350, Dayton, OH 45459, United States","JRM3+6H Dayton, Ohio, USA",https://www.gentivahs.com/,+1 937-433-2400,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNf2DfITLlXDe3f1MJpWERoJ10wk8h6bMBV7BXD=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:30.186Z,,
https://www.google.com/maps/place/Crossroads+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x884089260d430893:0xfe8e569f0b78042e!8m2!3d39.627458!4d-84.1977054!16s%2Fg%2F1vd95sh3!19sChIJkwhDDSaJQIgRLgR4C59Wjv4,Crossroads Hospice & Palliative Care,3.2,18,Hospice,"8069 Washington Village Dr, Dayton, OH 45458, United States","JRG2+XW Dayton, Ohio, USA",https://www.crossroadshospice.com/locations/ohio/dayton-oh/,+1 937-550-8215,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMe4BGitc2C4giqK6mRSRAcJL0AZbHV_pKR21cn=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:35.341Z,,
https://www.google.com/maps/place/Capital+Health+Hospice/data=!4m7!3m6!1s0x88408f164992d9a1:0x7a4d767e6763e3f3!8m2!3d39.6257501!4d-84.2191107!16s%2Fg%2F11bxd_4kj9!19sChIJodmSSRaPQIgR8-NjZ352TXo,Capital Health Hospice,5.0,3,Hospice,"3015 Newmark Dr, Miamisburg, OH 45342, United States","JQGJ+89 Miamisburg, Ohio, USA",https://capitalhealthhomecare.com/services/capital-health-hospice/,+1 937-279-0641,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipO5eaJUaDdes97OwB0DgbauqRCH-RwoEMzTWkYT=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:40.333Z,,
"https://www.google.com/maps/place/Ohio's+Hospice/@39.6352751,-84.1770328,17z/data=!3m1!4b1!4m6!3m5!1s0x88408f28d200a19f:0x4185206d165f3c2e!8m2!3d39.6352751!4d-84.1770328!16s%2Fg%2F11hcqnm5m9",Ohio's Hospice,5.0,1,Hospice,"7575 Paragon Rd, Dayton, OH 45459, United States","JRPF+45 Dayton, Ohio, USA",http://www.ohioshospice.org/,+1 937-256-4490,,,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:45.367Z,,
https://www.google.com/maps/place/Palliative+Medical+Associates/data=!4m7!3m6!1s0x884086673c9b5c93:0x8cd5d22492e0d3f0!8m2!3d39.7073498!4d-84.2046663!16s%2Fg%2F11b6jgn5bc!19sChIJk1ybPGeGQIgR8NPgkiTS1Yw,Palliative Medical Associates,,,Hospice,"3055 Kettering Blvd Ste 400, Moraine, OH 45439, United States","PQ4W+W4 Moraine, Ohio, USA",http://www.vitas.com/oh/cincinnati-dayton-hospice?utm_source=local&utm_medium=organic&utm_campaign=gmb,+1 877-868-4827,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipOlxDDHOYWoDgmSkVQ1qZBvs52gRGClhLexRGuJ=w712-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:50.160Z,,
https://www.google.com/maps/place/Kindred+Hospital+Dayton/data=!4m7!3m6!1s0x884086b0e5626777:0xc5ec6a22388e5b94!8m2!3d39.7466871!4d-84.1978022!16s%2Fg%2F1tfbz43z!19sChIJd2di5bCGQIgRlFuOOCJq7MU,Kindred Hospital Dayton,4.4,286,Hospital,"707 S Edwin C Moses Blvd, Dayton, OH 45417, United States","PRW2+MV Dayton, Ohio, USA",https://www.kindredhospitals.com/locations/ohio/dayton,+1 937-234-2611,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNbOqqXAzcuMFUDA94Ooq5AtHKfD7fiENWEQTxn=w408-h273-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:27:55.248Z,,
"https://www.google.com/maps/place/Sanctuary+at+Wilmington+Place/@39.7368831,-84.1594032,17z/data=!3m1!4b1!4m6!3m5!1s0x8840846bfd711729:0xa00a126a2705aaa0!8m2!3d39.7368831!4d-84.1594032!16s%2Fg%2F1td1knz_",Sanctuary at Wilmington Place,2.3,26,Nursing home,"264 Wilmington Ave, Dayton, OH 45420, United States","PRPR+Q6 Dayton, Ohio, USA",http://www.ahfohio.com/the-sanctuary-at-wilmington-place/,+1 937-256-4663,,,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-09-17T23:28:00.267Z,,
