placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Jared+Munday+Electric/data=!4m7!3m6!1s0x8850fa3aa6ade069:0x5dd4de5623f62874!8m2!3d36.1973393!4d-81.7089766!16s%2Fg%2F1tdx4v0m!19sChIJaeCtpjr6UIgRdCj2I1be1F0,Jared Munday Electric,4.9,28,Electrician,"1257 Poplar Grove Rd S, Boone, NC 28607, United States","57WR+WC Boone, North Carolina, USA",http://mundayelectric.com/,,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzV03lZdnNnmYe4wpx2cOhYdx65jW_ULjW0hflXcrOsN-2ODK2QZMt9bcHaFUme_fLYY2dzfW_fQxt2SY6b2eWO2Grz4gLaFdkMblt8fZ9Yq6ZVpQrK4SCVrOKk-U1WRrR7MOxS=w408-h272-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:30.273Z,,,
https://www.google.com/maps/place/Freedom+ElecTech/data=!4m7!3m6!1s0x8850fa407ebe7c75:0x4e79ef72c51b2f64!8m2!3d36.2108179!4d-81.6668369!16s%2Fg%2F11b6nz1cvw!19sChIJdXy-fkD6UIgRZC8bxXLveU4,Freedom ElecTech,4.8,23,Electrician,"521 NC-105 Extension #3, Boone, NC 28607, United States","686M+87 Boone, North Carolina, USA",http://freedomelectech.com/,+1 828-386-6555,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_P51I0Lf1wMhg1w7CMsflYoNd9FUcHThFjZzry6amt4uLzDt5WV1Kc6Dn7FPkpLgKxz3EF4WqG3nvdo4_ZSLLjfCwW5qMoiE6zkxwAGFkLpAEyQvs0_Y875lvY3MA-GJEPR96=w408-h306-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–1:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:34.934Z,,,
https://www.google.com/maps/place/Glen+Davis+Electric+Co/data=!4m7!3m6!1s0x8850f1fb49ac1d8b:0x6f481367eb59410c!8m2!3d36.1598893!4d-81.7684!16s%2Fg%2F1tdh944f!19sChIJix2sSfvxUIgRDEFZ62cTSG8,Glen Davis Electric Co,3.3,20,Electrician,"8742 NC-105 S, Boone, NC 28607, United States","565J+XJ Boone, North Carolina, USA",http://www.glendaviselectric.com/,+1 828-963-6997,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMtbuN5flIW1SWbMbphy8RE7IMijjL_J73TyoW8=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–2 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:39.446Z,,,
https://www.google.com/maps/place/Avery+County+Electric/data=!4m7!3m6!1s0x1525d1cf56bea2b9:0xbb1e6b25b49699d7!8m2!3d36.046161!4d-81.8865856!16s%2Fg%2F11b7cg8gvb!19sChIJuaK-Vs_RJRUR15mWtCVrHrs,Avery County Electric,4.0,8,Electrical installation service,"1598 Linville Falls Hwy, Linville, NC 28646, United States","24W7+F9 Linville, North Carolina, USA",http://averycountyelectric.com/,+1 828-733-5233,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jinmQSfk5xWXMrNbbPnABw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.73523&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:44.348Z,,,
https://www.google.com/maps/place/GBC+Electric/data=!4m7!3m6!1s0x88514408bcc59617:0xfaaa0cd64b4527d9!8m2!3d35.7267655!4d-81.2690808!16s%2Fg%2F12hl5v55d!19sChIJF5bFvAhEUYgR2SdFS9YMqvo,GBC Electric,5.0,33,Electrician,"3221 Highland Ave NE, Hickory, NC 28601, United States","PPGJ+P9 Hickory, North Carolina, USA",http://www.gbcelectric.com/,+1 704-500-9232,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMR1egnYM7w_IJ3j0F0YOu4qQS4FwNEgdJD1DsC=w426-h240-k-no,true,7 am–6 pm,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:48.884Z,,,
"https://www.google.com/maps/place/Banner+Elk+Electric/@36.1566955,-81.865949,14z/data=!3m1!4b1!4m6!3m5!1s0x4e51e9d65607ab01:0xe4115bb028c021e!8m2!3d36.1566955!4d-81.865949!16s%2Fg%2F11wf_rrmyc",Banner Elk Electric,5.0,5,Electrician,,,,+1 828-260-0807,Closed · Opens 8 am Mon,,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:55.199Z,,,
https://www.google.com/maps/place/Roby+Services+-+Mountain+Division/data=!4m7!3m6!1s0x8850f12eb1cf7cbd:0xe69744117666f957!8m2!3d36.1786913!4d-81.7482731!16s%2Fg%2F11p56pxlkg!19sChIJvXzPsS7xUIgRV_lmdhFEl-Y,Roby Services - Mountain Division,4.7,26,Heating contractor,"6858 NC-105, Boone, NC 28607, United States","57H2+FM Boone, North Carolina, USA",https://www.robyservicesnow.com/boone/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Boone-NC,+1 828-929-4303,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMrAg_NxkcMMj_VitBBRyt-ABFeMAC9P5ptSi54=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:23:59.749Z,,,
https://www.google.com/maps/place/Mountaineer+Electric+%26+Generator+Systems+LLC/data=!4m7!3m6!1s0x8850f6b53fd1afd7:0xf1d99a4e8bcc92f2!8m2!3d36.2391459!4d-81.7541746!16s%2Fg%2F1v2pqxj7!19sChIJ16_RP7X2UIgR8pLMi06a2fE,Mountaineer Electric & Generator Systems LLC,4.0,4,Electrician,"5015 U.S. Hwy 421 N #10, Vilas, NC 28692, United States","66QW+M8 Vilas, North Carolina, USA",,+1 828-297-4260,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eASJwFkVpO0NxjOUn92TnA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.07248&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:24:02.016Z,,,
"https://www.google.com/maps/place/Advanced+Standby+Power+Solutions,+Inc/data=!4m7!3m6!1s0x8850f19be2da790d:0x97cf9b9b2e5597de!8m2!3d36.1973393!4d-81.7089766!16s%2Fg%2F11w7gyfzmq!19sChIJDXna4pvxUIgR3pdVLpubz5c","Advanced Standby Power Solutions, Inc",,,Electric generator shop,"1257 Poplar Grove Rd S, Boone, NC 28607, United States","57WR+WC Boone, North Carolina, USA",,+1 828-278-7824,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sklI32ExGE4hW7Wh6Oc1Fw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.21349&pitch=0&thumbfov=100,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:24:06.445Z,,,
https://www.google.com/maps/place/New+River+Building+Supply/data=!4m7!3m6!1s0x8850f0916b244dd1:0xf8208321570e8e3f!8m2!3d36.2069969!4d-81.7065277!16s%2Fg%2F1td4ktsm!19sChIJ0U0ka5HwUIgRP44OVyGDIPg,New River Building Supply,4.8,81,Hardware store,"3148 NC-105 South, Boone, NC 28607, United States","674V+Q9 Boone, North Carolina, USA",http://www.newriverbuilding.com/,+1 828-264-5650,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwKQ0fh0UJQxidWF9FW14zaw2EnI1e3LbaiB2ZP0DwFJPW4JnYRaLRsOpVX5EFYShFggY9nfUiqNSW920Txge8DD3Aot_oSu32yJDWo8N6qVL5N_0YPC30JM9-5pzhCxUMTk0Rb=w408-h306-k-no,true,8 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2026-01-10T21:24:10.961Z,· In-store pick-up · Delivery,,
