placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/Dalcon+Electric/data=!4m7!3m6!1s0x808fcb5703d333ad:0x55d9206be8fb1fe5!8m2!3d37.3426759!4d-121.9136264!16s%2Fg%2F1tlbjt77!19sChIJrTPTA1fLj4AR5R_76Gsg2VU,Dalcon Electric,4.8,306,Electrician,"757 Chestnut St B, San Jose, CA 95110, United States","83VP+3G San Jose, California, USA",https://www.dalconelectric.com/,+1 408-565-8918,Open 24 hours,Identifies as Asian-owned,https://lh3.googleusercontent.com/p/AF1QipPIr_qzDyTcrASkL68dDBtr6mLhqvAhIWDgCDCC=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:22.364Z,,,
https://www.google.com/maps/place/Jeffery+D.+Vierra+Ltd.+%2F+JDV+LTD+%2F+Vierra+Electric/data=!4m7!3m6!1s0x808fcb56d7713e4b:0x5b987a11ecfab322!8m2!3d37.370472!4d-121.9092905!16s%2Fg%2F11ptlsnpzd!19sChIJSz5x11bLj4ARIrP67BF6mFs,Jeffery D. Vierra Ltd. / JDV LTD / Vierra Electric,5.0,1,Electrical installation service,"Jeffery Vierra, 493 Reynolds Cir, San Jose, CA 95112, United States","93CR+57 San Jose, California, USA",http://www.vierraelectric.com/,+1 209-566-5740,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2r62JWtKY6CLgbRd_wn3Rg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=63.728348&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:28.069Z,,,
https://www.google.com/maps/place/Avant+Electric+Inc./data=!4m7!3m6!1s0x808fcb657530cc17:0xf4fb640f0c87f168!8m2!3d37.3685686!4d-121.9611975!16s%2Fg%2F11frlbm67m!19sChIJF8wwdWXLj4ARaPGHDA9k-_Q,Avant Electric Inc.,5.0,28,Electrician,"Walsh Ave, Santa Clara, CA 95050, United States","929Q+CG Santa Clara, California, USA",https://www.avant-electric.com/,+1 408-688-1546,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipOJ8i41qhu8sxvUL6nXEgfpjBe44N_KdeejRmn0=w408-h306-k-no,true,8 am–7 pm,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:32.958Z,,,
https://www.google.com/maps/place/Alternative+Power+and+Electric/data=!4m7!3m6!1s0x808fcb18b8ae1f87:0x87ef9c876de1e4e9!8m2!3d37.3091862!4d-121.9312227!16s%2Fg%2F11j8x18gpg!19sChIJhx-uuBjLj4AR6eThbYec74c,Alternative Power and Electric,5.0,2,Electrician,"950 S Bascom Ave Suite #2113, San Jose, CA 95128, United States","8359+MG San Jose, California, USA",https://alternativepowerandelectric.com/,+1 408-605-3084,Open · Closes 7:30 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tF852F2MDv5OzyX7TnZHdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.03488&pitch=0&thumbfov=100,true,6 am–7:30 pm,Closed,6 am–7:30 pm,6 am–7:30 pm,6 am–7:30 pm,6 am–7:30 pm,6 am–7:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:37.799Z,,,
https://www.google.com/maps/place/Wooding+Electric/data=!4m7!3m6!1s0x808fc97ee8596c67:0x61af1a29aae9e509!8m2!3d37.3843037!4d-121.9436284!16s%2Fg%2F11c67vs58d!19sChIJZ2xZ6H7Jj4ARCeXpqikar2E,Wooding Electric,4.9,64,Electrician,"3390 De La Cruz Blvd STE N, Santa Clara, CA 95054, United States","93M4+PG Santa Clara, California, USA",https://www.woodingelectric.com/?utm_campaign=gmb&utm_source=gmb,+1 408-675-7950,Closed · Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMtTygWXnIoJKh80fJxjBHCNt6lKIQM-N--A909=w960-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:42.608Z,true,,
https://www.google.com/maps/place/Electric+Wire+Services/data=!4m7!3m6!1s0x808fb5dbab70a791:0xa4aa734a1e81d620!8m2!3d37.3068925!4d-122.0565504!16s%2Fg%2F11n_xxhwls!19sChIJkadwq9u1j4ARINaBHkpzqqQ,Electric Wire Services,4.9,71,Electrician,"11120 Santa Teresa Dr #4, Cupertino, CA 95014, United States","8W4V+Q9 Cupertino, California, USA",https://electricwireservices.com/Cupertino,+1 408-549-7996,Open · Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipNTjokyD0Jmxim7B8EjW8ZYmboE3HVxv2LL8aFH=w408-h342-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:47.392Z,,,
https://www.google.com/maps/place/Mirkovic+Electric/data=!4m7!3m6!1s0x808fb5ef9eff706f:0x480bbc8ec9487b2c!8m2!3d37.3013725!4d-121.9934963!16s%2Fg%2F11rc6yr2ck!19sChIJb3D_nu-1j4ARLHtIyY68C0g,Mirkovic Electric,5.0,24,Electrical installation service,"5229 Englewood Dr, San Jose, CA 95129, United States","8224+GJ San Jose, California, USA",http://mirkovicelectric.com/,+1 408-900-2672,"Closed · Opens 9 am Mon

Updated by this business 1 week ago",,https://lh3.googleusercontent.com/p/AF1QipPDh-R529liyQmDTmngWH5oCgxL5Edq-d3fz8i_=w426-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:52.605Z,,,
"https://www.google.com/maps/place/Haxx+Heating,+Air+%26+Electrical/data=!4m7!3m6!1s0x808fcbf970d3d00b:0x79b209a72302b322!8m2!3d37.296855!4d-121.944838!16s%2Fg%2F11pdxtr2cs!19sChIJC9DTcPnLj4ARIrMCI6cJsnk","Haxx Heating, Air & Electrical",4.9,106,Electrician,"1462 Merry Ln, San Jose, CA 95128, United States","73W4+P3 San Jose, California, USA",https://haxxservice.com/,+1 408-617-9740,"Open 24 hours

Updated by this business 5 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipN1Hv7fuqWVuH8GveMat1P14DC5lh1kx6MIkvna=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:48:57.584Z,,,
https://www.google.com/maps/place/Safety+First+Electric/data=!4m7!3m6!1s0x2582185be2f54c0d:0x1c5c63b4c93ebb31!8m2!3d37.3284134!4d-121.9480887!16s%2Fg%2F11sdyx47g9!19sChIJDUz14lsYgiURMbs-ybRjXBw,Safety First Electric,4.8,139,Electrician,"2438 Fernwood Ave, San Jose, CA 95128, United States","83H2+9Q San Jose, California, USA",http://www.mysafetyfirstelectric.com/,+1 669-214-4439,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNazKCmORJvLbnORWNbJHT7W5_XJmN8CyN9bea0=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:49:02.495Z,,,
https://www.google.com/maps/place/Electrical+Land/data=!4m7!3m6!1s0x808fcbfef6cdf3e7:0x2bf410e83b20457b!8m2!3d37.3272226!4d-121.9487998!16s%2Fg%2F11rwqny2fh!19sChIJ5_PN9v7Lj4ARe0UgO-gQ9Cs,Electrical Land,5.0,64,Electrician,"2455 Forest Ave, San Jose, CA 95128, United States","83G2+VF San Jose, California, USA",https://electricalland.com/Santa-Clara,+1 714-410-6692,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNX4tryllFB6h9DZbnbQF9o8EoaqOVbiBniFxi8=w408-h342-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:49:07.388Z,,,
https://www.google.com/maps/place/Pro+Electric+Solution/data=!4m7!3m6!1s0x808fcb8dfd6a91bf:0xf29870ea32512662!8m2!3d37.3071055!4d-121.970706!16s%2Fg%2F11vyx_n3kw!19sChIJv5Fq_Y3Lj4ARYiZRMupwmPI,Pro Electric Solution,4.8,17,Electrician,"1060 Oakmont Dr, San Jose, CA 95117, United States","824H+RP San Jose, California, USA",https://www.proelectricsolution.com/,+1 408-637-0545,"Open · Closes 5 pm

Updated by this business 8 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySQ0HR-IpR3B3bKHyLruU0A82Zu5cf_w2UNoQ1yGUjq4CEptFGXHtBHLyP3HFkMlAbLBg3yB1lGYFmyMRpsGapvGK19W8KPrGBUgu9ddponkQwhlJYXqCdJ8BRjhsDMiOg3g_hnw=w408-h906-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:49:12.368Z,,,
https://www.google.com/maps/place/California+Power+and+Light/data=!4m7!3m6!1s0x808e3494b873b1a7:0x5b4e3c51498910e5!8m2!3d37.3066019!4d-121.9411277!16s%2Fg%2F1tgpbhvc!19sChIJp7FzuJQ0joAR5RCJSVE8Tls,California Power and Light,5.0,10,Electrician,"1110 S Daniel Way, San Jose, CA 95128, United States","8345+JG San Jose, California, USA",http://www.cplelectric.com/,+1 408-406-5832,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMSPeMDdBnP_WIJLxHJjSi-5cOkKONeE-AjeqSJ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-10T21:49:17.241Z,,,
