placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Oberlin+Road+Pediatrics/data=!4m7!3m6!1s0x89acf5f82e668ee5:0x2cdcadc6ffb0eaee!8m2!3d35.801879!4d-78.6593455!16s%2Fg%2F1tfnzgj8!19sChIJ5Y5mLvj1rIkR7uqw_8at3Cw,Oberlin Road Pediatrics,4.8,188,Pediatrician,"1321 Oberlin Rd A, Raleigh, NC 27608, United States","R82R+Q7 Raleigh, North Carolina, USA",http://www.oberlinroadpediatrics.com/?utm_source=GMBSocialClimb,+1 919-828-4747,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNYGS7tarovY9soCQca0k5nBtzbCQDQ7JqNIpub=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,9 am–1 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:33.790Z,,,,
"https://www.google.com/maps/place/Blue+Ridge+Pediatrics,+LLP/data=!4m7!3m6!1s0x89acf68751f5a393:0x1102eb3fb7fc43c9!8m2!3d35.8207785!4d-78.7023972!16s%2Fg%2F1tcv75r9!19sChIJk6P1UYf2rIkRyUP8tz_rAhE","Blue Ridge Pediatrics, LLP",4.0,144,Pediatric clinic,"3124 Blue Ridge Rd #102, Raleigh, NC 27612, United States","R7CX+82 Raleigh, North Carolina, USA",https://www.blueridgepediatrics.com/,+1 919-782-0021,Closes soon · 6 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer3Fnckj_raev3hdIyVe97iLvMZ7zZpuzY1eey3qkS0dM_ISPg9lLRKess5aCPcklDZNna11ugqAbyrq5s-SKyj-EULPui4IFUxBNNA9F_rSnFudQ7pkiwgtM8LLrBIBFMgYveO8DMbv9Ny=w408-h544-k-no,true,7:30 am–6 pm,8 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,8 am–12 pm,Closed,7:30 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:39.877Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Carolina+Kids+Pediatrics/data=!4m7!3m6!1s0x89acf681d80a7af7:0xfc2fc745551973ac!8m2!3d35.8166924!4d-78.7055296!16s%2Fg%2F1tggvd2v!19sChIJ93oK2IH2rIkRrHMZVUXHL_w,Carolina Kids Pediatrics,4.5,198,Pediatrician,"2605 Blue Ridge Rd # 100, Raleigh, NC 27607, United States","R78V+MQ Raleigh, North Carolina, USA",http://www.carolinakidspediatrics.com/,+1 919-881-9009,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOTWOcY7Xme-81Yaizsf0qhYNZaZQDatqmaxuGK=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–12:30 pm,9 am–12:30 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:44.607Z,,,,
"https://www.google.com/maps/place/Jeffers,+Mann+%26+Artman+Pediatrics/data=!4m7!3m6!1s0x89acf42b02f1632d:0xd4a05ea7cbbee7e!8m2!3d35.8136562!4d-78.7048201!16s%2Fg%2F1td2_9zq!19sChIJLWPxAiv0rIkRfu67fOoFSg0","Jeffers, Mann & Artman Pediatrics",4.6,341,Medical clinic,"2406 Blue Ridge Rd # 100, Raleigh, NC 27607, United States","R77W+F3 Raleigh, North Carolina, USA",http://www.jeffersandmann.com/pediatrics-raleigh.php,+1 919-786-5001,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQLgTtbVpMwL0_UzYskz7ATmPJc4GilywApXZX_rqMVmblZm43fZQhRZI3znis7eq4eREIomsPbG9L-k-tdM5Xo6gP-8zfX7Lplv5G70WQH3MzAnjaErr_2lMPM2u4q_341HhYDg=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,8 am–12 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:49.449Z,,,,
https://www.google.com/maps/place/White+Oak+Pediatrics/data=!4m7!3m6!1s0x89acf67fe9ea7c8d:0xbd3f704014df1d52!8m2!3d35.8171384!4d-78.7004625!16s%2Fg%2F1tfh5jhp!19sChIJjXzq6X_2rIkRUh3fFEBwP70,White Oak Pediatrics,4.0,51,Pediatric clinic,"4414 Lake Boone Trail STE 103, Raleigh, NC 27607, United States","R78X+VR Raleigh, North Carolina, USA",http://whiteoakpeds.com/,+1 919-787-0266,Closed · Opens 7:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ot84Fac1ZobCsh9KYK3Yqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.56319&pitch=0&thumbfov=100,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,8:30 am–12 pm,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:54.119Z,,,,
https://www.google.com/maps/place/WakeMed+Children%27s+-+Pediatric+Primary+Care/data=!4m7!3m6!1s0x89ac5ebf9f90df11:0xfb85c9fc315cd630!8m2!3d35.7843042!4d-78.5886722!16s%2Fg%2F11fy1kq26s!19sChIJEd-Qn79erIkRMNZcMfzJhfs,WakeMed Children's - Pediatric Primary Care,3.1,45,Pediatrician,"3024 New Bern Ave suite 201, Raleigh, NC 27610, United States","QCM6+PG Raleigh, North Carolina, USA",https://www.wakemed.org/wakemed-physician-practices/specialties/pediatric-primary-care/,+1 919-350-7846,Closed · Opens 7:30 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepWa89lw1PHF0sodxMrNPULXInR6GTKOAf0YeX-SKYw67tpko4npHq7IptH7plcIfHE4BcvZJBqTP5Vli7E1I3DfJmenhaDzyyv8wmYLn8wxZrOfBes0vxhwjKVvya9C9ha0oUy=w408-h544-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:39:58.772Z,,,,
https://www.google.com/maps/place/Raleigh+Children+and+Adolescents+Medicine/data=!4m7!3m6!1s0x89acf680f60c3b51:0x67989e130eecc6f3!8m2!3d35.823718!4d-78.7058413!16s%2Fg%2F1tfs1yq7!19sChIJUTsM9oD2rIkR88bsDhOemGc,Raleigh Children and Adolescents Medicine,4.4,84,Pediatrician,"3100 Duraleigh Rd STE 300, Raleigh, NC 27612, United States","R7FV+FM Raleigh, North Carolina, USA",https://raleighchildren.com/,+1 919-781-7490,Closed · Opens 9 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepnkpI_ZAQ3mjVKE92lqE6TyHLARzChvQapBvFsXUhAOfmS7tCtJjq6K1ip5Gkwv0mU0XosIKoYWOg62UFjsL4yqh6st4_DO5Wo4PtX1cUI9Ge9V4u4HiQORzYMX9xcxQQuUU1Nug=w408-h544-k-no,true,8 am–5 pm,9 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,9 am–1 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:40:03.786Z,,,,
"https://www.google.com/maps/place/Tina+M.+Burleson,+MD/data=!4m7!3m6!1s0x89acf50bfae45521:0xb3b5021cf3fd9e24!8m2!3d35.801879!4d-78.6593455!16s%2Fg%2F11stymcz3h!19sChIJIVXk-gv1rIkRJJ798xwCtbM","Tina M. Burleson, MD",5.0,37,Pediatrician,"1321 Oberlin Rd A, Raleigh, NC 27608, United States","R82R+Q7 Raleigh, North Carolina, USA",https://www.oberlinroadpediatrics.com/tina-m-burleson-md-faap?utm_source=GMBSocialClimb,+1 919-828-4747,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMmi-b0SkWT7EX5ho8Km9yLTSPNLRb_MXbGrL5l=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,9 am–1 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:40:08.476Z,,,,
"https://www.google.com/maps/place/Mary-Cassie+Shaw,+MD/data=!4m7!3m6!1s0x89acf5f82e668ee5:0x89d1224c252c8222!8m2!3d35.8018985!4d-78.6593765!16s%2Fg%2F1thl1r0m!19sChIJ5Y5mLvj1rIkRIoIsJUwi0Yk","Mary-Cassie Shaw, MD",5.0,42,Pediatrician,"1321 Oberlin Rd A, Raleigh, NC 27608, United States","R82R+Q6 Raleigh, North Carolina, USA",https://www.oberlinroadpediatrics.com/mary-cassie-shaw-md-faap?utm_source=GMBSocialClimb,+1 919-828-4747,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipN7y_mqYH0zl_lTVMxyPMJOn-FYPayzU_JNCRPL=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,9 am–1 pm,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:40:13.147Z,,,,
https://www.google.com/maps/place/Oberlin+Road+Pediatrics+-+Barrett+Drive/data=!4m7!3m6!1s0x89ac59ed9e251863:0xfbd1914b88dd8a14!8m2!3d35.8278362!4d-78.6333514!16s%2Fg%2F11whpclvkz!19sChIJYxglnu1ZrIkRFIrdiEuR0fs,Oberlin Road Pediatrics - Barrett Drive,5.0,62,Pediatrician,"3700 Barrett Dr, Raleigh, NC 27609, United States","R9H8+4M Raleigh, North Carolina, USA",https://www.oberlinroadpediatrics.com/index.php?utm_source=GMBSocialClimb,+1 919-828-4747,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPYBDma5rmhndv7SpKGgdkvcZwEz29FqMO8jIST=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-02-10T22:40:17.799Z,,,,
