placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned
"https://www.google.com/maps/place/Laskey+Costello,+LLC+Certified+Public+Accountants/data=!4m7!3m6!1s0x8830f1f78427fd53:0xb23b1764f5b6e5fa!8m2!3d41.4853405!4d-81.8056456!16s%2Fg%2F1v5fsk7j!19sChIJU_0nhPfxMIgR-uW29WQXO7I","Laskey Costello, LLC Certified Public Accountants",4.6,26,Certified public accountant,"15514 Detroit Ave, Lakewood, OH 44107, United States","F5PV+4P Lakewood, Ohio, USA",https://laskeycostello.com/,+1 216-521-2100,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOTry9ak_M7H_LCl3ttj4hr6mX6DQ1fQC7hc2tk=w408-h306-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:15:38.056Z,
https://www.google.com/maps/place/Kilbane+%26+Wise+Co+Inc/data=!4m7!3m6!1s0x8830ed4c117d786d:0x3b6b2eb8670ee193!8m2!3d41.4587896!4d-81.8617884!16s%2Fg%2F1thfg2dy!19sChIJbXh9EUztMIgRk-EOZ7guazs,Kilbane & Wise Co Inc,4.3,20,Accountant,"21851 Center Ridge Rd # 207, Rocky River, OH 44116, United States","F45Q+G7 Rocky River, Ohio, USA",https://kwcpas.com/,+1 440-356-2020,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LCIklmdu9GBWYwzWQHYHjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.15897&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:15:45.005Z,
"https://www.google.com/maps/place/Mary+Ann+Boyer,+CPA/data=!4m7!3m6!1s0x8830ed86a782a77f:0x1022830e5a6d43eb!8m2!3d41.4700931!4d-81.8363799!16s%2Fg%2F11fn54fp0g!19sChIJf6eCp4btMIgR60NtWg6DIhA","Mary Ann Boyer, CPA",5.0,2,Accountant,"2639 Wooster Rd, Rocky River, OH 44116, United States","F5C7+2C Rocky River, Ohio, USA",http://maryannboyercpa.com/pages/contact.html,+1 440-333-1446,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SF9Kcj8lGRM55g3xXy3_yw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=98.78893&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:15:48.397Z,
https://www.google.com/maps/place/Zippy+Taxes+Inc/data=!4m7!3m6!1s0x8830ede322c8d437:0xd7a0e2f26954657b!8m2!3d41.4613751!4d-81.8545094!16s%2Fg%2F11smz9mj61!19sChIJN9TIIuPtMIgRe2VUafLioNc,Zippy Taxes Inc,4.8,23,Accountant,"21194 Center Ridge Rd, Rocky River, OH 44116, United States","F46W+H5 Rocky River, Ohio, USA",http://www.zippytaxes.com/,+1 216-990-5729,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMf3v9ImE4GibyqhQhTKGO-UMvacPtalLIKVoqs=w502-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:15:53.467Z,true
"https://www.google.com/maps/place/Pinnacle+Accounting/@41.4589554,-81.8937915,17z/data=!3m1!4b1!4m6!3m5!1s0x88309293f37e28ad:0xc8a5b0edce175c24!8m2!3d41.4589554!4d-81.8937915!16s%2Fg%2F11gbg423y3",Pinnacle Accounting,5.0,57,Accountant,"24600 Center Ridge Rd Suite 215, Westlake, OH 44145, United States","F454+HF Westlake, Ohio, USA",http://www.pinnacleaccountinginc.com/?utm_source=gbp&utm_medium=organic,+1 440-471-0184,Closed ⋅ Opens 9 am Mon,,,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:00.445Z,
https://www.google.com/maps/place/Daugenti+Nicholas+P+CPA/data=!4m7!3m6!1s0x8830ed5cda52b9a1:0xb4444bb00dd17454!8m2!3d41.462082!4d-81.8474789!16s%2Fg%2F1ttphjqx!19sChIJoblS2lztMIgRVHTRDbBLRLQ,Daugenti Nicholas P CPA,5.0,1,Accountant,"20545 Center Ridge Rd #100, Cleveland, OH 44116, United States","F563+R2 Cleveland, Ohio, USA",,+1 440-356-1964,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IUeg5MpCKF4HD7qbhMITSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.6427&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:05.393Z,
https://www.google.com/maps/place/Mayor+CPA+Group/data=!4m7!3m6!1s0x8830f39bfb9f46b7:0xb75fe384cb51c!8m2!3d41.4830018!4d-81.8360217!16s%2Fg%2F11fn54d_7l!19sChIJt0af-5vzMIgRHLVMOP51CwA,Mayor CPA Group,,,Certified public accountant,"1340 Depot St Suite 102, Rocky River, OH 44116, United States","F5M7+6H Rocky River, Ohio, USA",,+1 440-331-6000,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j7WiVrovVhNwnkLSySHFuA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.06046&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:08.680Z,
https://www.google.com/maps/place/Hallman+Stasko+LLC/data=!4m7!3m6!1s0x8830fa4591e709f9:0xa2eaccef4c1d1419!8m2!3d41.4800721!4d-81.8401197!16s%2Fg%2F1tdcmm4d!19sChIJ-QnnkUX6MIgRGRQdTO_M6qI,Hallman Stasko LLC,5.0,1,Accountant,"19630 Detroit Rd, Rocky River, OH 44116, United States","F5J5+2X Rocky River, Ohio, USA",,+1 216-619-9989,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CShAWOF85lWKtxI2fiTJaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.9236&pitch=0&thumbfov=100,false,Closed,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:13.691Z,
"https://www.google.com/maps/place/James+Hirschauer+%26+Co.,+CPA/data=!4m7!3m6!1s0x8830ed5cc8789c8d:0x59ff58cad83a3036!8m2!3d41.4630137!4d-81.8481838!16s%2Fg%2F1tk68b2d!19sChIJjZx4yFztMIgRNjA62MpY_1k","James Hirschauer & Co., CPA",,,Certified public accountant,"20575 Center Ridge Rd, Rocky River, OH 44116, United States","F572+6P Rocky River, Ohio, USA",http://www.jhco-cpa.com/,+1 440-554-8132,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1ubm_1J9YHZ1D_6ZEQ6Rdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.815765&pitch=0&thumbfov=100,false,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:18.915Z,
https://www.google.com/maps/place/Pat+Pavlik+Tax+Services/data=!4m7!3m6!1s0x8830921f9d32dda9:0x89004100361d435a!8m2!3d41.458758!4d-81.861783!16s%2Fg%2F1hhm8s5_8!19sChIJqd0ynR-SMIgRWkMdNgBBAIk,Pat Pavlik Tax Services,5.0,2,Tax preparation service,"21851 Center Ridge Rd #408, Rocky River, OH 44116, United States","F45Q+G7 Rocky River, Ohio, USA",,+1 216-767-5548,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LCIklmdu9GBWYwzWQHYHjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.153&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-10-19T15:16:21.933Z,
