placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
"https://www.google.com/maps/place/OK+Tire+of+Salem,+Inc./data=!4m7!3m6!1s0x54bfff5028523dcd:0xd3332125db355b3!8m2!3d44.919745!4d-123.0303662!16s%2Fg%2F1tdq0w5y!19sChIJzT1SKFD_v1QRs1WzXRIyMw0","OK Tire of Salem, Inc.",4.7,287,Tire shop,· In-store shopping · In-store pick-up,"1820 12th St SE, Salem, OR 97302, United States","WX99+VV Salem, Oregon, USA",http://oktiresalem.com/,+1 503-581-2203,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppuvA37fv-1_KTVYRkK37ilTO0LJhNO10VEYZlIgLgaUxtOkBN0_xd3JkYOI1gOjoZD-YCMSD1Y5f7ndiOd5RMAdMvWu7sjB4u-UYAd9kOgMv0E5T_nI9mxjsm2w-yspdDBRXIPw=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:26.377Z,,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x54bfff0cdc2dc599:0xc2f3cedd36192727!8m2!3d44.9423859!4d-123.0398924!16s%2Fg%2F1v_nc764!19sChIJmcUt3Az_v1QRJycZNt3O88I,Firestone Complete Auto Care,4.5,471,Tire shop,· In-store shopping · Kerbside pickup,"295 Commercial St NE, Salem, OR 97301, United States","WXR6+X2 Salem, Oregon, USA",https://www.firestonecompleteautocare.com/oregon/salem/295-commercial-st-ne/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 503-877-9923,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIDjzDllcnAWIy88lNaCidQkwMNiazGYd9zgJyXZWa6_Q6egpL7TOKZT5ema5EUub1sGtYeipSpJR5PLXZtByTYAqy3qu6aeXsZY68JkqbpN0ZVc_V5zpZuyAJa4cLek8BD3J4=w416-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:32.531Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Les+Schwab+Tire+Center/data=!4m7!3m6!1s0x54bfff365a113469:0xaa98e9ad9617b841!8m2!3d44.9235458!4d-123.0135498!16s%2Fg%2F1td47pv_!19sChIJaTQRWjb_v1QRQbgXlq3pmKo,Les Schwab Tire Center,4.5,596,Tire shop,· In-store shopping · In-store pick-up,"2350 Mission St SE, Salem, OR 97302, United States","WXFP+CH Salem, Oregon, USA",https://www.lesschwab.com/stores/or/salem/2350-mission-st-se?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,+1 503-585-6422,"Open · Closes 6 pm

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepvX-6bpJGwbh9CwRszz_j8eJiz2IV6-s-EkmYO1ewKvkTaCG_9FxFbbuoVKB_J1ug2mKbFr8cDH6LO6kGB47wGjrthMemXuYfcJ6fmF08GAGzzWQnyHMJAD-RXEUBMLEwDn_rcBA=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:37.518Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Bob%27s+OK+Tire+Store/data=!4m7!3m6!1s0x54bfffad58c70711:0x89499e1d3ae149fa!8m2!3d44.962485!4d-123.033208!16s%2Fg%2F1thsfnb4!19sChIJEQfHWK3_v1QR-knhOh2eSYk,Bob's OK Tire Store,4.6,461,Tire shop,· In-store shopping · Kerbside pickup,"2305 Commercial St NE, Salem, OR 97301, United States","XX68+XP Salem, Oregon, USA",,+1 503-588-2266,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweorSpqIubcqgMK9WLEhqPd44IYubd87yR2KDCipMjX2CfIm4yrKB3tdaw6H9g6ajGHIbFsU_kjN_3dvU_6411ZdMrLKn9oYlIIoqXCbuGF0bEMwf22NZjpT30hSxUjNGQUyP9wA=w408-h725-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:42.546Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Gills+Point+S+Tire+%26+Auto+Service/data=!4m7!3m6!1s0x54bfff0f2b985df7:0xd72d2ddb4e8d1f55!8m2!3d44.9467342!4d-123.0334113!16s%2Fg%2F1vpq6m5g!19sChIJ912YKw__v1QRVR-NTtstLdc,Gills Point S Tire & Auto Service,4.7,121,Tire shop,· In-store shopping · In-store pick-up,"734 High St NE, Salem, OR 97301, United States","WXW8+MJ Salem, Oregon, USA",https://gillspointstire.com/locations/734-high-st-ne-tire-store-931?utm_source=gmb&utm_medium=Yext,+1 503-363-3412,"Open · Closes 5 pm

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAeV576H6aVuHrA_GHmYc3sO-iXHlh9r8e_xewR9Aj7FEcyTjmxM27hTErM2OTbZY3kHnyEi8IxCFDiBBkfHn_lAmMMt1gFUKaBtP2Pob6d0hYinpvdUB8QKGW_uXL4J0yk9nrC__lIkg=w408-h272-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:47.357Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Cascade+Tire+Pros/data=!4m7!3m6!1s0x54bfff4fe4ce085d:0x854115769c367944!8m2!3d44.9200799!4d-123.0310654!16s%2Fg%2F1tfmbz9g!19sChIJXQjO5E__v1QRRHk2nHYVQYU,Cascade Tire Pros,4.5,220,Auto repair shop,,"1795 12th St SE, Salem, OR 97302, United States","WXC9+2H Salem, Oregon, USA",https://cascadetirepros.com/,+1 503-581-3467,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_bXD3RZZpO1R7vwDx2OkJdyiLgno0DRVeiMq8qbUPNz-vsvbpMONUoawJ7TSCOlVumUVNEADePEunK4NvwQoubqIRUsSXK186dx1HAqXLLDr6_-uZb6VZi1AmwwRB-cqmVwBpZHqv1vVs=w408-h272-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:52.326Z,,,
https://www.google.com/maps/place/Martinez+Wheels+%26+Tires/data=!4m7!3m6!1s0x54bfffa9dd7c3c47:0xcccab99a19525e97!8m2!3d44.9531865!4d-123.030916!16s%2Fg%2F11clsc5ddj!19sChIJRzx83an_v1QRl15SGZq5ysw,Martinez Wheels & Tires,4.8,551,Tire shop,· In-store pick-up,"1411 Broadway St NE, Salem, OR 97301, United States","XX39+7J Salem, Oregon, USA",https://instagram.com/martineztires2?r=nametag,+1 503-851-4893,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQeS9MsQQnvJPYwZg0IFWcXSOxVBof2WJLIBWLyCbRoI-wVcUs2zXGt1IDCeRbPVABR_DcjG_4HXP6bSbAVsGjx1cqI4w5t00W4bH9c6maQX3KqO52lqt0sVm0Z8FScfaSPCJc=w408-h306-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,10 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:29:57.278Z,,,
https://www.google.com/maps/place/Gordos+tires+and+performance/data=!4m7!3m6!1s0x54bfff35b655e7df:0xb6e76d418f8d3d34!8m2!3d44.9562827!4d-123.0167949!16s%2Fg%2F11s48dvcfv!19sChIJ3-dVtjX_v1QRND2Nj0Ft57Y,Gordos tires and performance,4.6,46,Auto repair shop,,"1210 Sunnyview Rd NE, Salem, OR 97303, United States","XX4M+G7 Salem, Oregon, USA",,+1 971-600-8140,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAUuct--I7lzq3TzIN8p60Gdz-FnmFgs34DI2Gb9W5CiWNq5Xwi6G0HdT2m3GZ0O8A2QFODZmB21wQb4QbKq9Du9oBG0CEJGmt6SW7P6iNVWP7f15WNu-gTEkaOZ3BN2cEp08=w408-h267-k-no,true,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:30:02.207Z,,,
https://www.google.com/maps/place/Mike%27s+Bellinger+Automotive+Inc/data=!4m7!3m6!1s0x54bfff1680d026af:0x5372002b84f774fb!8m2!3d44.9365057!4d-123.0245091!16s%2Fg%2F1tm8dqd8!19sChIJrybQgBb_v1QR-3T3hCsAclM,Mike's Bellinger Automotive Inc,4.8,183,Auto repair shop,,"1395 State St, Salem, OR 97301, United States","WXPG+J5 Salem, Oregon, USA",http://bellingertire.com/,+1 503-399-1198,Open · Closes 5:15 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NlzE9b-azVB9OGfzprH7og&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.52587&pitch=0&thumbfov=100,true,7:30 am–5:15 pm,7:30 am–5:15 pm,7:30 am–5:15 pm,7:30 am–5:15 pm,7:30 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:30:06.923Z,,,
https://www.google.com/maps/place/Elite+Auto+Service/data=!4m7!3m6!1s0x54bfff085071fb09:0x6d90fc3d0baff597!8m2!3d44.9491135!4d-123.0356524!16s%2Fg%2F11gzgdh4j!19sChIJCftxUAj_v1QRl_WvCz38kG0,Elite Auto Service,4.8,144,Auto repair shop,,"930 Commercial St NE, Salem, OR 97301, United States","WXX7+JP Salem, Oregon, USA",http://www.eliteautosalem.com/,+1 503-602-7178,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep14OyQqQhgIq-D7bukXoR0fzvyhTGE1edWzP3ua4vUNXAbQ7op3oeA5c8ESxOgBhg_Jb19FVA8Y6dnQIWx_1FQmiXB-v7YdnunbX8TGY6XSnBFn9EthgGo7mrtyjMUBSfBMAh0=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-03-23T15:30:11.896Z,,,
