placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes
https://www.google.com/maps/place/Gisselle+Tax+%26+Accounting+Firm+%28GTAFirm%29/data=!4m7!3m6!1s0x89e80febb70f3b23:0x2a9589ff1dd43c77!8m2!3d41.1762866!4d-73.192458!16s%2Fg%2F11tmjdwtpz!19sChIJIzsPt-sP6IkRdzzUHf-JlSo,Gisselle Tax & Accounting Firm (GTAFirm),5.0,49,Tax preparation service,"1000 Lafayette Blvd Suite 1100, Bridgeport, CT 06604, United States","5RG5+G2 Bridgeport, Connecticut, USA",http://www.gtafirmllc.com/,+1 833-482-3476,"Open 24 hours

Confirmed by phone call 1 week ago",Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipPAunWX6ECm2JwZ1xBmwnVK-U2_asb9UjFasBeW=w408-h720-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:15:52.340Z,
https://www.google.com/maps/place/UNITED+TAX+SERVICES/data=!4m7!3m6!1s0x89e80d5a9d94f7f5:0x90b93cb4a1553608!8m2!3d41.1985431!4d-73.1805145!16s%2Fg%2F11smh1_nrx!19sChIJ9feUnVoN6IkRCDZVobQ8uZA,UNITED TAX SERVICES,5.0,56,Tax preparation service,"1741 E Main St, Bridgeport, CT 06610, United States","5RX9+CQ Bridgeport, Connecticut, USA",,+1 203-345-9886,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipN1x_0ejBpHmmkYBS2Z4i2RNb0_2-_7JLz-80wK=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:15:58.600Z,
https://www.google.com/maps/place/Andrea+Tax+and+Financial+Services+LLC/data=!4m7!3m6!1s0x89e80e71929f1363:0x70be1b2527f58c60!8m2!3d41.1940815!4d-73.2055716!16s%2Fg%2F11g86y5ls8!19sChIJYxOfknEO6IkRYIz1JyUbvnA,Andrea Tax and Financial Services LLC,4.8,82,Tax preparation,"831 Capitol Ave, Bridgeport, CT 06606, United States","5QVV+JQ Bridgeport, Connecticut, USA",https://www.facebook.com/andreataxandfinancialservicesllc/,+1 203-296-1579,"Closed ⋅ Opens 9:30 am Mon

Updated by this business 8 weeks ago",,,https://lh3.googleusercontent.com/p/AF1QipPM-rynvScnCdpm8Zq0_T3cxaCPnfftqwLWYj9J=w408-h268-k-no,true,Closed,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–5:30 pm,9:30 am–1 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:03.589Z,
https://www.google.com/maps/place/SCOTT+ACCOUNTING+AND+TAX+FIRM+LLC/data=!4m7!3m6!1s0x89e80e40d8212789:0x4d2e659c4dd5f747!8m2!3d41.1759168!4d-73.2107855!16s%2Fg%2F11d_78l63m!19sChIJiSch2EAO6IkRR_fVTZxlLk0,SCOTT ACCOUNTING AND TAX FIRM LLC,4.6,61,Tax preparation service,"620 Clinton Ave, Bridgeport, CT 06605, United States","5QGQ+9M Bridgeport, Connecticut, USA",http://www.scotttaxfirm.com/,+1 855-774-6232,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPztZ0dfW9tjolpseA7TfvnpOzZe6AUTjIOZN-k=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:08.717Z,
"https://www.google.com/maps/place/Reinhardt+Lange,+CPA/data=!4m7!3m6!1s0x89e80e71929a96dd:0x601ac2045797248d!8m2!3d41.1762706!4d-73.1923662!16s%2Fg%2F11b8v9mlq2!19sChIJ3ZaaknEO6IkRjSSXVwTCGmA","Reinhardt Lange, CPA",3.7,3,Certified public accountant,"1000 Lafayette Blvd floor 11, Bridgeport, CT 06604, United States","5RG5+G3 Bridgeport, Connecticut, USA",,+1 203-981-3375,Open ⋅ Closes 5 pm,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2ERb4Wa0WlPfBBj7MkgBnA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.1173&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:13.592Z,
https://www.google.com/maps/place/De+Soto+Tax+Services+LLC/data=!4m7!3m6!1s0x89e80dd54776c235:0xea6d8515d93d1f93!8m2!3d41.1876806!4d-73.1808897!16s%2Fg%2F11dyd_5tmm!19sChIJNcJ2R9UN6IkRkx892RWFbeo,De Soto Tax Services LLC,4.9,75,Accountant,"955 E Main St, Bridgeport, CT 06608, United States","5RQ9+3J Bridgeport, Connecticut, USA",,+1 475-256-3062,Closed ⋅ Opens 9 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipOEfoENmtlTSIemR0UglM6q5bOacU3SFkRH3X9r=w408-h408-k-no,true,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:18.934Z,
https://www.google.com/maps/place/Atlantis+Tax+Services+LLC/data=!4m7!3m6!1s0x89e80ef4c06661d1:0x522c7271e781f13a!8m2!3d41.1961066!4d-73.2070679!16s%2Fg%2F1tg7t11b!19sChIJ0WFmwPQO6IkROvGB53FyLFI,Atlantis Tax Services LLC,4.8,100,Tax preparation service,"1116 Madison Ave, Bridgeport, CT 06606, United States","5QWV+C5 Bridgeport, Connecticut, USA",http://atlantistaxllc.com/,+1 203-331-0045,Closed ⋅ Opens 9 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipNMUv1fnocSAYqvJZZu8KUK2m-Q1KlrH_RH1WxH=w408-h339-k-no,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–1 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:23.883Z,
https://www.google.com/maps/place/Woodhouse+%26+Associates/data=!4m7!3m6!1s0x89e80eeb04485ce3:0x46ee3a078457a7ba!8m2!3d41.1762706!4d-73.1923662!16s%2Fg%2F12hsj6m69!19sChIJ41xIBOsO6IkRuqdXhAc67kY,Woodhouse & Associates,5.0,5,Certified public accountant,"1000 Lafayette Blvd Suite 11, Bridgeport, CT 06604, United States","5RG5+G3 Bridgeport, Connecticut, USA",http://www.waatcpa.com/,+1 855-928-2745,Closed ⋅ Opens 10 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2ERb4Wa0WlPfBBj7MkgBnA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.1173&pitch=0&thumbfov=100,true,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10:30 am–4 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:28.890Z,
https://www.google.com/maps/place/Gabriel+Tax+%26+Accounting+Services+LLC/data=!4m7!3m6!1s0x89e80e69133aafa7:0xc6507b5369d21b13!8m2!3d41.1782634!4d-73.2020018!16s%2Fg%2F1td_cqhc!19sChIJp686E2kO6IkRExvSaVN7UMY,Gabriel Tax & Accounting Services LLC,5.0,2,Tax preparation service,"1297 Park Ave, Bridgeport, CT 06604, United States","5QHX+85 Bridgeport, Connecticut, USA",http://www.gabrieltax.com/,+1 203-367-7731,Closed ⋅ Opens 10 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EBSRWZLm7l2lA_ZOLshXLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.37134&pitch=0&thumbfov=100,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:33.888Z,
https://www.google.com/maps/place/Kingmaker+Firm/data=!4m7!3m6!1s0x89e80f9c116f0069:0x6e7109716a9bced8!8m2!3d41.1783859!4d-73.1893254!16s%2Fg%2F11wvkw6f6y!19sChIJaQBvEZwP6IkR2M6banEJcW4,Kingmaker Firm,5.0,15,Bookkeeping service,"1019 Main St Suite 1065, Bridgeport, CT 06604, United States","5RH6+97 Bridgeport, Connecticut, USA",https://kingmakerfirm.com/,+1 203-828-0421,,Identifies as veteran-owned,true,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h4Y3Gl9Lf2_2XGOeDIJOIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.26065&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-10-19T15:16:39.036Z,
