placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Green+Grounds+Solutions/data=!4m7!3m6!1s0x88605f6353f66eaf:0xe9d4cabd108d8d49!8m2!3d35.072346!4d-85.2544093!16s%2Fg%2F11jb4h7j7h!19sChIJr272U2NfYIgRSY2NEL3K1Ok,Green Grounds Solutions,4.9,130,Landscaper,"1900 Stuart St, Chattanooga, TN 37406, United States","3PCW+W6 Chattanooga, Tennessee, USA",https://www.greengrounds.us/,+1 423-883-9504,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHc2JeyQYo_WI1t91kB3A_s3v0EfO4xhWs-ZGY9Qv7uxOA8ixeUg6vH2XmzZTWw9CS3VD-8D_4ITc5NVW6UbIYjUcAMgqbO2uST4ZwaAiYIPiGWKU6DSLTtzzzbEnb7mAPrvBj5GA=w408-h271-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:49:41.378Z,,,,
https://www.google.com/maps/place/Galloway%27s+Lawn+Service/data=!4m7!3m6!1s0x88605ff3c72004bd:0x39a60dfec2d63cbe!8m2!3d35.1049002!4d-85.2734107!16s%2Fg%2F11dyxss88r!19sChIJvQQgx_NfYIgRvjzWwv4Npjk,Galloway's Lawn Service,4.9,112,Landscaper,"3521 Hixson Pike, Chattanooga, TN 37415, United States","4P3G+XJ Chattanooga, Tennessee, USA",https://www.gallowayslawnservice.com/,+1 423-208-4430,"Open · Closes 5 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHT9_94aqR-IuOStdD9mm_0nuC-vWDn2eQDFqJOlYdO8G4KRmU3J0O5EzH37dnPjjuEFXdssPxM2-ELW3C-rXK-yLQVefmtvH21oGq_C7x2f6tncHDu9gp_k5hcA3_akSQIFD5qcg=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:49:47.475Z,,,,
https://www.google.com/maps/place/LIME+Commercial+Landscapes/data=!4m7!3m6!1s0x6c78a6fd215fac45:0x84d6a36d7af3b3c4!8m2!3d35.0185844!4d-85.2730058!16s%2Fg%2F11tg7_w567!19sChIJRaxfIf2meGwRxLPzem2j1oQ,LIME Commercial Landscapes,5.0,57,Landscaper,"2513 E 19th St, Chattanooga, TN 37404, United States","2P9G+CQ Chattanooga, Tennessee, USA",http://limecl.com/,+1 423-827-8630,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfa096x7Dl1Qg0423opI28xkR_S_CuVoNVNTGbjYpop33YOjJSaHQ-JUJr6V1lE-8VY4_Ho2V4kSr7M2qwEj7iXbCrepIx8lY94T0lSWpLhxWBxAI0PI0qCA8nywCyLaTDKMpQ=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:49:52.257Z,,,,
https://www.google.com/maps/place/Blue+Mountain+Landscape+and+Excavation/data=!4m7!3m6!1s0x886067dedc153405:0x5a9b85db000bbfae!8m2!3d35.1102656!4d-85.2954072!16s%2Fg%2F11lgsq8wqn!19sChIJBTQV3N5nYIgRrr8LANuFm1o,Blue Mountain Landscape and Excavation,5.0,38,Landscape designer,"3317 Dayton Blvd Suite 15332, Chattanooga, TN 37415, United States","4P63+4R Chattanooga, Tennessee, USA",http://bluemtnle.com/,+1 423-260-2055,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjHkyKubo5NLJyCNKQpHYsWBet7EsCa-4tf5cdgIFkcw4XLOQgX3ipfYX40vZutbahxgoQVL7LtNPO7VLMxSw08EJt3YNvBX-fyFSkzwKD20f3lGdqTa8c0u8-yj1VgKTBLhTE=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:49:57.164Z,,,,
https://www.google.com/maps/place/GROUNDZERO+LANDCARE+%26+DESIGN/data=!4m7!3m6!1s0x8860614fe45c840b:0x7509c0ffe6cb24bd!8m2!3d35.0774918!4d-85.2573154!16s%2Fg%2F11h4kn40tj!19sChIJC4Rc5E9hYIgRvSTL5v_ACXU,GROUNDZERO LANDCARE & DESIGN,5.0,5,Landscape designer,"3201 Riverside Dr, Chattanooga, TN 37406, United States","3PGV+X3 Chattanooga, Tennessee, USA",http://groundzerolandcare.com/,+1 423-453-7625,"Open · Closes 5 pm

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHsG0QwgkZrkec1rER5wFjtt4fV2LWc-G7CQzJ8pI6MNn9z9dRzVLUcTft8zBSIhu5JHbVM1oF9-PL53ICz5_JuFj11zRzaXKAxf6uTAIn6VKsBxwqnye00jtOlPzH9ipQs06D=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:01.924Z,,,,
https://www.google.com/maps/place/Landscape+Workshop/data=!4m7!3m6!1s0x886061718fe7f54f:0xfb5f7c7107e53b64!8m2!3d35.070457!4d-85.197929!16s%2Fg%2F1tgxjsqn!19sChIJT_Xnj3FhYIgRZDvlB3F8X_s,Landscape Workshop,4.0,17,Landscaper,"3903 Volunteer Dr # B, Chattanooga, TN 37416, United States","3RC2+5R Chattanooga, Tennessee, USA",https://landscapeworkshop.com/our-branches/tennessee/chattanooga-branch/,+1 423-899-1212,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4k4NZRAdE5RMBzY6UP7PwpLKIMYNNF2vhjyAzNi2zFvQJY4NRPVe6WLoH95gBpeTNSUnKCMJTToq4Z8YmAVRTczClCnpiuDYm5Leet1DvQYn66D5h-NKxpTO7qFfKLZLaaxsq=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:06.827Z,,,,
https://www.google.com/maps/place/Big+Sky+Landscapes/data=!4m7!3m6!1s0x4f6cb63ebe71a5af:0x648f731bda651b26!8m2!3d34.9848514!4d-85.2942065!16s%2Fg%2F11tg6prkk6!19sChIJr6Vxvj62bE8RJhtl2htzj2Q,Big Sky Landscapes,4.9,74,Landscaper,"1406 E 51st St, Chattanooga, TN 37404, United States","XPM4+W8 Chattanooga, Tennessee, USA",https://www.bigskylandscapes.com/,+1 423-488-8905,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAxC3O8JqVi1JPHu3zRrbkq65_7AqO0hu75qQsHB5_oggF6TT052MxA32IdsP3vCiFY3_y4uunuR86I3EpbhU0ttIrAXczYU4X9yARd3j0Bsxqc-SXkaz8S03b1GtU9T_twvrAxj1nbeIH=w408-h272-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:11.731Z,,,,
"https://www.google.com/maps/place/Midtown+Lawn+Care,+LLC/data=!4m7!3m6!1s0x8860672b86ed07eb:0x46912e15a43c96cd!8m2!3d35.0516441!4d-85.2135945!16s%2Fg%2F11c6q6sxdx!19sChIJ6wfthitnYIgRzZY8pBUukUY","Midtown Lawn Care, LLC",5.0,37,Lawn care service,"4627 Shallowford Rd, Chattanooga, TN 37411, United States","3Q2P+MH Chattanooga, Tennessee, USA",http://www.midtownlawns.com/,+1 423-488-6802,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7-8euNEgIz6sB1PiYDsEnP2s_E8xu4xjfZ-3qN6oljsQwFiBxgEF2Tz7t_lh_y4TpIV6FVTJDaMf7Ia3RWgR-cpWOslMcT-2kUXtp6iXzT0zHo1yO-taH7h6nhrqg7j2MnTI=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,8 am–4 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:16.399Z,,,,
https://www.google.com/maps/place/Southern+Landscape+%26+Design/data=!4m7!3m6!1s0x88607dad3c57cb85:0xc0965b7724b59524!8m2!3d35.0775146!4d-85.2574926!16s%2Fg%2F11f11d1k0c!19sChIJhctXPK19YIgRJJW1JHdblsA,Southern Landscape & Design,5.0,4,Landscape designer,"3201 Riverside Dr, Chattanooga, TN 37406, United States","3PHV+22 Chattanooga, Tennessee, USA",https://www.landscapeserviceschattanooga.com/,+1 423-364-6866,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmgOZ6Wc3OmfdAgZMxwF-7Ry_qCimppDk7kxBOMo1P0C772D8ZWuPsIu0lNjSs9XAxJWPjhm7h6iZ4hKl_VyTNDR6I_TkYwVTZNrBeH46LHbgJTSNqV7E7nZD_ST9EhiqTWfKhiQ=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:21.226Z,,,,
https://www.google.com/maps/place/Monolith+Landscape+Design+Chattanooga/data=!4m7!3m6!1s0x88606150ec7e3b43:0xf22f085cdadac7ce!8m2!3d35.0872298!4d-85.3149647!16s%2Fg%2F11g2p_qpnz!19sChIJQzt-7FBhYIgRzsfa2lwIL_I,Monolith Landscape Design Chattanooga,4.8,78,Landscape designer,"1915 Dayton Blvd, Chattanooga, TN 37415, United States","3MPP+V2 Chattanooga, Tennessee, USA",http://www.monolithlandscapedesign.com/,+1 423-414-4912,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgV3Zrt2wYi0cUPjf3wkGwORlWw5fBVn9915NtPbQZ37DnxYJim347uEdRVIJL54RaRqwTX4rnbZ_9KTpoAEG57ySpsmVgmJr1_z-9YA4eQKFPLCTuABz6FPEQ0TcmaumHGywC=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,Closed,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-04-29T18:50:26.244Z,,,,
