placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Cedar+Rapids/data=!4m7!3m6!1s0x87e4f1fe4164a163:0x13512c67f67879bb!8m2!3d41.995335!4d-91.6685644!16s%2Fg%2F11vzgv7j_2!19sChIJY6FkQf7x5IcRu3l49mcsURM,Precision Garage Door Service of Cedar Rapids,5.0,270,Garage door supplier,"883 Shaver Rd NE Suite D, Cedar Rapids, IA 52402, United States","X8WJ+4H Cedar Rapids, Iowa, USA",https://precisiondooriowa.com/?utm_source=gmb&utm_medium=location_cedarrapids&utm_campaign=website,+1 319-208-2383,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipMDjUrTtcD_6vHOfZnWNigdHWJaPoPIYwqbTTfa=w408-h306-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:44:50.937Z,,,
https://www.google.com/maps/place/ACS+Door+Services+of+Cedar+Rapids/data=!4m7!3m6!1s0x87e4fb914e78099d:0xa0a96d6235420f30!8m2!3d42.0456747!4d-91.6910137!16s%2Fg%2F11gmfrmq_s!19sChIJnQl4TpH75IcRMA9CNWJtqaA,ACS Door Services of Cedar Rapids,4.7,372,Garage door supplier,"815 N Compton Dr, Hiawatha, IA 52233, United States","28W5+7H Hiawatha, Iowa, USA",https://www.easterniowagaragedoors.com/?utm_campaign=gmb&utm_medium=googlemybusiness&utm_source=googlemybusiness,+1 319-343-5351,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipOXGHWFnl5IXXE7h2fNAs49EinpBUbL59aK1d6X=w630-h240-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:44:55.914Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Cedar+Rapids/data=!4m7!3m6!1s0x87e441c4a9f3e6af:0x3e0625c88c4a3c3f!8m2!3d41.9153862!4d-91.6732342!16s%2Fg%2F1tc_96pp!19sChIJr-bzqcRB5IcRPzxKjMglBj4,Overhead Door Company of Cedar Rapids,4.7,136,Garage door supplier,"6515 4th St SW, Cedar Rapids, IA 52404, United States","W88G+5P Cedar Rapids, Iowa, USA",https://www.overheadcric.com/?utm_source=GMBlisting&utm_medium=organic,+1 319-363-9976,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNcLXSxG4zu3C-pDZKMNHxSpd19h4pZWMCTDgZ3=w408-h273-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:00.255Z,,,
https://www.google.com/maps/place/Adams+Door+Inc./data=!4m7!3m6!1s0x87e4f0900c39436d:0xfaeb242fe1492b5!8m2!3d42.0154701!4d-91.6658925!16s%2Fg%2F1tdps6fn!19sChIJbUM5DJDw5IcRtZIU_kKyrg8,Adams Door Inc.,4.3,49,Garage door supplier,"1870 McCloud Pl, Cedar Rapids, IA 52402, United States","288M+5J Cedar Rapids, Iowa, USA",http://www.adamsdoorinc.net/,+1 319-393-4333,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMQ9wog74RoORF7Bnr4g-IltP3CiZW6rW1jNo6c=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:04.984Z,,,
https://www.google.com/maps/place/Tri-County+Garage+Doors/data=!4m7!3m6!1s0x24234bbcf6e11e21:0xfc34ed2a63307a3f!8m2!3d42.1841094!4d-91.2162592!16s%2Fg%2F11l6fn6f57!19sChIJIR7h9rxLIyQRP3owYyrtNPw,Tri-County Garage Doors,5.0,35,Garage door supplier,,,https://www.tricountygaragedr.com/,+1 319-820-2007,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM98uSBp2ZNPwkkwwB3Sato5qoJFI17V4KagUDO=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:09.354Z,,,
https://www.google.com/maps/place/ProLift+Garage+Doors+of+Cedar+Rapids/data=!4m7!3m6!1s0x87e4f1ea37993afb:0xdac033f42492dc7a!8m2!3d42.020163!4d-91.5990211!16s%2Fg%2F11l6jrnd0t!19sChIJ-zqZN-rx5IcRetySJPQzwNo,ProLift Garage Doors of Cedar Rapids,5.0,115,,"1040 E Post Rd Suite 400, Marion, IA 52302, United States","2CC2+39 Marion, Iowa, USA",https://www.proliftdoors.com/cedar-rapids,+1 319-900-5856,Permanently closed,https://lh3.googleusercontent.com/p/AF1QipOWlu3PtZ5POg2PGq-gerZ_wzeQFW6b5o_y5oY=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:13.714Z,,,
https://www.google.com/maps/place/Raynor+Door+Co/data=!4m7!3m6!1s0x87e4f789df61e285:0x496aea4525a00a8e!8m2!3d41.9342132!4d-91.6755553!16s%2Fg%2F1ts_74ph!19sChIJheJh34n35IcRjgqgJUXqakk,Raynor Door Co,4.6,18,,"4601 6th St SW Ste B Ste B, Cedar Rapids, IA 52404, United States","W8MF+MQ Cedar Rapids, Iowa, USA",,,Permanently closed,https://lh3.googleusercontent.com/p/AF1QipM-_8RCThbiZCU3xs5eYO66MRoITKnCFYq9e1gD=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:18.202Z,,,
https://www.google.com/maps/place/Dan%27s+Overhead+Doors+%26+More/data=!4m7!3m6!1s0x87e4f07b6d180d7b:0x4957f382eda4e09d!8m2!3d42.0322856!4d-91.6672207!16s%2Fg%2F1tlkcy1m!19sChIJew0YbXvw5IcRneCk7YLzV0k,Dan's Overhead Doors & More,1.0,1,,"5400 Center Point Rd NE, Cedar Rapids, IA 52402, United States","28JM+W4 Cedar Rapids, Iowa, USA",http://www.dansdoors.com/,+1 800-373-3667,Permanently closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PcIM2ToSpMteo4ANilc-XQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.7307098&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-11-07T22:45:22.554Z,,,
"https://www.google.com/maps/place/Ollinger+Garage+Doors,+Inc./data=!4m7!3m6!1s0x87e505e944c33aeb:0xae50ad03bccb4fbe!8m2!3d41.8900054!4d-92.0315265!16s%2Fg%2F11bwqbmh16!19sChIJ6zrDROkF5YcRvk_LvAOtUK4","Ollinger Garage Doors, Inc.",4.3,19,Garage door supplier,,,http://ollingerdoors.com/,+1 319-223-5707,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPTYIT5u2giTyjr9UpB1jJZdia3tSbSsAqCIGNa=w408-h272-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Marion+Cedar+Rapids+IA/@41.9778795,-91.6656232,14z",2025-11-07T22:45:35.543Z,,,
https://www.google.com/maps/place/Glass+Stop/data=!4m7!3m6!1s0x87e4f2384a53298f:0xed5f8d37aec90bd9!8m2!3d41.9979532!4d-91.6654281!16s%2Fg%2F11hbg8_5m0!19sChIJjylTSjjy5IcR2QvJrjeNX-0,Glass Stop,4.7,21,Glass repair service,"1120 I Ave NE, Cedar Rapids, IA 52402, United States","X8XM+5R Cedar Rapids, Iowa, USA",http://myglassstop.com/,+1 319-826-6579,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMB71icrurr0hIdgEHXsSjV605qk-5wRLEaR_Nz=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Marion+Cedar+Rapids+IA/@41.9778795,-91.6656232,14z",2025-11-07T22:45:39.902Z,,,
