placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,error
https://www.google.com/maps/place/Restoration+1+of+Springfield+MA/data=!4m7!3m6!1s0x894f3d59d494bca5:0x7487171aad2e5f24!8m2!3d42.1103363!4d-72.5827102!16s%2Fg%2F11s3zt4641!19sChIJpbyU1Fk9T4kRJF8urRoXh3Q,Restoration 1 of Springfield MA,4.8,38,Water damage restoration service,"226 Pearl St #1l, Springfield, MA 01105, United States","4C68+4W Springfield, Massachusetts, USA",https://restoration1.com/springfield-ma?utm_source=GBP&utm_medium=Google,+1 413-337-3715,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxzV0lUI-OwFTmHzZEowIDAcxNFuQbCPVrhF7t02DxTFCwzYXNDKLUANjeKoWJLomAaKGNPli-RS0-TgI4LDtHldmpdD3HgxJtV5uI43KajPmH4-costF7sJdAoUrSPP40c4BNEA=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:20.644Z,,
https://www.google.com/maps/place/Force+1+Services/data=!4m7!3m6!1s0x89e6e748bd154009:0xbd15ff3239071d18!8m2!3d42.1264319!4d-72.5855705!16s%2Fg%2F11vm2_2lrk!19sChIJCUAVvUjn5okRGB0HOTL_Fb0,Force 1 Services,5.0,20,Water damage restoration service,"27 Home St, Springfield, MA 01104, United States","4CG7+HQ Springfield, Massachusetts, USA",http://www.force1restorationma.com/?utm_source=gmb&utm_medium=organic,+1 413-296-2941,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRorYCxObS-hXAuiSqQcCLAnsvgoG2DzlJsao97vOkQYYfDIV3KTnVfCcglmgqgdZSh5mLI9wIdW5GzPpBZGH42_nxqYFgyxQhl3gILFJwMVMwp1aamlNQpqflYsDHzgxBWhMG4TSCqCed=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:26.735Z,,
https://www.google.com/maps/place/ServiceMaster+of+Greater+Springfield/data=!4m7!3m6!1s0x89e6e6f192394cf7:0x73806706a081b7cb!8m2!3d42.0903469!4d-72.5778575!16s%2Fg%2F1v3gsyh5!19sChIJ90w5kvHm5okRy7eBoAZngHM,ServiceMaster of Greater Springfield,4.9,12,Water damage restoration service,"38 Mill St, Springfield, MA 01108, United States","3CRC+4V Springfield, Massachusetts, USA",https://www.servicemasterrestore.com/servicemaster-of-greater-springfield,+1 413-327-9856,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq6UoyYDt1QjPyNtt1qTSPNNw6QDaZxvrllsia3DcrHlMgyDu59mZdPw1koO6GyFkDKUrPfAPIts7Z5ZeE1SWG-i2I_AQsPEsAPm0jXt2AyTf1n8u636ue2lPPfP4XatVsbqKyOmA=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:31.387Z,,
https://www.google.com/maps/place/Priority+1+Restoration+Services+Inc./data=!4m7!3m6!1s0x89e6e70ad36ea325:0x9106e359b508918b!8m2!3d42.1376644!4d-72.6036984!16s%2Fg%2F11pxs59cwh!19sChIJJaNu0wrn5okRi5EItVnjBpE,Priority 1 Restoration Services Inc.,4.7,61,Water damage restoration service,"75 Marion St, Chicopee, MA 01013, United States","49QW+3G Chicopee, Massachusetts, USA",https://priority1restorationservices.com/,+1 413-287-1644,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJlSp-lgHHhaQKQnm68UWNQ5GXQ5zLVIHEIiTUcbrxFdSqi_osmFRh_i7-w5e8Ft9onW5LDnwGrsknHlPobO6PJxibq8Y6BvRU1_T8SW1bJplDfFwI3hWfToVDMQQ76Z2_nb8K=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:36.237Z,,
"https://www.google.com/maps/place/Vanguard+Mold+Remediation,+Inc./data=!4m7!3m6!1s0x6cb1f6110ee9eb81:0xe5f712e988b41fbf!8m2!3d42.131355!4d-72.5528128!16s%2Fg%2F11yfh1qhmk!19sChIJgevpDhH2sWwRvx-0iOkS9-U","Vanguard Mold Remediation, Inc.",5.0,6,Water damage restoration service,"966 Bay St Suite A, Springfield, MA 01109, United States","4CJW+GV Springfield, Massachusetts, USA",https://www.vanguardserv.com/,+1 413-348-3172,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=emf2HfNjXTAmwm0BkxNEyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.2630416&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:40.863Z,,
"https://www.google.com/maps/place/SERVPRO+of+South+Springfield,+Agawam,+Longmeadow/data=!4m7!3m6!1s0x89e6e144eac51a37:0xf6998fa13acf4afa!8m2!3d42.051745!4d-72.6347887!16s%2Fg%2F11c462sxhw!19sChIJNxrF6kTh5okR-krPOqGPmfY","SERVPRO of South Springfield, Agawam, Longmeadow",4.6,57,Water damage restoration service,"1114 Suffield St, Agawam, MA 01001, United States","3928+M3 Agawam, Massachusetts, USA",https://www.servpro.com/locations/ma/servpro-of-south-springfield-agawam-longmeadow/?utm_campaign=gmb&utm_medium=organic&utm_source=gbp,+1 413-798-8209,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYly8Sq2-NkKWt1uExa5RixXpwdrapteu03ONSGsaIsOB4q570n5vEWv9qCYO6CqBKiUGTK_BBl2wwEoYHFIupdjxhgg0qGc53h0Y2r2c9JterKXsR9n9IJnnbJY9t3_xybvSv88YatRtT=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:45.618Z,,
https://www.google.com/maps/place/Baystate+Restoration+Group/data=!4m7!3m6!1s0x89e6ddd6b6ebffff:0x67712cf786741dbc!8m2!3d42.1799779!4d-72.6096736!16s%2Fg%2F11p73qg7fs!19sChIJ___rttbd5okRvB10hvcscWc,Baystate Restoration Group,4.8,24,Water damage restoration service,"69 Gagne St, Chicopee, MA 01013, United States","59HR+X4 Chicopee, Massachusetts, USA",https://baystaterestorationgroup.com/,+1 413-532-3473,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo4Br7pL1NgB1Rh77ng_U0iJIgckUCrO6JWUUcP5zhb8Qi4FPnfRb_0FsVvPfphpWr9qLI8hAbKkWmrf4KdwTvbnR3w6Kk_KGmI_kvcv8L4txQ3yz2S9I6U2OznFIWsmyHIuoO3=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:50.574Z,,
https://www.google.com/maps/place/Stanley+Steemer/data=!4m7!3m6!1s0x89e6c347e87aaaab:0xfcbda15cd3a36710!8m2!3d42.0870005!4d-72.6322221!16s%2Fg%2F11ggs9154t!19sChIJq6p66EfD5okREGej01yhvfw,Stanley Steemer,4.9,1181,Carpet cleaning service,"54 S Ramah Cir, Agawam, MA 01001, United States","39P9+R4 Agawam, Massachusetts, USA",https://www.stanleysteemer.com/locations/MA/Springfield/963,+1 413-252-0080,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5lG6oBWVW5LrYrAWF9cRt8JALh56i-kTO2BVaTrVnciheRuGbF5uzSd69MjIkZvQQ70HNI3hiOwSBWjVo6ecVxylsJU2Yg3Z-fYHOcv9PWZkRmwPnVlq2bCK33b7pRxF0cyYz=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:55.409Z,,
https://www.google.com/maps/place/Clever+Damage+Restoration/data=!4m7!3m6!1s0x89e6e6e008f9eebf:0xdf935e8b858323bc!8m2!3d42.1054399!4d-72.5912577!16s%2Fg%2F11vhf_60l9!19sChIJv-75CODm5okRvCODhYtek98,Clever Damage Restoration,,,Contractor,"378 Dwight St, Springfield, MA 01103, United States","4C45+5F Springfield, Massachusetts, USA",https://www.cleverdamagerestoration.com/about-us/,+1 413-788-1321,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X0qqB9adFsiBxvSPx_nFqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.90154&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:17:57.934Z,,
https://www.google.com/maps/place/DryForce+Water+Damage/data=!4m7!3m6!1s0x89e6e71acfb5af29:0x85f3d0af9b121b14!8m2!3d42.1122775!4d-72.5799524!16s%2Fg%2F1261z4q9_!19sChIJKa-1zxrn5okRFBsSm6_Q84U,DryForce Water Damage,2.5,2,Demolition contractor,"57 Federal St, Springfield, MA 01105, United States","4C6C+W2 Springfield, Massachusetts, USA",,+1 413-456-7953,Closed · Opens 8 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VUsxG4C8S_76cE1ETdjBhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.91995&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+West+Springfield+Springfield+MA/@42.1070579,-72.6230371,14z",2026-03-23T05:18:02.752Z,,
