placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Turnbull+Hot+Tub+%26+Pool+Repair/data=!4m7!3m6!1s0x87134fbdecd01743:0x1402bc08eaa45616!8m2!3d38.8911891!4d-104.7620071!16s%2Fg%2F11r93y9gz4!19sChIJQxfQ7L1PE4cRFlak6gi8AhQ,Turnbull Hot Tub & Pool Repair,4.8,53,Hot tub repair service,"3540 Austin Bluffs Pkwy Ste 8, Colorado Springs, CO 80918, United States","V6RQ+F5 Colorado Springs, Colorado, USA",https://www.turnbullhottubrepair.com/,+1 719-500-9170,"Open ⋅ Closes 5:30 pm

Updated by this business 8 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wTpNp9nVImeblJV75FQ0kQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.3846487&pitch=0&thumbfov=100,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:14.503Z,,,
https://www.google.com/maps/place/Arctic+Spas+Colorado+Springs/data=!4m7!3m6!1s0x87134f52c85e288b:0xe4bc5d0568716104!8m2!3d38.896288!4d-104.837455!16s%2Fg%2F11j0tkv168!19sChIJiyheyFJPE4cRBGFxaAVdvOQ,Arctic Spas Colorado Springs,4.9,230,Hot tub store,"805 Garden of the Gods Rd, Colorado Springs, CO 80907, United States","V5W7+G2 Colorado Springs, Colorado, USA",https://www.arcticspascos.com/,+1 719-358-7557,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOikiACdbGCrOn8-Z2jACS8yHNyc_Kw8Qj_GP7g=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,11 am–4 pm,11 am–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:21.033Z,· In-store shopping · Delivery,Identifies as veteran-owned,
https://www.google.com/maps/place/Arrowhead+Spa+%26+Pool/data=!4m7!3m6!1s0x871345d18db862db:0xce75328420929f23!8m2!3d38.8391649!4d-104.7620864!16s%2Fg%2F11b6lj6qf_!19sChIJ22K4jdFFE4cRI5-SIIQydc4,Arrowhead Spa & Pool,3.7,20,Swimming pool repair service,"3514 E St Vrain St B, Colorado Springs, CO 80909, United States","R6QQ+M5 Colorado Springs, Colorado, USA",https://arrowheadspaandpool.com/,+1 719-596-7373,"Open ⋅ Closes 2 pm

Updated by others 2 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Bsy3NvLcFrQvpVGBkAj6Zw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.84175&pitch=0&thumbfov=100,false,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:25.895Z,,,
https://www.google.com/maps/place/Aquatic+Paradise+Pools+%26+Spas/data=!4m7!3m6!1s0x244ba5a4c4205557:0x49776f01ebb77f41!8m2!3d38.8406132!4d-104.6932281!16s%2Fg%2F11ny5b8phn!19sChIJV1UgxKSlSyQRQX-36wFvd0k,Aquatic Paradise Pools & Spas,4.2,5,Swimming pool repair service,"7215 E U.S. Hwy 24 #155, Colorado Springs, CO 80915, United States","R8R4+6P Colorado Springs, Colorado, USA",https://www.aquaticparadisepools.com/,+1 719-415-8149,"Open ⋅ Closes 5 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNrDaEjmT7rbl28hqKRv-BvVYguY7oeUnCUu2uU=w408-h306-k-no,true,11 am–5 pm,11 am–5 pm,Closed,11 am–5 pm,11 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:31.393Z,,,
"https://www.google.com/maps/place/Rocky+Mountain+Pool+%26+Spa+Care,+Inc./data=!4m7!3m6!1s0x87134f68bf71b805:0x35e987c3df8078bf!8m2!3d38.8921783!4d-104.784414!16s%2Fg%2F11w9p9j_wv!19sChIJBbhxv2hPE4cRv3iA38OH6TU","Rocky Mountain Pool & Spa Care, Inc.",,,Swimming pool contractor,"4113 Crocus Ln, Colorado Springs, CO 80918, United States","V6R8+V6 Colorado Springs, Colorado, USA",http://www.rockymountainpoolandspacare.com/,+1 719-649-2339,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMiW0n-Zb0tqGvkepumfK1jgBfEPQTSDut3RACv=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:36.243Z,,,
"https://www.google.com/maps/place/Colorado+Springs+Hot+Tub+Sales+and+Service,+Inc./data=!4m7!3m6!1s0x87134e42d5609d0b:0x4801f565586bc51!8m2!3d38.9264784!4d-104.8105128!16s%2Fg%2F1hc1wqj6z!19sChIJC51g1UJOE4cRUbyGVVYfgAQ","Colorado Springs Hot Tub Sales and Service, Inc.",5.0,378,Hot tub store,"890 Dublin Blvd Suite G, Colorado Springs, CO 80918, United States","W5GQ+HQ Colorado Springs, Colorado, USA",https://www.coloradospringshottubs.com/,+1 719-246-2128,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO4sz4NQ4vi8xgfDQMce6SzsZcABnB37JcqKGc=w408-h266-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:42.009Z,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/Mountain+View+Pools/data=!4m7!3m6!1s0x2b4b80cc928ba6a1:0xaef4e527e1239d55!8m2!3d38.875789!4d-104.752089!16s%2Fg%2F11rhqd94r8!19sChIJoaaLksyASysRVZ0j4Sfl9K4,Mountain View Pools,4.4,7,Swimming pool contractor,,,http://www.mountainviewpoolscolorado.com/,+1 719-992-3365,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPA8thnvPQmow_lp2fjWVEH_AcC5iGa_7-Ml9os=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:47.523Z,,,
https://www.google.com/maps/place/Colorado+Springs+Pool+and+Spa/data=!4m7!3m6!1s0x871344e276d46def:0xd687d40b18376e68!8m2!3d38.8259547!4d-104.8142937!16s%2Fg%2F11dzsrf7pp!19sChIJ723UduJEE4cRaG43GAvUh9Y,Colorado Springs Pool and Spa,3.5,22,Swimming pool repair service,"520 Melvin M Cir, Colorado Springs, CO 80903, United States","R5GP+97 Colorado Springs, Colorado, USA",https://www.aquaticsconnect.com/colorado-springs/services-vendors/colorado-springs-pool-and-spa,+1 719-216-1876,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lO0afPHqDzNKJnrF6Gx3AA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.31573&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:39:54.612Z,,,
https://www.google.com/maps/place/Aqua+Medic/data=!4m7!3m6!1s0x27d5074b806e0457:0x2833d693c9adec8e!8m2!3d38.8952824!4d-104.8499539!16s%2Fg%2F11x0hxmx05!19sChIJVwRugEsH1ScRjuytyZPWMyg,Aqua Medic,4.7,22,Hot tub repair service,"4419 Centennial Blvd #306, Colorado Springs, CO 80907, United States","V5W2+42 Colorado Springs, Colorado, USA",http://aquamedic.co/,+1 719-315-1816,"Open 24 hours

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPuR9dgNKqKylghx9QhqVFyZYYbsym0-poT8Umx=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:40:00.780Z,,Identifies as indigenous-owned,
"https://www.google.com/maps/place/Rocky+Mountain+AquaCare+LLC/@39.0365204,-104.7849379,8z/data=!3m1!4b1!4m6!3m5!1s0x2bdd9bfb8f55f6ef:0xe68d549f9ee4fa9e!8m2!3d39.0365204!4d-104.784938!16s%2Fg%2F11x38gvmjz",Rocky Mountain AquaCare LLC,5.0,16,Swimming pool repair service,,,https://rockymountainaquacare.com/,+1 719-226-5014,Open ⋅ Closes 5 pm,,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-10-27T17:40:08.923Z,,LGBTQ+ friendly,
