placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,error,attributes
https://www.google.com/maps/place/Vein+Clinic+of+Greater+Kansas+City/data=!4m7!3m6!1s0x87c0eb2af8493de5:0xeb8fa5f5644f8e72!8m2!3d38.9316444!4d-94.6369705!16s%2Fg%2F1w6_pbg8!19sChIJ5T1J-CrrwIcRco5PZPWlj-s,Vein Clinic of Greater Kansas City,4.3,41,Surgical center,"4400 W 109th St #150, Overland Park, KS 66211, United States","W9J7+M6 Overland Park, Kansas, USA",https://www.veinkc.com/,+1 913-541-3377,Closed · Opens 8:30 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNlwqrusFY9IeJNrFYtA0VKciZMX7xmqrk4UbMi=w408-h271-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–2:30 pm,Closed,Closed,8:30 am–5:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Overland+Park+KC+KS/@38.9822282,-94.6707917,14z",2025-12-16T22:48:50.476Z,,,
https://www.google.com/maps/place/USA+Vein+Clinics+-+Overland+Park/data=!4m7!3m6!1s0x87c0ead0b4b5705b:0x56cce51a190ee693!8m2!3d38.9331084!4d-94.6482014!16s%2Fg%2F1thk983g!19sChIJW3C1tNDqwIcRk-YOGRrlzFY,USA Vein Clinics - Overland Park,4.3,148,Medical clinic,"10777 Nall Ave #315, Overland Park, KS 66211, United States","W9M2+6P Overland Park, Kansas, USA",https://www.usaveinclinics.com/company/locations/kansas/office/overland-park/,+1 913-276-4481,,,https://lh3.googleusercontent.com/p/AF1QipPQeFO5ga6v5hHqKHPn6Q4HogOeffzJaRI2y2pJ=w408-h243-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Overland+Park+KC+KS/@38.9822282,-94.6707917,14z",2025-12-16T22:48:56.037Z,,,
https://www.google.com/maps/place/Modern+Vascular/data=!4m7!3m6!1s0x87c0eb05b7d1fc9b:0xe9702b85308c8378!8m2!3d38.928533!4d-94.646702!16s%2Fg%2F11r8w4b5z2!19sChIJm_zRtwXrwIcReIOMMIUrcOk,Modern Vascular,4.8,85,Medical clinic,"5320 College Blvd, Overland Park, KS 66211, United States","W9H3+C8 Overland Park, Kansas, USA",,+1 913-529-8600,Closes soon · 5 pm · Opens 7 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPfzeSP2wSMdJJaW2JrCx04YF4YuJBdJw9bvN2L=w464-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Overland+Park+KC+KS/@38.9822282,-94.6707917,14z",2025-12-16T22:49:01.666Z,,,
https://www.google.com/maps/place/Kansas+City+Vascular+and+General+Surgery+-+Overland+Park/data=!4m7!3m6!1s0x87c0ea2c2dff975b:0xa6a40cf56bf5767c!8m2!3d38.9313094!4d-94.64397!16s%2Fg%2F1tk1zklg!19sChIJW5f_LSzqwIcRfHb1a_UMpKY,Kansas City Vascular and General Surgery - Overland Park,4.6,170,Vascular surgeon,"5100 W 110th St Ste 300, Overland Park, KS 66211, United States","W9J4+GC Overland Park, Kansas, USA",https://mymidwestphysician.com/locations/kansas-city-vascular-and-general-surgery/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,+1 913-754-2800,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipPuYBCUnJv8lzYrrD0JqXKbAJFwDXQ6uAU3l7Q_=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Overland+Park+KC+KS/@38.9822282,-94.6707917,14z",2025-12-16T22:49:06.786Z,,,
https://www.google.com/maps/place/Vein+Treatment+%26+Aesthetic+Center/data=!4m7!3m6!1s0x87c0ec8dd9d203fd:0xed966ed1a104abd1!8m2!3d38.9928144!4d-94.6949319!16s%2Fg%2F1tl1jdw6!19sChIJ_QPS2Y3swIcR0asEodFulu0,Vein Treatment & Aesthetic Center,,,Doctor,"Shawnee Mission, 9385 W 75th St, Overland Park, KS 66204, United States","X8V4+42 Overland Park, Kansas, USA",,+1 913-383-8346,Closes soon · 5 pm · Opens 9 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Du5w36KbAajzgBZ8dMngZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.23401&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Overland+Park+KC+KS/@38.9822282,-94.6707917,14z",2025-12-16T22:49:11.639Z,,,
https://www.google.com/maps/place/Vein-ity+Vein+Care+Centers+of+Kansas/data=!4m7!3m6!1s0x87c0bd36efc4a667:0xf76cb31e4121da83!8m2!3d38.8621587!4d-94.8214646!16s%2Fg%2F11ww02ztbf!19sChIJZ6bE7za9wIcRg9ohQR6zbPc,Vein-ity Vein Care Centers of Kansas,5.0,29,Vascular surgeon,"1337 S Fountain Dr, Olathe, KS 66061, United States","V56H+VC Olathe, Kansas, USA",https://www.vein-ity.com/,+1 913-712-7031,Closes soon · 5 pm · Opens 8 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipP1yASSzNtlVMVdvvECUUl7OFPZsvGfcPE3eW6B=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–1 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lenexa+KC+KS/@38.9536174,-94.7335709,14z",2025-12-16T22:49:32.321Z,true,,
https://www.google.com/maps/place/Vein+Institute+of+the+Midwest/data=!4m7!3m6!1s0x87c0ec95af7d0855:0x549763433b22f76a!8m2!3d38.9935879!4d-94.705513!16s%2Fg%2F1tfbcp5g!19sChIJVQh9r5XswIcRavciO0Njl1Q,Vein Institute of the Midwest,2.3,3,Medical clinic,"7420 Switzer Rd, Shawnee, KS 66203, United States","X7VV+CQ Shawnee, Kansas, USA",,+1 913-322-2211,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=olHg0KAotmMwfVS3xssmEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.41287&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Lenexa+KC+KS/@38.9536174,-94.7335709,14z",2025-12-16T22:49:35.198Z,,,
https://www.google.com/maps/place/Premier+Vein+%26+Body+by+Schwartz/data=!4m7!3m6!1s0x87c0ea20d400d733:0x8e8708c3613c2885!8m2!3d38.9390209!4d-94.5758946!16s%2Fg%2F1tfrmw2n!19sChIJM9cA1CDqwIcRhSg8YcMIh44,Premier Vein & Body by Schwartz,4.4,119,Cosmetic surgeon,"1300 E 104 St #150, Kansas City, MO 64131, United States","WCQF+JJ Kansas City, Missouri, USA",https://www.premierveinandbody.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 913-451-8346,Closes soon · 5 pm · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipMW5xfDgH4jFU3kBP_-rBqn1dsBP2jpwysUhZjb=w425-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lenexa+KC+KS/@38.9536174,-94.7335709,14z",2025-12-16T22:49:40.202Z,,,
https://www.google.com/maps/place/Clarity+Care/data=!4m7!3m6!1s0x87c0ebf7782ea8c7:0x56a3d0308fcbf528!8m2!3d38.9646032!4d-94.7241534!16s%2Fg%2F11y440w7j_!19sChIJx6guePfrwIcRKPXLjzDQo1Y,Clarity Care,5.0,303,Radiologist,"9040 Quivira Rd, Lenexa, KS 66215, United States","X77G+R8 Lenexa, Kansas, USA",https://claritycarekc.com/,+1 913-944-4900,"Closes soon · 5 pm · Opens 7 am Wed

Updated by this business 9 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOEQ0RtdV2aksNkURguE82hITvlkGUiWA6kR-qH=w408-h272-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lenexa+KC+KS/@38.9536174,-94.7335709,14z",2025-12-16T22:49:45.162Z,,,
https://www.google.com/maps/place/Vein+Care+Center/data=!4m7!3m6!1s0x87c0bdc845402163:0xd12f118ac32f56c3!8m2!3d38.8550477!4d-94.8294326!16s%2Fg%2F12616hhp3!19sChIJYyFARci9wIcRw1Yvw4oRL9E,Vein Care Center,5.0,2,Medical Center,"21080 W 151st St, Olathe, KS 66061, United States","V54C+26 Olathe, Kansas, USA",,+1 913-768-3104,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxhrrxhAeJRendlEFAUdQHE8zqiMeuZn_w6sbIeDRVF4rdDwH_4MjtQzeHmYJY-Z5wiYzcifdT2xEnCEwbp39GqLHA-ZWNacSU8bkR_xZRTzhVCScAXp3nw7Nb1DUoMOWXXwNHv=w516-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Lenexa+KC+KS/@38.9536174,-94.7335709,14z",2025-12-16T22:49:50.093Z,,,
