placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/SkinRx/data=!4m7!3m6!1s0x88628a56e3037319:0x5febf95eaf7cd16d!8m2!3d34.731994!4d-86.787972!16s%2Fg%2F11bx89j_2t!19sChIJGXMD41aKYogRbdF8r175618,SkinRx,4.5,58,Medical spa,"12090 County Line Rd M, Madison, AL 35756, United States","P6J6+QR Madison, Alabama, USA",http://www.skinrx.clinic/,+1 256-874-8787,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipPXPymGfi0Zn85yFnR_6Xh9DorbqltMLb16bzPV=w426-h240-k-no,true,10 am–6 pm,10 am–5:30 pm,8:30 am–7:30 pm,10 am–7:30 pm,12:30–7:30 pm,8:30 am–5 pm,8:30 am–6 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:19.440Z,,,,
https://www.google.com/maps/place/The+Bridges+in+Research+Park+Apartments/data=!4m7!3m6!1s0x88626ec197e7a39f:0xa81f22236dc1760b!8m2!3d34.709848!4d-86.683422!16s%2Fg%2F1q69sdm4r!19sChIJn6Pnl8FuYogRC3bBbSMiH6g,The Bridges in Research Park Apartments,4.6,44,Apartment complex,"201 Quality Cir NW, Huntsville, AL 35806, United States","P858+WJ Huntsville, Alabama, USA",https://eaglesmanagement.com/property-item/the-bridges-in-research-park/,+1 256-213-7789,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP8LFVIJzZBfsT6cM_NOFKTKcupMTvl5chDzIwY=w408-h271-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:25.061Z,· Dogs allowed,,,
https://www.google.com/maps/place/Huntsville+Hospital+Outpatient+Infusion+Center/data=!4m7!3m6!1s0x88626d434d0b60cb:0x6a5c8f1bcbb5e9d9!8m2!3d34.7207403!4d-86.5816216!16s%2Fg%2F11lkk1082k!19sChIJy2ALTUNtYogR2em1yxuPXGo,Huntsville Hospital Outpatient Infusion Center,5.0,1,Medical clinic,"201 Sivley Rd SW STE 600, Huntsville, AL 35801, United States","PCC9+79 Huntsville, Alabama, USA",https://www.huntsvillehospital.org/outpatient-infusion-center,+1 256-265-3058,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNyV8xEAi0iYuKMgG9HbP1a-jg4wghRqTb7Y-eC=w408-h273-k-no,true,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:30.509Z,,,,
https://www.google.com/maps/place/Paragon+Huntsville+Infusion+Center/data=!4m7!3m6!1s0x88626d1c82833ced:0x15a557f34fdd17a2!8m2!3d34.7121424!4d-86.5881161!16s%2Fg%2F11k40q2hsf!19sChIJ7TyDghxtYogRohfdT_NXpRU,Paragon Huntsville Infusion Center,5.0,3,Specialized clinic,"900 Bob Wallace Ave SW Suite 122, Huntsville, AL 35801, United States","PC66+VQ Huntsville, Alabama, USA",https://paragonhealthcare.com/,+1 256-666-9520,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMhm8fS127diMsSnv8WcDF0BXgVvplmy3YyxX0J=w408-h543-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:35.376Z,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88626ca6030f8039:0xe096630b7244778f!8m2!3d34.7214946!4d-86.5907726!16s%2Fg%2F11f3qx8z7x!19sChIJOYAPA6ZsYogRj3dEcgtjluA,Metro Infusion Center,3.5,10,Medical Center,"1102 Monroe St SW, Huntsville, AL 35801, United States","PCC5+HM Huntsville, Alabama, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=STOp0cxryQa6E_EyyUv2RA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.45712&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:40.249Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Vibrant+Hydration+%26+Wellness/data=!4m7!3m6!1s0x88626d61c9f4ee8f:0x7ee1d20340da9403!8m2!3d34.7097009!4d-86.5878427!16s%2Fg%2F11h7nz41kt!19sChIJj-70yWFtYogRA5TaQAPS4X4,Vibrant Hydration & Wellness,4.9,200,Health spa,"812 Regal Dr SW, Huntsville, AL 35801, United States","PC56+VV Huntsville, Alabama, USA",http://vibranthuntsville.com/,+1 256-964-8177,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipNuTPMXG590UyGqSuemZ0C231xoHHyfZxNtTTLu=w408-h294-k-no,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:45.322Z,,,,
https://www.google.com/maps/place/IV+Alabama+%7C+Mobile+IV/data=!4m7!3m6!1s0x6f16f75f748b523:0xae139b5ec79b3494!8m2!3d34.7164837!4d-86.5953653!16s%2Fg%2F11y3x9mwrk!19sChIJI7VI93Vv8QYRlDSbx16bE64,IV Alabama | Mobile IV,5.0,40,IV therapy service,"2303 8th Ave SW, Huntsville, AL 35805, United States","PC83+HV Huntsville, Alabama, USA",https://www.ivalabama.com/,+1 256-459-9093,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipO0ukQ0agxM0gJWlQpZE-RhXrZvUsnuFNtWAYdz=w426-h240-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:50.333Z,,,,
https://www.google.com/maps/place/Clearview+Cancer+Institute/data=!4m7!3m6!1s0x8862132fdf0b0883:0xba63b5b4faacd078!8m2!3d34.7236333!4d-86.6217688!16s%2Fg%2F1td18kyq!19sChIJgwgL3y8TYogReNCs-rS1Y7o,Clearview Cancer Institute,4.2,110,Cancer treatment center,"3601 CCI Dr NW, Huntsville, AL 35805, United States","P9FH+F7 Huntsville, Alabama, USA",https://www.clearviewcancer.com/hours-and-locations/huntsville-crestwood/,+1 256-705-4224,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPX0gIzW5s0AaRVWSSD40wD06fzbO_ejbjyFij2=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:48:55.617Z,,,,
"https://www.google.com/maps/place/Palmetto+Infusion+-+Huntsville/@34.6959077,-86.5689202,17z/data=!3m1!4b1!4m6!3m5!1s0x886213f6fa36ffe1:0x7518d53bc83baac!8m2!3d34.6959077!4d-86.5689202!16s%2Fg%2F11rj5ngpdt",Palmetto Infusion - Huntsville,,,Medical clinic,"4700 Whitesburg Dr UNIT 225, Huntsville, AL 35802, United States","MCWJ+9C Huntsville, Alabama, USA",https://www.palmettoinfusion.com/,+1 800-809-1265,Closed ⋅ Opens 8 am Mon,,true,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:02.283Z,,,,
https://www.google.com/maps/place/Southern+Cancer+Center+of+Huntsville/data=!4m7!3m6!1s0x88626cab5e30cefd:0xfb4d0b2f113ca3b0!8m2!3d34.7206281!4d-86.5819076!16s%2Fg%2F1tplr17j!19sChIJ_c4wXqtsYogRsKM8ES8LTfs,Southern Cancer Center of Huntsville,4.1,31,Cancer treatment center,"201 Sivley Rd SW #200, Huntsville, AL 35801, United States","PCC9+76 Huntsville, Alabama, USA",https://www.southerncancercenter.com/contact-us/huntsville-hospital/,+1 256-265-1822,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNc0sEhu5pcf5BMy7mPmvQ-C1H9kE30hqfguqdLKs8_2V5MyGzVcgozefqX64EVneYPaL7xGj5Hf0_e-9hv9SHtLMK1IayPv_8rwljOYnRfKzEbAQoUZgsjH1rjB4DZ1aKZYyz=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-29T00:49:07.285Z,,,,
