placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Athletico+Physical+Therapy+-+East+Lansing/data=!4m7!3m6!1s0x8822e91cd2bbc90b:0x634fa9901816c497!8m2!3d42.760189!4d-84.505108!16s%2Fg%2F1tdftrs1!19sChIJC8m70hzpIogRl8QWGJCpT2M,Athletico Physical Therapy - East Lansing,4.8,120,Physical therapy clinic,"1595 W Lake Lansing Rd #130, East Lansing, MI 48823, United States","QF6V+3X East Lansing, Michigan, USA",https://www.athletico.com/locations/east-lansing/?utm_source=google-eastlansing&utm_medium=web&utm_campaign=google-listings,+1 517-333-6692,"Closed ⋅ Opens 7 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOOB79gcAb-hjSDJoeJvdxiZigDVThx5CbdEDXc=w408-h306-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:28.892Z,,,,
https://www.google.com/maps/place/Herbert-Herman+Cancer+Center+Infusion+%7C+University+of+Michigan+Health-Sparrow/data=!4m7!3m6!1s0x8822e9fbffffffff:0x9fe7864f289889eb!8m2!3d42.7328724!4d-84.5351373!16s%2Fg%2F1tdf1zr5!19sChIJ______vpIogR64mYKE-G558,Herbert-Herman Cancer Center Infusion | University of Michigan Health-Sparrow,3.9,41,Cancer treatment center,"1140 E Michigan Ave UNIT 200, Lansing, MI 48912, United States","PFM7+4W Lansing, Michigan, USA",https://www.uofmhealthsparrow.org/departments-conditions/all-departments/cancer-care-oncology,+1 517-364-9400,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOFs2ddjzPvnXNnOUP5SBijCJfKXvSkp4rqSgZo=w426-h240-k-no,true,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,7 am–7:30 pm,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:34.908Z,,,,
"https://www.google.com/maps/place/Infusion+Associates/@42.7616771,-84.4955887,17z/data=!3m1!4b1!4m6!3m5!1s0x8822e9bd3cf97cbf:0x51791b30c42577c5!8m2!3d42.7616771!4d-84.4955887!16s%2Fg%2F11t2v0vpy6",Infusion Associates,4.9,113,Medical clinic,"830 W Lake Lansing Rd Suite 150, East Lansing, MI 48823, United States","QG63+MQ East Lansing, Michigan, USA",https://vivoinfusion.com/,+1 517-897-9200,"Closed ⋅ Opens 9 am Mon

Confirmed by this business 5 weeks ago",,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:42.326Z,,,,
https://www.google.com/maps/place/Infusion+Centers+of+Michigan/data=!4m7!3m6!1s0x8822e91f2f60d771:0x7bdfc4d9317a576f!8m2!3d42.7587645!4d-84.506761!16s%2Fg%2F11x762g131!19sChIJcddgLx_pIogRb1d6MdnE33s,Infusion Centers of Michigan,,,Medical clinic,"1650 Ramblewood Dr Second Floor, East Lansing, MI 48823, United States","QF5V+G7 East Lansing, Michigan, USA",https://infusioncentersofmichigan.com/,+1 517-272-8494,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hG-nh2Q8PFBEcxRxDgONng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.5322795&pitch=0&thumbfov=100,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:47.689Z,,,,
https://www.google.com/maps/place/Sparrow+Regional+Cancer+Center/data=!4m7!3m6!1s0x8822ea082cdf3541:0x451b37b8d43f9c05!8m2!3d42.7341494!4d-84.5351867!16s%2Fg%2F1tfgkfbn!19sChIJQTXfLAjqIogRBZw_1Lg3G0U,Sparrow Regional Cancer Center,4.5,2,Cancer treatment center,"1215 E Michigan Ave, Lansing, MI 48912, United States","PFM7+MW Lansing, Michigan, USA",http://www.sparrow.org/,+1 517-364-2890,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Klu1yfVE9AxYSXnhzu4tOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.48337&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:50.825Z,,,,
https://www.google.com/maps/place/E.W.+Sparrow+Hospital/data=!4m7!3m6!1s0x8822ea84250482eb:0x6c07109765175390!8m2!3d42.734275!4d-84.535157!16s%2Fm%2F080hc38!19sChIJ64IEJYTqIogRkFMXZZcQB2w,E.W. Sparrow Hospital,2.3,924,General hospital,"1215 E Michigan Ave, Lansing, MI 48912, United States","PFM7+PW Lansing, Michigan, USA",http://www.sparrow.org/,+1 517-364-1000,,https://lh3.googleusercontent.com/p/AF1QipMOckQut2NvZIIBprD_HOANknSDihYMNL5RKhJM=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:55.884Z,,,,
https://www.google.com/maps/place/Karmanos+Cancer+Institute+at+McLaren+Greater+Lansing+Infusion/data=!4m7!3m6!1s0x8822c39e87bc0b8f:0xbe6555354791fbe5!8m2!3d42.7025688!4d-84.5018595!16s%2Fg%2F11pzyywt_6!19sChIJjwu8h57DIogR5fuRRzVVZb4,Karmanos Cancer Institute at McLaren Greater Lansing Infusion,5.0,1,Oncologist,"3520 Forest Rd Second Floor, Lansing, MI 48910, United States","PF3X+27 Lansing, Michigan, USA",https://www.karmanos.org/karmanos/karmanos-cancer-institute-mclaren-lansing-home?y_source=1_MzAwNjk3MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 517-975-2220,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WwTvCozVPEkLSlGMdlftJA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=249.62025&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-09-29T00:48:58.898Z,,,,
https://www.google.com/maps/place/Briarwood+Nursing+and+Rehab/data=!4m7!3m6!1s0x882381021186db45:0x6975f6738b6d16b7!8m2!3d43.042648!4d-83.6363669!16s%2Fg%2F1tfr111y!19sChIJRduGEQKBI4gRtxZti3P2dWk,Briarwood Nursing and Rehab,4.2,204,Nursing home,"3011 N Center Rd, Flint, MI 48506, United States","29V7+3F Flint, Michigan, USA",http://briarwoodnar.com/,+1 810-736-0600,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c_VWZHmNVRDPMTJpUt2hEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.38095&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:12.570Z,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88239dc4590126e9:0x9b42c3b4398af7f9!8m2!3d43.0081319!4d-83.7714477!16s%2Fg%2F11y28c_zwy!19sChIJ6SYBWcSdI4gR-feKObTDQps,Metro Infusion Center,,,Medical Center,"1321 S Linden Rd Suite c, Flint, MI 48532, United States","265H+7C Flint, Michigan, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kmfCKJBjdVHCxaL9tV9scw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.43604&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:17.331Z,,,,
https://www.google.com/maps/place/New+Paths+Inc/data=!4m7!3m6!1s0x88238233db9ad163:0xe81f6b26f79e191c!8m2!3d43.0360139!4d-83.6908546!16s%2Fg%2F1thcnd0h!19sChIJY9Ga2zOCI4gRHBme9yZrH-g,New Paths Inc,3.4,168,Addiction treatment center,"765 E Hamilton Ave, Flint, MI 48505, United States","28P5+CM Flint, Michigan, USA",http://www.newpaths.org/,+1 810-233-5340,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noXLVJRyihczJUl6rm1Zb3ghWYeugGboftiMgWqxqPA09ZxrIZTdoLGC0-AIChZVkye9BMIjbBYXNAYQvbwEMtNJOYcada9wKTMEGoR6zmGcxdvBSwKCOb663OIVA1Tfq9tYIP22g=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:22.254Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Genesys+Hurley+Cancer+Institute/data=!4m7!3m6!1s0x8823818e3b09a907:0x5f0138cc7a2cd0e1!8m2!3d43.0238949!4d-83.6673397!16s%2Fg%2F1tftfy92!19sChIJB6kJO46BI4gR4dAsesw4AV8,Genesys Hurley Cancer Institute,3.8,36,Cancer treatment center,"302 Kensington Ave, Flint, MI 48503, United States","28FM+H3 Flint, Michigan, USA",http://www.ghci.org/,+1 810-762-8226,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBicxRnog4b4lPN2yDzjXEVk5qTUcFYac5zTbacpDOqKEP4XibMuY_8Yi1y8sLJBqXWDFYICUn09I9HoqRC4QsYYsOlzljgyib2bpsfWOkK40EhMaBpPahmbC1RgHDRDLlTvdx4CfI3PQ=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:27.199Z,,,,
https://www.google.com/maps/place/M+Ammar+Almansour+PC/data=!4m7!3m6!1s0x882380e18b9129a1:0x7421e43c066c994f!8m2!3d43.0512923!4d-83.633189!16s%2Fg%2F1thtdrjc!19sChIJoSmRi-GAI4gRT5lsBjzkIXQ,M Ammar Almansour PC,3.3,89,Medical clinic,"4071 Richfield Rd, Flint, MI 48506, United States","3928+GP Flint, Michigan, USA",,+1 810-736-2440,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noTAGqE4p35hQLYKjy2EHykGpgJ3lUGM1kgiayXEkIF7KUBMUrkmM762wDn2rlNrW1TXJswXLneyvocNZVlso58ySHwHr45vH-AQDsXLiZW7fN2DzEnNRoV5VEcQzoM2-gwNeit=w408-h302-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:32.204Z,,,,
https://www.google.com/maps/place/Haven+Infusion/data=!4m7!3m6!1s0x882379d5e5abe7f3:0xc82ef92a83f3a7ff!8m2!3d42.9485594!4d-83.7204089!16s%2Fg%2F11x1q9cqvg!19sChIJ8-er5dV5I4gR_6fzgyr5Lsg,Haven Infusion,5.0,7,Medical clinic,"5151 Gateway Centre Blvd #400, Flint, MI 48507, United States","W7XH+CR Flint, Michigan, USA",http://haveninfusion.com/,+1 810-230-4532,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npl1mNrntR7qWwvSGn_wxxlYE6kYz94DM6KpH2ndQo9cpbIUxlMk43RDhl5LOoV-W2Phs6Becf8oaR0TPX0QyQOvjCmZfNBjSQDYoo90TG_hJ6BybakTepX-vqtc4EU3aTBOY2XHefC5f4=w408-h544-k-no,true,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-09-29T00:49:37.400Z,,,,
https://www.google.com/maps/place/Bronson+Infusion+Center/data=!4m7!3m6!1s0x88179d1495302263:0x8157d8e4fe557151!8m2!3d42.2847914!4d-85.5803043!16s%2Fg%2F11crz_bqw3!19sChIJYyIwlRSdF4gRUXFV_uTYV4E,Bronson Infusion Center,4.8,8,Medical clinic,"601 John St Suite W 403, Kalamazoo, MI 49007, United States","7CM9+WV Kalamazoo, Michigan, USA",https://www.bronsonhealth.com/locations/bronson-infusion-center,+1 269-341-8550,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPKw9389pPW1RnOMeKye-bOikZmCgA_t4Iyc9vE=w426-h240-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Kalamazoo+MI/@42.287721,-85.5710809,14z",2025-09-29T00:49:50.456Z,,,,
https://www.google.com/maps/place/West+Michigan+Cancer+Center/data=!4m7!3m6!1s0x88179d43d9a4f1c7:0x49b6e49fc5a81a81!8m2!3d42.2928727!4d-85.5863942!16s%2Fg%2F1tj4hnkt!19sChIJx_Gk2UOdF4gRgRqoxZ_ktkk,West Michigan Cancer Center,4.9,1223,Cancer treatment center,"200 N Park St, Kalamazoo, MI 49007, United States","7CV7+4C Kalamazoo, Michigan, USA",http://www.wmcc.org/,+1 269-382-2500,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPtZKAsTXhxcDzGOQjLVc37Bp42UNymdrOHTvQL=w529-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Kalamazoo+MI/@42.287721,-85.5710809,14z",2025-09-29T00:49:55.527Z,,,,
https://www.google.com/maps/place/Bronson+Cancer+Center+-+Kalamazoo/data=!4m7!3m6!1s0x88179d2329c09319:0xfab3cba74daa5ce3!8m2!3d42.2844241!4d-85.5808817!16s%2Fg%2F11ngpmjg7y!19sChIJGZPAKSOdF4gR41yqTafLs_o,Bronson Cancer Center - Kalamazoo,4.5,11,Cancer treatment center,"805 John St, Kalamazoo, MI 49001, United States","7CM9+QJ Kalamazoo, Michigan, USA",https://www.bronsonhealth.com/locations/bronson-cancer-center-kalamazoo,+1 269-286-7170,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPEomA9mdCwLdw6OQN9U1cUI2k4RAwcb9A9ts7D=w426-h240-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Kalamazoo+MI/@42.287721,-85.5710809,14z",2025-09-29T00:50:00.570Z,,,,
https://www.google.com/maps/place/NewHorizon+Clinic/data=!4m7!3m6!1s0x88179d70c0eddc29:0xc2c7e067c244557a!8m2!3d42.2752947!4d-85.5904729!16s%2Fg%2F11bw2_l7k4!19sChIJKdztwHCdF4gRelVEwmfgx8I,NewHorizon Clinic,5.0,2,Medical clinic,"555 W Crosstown Pkwy #201, Kalamazoo, MI 49008, United States","7CG5+4R Kalamazoo, Michigan, USA",,+1 269-775-1064,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SJvLn7za2VjPCVVg_m1Cxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=125.53657&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Kalamazoo+MI/@42.287721,-85.5710809,14z",2025-09-29T00:50:03.369Z,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88179d1d5c4aaa1d:0x4cf8d0c01a404449!8m2!3d42.2945916!4d-85.6491024!16s%2Fg%2F11gyyd8n4m!19sChIJHapKXB2dF4gRSURAGsDQ-Ew,Metro Infusion Center,,,Medical office,"5023 W Main St, Kalamazoo, MI 49009, United States","79V2+R9 Kalamazoo, Michigan, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMhPhBHf--h2OKHcVxf5APTFDOZUPwBajqVbRLO=w423-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Kalamazoo+MI/@42.287721,-85.5710809,14z",2025-09-29T00:50:08.212Z,LGBTQ+ friendly,,,
