placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88db1e1593e22d93:0x922da94c78c6bb3e!8m2!3d26.2048305!4d-81.7997092!16s%2Fg%2F1tf9p1r6!19sChIJky3ikxUe24gRPrvGeEypLZI,Tire Kingdom,4.8,1086,Tire shop,· In-store pick-up,"4772 Tamiami Trl N, Naples, FL 34103, United States","6632+W4 Naples, Florida, USA",https://www.mavis.com/locations/naples-4772-tamiami-trl-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4101,+1 239-427-1935,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepvJOnrwcv55Yk3_7FOOHaq6ylTeKQYzjuPqRtNXJQXAiQr3iVcASPN1Hn3c-o8fVaup5dZ3bpmEntZGV2Bk-9pkZkPLz66-bVS3bO2zOaBbtopst451PZpD5tfxkiG3E-GkxFyFg=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:06.751Z,,,
https://www.google.com/maps/place/Tires+Plus/data=!4m7!3m6!1s0x88db1e1576308a4f:0xbe05509502595fc2!8m2!3d26.2059594!4d-81.7997471!16s%2Fg%2F1w2yvps0!19sChIJT4owdhUe24gRwl9ZApVQBb4,Tires Plus,4.2,359,Tire shop,· In-store shopping · Kerbside pickup,"4900 Tamiami Trl N, Naples, FL 34103, United States","6642+94 Naples, Florida, USA",https://www.tiresplus.com/florida/naples/4900-tamiami-tr-n/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 239-963-1747,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdpX0vTpMp-2oEajE6IGqGaGpNkdMRIrOUixW4yNGIFk5NClLq9Pgc3TAAcl4jU1n6IJSY4WMx5pUxkxwbXA0cLl8YAwIElX8uEgKXlrX7HMgYFV4JlI-0n2Ob3On6mhqb7o9C-48Pdelt=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:13.235Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Collier+Tire+and+Auto+Repair/data=!4m7!3m6!1s0x88dae23e39d8432b:0xd9fdc1315f354127!8m2!3d26.1585187!4d-81.7606737!16s%2Fg%2F1vnrrdy4!19sChIJK0PYOT7i2ogRJ0E1XzHB_dk,Collier Tire and Auto Repair,4.8,224,Tire shop,· In-store pick-up · Delivery,"3906 Exchange Ave C, Naples, FL 34104, United States","565Q+CP Naples, Florida, USA",http://collier-tire.com/,+1 239-643-7676,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo4cXT2jnQ_5ONloWMuOgT5mypAA5hIn84AVJ2upNd_iwXG5cV874JYbMRowkx3WmKJG6nea9rDKuR7zzVIE7jUI-z8Ai1o3yCDPgmWpfQ5qGQKZXBYajFPXZAYdHv68T4lyQSrEcG7HiyT=w479-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:18.737Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88dae4b8538ef793:0x86a160ecd7b26ea8!8m2!3d26.0661563!4d-81.7047882!16s%2Fg%2F11gh2w6p_l!19sChIJk_eOU7jk2ogRqG6y1-xgoYY,Tire Kingdom,4.6,577,Tire shop,· In-store pick-up,"12442 Tamiami Trl E, Naples, FL 34113, United States","378W+F3 Naples, Florida, USA",https://www.mavis.com/locations/naples-12442-tamiami-trl-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4102,+1 239-427-1938,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHbgRAPZE-r8GRvtk-Cf-GosPAo6q3M1NF73hguMC2b8NDjlScjbKcA3ZRPJiMfGZWhubUHLIbdlfD2ZawUlBVKdIc6qPThWe-RfZMTagwmKFre33lQmbU1nFYyYrdz39ejgoaWw=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:24.556Z,,,
https://www.google.com/maps/place/Tire+Choice+Auto+Service+Centers/data=!4m7!3m6!1s0x88dae240a6d68ee1:0xa876cdd793dd0661!8m2!3d26.1529968!4d-81.7522345!16s%2Fg%2F1v4k79sg!19sChIJ4Y7WpkDi2ogRYQbdk9fNdqg,Tire Choice Auto Service Centers,4.4,662,Tire shop,· In-store shopping · In-store pick-up,"4740 Radio Rd, Naples, FL 34104, United States","563X+54 Naples, Florida, USA",https://locations.thetirechoice.com/fl/naples/4740-radio-rd?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_1587,+1 239-643-2230,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIKF4QvUmbynWxtKVLUEnb-c9hBM1DImnGVvTr3_Iz-S7dwNNTrZququ6FVlOpNDzLgLeueZzVFbwIty9MPMrrG6SSd9VqcDjRvurQ0hTT8CKvxu5dF4sdBs3vfPfw-J9AnlyZ=w426-h240-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:30.091Z,,,
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88db1ccb5f936065:0xaf509724d1835339!8m2!3d26.2445961!4d-81.6916516!16s%2Fg%2F1v2f19xd!19sChIJZWCTX8sc24gROVOD0SSXUK8,Mavis Tires & Brakes,4.6,1461,Tire shop,· In-store pick-up,"7445 Vanderbilt Beach Rd, Naples, FL 34119, United States","68V5+R8 Naples, Florida, USA",https://www.mavis.com/locations/naples-vanderbilt-beach-fl?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=1752,+1 239-427-1928,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweped95VChNTwKYMPvuGsHg_wRD-lX0RDL7jESFWuuEXO7JMDhrR689WAJVB5RXgO8ESx5KnY1EUA8ay1QNCrZNYE-j4CmNTuRHQrJfKPsxKWzbsBllKGe4-0YRv_MijZh2837A=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:36.022Z,,,
https://www.google.com/maps/place/Leal%27s+Tires+and+Wheels/data=!4m7!3m6!1s0x88dae5395b5014cd:0xb55db19decb89e01!8m2!3d26.0870663!4d-81.7308633!16s%2Fg%2F11v3j8_gsl!19sChIJzRRQWznl2ogRAZ647J2xXbU,Leal's Tires and Wheels,4.2,45,Tire shop,,"Garage Bay in the rear of the building, 11222 Tamiami Trl E, Naples, FL 34113, United States","37P9+RM Naples, Florida, USA",https://lealswheels.com/,+1 239-403-8473,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer5EA7u2W1Kczq8cAI-Chi6rLHkErSltnemWtVkLJhT3em8EoB8vaPsJ4UoItqNJ0nPYIoX3Go-UwKegjahUh76Rp3dK61pWRPRhq1GLn7iVx8crkfqPS0QsgODT0xzjh5r1msv=w408-h544-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:41.221Z,,,
https://www.google.com/maps/place/Tire+Choice+Auto+Service+Centers/data=!4m7!3m6!1s0x88db1da15114ebf5:0x97e7ea2c5beac8c8!8m2!3d26.2108954!4d-81.7399941!16s%2Fg%2F11_scdw6m!19sChIJ9esUUaEd24gRyMjqWyzq55c,Tire Choice Auto Service Centers,4.5,553,Tire shop,· In-store shopping,"6505 Dudley Dr, Naples, FL 34105, United States","6766+92 Naples, Florida, USA",https://locations.thetirechoice.com/fl/naples/6505-dudley-dr?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_1591,+1 239-430-2777,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTny0BqyMMpf8rM2cc_qYK-GAriyRPcHkRkTb8T7obACDe34QUChXaiNmtJpisTBOs15h4QwzYKeEkmg1mdnszRD71Es4Wx_XTKSOMIK1WbTef07QPpzzaNTXvEffi3vnDrjfA=w408-h306-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:46.790Z,,,
https://www.google.com/maps/place/Tire+Choice+Auto+Service+Centers/data=!4m7!3m6!1s0x88db1dbc342eee9f:0xc9077b1f0bb3e7f!8m2!3d26.2089709!4d-81.7505858!16s%2Fg%2F1tglj390!19sChIJn-4uNLwd24gRfz678LF3kAw,Tire Choice Auto Service Centers,4.3,459,Tire shop,· In-store shopping · In-store pick-up,"13020 Livingston Rd Suite #18, Naples, FL 34105, United States","665X+HQ Naples, Florida, USA",https://locations.thetirechoice.com/fl/naples/13020-livingston-road?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_1256,+1 239-659-0700,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowKTxjslRiHqdthiH5J1OUGBthAmRd4qvNtBeLEcOrzPHLXC-54bjOVm9TkbHP4XNGE5SmktKU3WGR5f6Y0-7nlgkrwFm6kYAsLxqkTQhiRsXYiQdjlgqOfZwj_WBQ33BT9Ry_TA=w408-h306-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:52.693Z,,,
https://www.google.com/maps/place/A%26Y+Auto+Service+LLC+%2F+Tires+24+hours%2F+Llantas/data=!4m7!3m6!1s0x88dae32b623a4c33:0xc7176d49d368f7d1!8m2!3d26.1162216!4d-81.7708644!16s%2Fg%2F11x7xkmczk!19sChIJM0w6Yivj2ogR0fdo00ltF8c,A&Y Auto Service LLC / Tires 24 hours/ Llantas,5.0,82,Auto repair shop,,"4000 Bayshore Dr STE D, Naples, FL 34112, United States","468H+FM Naples, Florida, USA",,+1 239-467-1152,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweobzgk6S5Zhgx9irseK3tUfotlZ4mBx6bubmy6Q-kMbvDu36Ks5Z5thKHezRnLjqAlRgtaB7nXpXfCVuabsvsBbJXgCHe4kvnBdDhb6sTcYS8My7g4BL4upHf8VJDLZcUM7Qb_wEVtzvSVj=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2026-03-23T15:22:58.701Z,,,
