placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned,error
"https://www.google.com/maps/place/Speltz+Management+LLC/@43.1565779,-77.6088465,14z/data=!4m6!3m5!1s0x87f74373c243c885:0xebcc8fd5e000a125!8m2!3d44.0372603!4d-92.6570494!16s%2Fg%2F11fnqm924t",Speltz Management LLC,3.0,2,Property management company,"803 7th Ave NW, Byron, MN 55920, United States","28PV+W5 Byron, Minnesota, USA",,+1 507-429-1338,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMyedYYoTqikiMMMwoXBoZNPkSX3vJODaNOK7b9=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-09-25T19:09:53.458Z,,,,
https://www.google.com/maps/place/The+Crossroads/data=!4m7!3m6!1s0x87f73e7ff341a691:0xf8e53aba609bb057!8m2!3d44.0238096!4d-92.8572897!16s%2Fg%2F1ts3g52l!19sChIJkaZB838-94cRV7CbYLo65fg,The Crossroads,3.3,15,Townhouse complex,"106 5th St SW, Dodge Center, MN 55927, United States","24FV+G3 Dodge Center, Minnesota, USA",https://www.lloydmanagement.com/the-crossroads-0/index.aspx,+1 507-374-2807,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sl4a-EMtdxli8toaqE66Eg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.544&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:09.839Z,,,,
https://www.google.com/maps/place/HOME+Heritage+Estate/data=!4m7!3m6!1s0x87f73e7edeb2c5ff:0x4b684fa92d89795c!8m2!3d44.0260591!4d-92.8578565!16s%2Fg%2F1tl0xxk6!19sChIJ_8Wy3n4-94cRXHmJLalPaEs,HOME Heritage Estate,3.9,9,Apartment building,"111 2nd St SW, Dodge Center, MN 55927, United States","24GR+CV Dodge Center, Minnesota, USA",,+1 507-374-2697,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hQFdrA1OEHpnzfrrVFVmnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.98558&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:12.611Z,,,,
https://www.google.com/maps/place/Dodger+56/data=!4m7!3m6!1s0x87f73f3e9f7a2b4f:0x7d7706c3022827be!8m2!3d44.0292191!4d-92.857745!16s%2Fg%2F11v0c6v50h!19sChIJTyt6nz4_94cRvicoAsMGd30,Dodger 56,,,Apartment complex,"104 1st St NW, Dodge Center, MN 55927, United States","24HR+MW Dodge Center, Minnesota, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HrJMmy0J1VeMK-HryR1AFw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.52448&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:14.928Z,,,,
https://www.google.com/maps/place/Jakobson+Management+Company/data=!4m7!3m6!1s0x87f75f7d2227db81:0x9a0ff33a244adfaf!8m2!3d44.0307143!4d-92.4758396!16s%2Fg%2F1td0z0mq!19sChIJgdsnIn1f94cRr99KJDrzD5o,Jakobson Management Company,3.6,106,Property management company,"882 7th St NW, Rochester, MN 55901, United States","2GJF+7M Rochester, Minnesota, USA",http://jakobsonmanagementcompany.com/,+1 507-536-0000,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMpuyrW5VkY28ifsr1Uu8LGTqrrbEzMKQo_k6l4=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:19.667Z,,,,
https://www.google.com/maps/place/Rozell+II+Apartments/data=!4m7!3m6!1s0x87f73dd593960485:0xd79af8929c369f2!8m2!3d44.025705!4d-92.8584805!16s%2Fg%2F1td5m7y1!19sChIJhQSWk9U994cR8mnDKYmveQ0,Rozell II Apartments,2.3,3,Apartment building,"221 2nd St SW, Dodge Center, MN 55927, United States","24GR+7J Dodge Center, Minnesota, USA",http://www.lifestyleinc.net/,+1 507-451-8524,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nquz8QfzJ5RHLLx4dbNHkpKIn3oMpZHRDUERpzcPdPuHYL90OmEcH4a5f3oogGjD-ivdkkgMqX-wpo_ag-SL4NaebiisZX2nWED9zXzPB26TkZp4U2C97KpAFQdnmRPTtjDQWs=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:22.336Z,,,,
"https://www.google.com/maps/place/Matik+Management,+LLC/data=!4m7!3m6!1s0x87f75f03249d1ecd:0x7e7c1e028b9aba65!8m2!3d44.007954!4d-92.4477359!16s%2Fg%2F1tdml0zq!19sChIJzR6dJANf94cRZbqaiwIefH4","Matik Management, LLC",3.5,291,Property management company,"1124 11 1/2 St SE, Rochester, MN 55904, United States","2H52+5W Rochester, Minnesota, USA",http://www.matikmanagement.com/,+1 507-216-0064,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBpifZts-jAurESlbfYMW7wZdhyuW69hJOLsoXv9rvaXJuHzIaGJV_Deu-Z2kMYCWExZ3n6TfgZOnsrTV1gU9YlvIO6z8GHae_4B3KSjm88JCN_qNtbtynGQhzE9O-nTMqD2Og=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:27.004Z,,,,
https://www.google.com/maps/place/alliance+property+management/data=!4m7!3m6!1s0x87f75f630b5a596f:0xf6a96e8ceba1e1f9!8m2!3d44.0198383!4d-92.4641398!16s%2Fg%2F11dxnn0cvr!19sChIJb1laC2Nf94cR-eGh64xuqfY,alliance property management,3.3,7,Property management company,"318 1st Ave SW, Rochester, MN 55902, United States","2G9P+W8 Rochester, Minnesota, USA",https://www.alliancepropertiesmn.com/,+1 507-258-4034,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipP8C54iK4FsSHex8O0-ihtOcSYSFj6lZh8KnWlW=w760-h240-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:31.359Z,,,,
https://www.google.com/maps/place/Farm+Bureau+Financial+Services:+Matthew+Hemker/data=!4m7!3m6!1s0x87f75fb4b025072b:0x381abf22c085c37b!8m2!3d44.0282631!4d-92.8542234!16s%2Fg%2F11h3qnvb5k!19sChIJKwclsLRf94cRe8OFwCK_Gjg,Farm Bureau Financial Services: Matthew Hemker,5.0,38,Insurance agency,"24 E Main St, Dodge Center, MN 55927, United States","24HW+88 Dodge Center, Minnesota, USA",https://www.fbfs.com/find-an-agent/matthewhemker?y_source=1_OTY2MjgxNDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 507-374-6727,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPOs0N7digMLLDb6qEb11_BEiObNHTl94pMObes=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:36.070Z,,,,
https://www.google.com/maps/place/Crimson+Ridge+Townhome+Homeowners/data=!4m7!3m6!1s0x87f76068cad91f2d:0xf585602972249b89!8m2!3d44.0845761!4d-92.4903014!16s%2Fg%2F11c1p5kz1q!19sChIJLR_Zymhg94cRiZskcilghfU,Crimson Ridge Townhome Homeowners,5.0,1,Homeowners' association,"18th Ave NW & Crimson Ridge Dr NW, Rochester, MN 55901, United States","3GM5+RV Rochester, Minnesota, USA",http://crimsonridgerochester.com/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XKcekw7WVQhSHsM0Efne-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=24.368717&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-09-25T19:10:38.358Z,,,,
