placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,thursday,friday,saturday,sunday,monday,tuesday,wednesday,info,attributes,isBlackOwned
https://www.google.com/maps/place/Alliance+Realty+Property+Management/data=!4m7!3m6!1s0x87b207d7db7dd9c5:0xe846220d99071d5a!8m2!3d35.4921675!4d-97.7507526!16s%2Fg%2F11t13tz9wc!19sChIJxdl929cHsocRWh0HmQ0iRug,Alliance Realty Property Management,5.0,1,Property management company,"1309 S Holly Ave, Yukon, OK 73099, United States","F6RX+VM Yukon, Oklahoma, USA",https://www.larrytaylorhomes.com/about-us,+1 405-354-5243,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5Yvo2tbhYhPLbBX_7IDNmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.7592&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:20.118Z,,,,,,,,,,
"https://www.google.com/maps/place/Larry+Taylor+Home+Team,+McGraw+Realtors/data=!4m7!3m6!1s0x87b207e3f132cd81:0x345ca8d9f50037fb!8m2!3d35.5057299!4d-97.7240508!16s%2Fg%2F11h6vj1kk7!19sChIJgc0y8eMHsocR-zcA9dmoXDQ","Larry Taylor Home Team, McGraw Realtors",4.7,3,Property management company,"280 S Yukon Pkwy, Yukon, OK 73099, United States","G74G+79 Yukon, Oklahoma, USA",https://www.larrytaylorhomes.com/,+1 405-620-0583,Open ⋅ Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=owQZ6hnwolYiTx48QPv3AQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.946075&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:24.972Z,9 am–8 pm,9 am–8 pm,9 am–8 pm,2–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,,,
https://www.google.com/maps/place/Gotcher+Enterprises+Inc/data=!4m7!3m6!1s0x87b208879de6c575:0xad23950cc2ba0f8a!8m2!3d35.4840881!4d-97.7406264!16s%2Fg%2F1tj7ww_y!19sChIJdcXmnYcIsocRig-6wgyVI60,Gotcher Enterprises Inc,4.0,2,Property management company,"117 E Meade Dr, Yukon, OK 73099, United States","F7M5+JP Yukon, Oklahoma, USA",,+1 405-354-7179,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=afAB0folGJJ3Nq07P5dRIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.5782127&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:28.016Z,,,,,,,,,,
https://www.google.com/maps/place/Chris+Van+Valkenburg+-+McGraw+Realtors/data=!4m7!3m6!1s0x59a3c69cf28ee53:0x60f5aa6956e66bbf!8m2!3d35.5057317!4d-97.7240423!16s%2Fg%2F11ts9j0l4r!19sChIJU-4oz2k8mgURv2vmVmmq9WA,Chris Van Valkenburg - McGraw Realtors,4.8,28,Real estate agent,"280 S Yukon Pkwy, Yukon, OK 73099, United States","G74G+79 Yukon, Oklahoma, USA",http://www.cvanvalkenburg.mcgrawrealtors.com/,+1 405-306-4028,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPEghUAlLpzogF-bK-XI17RRrfve-y26Ps3qzj2=w408-h408-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:32.705Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Homestead+Ranch+Realty/data=!4m7!3m6!1s0x87b209655ecc7ec9:0x5bf5bce244a09c91!8m2!3d35.4862594!4d-97.7317762!16s%2Fg%2F11lz4t69c1!19sChIJyX7MXmUJsocRkZygROK89Vs,Homestead Ranch Realty,5.0,13,Real estate agency,"421 Meadow Run Ct, Yukon, OK 73099, United States","F7P9+G7 Yukon, Oklahoma, USA",http://www.homesteadranchrealty.com/,+1 405-373-8803,Open ⋅ Closes 8:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tV9Ybdqv39H9x3E0rlTYjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.55878&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:37.171Z,9 am–8:30 pm,9 am–8:30 pm,9 am–8:30 pm,9 am–8:30 pm,9 am–8:30 pm,9 am–8:30 pm,9 am–8:30 pm,Identifies as women-owned,,
https://www.google.com/maps/place/McGraw+Realtors+-+Yukon/data=!4m7!3m6!1s0x87b20706b6557477:0xbadde9d5a9ca30cc!8m2!3d35.5057317!4d-97.7240423!16s%2Fg%2F11fsyz5ylb!19sChIJd3RVtgYHsocRzDDKqdXp3bo,McGraw Realtors - Yukon,4.7,32,Real estate agency,"280 S Yukon Pkwy, Yukon, OK 73099, United States","G74G+79 Yukon, Oklahoma, USA",http://www.mcgrawrealtors.com/,+1 405-354-5243,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNGmrpj2zOBsDEdcA3U43q6RtT2WIVWvWa423Uy=w444-h240-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:42.013Z,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Wittrock+Real+Estate+Team/data=!4m7!3m6!1s0x87b20924664a7c63:0x590f7a28e3daa91b!8m2!3d35.4804427!4d-97.7416066!16s%2Fg%2F11h5pz_43x!19sChIJY3xKZiQJsocRG6na4yh6D1k,Wittrock Real Estate Team,5.0,1,Real estate agency,"100 E Mesa Verde St, Yukon, OK 73099, United States","F7J5+59 Yukon, Oklahoma, USA",,+1 405-659-7995,Open ⋅ Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FcbIG65JCiVOwBZu6y5A5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.14676&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:46.818Z,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,,,
https://www.google.com/maps/place/Cedar+Creek+Apartments/data=!4m7!3m6!1s0x87b207cde8ac5907:0x8060af2df2ce33b9!8m2!3d35.5030882!4d-97.7462537!16s%2Fg%2F1vrqb47r!19sChIJB1ms6M0HsocRuTPO8i2vYIA,Cedar Creek Apartments,2.7,20,Apartment building,"404 S 2nd St, Yukon, OK 73099, United States","G733+6F Yukon, Oklahoma, USA",https://www.cedarcreekapthomes.com/,+1 405-467-5330,Closed ⋅ Opens 10 am Fri,https://lh3.googleusercontent.com/p/AF1QipPcyylYBZhgcuCGHA8qupnV17bRCjGwXLecZlYf=w408-h274-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:52.163Z,Closed,10 am–5:30 pm,Closed,Closed,10 am–5:30 pm,Closed,10 am–5:30 pm,,,
https://www.google.com/maps/place/Real+Property+Management+Resources/data=!4m7!3m6!1s0x87b2059ebbf43bbd:0x61b535ecb918a113!8m2!3d35.5143745!4d-97.6593798!16s%2Fg%2F11dymfzmwv!19sChIJvTv0u54FsocRE6EYuew1tWE,Real Property Management Resources,4.4,70,Property management company,"8486 NW 39th Expy, Bethany, OK 73008, United States","G87R+P6 Bethany, Oklahoma, USA",https://www.resourcesrpm.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 405-787-4429,"Open ⋅ Closes 5 pm

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNkjhYmuR3CEskAmg25puhzoXaNGqxeiQLWLMrF=w408-h306-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:41:57.441Z,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,LGBTQ+ friendly,,
https://www.google.com/maps/place/Rent+Ready+Inspection+Services+LLC/data=!4m7!3m6!1s0x247362d5de78dbe9:0xe4fc1bae910e314d!8m2!3d35.5214308!4d-97.7131635!16s%2Fg%2F11pybkrd_f!19sChIJ6dt43tVicyQRTTEOka4b_OQ,Rent Ready Inspection Services LLC,5.0,7,Home inspector,"1300 Valley Rd, Yukon, OK 73099, United States","G7CP+HP Yukon, Oklahoma, USA",http://www.rentreadyinspect.com/,+1 405-590-8177,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJ3smsFiMuM2LN8OXO0kvr8wG_3Oa6pLajzTo1jlqvG8xLpYg-Q3RjhPLiIF-mShum9guKGUPkBxwHLfRUb8YvIgqsg4S3I2eb1S-33URp5rqx48bT463fv_rtH3BmVWgRAbzq=w408-h408-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-09-25T19:42:02.177Z,9 am–6 pm,9 am–4 pm,9 am–4 pm,1:30 pm–4 am,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
