placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Independent+Power/data=!4m7!3m6!1s0x876beee23c7ae0a9:0x390ff42435a1a9e8!8m2!3d40.0258452!4d-105.246388!16s%2Fg%2F1tgdjg_y!19sChIJqeB6POLua4cR6KmhNST0Dzk,Independent Power,4.9,364,Solar energy company,"2830 Wilderness Pl Units A&B, Boulder, CO 80301, United States","2QG3+8C Boulder, Colorado, USA",https://solarips.com/locations/colorado/?utm_campaign=gmb,+1 303-953-4496,Open · Closes 8 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPlhuV3ApQeaHlyId7brl9i7T2ApdJs9goZIuSx=w469-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:03.389Z,,
https://www.google.com/maps/place/The+Speedy+Electricians/data=!4m7!3m6!1s0x876bedb144704fdf:0x3b18143d00145ebf!8m2!3d40.0192053!4d-105.2724707!16s%2Fg%2F11q3mgy3qc!19sChIJ309wRLHta4cRv14UAD0UGDs,The Speedy Electricians,4.7,64,Electrician,"1738 Pearl St, Boulder, CO 80302, United States","2P9H+M2 Boulder, Colorado, USA",https://www.thespeedyelectricians.com/boulder/,+1 720-713-3008,,,https://lh3.googleusercontent.com/p/AF1QipPLlu1jVLmVqPKXoAhwNBKQuUrRKiChxViVk9Ec=w408-h343-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:08.049Z,,
https://www.google.com/maps/place/Volt+Pro+Electric+Company/data=!4m7!3m6!1s0x876bf67cb6a30347:0xa4d92f41e6384f25!8m2!3d40.0034049!4d-105.2340794!16s%2Fg%2F11xd7m662!19sChIJRwOjtnz2a4cRJU845kEv2aQ,Volt Pro Electric Company,4.7,46,Electrician,"435 Waite Dr, Boulder, CO 80301, United States","2Q38+99 Boulder, Colorado, USA",https://www.voltproelectric.com/,+1 303-249-2972,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eEuwlF1y1ueGT7w_hhareQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.44804&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:12.995Z,,
https://www.google.com/maps/place/Precision+Plumbing+Heating+Cooling+Electric/data=!4m7!3m6!1s0x876bf1cea3445bd7:0x9fc6943e1b3b3a5b!8m2!3d40.065846!4d-105.203113!16s%2Fg%2F1tf_tbsf!19sChIJ11tEo87xa4cRWzo7Gz6Uxp8,Precision Plumbing Heating Cooling Electric,4.8,4025,HVAC contractor,"413 S Arthur Ave, Louisville, CO 80027, United States","3Q8W+8Q Louisville, Colorado, USA",https://www.precisionplumbing.com/,+1 720-464-4485,Open · Closes 4 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPJPMPu7bPIfo8Z4kJhkHtKjVbnZqSUDBSq_nfb=w408-h343-k-no,true,8 am–4 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:17.632Z,,
https://www.google.com/maps/place/Save+Home+Heat+Company/data=!4m7!3m6!1s0x876bf2082806ee63:0xcebcb779e936308c!8m2!3d40.0167908!4d-105.2193745!16s%2Fg%2F1thghj91!19sChIJY-4GKAjya4cRjDA26Xm3vM4,Save Home Heat Company,4.9,832,HVAC contractor,"5741 Arapahoe Ave #4, Boulder, CO 80303, United States","2Q8J+P7 Boulder, Colorado, USA",https://www.savehomeheat.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Boulder-CO,+1 303-963-0489,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPefdZJiuyjSMHPZB7BG5f0SxSaWQ8HpgyYzDLR=w408-h272-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:22.161Z,,
https://www.google.com/maps/place/Your+Electricians+Team+of+Boulder/data=!4m7!3m6!1s0x876bef6c21691c83:0x4abb0b826968f079!8m2!3d40.0380637!4d-105.2437428!16s%2Fg%2F11q3p0l_2c!19sChIJgxxpIWzva4cRefBoaYILu0o,Your Electricians Team of Boulder,4.8,39,Electrical repair shop,"3434 47th St, Boulder, CO 80301, United States","2QQ4+6G Boulder, Colorado, USA",https://www.yourelectriciansteam.com/boulder/,+1 720-713-1910,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPg7_6pne14q-9ZUQ9vtOZlPK5Y1yoEIJ4tZMQC=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:26.606Z,,
https://www.google.com/maps/place/Prometheus+Electric/data=!4m7!3m6!1s0x876bef0636e81447:0x5ef418a55e57d590!8m2!3d40.0648932!4d-105.2834923!16s%2Fg%2F11y30p18fd!19sChIJRxToNgbva4cRkNVXXqUY9F4,Prometheus Electric,4.7,25,Electrician,"4949 Broadway STE 118, Boulder, CO 80304, United States","3P78+XJ Boulder, Colorado, USA",https://prometheuselectric.com/,+1 303-406-0387,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipObVpUnbHdwWT8FtBkgRFjli21CHnpMhMVRCTVK=w408-h260-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:30.872Z,,
https://www.google.com/maps/place/Mr.+Electric+of+Boulder/data=!4m7!3m6!1s0x876bed83978afbbf:0xbf6e6840aa3ac7c4!8m2!3d40.0169992!4d-105.2757523!16s%2Fg%2F11wwgszvq0!19sChIJv_uKl4Pta4cRxMc6qkBobr8,Mr. Electric of Boulder,4.8,58,Electrician,"1495 Canyon Blvd Ste 212, Boulder, CO 80302, United States","2P8F+QM Boulder, Colorado, USA",https://www.mrelectricboulder.com/,+1 720-615-1248,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNbfwRDgrodat5AYjp_5CxvFiuMd0EUCvkVpB1N=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:35.330Z,,
"https://www.google.com/maps/place/Ion+Electric,+LLC/data=!4m7!3m6!1s0x876bee817229cd13:0x5004cd91d80533b2!8m2!3d40.0702236!4d-105.2007782!16s%2Fg%2F1thtq23r!19sChIJE80pcoHua4cRsjMF2JHNBFA","Ion Electric, LLC",4.4,17,Electrician,"6525 Gunpark Dr Suite 370 #404, Boulder, CO 80301, United States","3QCX+3M Boulder, Colorado, USA",https://ion-electric.com/,+1 303-332-5430,Closed · Opens 7:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lqopN4jz-bv54zG3TaCCfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.58156&pitch=0&thumbfov=100,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:39.811Z,,
https://www.google.com/maps/place/Great+Outdoors+Small+Engine+Repair/data=!4m7!3m6!1s0x876bef9ed00df4b5:0x657c05a712aa1f4c!8m2!3d40.0548652!4d-105.2830839!16s%2Fg%2F11mvh081qh!19sChIJtfQN0J7va4cRTB-qEqcFfGU,Great Outdoors Small Engine Repair,4.3,23,Lawn mower repair service,"4419 Broadway, Boulder, CO 80304, United States","3P38+WQ Boulder, Colorado, USA",https://www.greatoutdoorsboulder.com/,+1 303-449-5203,Closed · Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyT7SYFvRiC3dVJNSKyWTu-1BmAQEnYpYM562xfANVnt1eTRRmy1_DaVXe3v1XpfR0YbM2MxP4Pnwm5ez8tPUUIGtKbfi592OPUMnEnMOLHp2kiYgVnFD7oxh4AvuoBBSqWnQ2M3g=w408-h306-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/generator+installation+services+in+Boulder+CO/@40.0671063,-105.2901076,14z",2026-01-10T21:24:44.128Z,,
