placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,attributes,error
https://www.google.com/maps/place/Greenmile+Lawncare+LLC/data=!4m7!3m6!1s0xa139b795943f0b25:0x442163595713d3ee!8m2!3d42.3292656!4d-83.0485992!16s%2Fg%2F11t532tgyv!19sChIJJQs_lJW3OaER7tMTV1ljIUQ,Greenmile Lawncare LLC,5.0,29,Lawn care service,"220 W Congress St Floor 2, Detroit, MI 48226, United States","8XH2+PH Detroit, Michigan, USA",https://www.greenmilelawncare.net/,+1 833-746-5264,,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSoEGK-uKlaURAPYwBkerpP4D-1-MUWYnfVQiBqwC9nxVr-xJ5TYVIopwKrFR8SkRsmOjsGe5p5U0WNtZ2o0blBGcdaFXKOs2TBmuJ_4uSRVzz1ERnJ465KsVgaYutMLEUQk37MouSPuYR=w408-h725-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:28.396Z,,,,,,,,,,
https://www.google.com/maps/place/livingLAB/data=!4m7!3m6!1s0x883b2d31e3719f0b:0xa1b1f85a7dc9f735!8m2!3d42.3340436!4d-83.050485!16s%2Fg%2F125_yxptt!19sChIJC59x4zEtO4gRNffJfVr4saE,livingLAB,5.0,3,Landscape architect,"1420 Washington Blvd #301, Detroit, MI 48226, United States","8WMX+JR Detroit, Michigan, USA",http://livinglabdetroit.com/,+1 313-974-7602,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsG6mgNk2a9uSkbIc6lAp9rpdVs8209U0JtKwbeLjP5bB2D9yyWFF2sz3BscHuul8uhSmxfTVU4CDl_ou8OobiDEXqckOJkelEEj-8cHyYqfDsHVjj-SCQygK2goCiuGHQA3dH=w408-h306-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:34.777Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/Planterra+Interior+Landscaping/data=!4m7!3m6!1s0x8824d34e7e670b93:0xe24e6a65c4098490!8m2!3d42.3720024!4d-83.0674713!16s%2Fg%2F11j1j6h29d!19sChIJkwtnfk7TJIgRkIQJxGVqTuI,Planterra Interior Landscaping,5.0,25,Interior plant service,"2937 E Grand Blvd Suite 205, Detroit, MI 48202, United States","9WCM+R2 Detroit, Michigan, USA",http://www.planterra.com/,+1 313-636-6653,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOR0RBEcrkH6MuA15XGbrLIrUoa-KR1N8rMJVrJPz6JvcixNiEMgT3ZQ7WguadlTkffqvAL3rNO9W-zymMWYnzrQisJAKynNH6e025bq25IPtkFA26-ONLH0voGkD1BKQKtqU=w408-h282-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:39.679Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Izzie+Global/data=!4m7!3m6!1s0x883b2da8c5ca8177:0x5d971cdc84b67e32!8m2!3d42.394876!4d-83.1151785!16s%2Fg%2F11j8jbnjtz!19sChIJd4HKxagtO4gRMn62hNwcl10,Izzie Global,5.0,11,Property maintenance,,,,+1 866-974-9943,Open · Closes 5 pm,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsEd2fjVudwt9yKWXAXaqCg3TJvETWnLwz7G7FrXLRMaXJtEEVH3_-nngGhsTrtUg8aRVk0jiXdF2cohoRLQtzDDlLmoD4Sz307Tbf3efOzgWSW_zGcCc8H7tZIN_jKvfCQFKR=w408-h408-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:45.218Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,Identifies as women-owned,,
https://www.google.com/maps/place/Signature+Services+Garden+Building/data=!4m7!3m6!1s0x883b33b06bac436b:0xf126c07b0e684216!8m2!3d42.2952233!4d-83.1313507!16s%2Fg%2F11h002grgp!19sChIJa0Osa7AzO4gRFkJoDnvAJvE,Signature Services Garden Building,4.3,20,Landscaper,"9455 W Fort St, Detroit, MI 48209, United States","7VW9+3F Detroit, Michigan, USA",,,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1pfgP4Q4A27yaRbluYXVLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.29518&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:50.236Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,
"https://www.google.com/maps/place/Kevin%27s+All+Season+Lawn+%26+Landscaping,+LLC/data=!4m7!3m6!1s0x883b33e424cad805:0x3b15af48effedae7!8m2!3d42.268457!4d-83.161072!16s%2Fg%2F11b7ttklhc!19sChIJBdjKJOQzO4gR59r-70ivFTs","Kevin's All Season Lawn & Landscaping, LLC",3.8,53,Landscape designer,"2795 S Fort St, Detroit, MI 48217, United States","7R9Q+9H Detroit, Michigan, USA",http://www.kevinsallseason.com/,+1 313-294-4545,Open · Closes 6 pm,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPduq21WAV7xdcQBJfqR29WgvmMb78La4v4GIi15sKcVN4d5h1BuQtXWSnF71STtzORaMpkOr7ikWxNsAUXvXdD7iVNr2wfJXrDoiJGefIw4lc8pT1Di_s1842uuV1gS_Evzo1=w408-h307-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:50:55.462Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,8 am–6 pm,8 am–6 pm,Identifies as women-owned,,
https://www.google.com/maps/place/Potager+Detroit/data=!4m7!3m6!1s0x8824cfab4a745aed:0x7c45c0b06769fca5!8m2!3d42.3519735!4d-83.0665487!16s%2Fg%2F11f24tw31_!19sChIJ7Vp0SqvPJIgRpfxpZ7DARXw,Potager Detroit,3.7,3,Landscape designer,"Green Garage, 4444 2nd Ave, Detroit, MI 48201, United States","9W2M+Q9 Detroit, Michigan, USA",,+1 313-427-9894,Temporarily closed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTuAVJvrI2TVrk6hsA2mnytqt_2e6MBRyEQp4K9c9bxMeASSgKL0sAcXZ0vfOM1LYDoMiQB0O4wSPmKznS616JosyPmAAkWjqxeHkB-v1ayUeSmihcWzZ7Ksqxh_Z2THgmalfS=w432-h240-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:51:00.575Z,,,,,,,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Detroit+Perfect+Landscaping/data=!4m7!3m6!1s0x883b2db696b69463:0xca4ae4630ab257a5!8m2!3d42.3306498!4d-83.0453463!16s%2Fg%2F11m68nn1tl!19sChIJY5S2lrYtO4gRpVeyCmPkSso,Detroit Perfect Landscaping,5.0,20,Landscaper,"608 Woodward Ave, Detroit, MI 48226, United States","8XJ3+7V Detroit, Michigan, USA",https://www.detroitperfectlandscapingcompany.com/,+1 313-631-3375,Open · Closes 6 pm,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGN5pfKezTMAVNyLmKwDaehWqxFcZzBt5MQKlSwV9YgDjEZNiU5wnSCDXGM0_HFPCRXyEUiy50bQR_S1ypZvIwrf4hH56LDcXP7f6hJKt6SPUG7ragiEv6TDzChzkPxtKqjxVqhXKtgVE=w408-h408-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:51:05.813Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,,,
https://www.google.com/maps/place/Detroit+Landscape+Supply/data=!4m7!3m6!1s0x8824d32825b3f0b5:0x9ba722375825cb77!8m2!3d42.3413505!4d-83.0375939!16s%2Fg%2F11f65d8_5j!19sChIJtfCzJSjTJIgRd8slWDcip5s,Detroit Landscape Supply,3.9,13,Landscaping supply store,"1300 Maple St, Detroit, MI 48226, United States","8XR6+GX Detroit, Michigan, USA",http://wegotdirt.net/,+1 313-284-2478,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAExm683DsNjz75cBeAfPhYJoCQVUu2xVshFiznuESJUwa2OKQI-nW2GvsoG9_-9rqZqgVDHKJptAheBw0ryJm8ZPDK9VAydqRbAW6XnNzGY9kZop2BOIa98gCkTXhgDj2g8C2aVHw=w408-h306-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:51:11.274Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,· Delivery,
https://www.google.com/maps/place/Juarez+Landscaping/data=!4m7!3m6!1s0x883b333bf2727bb7:0x365a1be129af7a16!8m2!3d42.3185694!4d-83.0958866!16s%2Fg%2F11fkv49z2d!19sChIJt3ty8jszO4gRFnqvKeEbWjY,Juarez Landscaping,5.0,3,Landscaper,"1588 McKinstry St, Detroit, MI 48209, United States","8W93+CJ Detroit, Michigan, USA",,+1 248-275-6262,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqYd83m-Uaolh4PWp8OXm0KHvR6-kfI-xtrtnsQuGPOFJTF-7yw42aMyDiIDslSOTZJyx6mZk-kPW2BSNca6D347OM050puAyZSA1Y3NO1-tnsz74zzIS49ZNBG5lKm7vIcpO6hg=w426-h240-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-04-29T18:51:16.381Z,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–3 pm,Closed,7 am–7 pm,7 am–7 pm,,,
