placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Hillside+Landscape+Supplies/data=!4m7!3m6!1s0x89ab144965bafa05:0x5d004c8ecc0b2531!8m2!3d35.0003128!4d-78.967781!16s%2Fg%2F1v3gss57!19sChIJBfq6ZUkUq4kRMSULzI5MAF0,Hillside Landscape Supplies,4.4,107,Landscaping supply store,· Delivery,"2596 Hope Mills Rd, Fayetteville, NC 28306, United States","222J+4V Fayetteville, North Carolina, USA",https://www.hillsidelandscapesupplies.com/,+1 910-868-4455,"Closes soon · 4:30 pm · Opens 8 am Thu

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7OMxKS20aMMTLEuXQi_D-lWjM9uoGNSs9rtfMnBpxv3z_rUdw0iQnNvm5JYUDhJWNmCDt4H5l3zC0OosKG4522Y4CYm0-vsZWi1f8-dEud01vdPKg2ppNR6hCBaBO8hnMny4=w408-h365-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–1 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:45:56.569Z,,
https://www.google.com/maps/place/Augusta+Lawn+Care+of+Hope+Mills%2FSouth+Fayetteville/data=!4m7!3m6!1s0x74bde7cf7d62861:0xcd3e7a1a3c5a886a!8m2!3d34.9529531!4d-78.927837!16s%2Fg%2F11kqxnn1k2!19sChIJYSjW93zeSwcRaohaPBp6Ps0,Augusta Lawn Care of Hope Mills/South Fayetteville,4.9,88,Lawn care service,,"4928 US-301, Hope Mills, NC 28348, United States","X33C+5V Hope Mills, North Carolina, USA",https://augustalawncareservices.com/hopemills,+1 919-726-4011,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmigCet_rXDKM7tb_w8Xs94IsDM1M6IGD4fxuRkXPQHiLDq7uc8A_fiOGcXiEKGTAQffvCmsvt2JYhcWaQZzmeoi-bsieem6HPPtYoPo4Q2zMGmMgsLqS4dE2nFvVOvZMGRryjkA=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:02.818Z,Identifies as veteran-owned,
"https://www.google.com/maps/place/Extreme+Green,+LLC+Nursery+%26+Landscaping/data=!4m7!3m6!1s0x89ab13e826ece6b9:0xe0861164e4e4151d!8m2!3d34.9815625!4d-78.9062779!16s%2Fg%2F11g9nm2ncy!19sChIJuebsJugTq4kRHRXk5GQRhuA","Extreme Green, LLC Nursery & Landscaping",4.6,27,Landscaper,,"3579 Gillespie St, Fayetteville, NC 28306, United States","X3JV+JF Fayetteville, North Carolina, USA",https://www.facebook.com/extremegreenllc?mibextid=LQQJ4d,+1 910-670-5736,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qJC8gil6hhDbS_Zzlffpng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.09652&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:07.674Z,,
https://www.google.com/maps/place/Cardinal+Landscaping/data=!4m7!3m6!1s0x89ab155a4412d2e9:0x6bfa3f04c01fae40!8m2!3d35.0018183!4d-78.931674!16s%2Fg%2F1tmqh1sc!19sChIJ6dISRFoVq4kRQK4fwAQ_-ms,Cardinal Landscaping,4.0,71,Landscaper,,"4204 Carville Road, Fayetteville, NC 28306, United States","2329+P8 Fayetteville, North Carolina, USA",http://www.cardinallandscaping.com/,+1 910-867-9595,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdjHWEicpTwf2TME81oNXmzzJ3ESEWEunnXcYUtFyQtHtmutwrpUphOJZJX_FF7c8xTCc6r-mHuIHgfCbE5vMyIaORtQCDQhYWp5zVc1hoG4C8eGft4efHOV8SENtmCew1y7HY6Md7vata=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:12.573Z,Identifies as veteran-owned,
https://www.google.com/maps/place/Paul+%26+Son+Quality+Lawn+Care/data=!4m7!3m6!1s0x89ab6d3aaaaaaaab:0xa85a2b80c11e44fb!8m2!3d34.9003963!4d-78.9009775!16s%2Fg%2F1w97w7ff!19sChIJq6qqqjptq4kR-0QewYArWqg,Paul & Son Quality Lawn Care,4.9,90,Landscaper,,"2356 Chicken Foot Rd, Hope Mills, NC 28348, United States","W32X+5J Hope Mills, North Carolina, USA",http://paulandsonlawncarenc.com/,+1 910-850-9917,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeObdHRn4FfcQW6kmPaaZUSJN9sHqZV3zXHjCfa9--7xv50yAkutZ-VYnZcvUN_SV_ynj7T_UYIoglklgJ3qDWLk4RK2zRd2XR8E9JLdVNjJp3HziYyaX33vEeXEr0ZlEj1Ek=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:17.510Z,,
https://www.google.com/maps/place/Green+Biz+Nursery+%26+Landscaping+Inc/data=!4m7!3m6!1s0x89ab120218ed5795:0xcf6afdd93902398!8m2!3d34.964523!4d-78.844579!16s%2Fg%2F1tk8pg4s!19sChIJlVftGAISq4kRmCOQk92v9gw,Green Biz Nursery & Landscaping Inc,4.7,503,Landscaper,,"3769 Wilmington Hwy, Fayetteville, NC 28306, United States","X574+R5 Fayetteville, North Carolina, USA",https://www.greenbiznursery.com/,+1 910-323-8811,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAES5hkds0Q1W34qvVfXV8Bvrj956LbU7LaQ07wYurBwFUW2v2Or8a2AJ4ulLnm8Ij1OZGuwgMM-0k-WlUnTsSsOdxFvjBN7pUiyc-c07lW2gnPjjzyJMTGw1LqTsNCaEt_dXyCO=w408-h526-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:22.578Z,Identifies as women-owned,
https://www.google.com/maps/place/Front+2+Back+Landscaping+%26+Lawncare+LLC./data=!4m7!3m6!1s0x89ab1379caf2044b:0x608b8659816f37ba!8m2!3d35.0176479!4d-78.9141911!16s%2Fg%2F11k_rtxkhq!19sChIJSwTyynkTq4kRujdvgVmGi2A,Front 2 Back Landscaping & Lawncare LLC.,4.7,87,Landscaper,,"3008 Cope St, Fayetteville, NC 28306, United States","239P+38 Fayetteville, North Carolina, USA",,+1 910-818-5129,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGL77-YRNdDT1PpJM9XewDCCgHiSQPYc1qH7d4C82WtveOofSnEgAg92X0_WIFmObQOtCzaTNKY5GgwfBYZPaQpc30ofPuuNePwSIZpHPrXEz9BsRuiqB1jvPAnJzbvvJAVEpd2=w427-h240-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,Closed,6 am–6 pm,6 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:27.567Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/Smith%27s+Lawn+%26+Tree+Company,+LLC/data=!4m7!3m6!1s0x89ab1487d62636bf:0x94a9d455d58a355f!8m2!3d35.0319549!4d-78.8870699!16s%2Fg%2F11h1855lc!19sChIJvzYm1ocUq4kRXzWK1VXUqZQ","Smith's Lawn & Tree Company, LLC",5.0,63,Landscaper,,"1224 Gillespie St, Fayetteville, NC 28306, United States","24J7+Q5 Fayetteville, North Carolina, USA",http://www.smithslawntree.com/,+1 910-990-5617,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9rwVx-qCb1-LemedSchQgSvOBddUmVKVj5oyuYrw12csu8mq5TB7nAu8diEBtB_9S5kGZflDn-pJtLhAb_06cz37xnSQpsKkOcwtS8ITSyzqKKbD-WmrcS_OKa4UK0RSeaZGst_BGjFqX=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:32.457Z,,
https://www.google.com/maps/place/Green+Earth+Landscaping+%26+Tree+Service+of+Fayetteville/data=!4m7!3m6!1s0x89ab13c5faa5512d:0x11da9088deee659c!8m2!3d35.069569!4d-78.9431874!16s%2Fg%2F1tdx4_gd!19sChIJLVGl-sUTq4kRnGXu3oiQ2hE,Green Earth Landscaping & Tree Service of Fayetteville,4.8,37,Landscaper,,,,,+1 910-476-1419,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjGZfHtYj6RU7DehsDQzTmihvtdK6dwyzH4s90yr-OQHYmo7OskV0g775OS4QVA5jcQb4w6_l4PiTtuVP5WV0KLfaxqUFbWIILY88KaPHiiTNvCVKsbGE8qwxG-5WqCOxTnbE=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:37.141Z,,
https://www.google.com/maps/place/Gamez+Landscaping+NC+LLC/data=!4m7!3m6!1s0x89ab11e0c892daf9:0xea17428b8aca41c0!8m2!3d34.9231407!4d-78.8452534!16s%2Fg%2F11ncmrm58v!19sChIJ-dqSyOARq4kRwEHKiotCF-o,Gamez Landscaping NC LLC,4.6,25,Landscaper,,"6112 Canadian Ave, Hope Mills, NC 28348, United States","W5F3+7V Hope Mills, North Carolina, USA",,+1 910-624-3577,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG57rqhVpUXM6vwJT9BfqIblZIUNXq10oPvqYBUu__y7oS4qZddXzXUg-l9uWzmWPPmeh8T_Kp8DMcvXZmfHCuCjzxZNrOwS5_hxwQxMVEJY5UGAEvM6HfK0gdsm49MI87qkI6jSQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hope+Mills+Fayetteville+NC/@34.9756761,-78.9507262,14z",2026-04-29T19:46:42.058Z,Identifies as women-owned,
