placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,info
https://www.google.com/maps/place/Richmond+Vein+Center/data=!4m7!3m6!1s0x89b11572ad5fdf0f:0xfd998f2d212d615e!8m2!3d37.6271927!4d-77.5273223!16s%2Fg%2F1tgpc4dk!19sChIJD99frXIVsYkRXmEtIS2Pmf0,Richmond Vein Center,4.9,399,Doctor,"7900 Shrader Rd Second Floor, Richmond, VA 23294, United States","JFGF+V3 Richmond, Virginia, USA",http://www.richmondveincenter.com/,+1 804-346-1612,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipPeboj4TaYjhND-WfGzRRdNmSLRoQSJJ0hldIUP=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:05:44.796Z,,
"https://www.google.com/maps/place/Commonwealth+Vein+Center/@37.6047512,-77.5333454,17z/data=!3m1!4b1!4m6!3m5!1s0x89b115078bb31b61:0xe5d283537382a588!8m2!3d37.6047512!4d-77.5333454!16s%2Fg%2F11smmtnvpp",Commonwealth Vein Center,4.6,18,Cardiologist,"7301 Forest Ave STE 102, Richmond, VA 23226, United States","JF38+WM Richmond, Virginia, USA",https://www.commonwealthveincenter.com/,+1 804-621-7262,Closed · Opens 8:30 am Wed,,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:05:51.445Z,,
https://www.google.com/maps/place/Richmond+Vascular+Center/data=!4m7!3m6!1s0x89b112abfe04a3e9:0x4dca06f6ffeeecb1!8m2!3d37.4926469!4d-77.5565149!16s%2Fg%2F1vzg332x!19sChIJ6aME_qsSsYkRsezu__YGyk0,Richmond Vascular Center,4.9,534,Surgical center,"173 Wadsworth Dr, North Chesterfield, VA 23236, United States","FCVV+39 North Chesterfield, Richmond, VA, USA",https://richmondvascularcenter.com/,+1 804-424-0169,Closed · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipM8x8LFgark1aOfUesW2Up2SqvpKaYDJY1vAOLW=w408-h306-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:05:55.848Z,,
https://www.google.com/maps/place/Vcuhs+Vascular+Surgery/data=!4m7!3m6!1s0x89b11123dcbf6f23:0x566aea76af698d4c!8m2!3d37.5410492!4d-77.430484!16s%2Fg%2F1tftrzgr!19sChIJI2-_3CMRsYkRTI1pr3bqalY,Vcuhs Vascular Surgery,5.0,1,Surgical center,"417 N 11th St, Richmond, VA 23298, United States","GHR9+CR Richmond, Virginia, USA",,+1 804-828-9849,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=au14XcqgteudJVeZTsJWpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.67849&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:05:58.597Z,,
https://www.google.com/maps/place/VCU+Health+Baird+Vascular+Institute/data=!4m7!3m6!1s0x89b113f47f2a8f93:0x7dac886b277087bc!8m2!3d37.5599012!4d-77.489928!16s%2Fg%2F1thsb6_2!19sChIJk48qf_QTsYkRvIdwJ2uIrH0,VCU Health Baird Vascular Institute,3.5,8,Medical clinic,"205 N Hamilton St, Richmond, VA 23221, United States","HG56+X2 Richmond, Virginia, USA",https://www.vcuhealth.org/locations/location-details?practice=30,+1 804-828-2600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PZZgxkFPH_vsvWesvNi2lg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.84769&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:00.869Z,,
https://www.google.com/maps/place/Vein+Center+At+Va+Surgical+Associates:+Davis+Ronald+K+MD/data=!4m7!3m6!1s0x89b1148774605c81:0xb2b7fee88ae314a8!8m2!3d37.575591!4d-77.5173457!16s%2Fg%2F1td43cbw!19sChIJgVxgdIcUsYkRqBTjiuj-t7I,Vein Center At Va Surgical Associates: Davis Ronald K MD,,,Doctor,"417 Libbie Ave, Richmond, VA 23226, United States","HFGM+63 Richmond, Virginia, USA",http://www.vascularsurgeryassociates.com/,+1 804-288-1953,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mrROS2s2Tv8ZjToDX0g5Kw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.33444&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:03.110Z,,
https://www.google.com/maps/place/Vascular+Surgery+Associates:+Mukherjee+Avik+MD/data=!4m7!3m6!1s0x89b1153ac862edb1:0x8d264fd05522ea31!8m2!3d37.5755256!4d-77.5172862!16s%2Fg%2F11q2w15y0h!19sChIJse1iyDoVsYkRMeoiVdBPJo0,Vascular Surgery Associates: Mukherjee Avik MD,,,Medical clinic,"417 Libbie Ave, Richmond, VA 23226, United States","HFGM+63 Richmond, Virginia, USA",,+1 2881953,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mrROS2s2Tv8ZjToDX0g5Kw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.63721&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:05.277Z,,
https://www.google.com/maps/place/VeinSolutions+of+Richmond/data=!4m7!3m6!1s0x89b16cb550e748f7:0x3696efc08c6b198c!8m2!3d37.508374!4d-77.593626!16s%2Fg%2F1vlk2fkt!19sChIJ90jnULVssYkRjBlrjMDvljY,VeinSolutions of Richmond,3.0,6,Surgical center,"1051 Johnston Willis Dr # 200, Richmond, VA 23235, United States","GC54+8G Richmond, Virginia, USA",http://veinsolutions.com/,+1 804-330-8024,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipMQNQQ-kB9_76sMLCSrfkvwrPWbdcPm7xd8OhVb=w408-h408-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:09.605Z,,
"https://www.google.com/maps/place/Richmond+Vein+Center+-+Mechanicsville/@37.6248244,-77.384741,17z/data=!3m1!4b1!4m6!3m5!1s0x89b11790b0488d2f:0x657b8216f996454b!8m2!3d37.6248244!4d-77.384741!16s%2Fg%2F11x_5n7n77",Richmond Vein Center - Mechanicsville,,,Medical clinic,"8237 Meadowbridge Rd, Mechanicsville, VA 23116, United States","JJF8+W4 Mechanicsville, Virginia, USA",https://richmondveincenter.com/,+1 804-346-1612,"Closed · Opens 8:30 am Wed

Updated by this business 9 weeks ago",,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:15.874Z,,
https://www.google.com/maps/place/Commonwealth+vein+center/data=!4m7!3m6!1s0x89b16d0035fdb151:0x503d2a0b1a57c9ae!8m2!3d37.5223914!4d-77.6143102!16s%2Fg%2F11xck3ly_n!19sChIJUbH9NQBtsYkRrslXGgsqPVA,Commonwealth vein center,5.0,1,Medical clinic,"2318 Robious Station Cir, Midlothian, VA 23113, United States","G9CP+X7 Midlothian, Virginia, USA",https://commonwealthveincenter.com/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XCpaW8qW8Ued7pM2Nq1Igw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=302.85605&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Richmond+VA/@37.5407246,-77.4360481,14z",2025-12-16T22:06:18.041Z,,
