placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Generator+Supercenter+of+Upstate+NY/data=!4m7!3m6!1s0x89d14b9998187ef3:0x263c96fcdeb4c151!8m2!3d43.0889215!4d-77.6086158!16s%2Fg%2F11s3qqm8zy!19sChIJ834YmJlL0YkRUcG03vyWPCY,Generator Supercenter of Upstate NY,4.9,129,Electric generator shop,· In-store pick-up · Delivery,"1100 Jefferson Rd Suite 9, Rochester, NY 14623, United States","39QR+HH Rochester, New York, USA",http://generatorsupercenterofupstateny.com/,+1 585-318-3306,Closed · Opens 9 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkCcwgOtmZuZx2V58y2MY-OIM6k7Rtu5IP90uBPdPKMAhz1euzjRurrxbWEeJXXofr1_8Yj_KH519g9ZezwC03yApkvIBAF3G9KQi7C5Oq8cQdJfefsaROqXmNUZ5i1UMY9nn-RA=w408-h306-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:46:58.852Z,,
"https://www.google.com/maps/place/Integrated+Power+Supplies+International,+Inc./data=!4m7!3m6!1s0x89d14f152fadac47:0x7665dd26b675670c!8m2!3d43.0166698!4d-77.6646186!16s%2Fg%2F11f5hm7qxb!19sChIJR6ytLxVP0YkRDGd1tibdZXY","Integrated Power Supplies International, Inc.",4.9,167,Electric generator shop,· Delivery,"999 Rush Henrietta Townline Rd, Rush, NY 14543, United States","288P+M5 Rush, New York, USA",https://www.ipsigenerators.com/,+1 585-571-1313,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipMpkovbtPP-zWBS3bqxb7smML_ah2CxhtQMELtT=w408-h306-k-no,true,Open 24 hours,Open 24 hours,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:04.727Z,,
https://www.google.com/maps/place/Nichols+Electric+and+Plumbing/data=!4m7!3m6!1s0x89d14c494fe58049:0x1da95768e1c5f26c!8m2!3d43.0931732!4d-77.641753!16s%2Fg%2F1tjtk7np!19sChIJSYDlT0lM0YkRbPLF4WhXqR0,Nichols Electric and Plumbing,4.9,3342,Electrician,,"1387 Brighton Henrietta Town Line Rd, Rochester, NY 14623, United States","39V5+77 Rochester, New York, USA",https://www.nicholselectric.com/,+1 585-580-2102,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPBPQ_NrmtiYouE9Gk4Z8uGw_rc9d-aHT391fU=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:09.713Z,,
https://www.google.com/maps/place/AC+Electric+LLC/data=!4m7!3m6!1s0x871316608de0261d:0x710289b5cf5e47bb!8m2!3d43.1876948!4d-77.6157947!16s%2Fg%2F11lmg0w95w!19sChIJHSbgjWAWE4cRu0dez7WJAnE,AC Electric LLC,5.0,34,Electrician,,"470 Hollenbeck St, Rochester, NY 14621, United States","59QM+3M Rochester, New York, USA",https://www.acelectriclighting.com/,+1 585-298-5489,"Open 24 hours

Updated by this business 10 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipNV0f4gK0al8MTop2uSfviNzJFQjCSC-eub_4iv=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:14.719Z,,
"https://www.google.com/maps/place/Hurricane+Home+Solutions,+Inc./data=!4m7!3m6!1s0x89d6b555f2162be9:0x504a0e8dca43407a!8m2!3d43.0639914!4d-77.6451788!16s%2Fg%2F11j37kjjz9!19sChIJ6SsW8lW11okRekBDyo0OSlA","Hurricane Home Solutions, Inc.",4.6,84,Electric generator shop,· Delivery,"95 Methodist Hill Dr #800, Rochester, NY 14623, United States","3973+HW Rochester, New York, USA",https://hurricanehomesolutions.com/,+1 585-244-0099,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTF39mrjLutXaHc4nIs5w5_RaK4Y6RDpQv3uQVBbYay7gluPEn1nFgaTZge1yxa15UiF8Z23DsE-fKagN_rtKgqqigFMuU1dA3pKVENCiwTKtunS_r6TH4rcGn-au8Ja27Bu4ytQ=w408-h544-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:19.638Z,,
https://www.google.com/maps/place/Home+Power+Systems+and+Commercial+Power+Systems/data=!4m7!3m6!1s0x89d136cca3a54af5:0x98cd1347bdaa3ffb!8m2!3d42.9817863!4d-77.3565158!16s%2Fg%2F1tsr45fw!19sChIJ9Uqlo8w20YkR-z-qvUcTzZg,Home Power Systems and Commercial Power Systems,5.0,1001,Electric generator shop,· In-store pick-up,"1127 Corporate Dr, Farmington, NY 14425, United States","XJJV+P9 Farmington, New York, USA",http://www.homepowersystems.net/,+1 585-421-0203,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipND5VG5SWUhHWEbgRbVPzQeuAEAmvVFw2WEBog7=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:24.866Z,,
https://www.google.com/maps/place/Isaac+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x89d6b5a66bb7b065:0xe39245323028b420!8m2!3d43.1928762!4d-77.6563486!16s%2Fg%2F11cn5pfyll!19sChIJZbC3a6a11okRILQoMDJFkuM,Isaac Heating & Air Conditioning,4.8,5623,Furnace repair service,,"50 Holleder Pkwy, Rochester, NY 14615, United States","58VV+5F Rochester, New York, USA",https://www.isaacheating.com/rochester/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Rochester-NY,+1 585-565-0852,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOGEr_v603c2ULfWqTO4c26QoZ8qbScfS9OL2Be=w408-h291-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:29.731Z,,
"https://www.google.com/maps/place/Reimer+Heating,+Cooling+%26+Plumbing,+LLC/data=!4m7!3m6!1s0xa4f615782a2272c1:0xa6c28362fa06236c!8m2!3d43.1454693!4d-77.7043393!16s%2Fg%2F11ks67q75v!19sChIJwXIiKngV9qQRbCMG-mKDwqY","Reimer Heating, Cooling & Plumbing, LLC",4.9,1837,Air conditioning repair service,,"52 Marway Cir, Rochester, NY 14624, United States","47WW+57 Rochester, New York, USA",https://reimerhvac.com/rochester/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*279*reimer-heating-cooling-rochester,+1 585-466-2180,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNNQ8eBjcz6lcVl2sD1IC4ntWG2YSmq--m6Miq_=w408-h338-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:34.727Z,,
https://www.google.com/maps/place/Anderson+Water-Power-Air/data=!4m7!3m6!1s0x89d14af04d46b0d3:0x841006b8bf74e759!8m2!3d43.0846768!4d-77.5933265!16s%2Fg%2F1tffkrt_!19sChIJ07BGTfBK0YkRWed0v7gGEIQ,Anderson Water-Power-Air,4.8,2516,Electrician,,"79 Saginaw Dr, Rochester, NY 14623, United States","3CM4+VM Rochester, New York, USA",https://andersonwater.com/,+1 800-836-2509,,,https://lh3.googleusercontent.com/p/AF1QipMdO2vnCIfHD0ICjxlOBS3GWCQgPof3tmp5YhG4=w408-h390-k-no,true,Closed,Closed,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:40.105Z,,
https://www.google.com/maps/place/Halco+of+Rochester/data=!4m7!3m6!1s0x89d14b180e047d83:0xba49585c3db3d936!8m2!3d43.122741!4d-77.4860159!16s%2Fg%2F11gdvwjmrq!19sChIJg30EDhhL0YkRNtmzPVxYSbo,Halco of Rochester,5.0,867,Air conditioning contractor,,"365 N Washington St, Rochester, NY 14625, United States","4GF7+3H Rochester, New York, USA",https://www.halcoenergy.com/?utm_campaign=rochester&utm_medium=organic&utm_source=gmb,+1 585-200-3364,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxoRvQQ167LFQegCDewXOaqTFpL4nv8cM2X_b-K-SF3daiMHRb081ytkzEnW488elfYO_wiEJUoD-AYSFohR_zAhuWzEVs6WpacF2AJOcryZxTbEBh6oF8IKyVIrQGK39sUh1L6Wg=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2026-01-10T22:47:45.211Z,,
