placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,error,info
https://www.google.com/maps/place/Divine+Mercy+Care+Homes/data=!4m7!3m6!1s0x80ea41957374e8f9:0xe85bdbf8fd09aa9b!8m2!3d35.30709!4d-119.116603!16s%2Fg%2F11wr49l9bb!19sChIJ-eh0c5VB6oARm6oJ_fjbW-g,Divine Mercy Care Homes,5.0,2,Assisted living facility,"10239 Lanesborough Ave, Bakersfield, CA 93311, United States","8V4M+R9 Bakersfield, California, USA",https://divinemercycarehomes.com/,+1 818-428-5622,Closes soon ⋅ 5 pm ⋅ Opens 10 am Thu,https://lh3.googleusercontent.com/p/AF1QipMa6T8zYpKpnUR1duo7_O4gwzopz6xxwGXNMwKa=w408-h383-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:03.567Z,,,
https://www.google.com/maps/place/Bristol+Hospice+-+Bakersfield/data=!4m7!3m6!1s0x80ea69f3e28c6ad1:0x86f38822ffa33d39!8m2!3d35.3653436!4d-119.0562661!16s%2Fg%2F11q958ht26!19sChIJ0WqM4vNp6oAROT2j_yKI84Y,Bristol Hospice - Bakersfield,4.9,71,Hospice,"4900 California Ave 110 A, Bakersfield, CA 93309, United States","9W8V+4F Bakersfield, California, USA",https://bristolhospice.com/,+1 661-716-4000,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jeFZCPfMjlyvvBw4o0oAWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.60904&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:08.532Z,,,
https://www.google.com/maps/place/Aasta+Hospice/data=!4m7!3m6!1s0x80ea692e03df6aaf:0x192f27c1a881372c!8m2!3d35.3859917!4d-119.0228919!16s%2Fg%2F11t9t5_95y!19sChIJr2rfAy5p6oARLDeBqMEnLxk,Aasta Hospice,4.6,31,Home health care service,"2920 F St Suite I-10, Bakersfield, CA 93301, United States","9XPG+9R Bakersfield, California, USA",https://aastahealth.com/,+1 661-523-3686,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7FRxlAsCtUSYrZN_s85_9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.21323&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:12.939Z,,,
https://www.google.com/maps/place/Divinity+Hospice/data=!4m7!3m6!1s0x80c2971602ebb4a1:0x84543e62b46135be!8m2!3d35.3788835!4d-119.0183182!16s%2Fg%2F11gjp786g5!19sChIJobTrAhaXwoARvjVhtGI-VIQ,Divinity Hospice,5.0,12,Hospice,"2130 Chester Ave Suite 102, Bakersfield, CA 93301, United States","9XHJ+HM Bakersfield, California, USA",http://www.divinityhospice.com/,+1 661-742-1023,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOWO1DpBy-U0_iTRx3GPovMhQxPXNMYAmRJP8Nn=w408-h320-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:17.631Z,,,
https://www.google.com/maps/place/Free+Spirit+Hospice/data=!4m7!3m6!1s0x80ea697c081156f5:0x6b75039a163eea28!8m2!3d35.3859917!4d-119.0228919!16s%2Fg%2F11hgg697gv!19sChIJ9VYRCHxp6oARKOo-FpoDdWs,Free Spirit Hospice,5.0,2,Hospice,"2920 F St Suite I-10, Bakersfield, CA 93301, United States","9XPG+9R Bakersfield, California, USA",,+1 661-523-3686,Open ⋅ Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zp5OrBcD3n10EbGiBumewg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=267.61694&pitch=0&thumbfov=100,false,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Open 24 hours,Open 24 hours,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:22.061Z,,,
"https://www.google.com/maps/place/Ararat+Hospice+Care,+Inc./data=!4m7!3m6!1s0x80ea41e9df52bd15:0x28504adba91db07a!8m2!3d35.3910711!4d-119.0089165!16s%2Fg%2F11d_cypx1g!19sChIJFb1S3-lB6oARerAdqdtKUCg","Ararat Hospice Care, Inc.",4.4,14,Hospice,"3535 San Dimas St Suite 12, Bakersfield, CA 93301, United States","9XRR+CC Bakersfield, California, USA",,+1 661-396-9000,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPu77kjoiqO9owPcDZOjkM5dBNCk-9VXqlaC_9a=w408-h309-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:26.378Z,,,
https://www.google.com/maps/place/Lenus+Care+Hospice/data=!4m7!3m6!1s0x80ea43a3a9484705:0xd3fa79c4e322f80d!8m2!3d35.3625102!4d-119.0604678!16s%2Fg%2F11l_6x4twk!19sChIJBUdIqaND6oARDfgi48R5-tM,Lenus Care Hospice,5.0,1,Hospice,"5060 California Ave Suite 415, Bakersfield, CA 93309, United States","9W7Q+2R Bakersfield, California, USA",,+1 800-552-6054,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VJWUV-zndnxhh3_hfFIowg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=125.885284&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:30.670Z,,,
https://www.google.com/maps/place/Bristol+Hospice+Care/data=!4m7!3m6!1s0x80ea698a52569b6d:0xeaae2805a98071a0!8m2!3d35.3738973!4d-119.0190573!16s%2Fg%2F12618nrw1!19sChIJbZtWUopp6oARoHGAqQUoruo,Bristol Hospice Care,4.3,6,Hospice,"1675 Chester Ave # 401, Bakersfield, CA 93301, United States","9XFJ+H9 Bakersfield, California, USA",https://bristolhospice.com/,+1 661-716-4000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0hFTdK5UWYpjVTG5r5LQXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.33463&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:33.184Z,,,
"https://www.google.com/maps/place/Solace+Healthcare,+Inc.+-+Home+Health+%26+Hospice+Care/data=!4m7!3m6!1s0x80ea69a02c589e51:0x285b34d50e23ce95!8m2!3d35.3693445!4d-119.015908!16s%2Fg%2F11rwp870f1!19sChIJUZ5YLKBp6oARlc4jDtU0Wyg","Solace Healthcare, Inc. - Home Health & Hospice Care",5.0,49,Home health care service,"3955 Bakersfield St suite 101 & 141, Bakersfield, CA 93301, United States","9X9M+PJ Bakersfield, California, USA",http://www.solacehc.com/,+1 661-843-7787,Closes soon ⋅ 5 pm ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAR3fkNdnJcztagLZiLZqa9YyPtQb9yq8cBHKkEX6SToo0pNhrwjate3lKZomNwVEmiND3FaXoxcXll0_Gv-9VgEtirciY1dGschI1V8PUMJJ4OvuJmVbqyPnjzUXQ-Jx17w3EfOCOUCg=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:37.528Z,,,
"https://www.google.com/maps/place/Compassionate+Care+Home+Health,+Hospice,+and+In+Home+Care+-+Bakersfield/data=!4m7!3m6!1s0x80ea41f4c9585edb:0xf484a44357e6ce61!8m2!3d35.3591268!4d-119.0602502!16s%2Fg%2F11fmgz34rw!19sChIJ215YyfRB6oARYc7mV0OkhPQ","Compassionate Care Home Health, Hospice, and In Home Care - Bakersfield",4.6,31,Home health care service,"5201 California Ave Suite 255, Bakersfield, CA 93309, United States","9W5Q+MV Bakersfield, California, USA",http://compassionatecare.com/,+1 661-846-2833,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNyJVMjRujJ5wBPlXWn2nrP7S5e2bYe7qW3whHH=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-17T23:26:41.996Z,,,
