placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes
https://www.google.com/maps/place/Urban+Roots+Landscaping+Tacoma+LLC/data=!4m7!3m6!1s0x549055f88b6b624b:0x821e2dcba3d0562!8m2!3d47.2629587!4d-122.4863557!16s%2Fg%2F11mvzkkn1n!19sChIJS2Jri_hVkFQRYgU9utziIQg,Urban Roots Landscaping Tacoma LLC,4.8,135,Lawn care service,"3711 N 14th St, Tacoma, WA 98406, United States","7G77+5F Tacoma, Washington, USA",http://urbanrootslandscaping.com/,+1 253-292-3839,Open · Closes 9 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIH9fZc_vt_JO8mJFeigg1NFzy6rCtWQ9Xyegf5fMYSxsMlAwYJy2LdQwRRVBbRAPFBHEKoZFkmfyIX7u0yfTQdnevtMLcoSJgfLLe4vqt8nl_LNeqwWTyASF0LFHPHXHmCfqy=w408-h408-k-no,true,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,9 am–9 pm,7:30 am–9 pm,7:30 am–9 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:13.327Z,
https://www.google.com/maps/place/Royal+Landscaping+%26+Hauling/data=!4m7!3m6!1s0x549055bcaa9fbfc9:0x6eebc48a9c94a4ae!8m2!3d47.2559529!4d-122.4768673!16s%2Fg%2F11q4bhhfqz!19sChIJyb-fqrxVkFQRrqSUnIrE624,Royal Landscaping & Hauling,5.0,105,Landscaper,"3110 N 7th St, Tacoma, WA 98406, United States","7G4F+97 Tacoma, Washington, USA",https://royal-junk-removal.com/contact/,+1 253-509-1272,Open · Closes 7 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwhJ4wUlPp_xm-AtzCX3MN_17Q0W9qfG0b7TnxAKSYq-i8NqpfWxSE250ZgypOkkJPw18-7px7gubGUwyFxUbwPnyhL4pKUasTBV5O_TKpNdafmOem7CNWiHluKNDgLPtBlbOODUrUC5Hi=w408-h479-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:19.670Z,
https://www.google.com/maps/place/Alvin%27s+Landscaping/data=!4m7!3m6!1s0x5491aad93484b187:0xbdf1d3cc3cea85ae!8m2!3d47.2419091!4d-122.5288848!16s%2Fg%2F11f3f8k9kg!19sChIJh7GENNmqkVQRroXqPMzT8b0,Alvin's Landscaping,4.5,43,Landscaper,"6824 19th St W, Tacoma, WA 98466, United States","6FRC+QC Tacoma, Washington, USA",http://alvinslandscaping.com/,+1 253-677-9064,Open · Closes 8 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYyAWdzisV7rEsK_BSldY-ZuiqehLDd3guwCIeEYpYbGZcZA3hi0GG1AW2TXjXhk6d-d8b7lApye7ruRsnYr7mwuPVGMXkZsSkJwwOcIzn_oxZo7l6pbBHUnyNERltKmmkzItN=w408-h544-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,9 am–5 pm,7 am–8 pm,7–8 am,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:24.377Z,
"https://www.google.com/maps/place/Father+Nature+Landscapes+of+Tacoma,+Inc./data=!4m7!3m6!1s0x5490fe3072611f3f:0xa1f9a7c3a73b33c!8m2!3d47.1865529!4d-122.4085836!16s%2Fg%2F1tf2xhnh!19sChIJPx9hcjD-kFQRPLNzOnyaHwo","Father Nature Landscapes of Tacoma, Inc.",4.5,119,Landscaper,"7718 Portland Ave E, Tacoma, WA 98404, United States","5HPR+JH Tacoma, Washington, USA",https://fnltacoma.com/,+1 253-761-6437,Open · Closes 4 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvtI6XD7ig4jcjcJ42SxcbJKC6jM47kSLy_RrK0G_ifqcqiTjvLdPXXnmlpNFKpgQ5BBJh1A8sJY5SuYd0ljepLyqv-zDIwmwHuWAYJXnI6gQRUoqtmrlmXapgJI0toYbz429dSA=w425-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:29.351Z,
https://www.google.com/maps/place/Pierce+Landscapers+%26+Lawn+Care/data=!4m7!3m6!1s0x5491017f911ccc21:0x341d65f34f3ca825!8m2!3d47.1945874!4d-122.442204!16s%2Fg%2F11np10bn40!19sChIJIcwckX8BkVQRJag8T_NlHTQ,Pierce Landscapers & Lawn Care,4.8,44,Landscaper,"6826 Park Ave. S, Tacoma, WA 98408, United States","5HV5+R4 Tacoma, Washington, USA",,+1 253-652-9961,Open · Closes 7 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAERwelI19g-spN3dHw3LvDs1-ZqEhsexn9y_P1WsueZgHC3amwtguIgm2SyvXOZw7oRmAjGKq5YQGgolf7FGdDGvW6_TpALnJgcssJqpVsxlPrDDyBlsn1O_uyNeIy2TjijUbiurQ=w408-h306-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7:30 pm,7 am–7 pm,7 am–7 pm,7 am–7:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:34.285Z,
https://www.google.com/maps/place/Markee+Ecological+Garden+Design/data=!4m7!3m6!1s0x41c548f26f6ed1ad:0xe0d8352bb4efcb44!8m2!3d47.142664!4d-122.1135166!16s%2Fg%2F11vrtvpf4q!19sChIJrdFub_JIxUERRMvvtCs12OA,Markee Ecological Garden Design,5.0,18,Landscaper,,,https://www.markeegardens.com/,+1 206-228-5794,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAM20KkItELbWI2enYTie3m4UQlE9pcBf-2BpjCeLvspHS_Q91YGclxOREZ1OGvisS3aBwEm1BXONKOZAbmEBBQ9W4I04WX_nRObwv8jersjxDyJsqBdGm74Kc9kvuuLe-4ajWbgVl_l8=w408-h349-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:39.132Z,
https://www.google.com/maps/place/Lyon+Landscape+Architects/data=!4m7!3m6!1s0x549012940a5c9669:0xd9e2cb7d93f00f2f!8m2!3d47.242506!4d-122.4374239!16s%2Fg%2F1pp2tjfkh!19sChIJaZZcCpQSkFQRLw_wk33L4tk,Lyon Landscape Architects,5.0,1,Landscape architect,"2111 S C St, Tacoma, WA 98402, United States","6HV7+22 Tacoma, Washington, USA",http://www.lyonla.com/,+1 253-678-4173,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwnP6rfwZ0p76MtvoYINYpWawSysEwRZi-1qmLr5tJiMuNJ_FrG-3q-f7bJCbIN2tkK4KeP14vdrzhjyB3hWheNpeTI20c7ocCg-0IzjCXeu2l0SPQaUxT6CHwYP5BEFHIbGS0=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:44.007Z,
"https://www.google.com/maps/place/Tacoma+Winsupply+Co+-+Landscaping,+Irrigation+%26+Hardscapes/data=!4m7!3m6!1s0x54905560b6c8c6c9:0xd08d2660f7ca57a4!8m2!3d47.2325104!4d-122.4493761!16s%2Fg%2F11c3sw6rdg!19sChIJycbItmBVkFQRpFfK92AmjdA","Tacoma Winsupply Co - Landscaping, Irrigation & Hardscapes",4.9,30,Landscaping supply store,"1114 S 30th St, Tacoma, WA 98409, United States","6HM2+26 Tacoma, Washington, USA",https://www.winsupplyinc.com/Location/Tacoma-WA/98409/Irrigation-Supplies,+1 253-272-8445,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEm9-B1mcpMUymUdx9UgS8bTSoEH8bb3FauvrLdx60-G73mkU0h2GOQrZNJxqsjxMLkusAIC4SgODTxU6ubMaVQ26ez1-dJlVT7-SifujjOL4pR0my3b1TgaGQvYvUAMCk1rpZ_=w408-h411-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:48.893Z,· Delivery
https://www.google.com/maps/place/Oscar%27s+Lawn+Service+Etc/data=!4m7!3m6!1s0x549054ddc3f7aacf:0x41ece3e05e283680!8m2!3d47.2633522!4d-122.4934131!16s%2Fg%2F1tf9y3h2!19sChIJz6r3w91UkFQRgDYoXuDj7EE,Oscar's Lawn Service Etc,5.0,8,Lawn care service,"1414 N Tyler St, Tacoma, WA 98406, United States","7G74+8J Tacoma, Washington, USA",http://www.oscarslawnserviceetc.com/,+1 253-752-2419,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtoNKHmOO721fwh2xYUqg4LcPnK-8T5I8SzUqToOqr2AqRQo3mnGC6MysUSGhCdV24rO2_MTLZxb33gYJ_TV3F0WYRXv7JU7oqXBAbdacIak24CzYxvxfAT1GVQPzMQFIsiubG=w545-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:53.694Z,
https://www.google.com/maps/place/Nasim+Landscape/data=!4m7!3m6!1s0x549054cfe92064d3:0xb6d27bc7c67ae99b!8m2!3d47.179242!4d-122.3584862!16s%2Fg%2F11cjy5x2_4!19sChIJ02Qg6c9UkFQRm-l6xsd70rY,Nasim Landscape,4.6,91,Landscaper,"8516 Canyon Rd E, Puyallup, WA 98371, United States","5JHR+MJ Puyallup, Washington, USA",http://www.nasimlandscape.com/,+1 253-988-0165,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzB4qPDdBWG2YeqGf9GGRZMs2vpycN1I-o5cxnLQLnE9XhILlz1I7Ub8wE1YJseGZ2zfT9_1ktCOFHXEVvdIOdjZ7N-UZZvy7JRHWdny1CAEX-SE9_ScDsvIZjS0ko7qm347IiWw=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Tacoma+WA/@47.255134,-122.4420002,14z",2026-04-29T19:56:58.576Z,
