placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x4cb29dbca3fb1bf9:0x5b7eb0f5bdc72e1c!8m2!3d43.6646461!4d-70.2700765!16s%2Fg%2F11s0jtj2nb!19sChIJ-Rv7o7ydskwRHC7HvfWwfls,Gentiva Hospice,4.7,12,Hospice,"53 Baxter Blvd, Portland, ME 04101, United States","MP7H+VX Portland, Maine, USA",https://www.gentivahs.com/,+1 207-245-1648,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPy3ew63eBZNOgo9JXCtXmR_FYtIfmGE4QQX0rf=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:23.524Z,,,,
https://www.google.com/maps/place/Amedisys+Palliative+Care/data=!4m7!3m6!1s0x4cb2996be4a8bb59:0xa6da4173c60cb73f!8m2!3d43.6371666!4d-70.3281184!16s%2Fg%2F1v26lq4d!19sChIJWbuo5GuZskwRP7cMxnNB2qY,Amedisys Palliative Care,5.0,1,Hospice,"52 Atlantic Pl Suite B-50, South Portland, ME 04106, United States","JMPC+VQ South Portland, Maine, USA",https://locations.amedisys.com/me/south-portland/palliative-care-4810/?utm_source=google&utm_medium=organic&utm_campaign=locallisting,+1 877-202-2869,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN4TMhGTKUv5SSiIF_wDlB6LenJ3dCFk_re9K3B=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:29.089Z,,,,
https://www.google.com/maps/place/MaineHealth+-+Home+Health+%26+Hospice+-+Portland/data=!4m7!3m6!1s0x4cb29b6ff8d336bb:0x205cfee7cde2075b!8m2!3d43.6894948!4d-70.2719738!16s%2Fg%2F11hd51f_fd!19sChIJuzbT-G-bskwRWwfizef-XCA,MaineHealth - Home Health & Hospice - Portland,1.0,1,Hospice,"901 Washington Ave Suite 104, Portland, ME 04103, United States","MPQH+Q6 Portland, Maine, USA",https://mainehealth.org/services/home-health-care/?utm_source=google&utm_medium=local,+1 800-660-4867,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WZMpsosZ5tlW--NPOBo8OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.99361&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:34.632Z,,,,
https://www.google.com/maps/place/Northern+Light+Mercy+Palliative+Care/data=!4m7!3m6!1s0x4cb29df1806ab087:0x410180b03a173bd6!8m2!3d43.6490406!4d-70.2825859!16s%2Fg%2F11flt2kr_l!19sChIJh7BqgPGdskwR1jsXOrCAAUE,Northern Light Mercy Palliative Care,,,Hospital department,"195 Fore River Pkwy #360, Portland, ME 04102, United States","JPX8+JX Portland, Maine, USA",https://northernlighthealth.org/Services/Palliative-Care,+1 207-553-6868,Closed ⋅ Opens 8:30 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3_dOWXT91WPk70VOYpjhEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=31.135818&pitch=0&thumbfov=100,false,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:39.388Z,,,,
"https://www.google.com/maps/place/Beacon+Hospice+Care,+an+Amedisys+Company/data=!4m7!3m6!1s0x4cb299c89e325a0f:0xaa30d298a18f2ed4!8m2!3d43.6371666!4d-70.3281184!16s%2Fg%2F11h1kddrd0!19sChIJD1oynsiZskwR1C6PoZjSMKo","Beacon Hospice Care, an Amedisys Company",5.0,2,Hospice,"52 Atlantic Pl Suite B-50, South Portland, ME 04106, United States","JMPC+VQ South Portland, Maine, USA",https://locations.amedisys.com/me/south-portland/hospice-4806/?utm_source=google&utm_medium=organic&utm_campaign=locallisting,+1 207-772-0929,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOzGWP9IkbvSeO9gGKYnuTQGluqfpOgCbeFEM27=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:44.175Z,,,,
https://www.google.com/maps/place/Affinity+Care+of+Maine/data=!4m7!3m6!1s0x4cb299cc3c56f16d:0xdf8f849e77aa6ab0!8m2!3d43.6091639!4d-70.301976!16s%2Fg%2F11tdhr747c!19sChIJbfFWPMyZskwRsGqqd56Ej98,Affinity Care of Maine,5.0,27,Hospice,"1 Runway Rd Ste 5, South Portland, ME 04106, United States","JM5X+M6 South Portland, Maine, USA",https://affinityhealthmanagement.com/maine/,+1 207-345-6669,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sWuiWfmkltd4c-30I4WTHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.185986&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:49.241Z,,,,
https://www.google.com/maps/place/Seaside+Healthcare/data=!4m7!3m6!1s0x4cb29c8014d56483:0x438fec295f670fb2!8m2!3d43.679923!4d-70.262609!16s%2Fg%2F1tftdy03!19sChIJg2TVFICcskwRsg9nXynsj0M,Seaside Healthcare,2.6,25,Rehabilitation center,"850 Baxter Blvd, Portland, ME 04103, United States","MPHP+XX Portland, Maine, USA",http://seaside-healthcare.com/,+1 207-774-7878,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l1Zi_VQbjoR0H7RPL0PEhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=127.587364&pitch=0&thumbfov=100,false,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:54.142Z,,,,
https://www.google.com/maps/place/Atlantic+Home+Health+Care+LLC/data=!4m7!3m6!1s0x4cb29b8b7646ea63:0x5e1c8c7f0a708eca!8m2!3d43.6876893!4d-70.2973447!16s%2Fg%2F11smhk_gz3!19sChIJY-pGdoubskwRyo5wCn-MHF4,Atlantic Home Health Care LLC,,,Home health care service,"75 Bishop St Suit21, Portland, ME 04103, United States","MPQ3+33 Portland, Maine, USA",http://atlantichhcare.com/,+1 207-420-1769,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yo7c81ZqKbYn-5O1Dxtsbw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.4284678&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:16:59.034Z,,,,
https://www.google.com/maps/place/Cornerstone+Caregiving/data=!4m7!3m6!1s0x4cb29bde0bb8e365:0xa30f53a75be5a4b!8m2!3d43.6690451!4d-70.3006873!16s%2Fg%2F11y763977t!19sChIJZeO4C96bskwRS1q-dTr1MAo,Cornerstone Caregiving,,,Home health care service,"498 Woodford St Suite C, Portland, ME 04103, United States","MM9X+JP Portland, Maine, USA",https://cornerstonecaregiving.com/locations/portland-me/?utm_source=google&utm_medium=yext,+1 207-536-5757,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e9_g8Ths9j1OhaBrxmy-wA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.5164&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:17:03.886Z,,,,
https://www.google.com/maps/place/Northern+Light+Home+Care+and+Hospice/data=!4m7!3m6!1s0x4cb29969838fd4e1:0xd41d4eb1a72c6de0!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11s34qsggx!19sChIJ4dSPg2mZskwR4G0sp7FOHdQ,Northern Light Home Care and Hospice,3.6,7,Home health care service,,,https://northernlighthealth.org/Our-System/Home-Care-and-Hospice/Locations/Home-Care-Hospice-Cumberland-York,+1 800-757-3326,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP2OiUcu9CGE1Ntb4iDeJGqgrhFcqexbKxUPMQh=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-18T00:17:08.622Z,,,,
