placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes
"https://www.google.com/maps/place/Seattle+Anxiety+Specialists,+PLLC+-+Psychiatry+%26+Psychology/data=!4m7!3m6!1s0x5490153e9b89303b:0x28071e0f34e69ad8!8m2!3d47.6121068!4d-122.3394906!16s%2Fg%2F11c4__fzpw!19sChIJOzCJmz4VkFQR2JrmNA8eByg","Seattle Anxiety Specialists, PLLC - Psychiatry & Psychology",4.6,54,Psychiatrist,"1904 3rd Ave, Seattle, WA 98101, United States","JM66+R6 Seattle, Washington, USA",https://seattleanxiety.com/,+1 206-309-5990,Closes soon · 8 pm · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipO4wNoR0n2XHryHHn5THZzS04ZpThhCWZTiB9R3=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:37:46.843Z,,
https://www.google.com/maps/place/SeattleNTC+-+Seattle/data=!4m7!3m6!1s0x54906ac431bdc393:0x5d9a0e6bb8cb5bad!8m2!3d47.6079727!4d-122.3281092!16s%2Fg%2F1tq6jsky!19sChIJk8O9McRqkFQRrVvLuGsOml0,SeattleNTC - Seattle,4.7,107,Psychiatrist,"805 Madison St Suite 401, Seattle, WA 98104, United States","JM5C+5Q Seattle, Washington, USA",https://www.seattlentc.com/,+1 206-467-6300,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfEtqUzxb6eaxOGNY4qWOiqSdMlSCQpvBzreKM4iYpJr0gAdVklnstv7TKuy1csurtY3TMS0hgRQfEMmegAu0gmAIAnjtusLss8nCSu6MQ75UJQOpmfHgFKcBR7I73edfa_TYbZP_txNQ=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:37:51.349Z,,
https://www.google.com/maps/place/Martini+Psychiatric+Practice/data=!4m7!3m6!1s0x54906ab30b89b105:0x968af5efc73674be!8m2!3d47.6099323!4d-122.3383672!16s%2Fg%2F1tgpxxbv!19sChIJBbGJC7NqkFQRvnQ2x-_1ipY,Martini Psychiatric Practice,4.7,22,Mental health clinic,"1511 3rd Ave, Seattle, WA 98101, United States","JM56+XM Seattle, Washington, USA",http://www.martinipsychiatry.com/,+1 206-381-0610,Closed · Opens 11 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JeZHwuq7FAVqs3Z5N66RZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=236.96735&pitch=0&thumbfov=100,true,11 am–6 pm,11 am–6 pm,Closed,11 am–6 pm,11 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:37:56.195Z,,
https://www.google.com/maps/place/Blue+Mountain+Psychiatry:+Seattle/data=!4m7!3m6!1s0x54906b0a112abdd7:0xaf711937e0308fcb!8m2!3d47.5984272!4d-122.3354523!16s%2Fg%2F11vrpdjh5w!19sChIJ170qEQprkFQRy48w4DcZca8,Blue Mountain Psychiatry: Seattle,5.0,21,Psychiatrist,"450 Alaskan Way S Suite 200, Seattle, WA 98104, United States","HMX7+9R Seattle, Washington, USA",http://www.bluemountainpsychiatry.net/,+1 206-580-3627,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SwZ2vKVUMEilmjgNPYiGNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.9864&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:00.637Z,,
https://www.google.com/maps/place/Blissz+Psychiatry+%26+Healthcare+-+Seattle+Washington/data=!4m7!3m6!1s0x5490155f6efc5217:0xe3f93dd705c0f497!8m2!3d47.620527!4d-122.358426!16s%2Fg%2F11lnp72f53!19sChIJF1L8bl8VkFQRl_TABdc9-eM,Blissz Psychiatry & Healthcare - Seattle Washington,5.0,15,Mental health clinic,"221 1st Ave W #200, Seattle, WA 98119, United States","JJCR+6J Seattle, Washington, USA",https://blisszpsychiatry.com/,+1 832-400-1002,Closed · Opens 7 am Tue,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=68fuzJrFXFQgd6VBN9qOAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=55.618294&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–12 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:05.160Z,true,
https://www.google.com/maps/place/Ideal+Mental+Health+and+Wellness/data=!4m7!3m6!1s0x54901549019f6179:0xb9fe34058dd17ac2!8m2!3d47.6139795!4d-122.3372376!16s%2Fg%2F11q1r3nn29!19sChIJeWGfAUkVkFQRwnrRjQU0_rk,Ideal Mental Health and Wellness,4.2,13,Mental health service,"600 Stewart St Ste 400, Seattle, WA 98101, United States","JM77+H4 Seattle, Washington, USA",http://idealmentalcare.com/,+1 888-599-4554,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNz76PvrTTdalLPFECrXFA6qjitNta_ztCfwkpB=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:09.603Z,,
https://www.google.com/maps/place/Phoenix+Mental+Health-+Spravato+and+TMS+Treatment+Center/data=!4m7!3m6!1s0x549015ddba4446cb:0xaad86aede9f59620!8m2!3d47.612851!4d-122.3366907!16s%2Fg%2F11wn78rf3x!19sChIJy0ZEut0VkFQRIJb16e1q2Ko,Phoenix Mental Health- Spravato and TMS Treatment Center,4.7,13,Mental health clinic,"509 Olive Wy Suite 1138, Seattle, WA 98101, United States","JM77+48 Seattle, Washington, USA",https://www.phoenix-hope.com/,+1 206-813-0201,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8EV2wgsHIROXkFGgsNPjnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.24948&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:14.032Z,,
https://www.google.com/maps/place/Serenity+Psychiatry+-+Seattle/data=!4m7!3m6!1s0x54906b8473e9472b:0x48c93f8e53d9c3b2!8m2!3d47.6020226!4d-122.3335495!16s%2Fg%2F11x5hp1dqm!19sChIJK0fpc4RrkFQRssPZU44_yUg,Serenity Psychiatry - Seattle,5.0,7,Mental health clinic,"600 1st Ave Ste 102, Seattle, WA 98104, United States","JM28+RH Seattle, Washington, USA",https://serenity-psychiatry.org/,+1 206-569-4540,Closed · Opens 9 am Tue,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O9WA9qPcimLSNm04fSR6Dg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.27176&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:18.487Z,,
"https://www.google.com/maps/place/Existential+Psychiatry+%7C+David+G.+Zacharias,+MD/data=!4m7!3m6!1s0x54901598d8e7ca69:0xdfac9ba8164a7f05!8m2!3d47.6344175!4d-122.280576!16s%2Fg%2F11gj19g0f9!19sChIJacrn2JgVkFQRBX9KFqibrN8","Existential Psychiatry | David G. Zacharias, MD",4.9,46,Psychiatrist,"4020 E Madison St # 240, Seattle, WA 98112, United States","JPM9+QQ Seattle, Washington, USA",https://www.existentialpsychiatry.com/,+1 206-569-8733,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM50R-ygL1HTAm9Xk-ek7X0BqWB6KyQGGD1bJ4q=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:22.919Z,,
"https://www.google.com/maps/place/Marty+Hoiness,+MD+Psychiatry/data=!4m7!3m6!1s0x5490154d68298133:0x64cdfdf13a4d840f!8m2!3d47.6111362!4d-122.3454486!16s%2Fg%2F1tcw7wvw!19sChIJM4EpaE0VkFQRD4RNOvH9zWQ","Marty Hoiness, MD Psychiatry",4.7,13,Psychiatrist,"2107 Elliott Ave # 207, Seattle, WA 98121, United States","JM63+FR Seattle, Washington, USA",http://drmartyhoiness.com/,+1 206-448-7004,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLScq7wJRGBG-3JF99mszJidLi6bn0hsQp8rRG-CYKXY4X-iz0h1pNI4UlZzkc4SPlOpT0LmhtnKVhJ6PegKUrv6BoV109ts3fq_HDIx-wY49moURLSftbIJEXadE3rY8IpEvk=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-12-16T03:38:25.305Z,,
