placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error
https://www.google.com/maps/place/Holes+%26+Company+CPAs/data=!4m7!3m6!1s0x88dae1e70b3aa101:0x822b7e00b8f65646!8m2!3d26.1611067!4d-81.790368!16s%2Fg%2F11b6gq9jwt!19sChIJAaE6C-fh2ogRRlb2uAB-K4I,Holes & Company CPAs,4.9,27,Certified public accountant,"1040 Goodlette-Frank Rd, Naples, FL 34102, United States","5665+CV Naples, Florida, USA",https://www.jfhcpa.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,+1 239-249-9476,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPfpDsCJ7_ctHko3Ck9WDlNRV2vdQNNBbOop-Xp=w408-h272-k-no,true,Closed,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:56:46.925Z,,
https://www.google.com/maps/place/Dee+%26+Associates+CPAs/data=!4m7!3m6!1s0x88dae1e77d66cbc7:0x2afdc2d981684c8e!8m2!3d26.1772647!4d-81.8002741!16s%2Fg%2F1tdkn0m3!19sChIJx8tmfefh2ogRjkxogdnC_So,Dee & Associates CPAs,4.8,20,Accountant,"2425 Tamiami Trl N Suite 214, Naples, FL 34103, United States","55GX+WV Naples, Florida, USA",http://www.deecpa.com/,+1 239-262-6921,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRyajCNi5jcLlJy3tXUHLxCy1JWmg55w5rlyIE27lWMhg1c9yZvpdeq76cfAzkrTIT86Q7FHrC3jG17et-usvm9M0EyC9lVMa8CPGX2PCNG7AyBiouOso0pTMloEKUXXQU3GY=w426-h240-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:56:53.104Z,,
"https://www.google.com/maps/place/Soldavini+%26+Caldwell+CPA,+PA/data=!4m7!3m6!1s0x88db1e713d3b6357:0x784340ead561d3e2!8m2!3d26.2161006!4d-81.7854003!16s%2Fg%2F1tm89773!19sChIJV2M7PXEe24gR4tNh1epAQ3g","Soldavini & Caldwell CPA, PA",4.1,22,Accountant,"5455 Jaeger Rd, Naples, FL 34109, United States","6687+CR Naples, Florida, USA",http://www.naples-cpa.com/,+1 239-591-4747,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RGJ0wg50FZwu3hMXk96q5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.40042&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:56:58.095Z,,
"https://www.google.com/maps/place/Joel+S.+Miller,+CPA,+P.A./data=!4m7!3m6!1s0x88dae19d099b60ff:0x43551794555ace00!8m2!3d26.1391588!4d-81.7923364!16s%2Fg%2F11bw3bb53q!19sChIJ_2CbCZ3h2ogRAM5aVZQXVUM","Joel S. Miller, CPA, P.A.",4.6,11,Certified public accountant,"750 11th St S #101, Naples, FL 34102, United States","46Q5+M3 Naples, Florida, USA",http://www.joelmillercpa.com/,+1 239-435-1040,Closed ⋅ Opens 10 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CK5-UjVprxonuSC5viou1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.49493&pitch=0&thumbfov=100,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:03.092Z,,
https://www.google.com/maps/place/Naples+Accounting+%26+Tax+Services/data=!4m7!3m6!1s0x88dae191bbc2b2af:0xa9c7d99764932052!8m2!3d26.1537474!4d-81.7914973!16s%2Fg%2F1tfcjksj!19sChIJr7LCu5Hh2ogRUiCTZJfZx6k,Naples Accounting & Tax Services,5.0,1,Tax preparation service,"501 Goodlette-Frank Rd, Naples, FL 34102, United States","5635+FC Naples, Florida, USA",,+1 239-261-7593,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=44CWeZ0FYXwoMDWMiiukBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.36652&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:07.992Z,,
"https://www.google.com/maps/place/Cottrell+Tax+%26+Accounting,+LLC/data=!4m7!3m6!1s0x88db1e6ada0578d3:0x3059e71fd72ef9e9!8m2!3d26.2144286!4d-81.7753551!16s%2Fg%2F11btwrdrry!19sChIJ03gF2moe24gR6fku1x_nWTA","Cottrell Tax & Accounting, LLC",5.0,13,Tax preparation,"5633 Naples Blvd, Naples, FL 34109, United States","667F+QV Naples, Florida, USA",http://www.cottrelltax.com/,+1 239-449-4881,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOo4krFj6hfbPRfhlZ4DL-2SqTFBfVeq0t7vqyP=w408-h271-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:13.071Z,,
https://www.google.com/maps/place/Hayes+CPA+%26+Associates+PLLC/data=!4m7!3m6!1s0x88db1c78403997cf:0x2843dbbb5e210281!8m2!3d26.2469088!4d-81.7739249!16s%2Fg%2F1hc33l4y9!19sChIJz5c5QHgc24gRgQIhXrvbQyg,Hayes CPA & Associates PLLC,5.0,4,Certified public accountant,"9115 Corsea Del Fontana Way Suite 100, Naples, FL 34109, United States","66WG+QC Naples, Florida, USA",,+1 239-596-6050,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tlNS1iUqy3gapg7EJ8dknw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.20745&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:18.121Z,,
"https://www.google.com/maps/place/Davis+%26+Associates,+CPA%27s/data=!4m7!3m6!1s0x88dae1a1cc18363f:0x1c728ea6fabb6538!8m2!3d26.1408829!4d-81.8013715!16s%2Fg%2F11cjhzm19b!19sChIJPzYYzKHh2ogROGW7-qaOchw","Davis & Associates, CPA's",5.0,11,Certified public accountant,"400 5th Ave S #301, Naples, FL 34102, United States","45RX+9F Naples, Florida, USA",https://www.johndaviscpa.com/naples-cpa.php,+1 239-775-8588,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dQnocRGcjW9NpblwyL0pzQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.41406&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:23.118Z,,
https://www.google.com/maps/place/Garcia+%26+Carlson+CPA/data=!4m7!3m6!1s0x88db1e94bf94691f:0xb73388f38d102ca9!8m2!3d26.2463012!4d-81.7699716!16s%2Fg%2F11g6_31wg4!19sChIJH2mUv5Qe24gRqSwQjfOIM7c,Garcia & Carlson CPA,5.0,3,Certified public accountant,"2367 Vanderbilt Beach Rd Ste 811, Naples, FL 34109, United States","66WJ+G2 Naples, Florida, USA",http://www.garciacarlson.com/,+1 239-325-5200,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vm8G6FPXedLzyNLt2Ruzlw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.97504&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:27.996Z,,
"https://www.google.com/maps/place/Unsworth,+Marretta,+%26+Unsworth,+Certified+Public+Accountants,+LLC/data=!4m7!3m6!1s0x88dae238d979b905:0x370b91aa782b808f!8m2!3d26.1528684!4d-81.759213!16s%2Fg%2F1tf9p1q7!19sChIJBbl52Tji2ogRj4AreKqRCzc","Unsworth, Marretta, & Unsworth, Certified Public Accountants, LLC",4.6,9,Certified public accountant,"3960 Radio Rd STE 203, Naples, FL 34104, United States","563R+48 Naples, Florida, USA",http://www.umucpa.com/,+1 239-649-8111,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOhx-XMPRrt_HaadjNgw6lO5gxnd5oTemJha1G7=w426-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-10-19T15:57:33.000Z,,
