placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,info,error
"https://www.google.com/maps/place/St+Leonard's+Hospice/@53.9614205,-1.0739108,14z/data=!4m6!3m5!1s0x487930e6132e1d79:0x2b34c89d322cbd44!8m2!3d53.9321439!4d-1.1117039!16s%2Fg%2F1thwzz18",St Leonard's Hospice,4.3,13,Hospice,"185 Tadcaster Rd, Dringhouses, York YO24 1GL, United Kingdom","WVJQ+V8 York, UK",http://www.stleonardshospice.org.uk/,+44 1904 708553,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYUmGVVAJ2noYbr8sPtprSpqTzlVz_Bz8Bo4AXkdkeirGw8cTF46aXDrIMZ9qdTbvGfwwxqJuj7mx4xVLOcA5pnNKCmt3yqPklPbz-jm_VYMlHaUKuNQst17B8d0FArvv6vCW0=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-18T00:12:40.474Z,,,
https://www.google.com/maps/place/The+Minster+Clinic/data=!4m7!3m6!1s0x487931aa6a279025:0x787b1673c25d1c1a!8m2!3d53.952926!4d-1.08575!16s%2Fg%2F11f5jnxbmm!19sChIJJZAnaqoxeUgRGhxdwnMWe3g,The Minster Clinic,5.0,275,Medical clinic,"91-93 Nunnery Ln, York YO23 1AH, United Kingdom","XW37+5M York, UK",https://www.theminsterclinic.co.uk/,+44 1904 636661,Closed ⋅ Opens 9 am,https://lh3.googleusercontent.com/p/AF1QipN2sP5BWoJtj7E_PPCs_sJyMCwZ1Rd1LuwCqit1=w408-h272-k-no,true,"9 am–1 pm, 2:15–6 pm","9 am–1 pm, 2:15–5 pm",Closed,Closed,"9 am–1 pm, 2:15–6 pm","9 am–1 pm, 2:15–6 pm","9 am–1 pm, 2:15–6 pm","https://www.google.com/maps/search/Hospice+clinics+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-09-18T00:12:55.316Z,,,
https://www.google.com/maps/place/Saint+Catherine%27s+Hospice/data=!4m7!3m6!1s0x487f3869f4e1df31:0x13c57e96b02de576!8m2!3d54.2866186!4d-0.443659!16s%2Fg%2F1tq4qnnb!19sChIJMd_h9Gk4f0gRduUtsJZ-xRM,Saint Catherine's Hospice,4.3,18,Hospice,"Throxenby Ln, Scarborough YO12 5RE, United Kingdom","7HP4+JG Scarborough, United Kingdom",http://saintcatherines.org.uk/,+44 1723 351421,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=66lUPjRmKLlzage3BjCtDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.6529&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-09-18T00:13:06.309Z,,,
"https://www.google.com/maps/place/Home+Instead+Harrogate,+Ripon+%26+Thirsk+%7C+Home+Care+%26+Live-In+Care/data=!4m7!3m6!1s0x4879537fd2aa85ff:0xacca081676736b53!8m2!3d53.992133!4d-1.53444!16s%2Fg%2F1tdb8bwm!19sChIJ_4Wq0n9TeUgRU2tzdhYIyqw","Home Instead Harrogate, Ripon & Thirsk | Home Care & Live-In Care",5.0,7,Home health care service,"Talisman House, 13 N Park Rd, Harrogate HG1 5PD, United Kingdom","XFR8+V6 Harrogate, United Kingdom",https://www.homeinstead.co.uk/harrogate-ripon-thirsk/?utm_source=google-my-business&utm_medium=google-my-business&utm_campaign=none&division=client&office=t126-harrogate-ripon-and-thirsk&agency=growth-alliance&utm_content=v1&utm_id=202303271010,+44 1423 774490,Closed ⋅ Opens 8:30 am,https://lh3.googleusercontent.com/p/AF1QipNBFDOMEXu_iseySvdwftC62CHcHa8N-QBe-4s1=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:21.546Z,,,
https://www.google.com/maps/place/Saint+Michael%27s+Hospice/data=!4m7!3m6!1s0x48795170829fe64f:0xdbf99e1183b5a930!8m2!3d53.9757117!4d-1.5169947!16s%2Fg%2F1tdgjsgv!19sChIJT-afgnBReUgRMKm1gxGe-ds,Saint Michael's Hospice,4.7,15,Hospice,"Crimple House, Hornbeam Park Ave, Harrogate HG2 8NA, United Kingdom","XFGM+76 Harrogate, United Kingdom",http://www.saintmichaelshospice.org/,+44 1423 879687,,https://lh3.googleusercontent.com/p/AF1QipOTJJoyLLNJ8chdj2j9D56_4sI_z-WNxP2VVAlG=w408-h271-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:24.450Z,,,
https://www.google.com/maps/place/Crimple+House/data=!4m7!3m6!1s0x487951643796617d:0x1a08a0e23cce5e50!8m2!3d53.9759412!4d-1.5175188!16s%2Fg%2F1yh9txp5j!19sChIJfWGWN2RReUgRUF7OPOKgCBo,Crimple House,5.0,3,Hospice,"Hookstone Rd, Harrogate HG2 8QL, United Kingdom","XFGJ+9X Harrogate, United Kingdom",https://saintmichaelshospice.org/get-in-touch/finding-saint-michaels/,+44 1423 879687,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4AOKuT4ohu_GueW0yKRkmg1ccWTvIcT51rsAN-3jhHG_Si2dNPs_UaHv8T4etye2al9lyrZjvunJ39EGerqOH77wUGzAqcsJr1heiy_wTPJUr6fcGbAUKwBs2d79CMEiA3Ta_=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:29.473Z,,,
https://www.google.com/maps/place/Saint+Michael%27s+House%26Home/data=!4m7!3m6!1s0x4879517aab907397:0x5e50bbf548cf77d6!8m2!3d54.0052047!4d-1.5492854!16s%2Fg%2F1yh9ttm74!19sChIJl3OQq3pReUgR1nfPSPW7UF4,Saint Michael's House&Home,4.4,40,Second hand store,"196 Ripon Rd, Harrogate HG1 2BS, United Kingdom","2F42+37 Harrogate, United Kingdom",,+44 1423 563230,Closed ⋅ Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcDj84tdRxLfv1ipZVUv3dobQ3fxmnBeQrQtGh2J3FOU00DvOJ_Wtkkjy0-k4-dTmIwK78jB6xMJK49N06tlk70nxsLIV9H0sYhgeIrzD1SMm7ZgK6kvCRKeHYgplI7_WPDxqpIQ=w408-h541-k-no,true,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:34.693Z,· Delivery,,
https://www.google.com/maps/place/Harrogate+Homecare+Ltd/data=!4m7!3m6!1s0x487953c1178b66dd:0xcbd168adc0d7f363!8m2!3d54.0061589!4d-1.5326837!16s%2Fg%2F1tdbdyw2!19sChIJ3WaLF8FTeUgRY_PXwK1o0cs,Harrogate Homecare Ltd,4.5,2,Home health care service,"66 King Edward's Dr, Harrogate HG1 4HN, United Kingdom","2F48+FW Harrogate, United Kingdom",http://www.harrogatehomecare.co.uk/,+44 1423 560903,,https://lh3.googleusercontent.com/p/AF1QipM8VeIdS9TQZcXQw7kPwfU9DNXCs54_EWel6MN-=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:37.398Z,,,
https://www.google.com/maps/place/Harrogate+Hospital+and+Community+Charity/data=!4m7!3m6!1s0x4879530c2616f709:0x92979f9c27bbe00d!8m2!3d53.9937628!4d-1.5164583!16s%2Fg%2F11j0j_vm4v!19sChIJCfcWJgxTeUgRDeC7J5yfl5I,Harrogate Hospital and Community Charity,4.5,423,Charity,"District Hospital, Lancaster Park Rd, Harrogate HG2 7SX, United Kingdom","XFVM+GC Harrogate, United Kingdom",http://www.hhcc.co.uk/,+44 1423 557408,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMONjS9l7QKYBWN5SV2d7fnkb172pb2H2HVpoBg=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:42.339Z,,,
https://www.google.com/maps/place/Yorkshire+Health+Network+Hub/data=!4m7!3m6!1s0x487953bfe7afec29:0xb312952c34d795d8!8m2!3d54.0012111!4d-1.5296577!16s%2Fg%2F11t_z2ns8l!19sChIJKeyv579TeUgR2JXXNCyVErM,Yorkshire Health Network Hub,3.8,8,Medical Center,"5 Grove Park Ct, Harrogate HG1 4DP, United Kingdom","2F2C+F4 Harrogate, United Kingdom",https://www.yorkshirehealthnetwork.co.uk/,+44 1423 611060,Closed ⋅ Opens 9 am,https://lh3.googleusercontent.com/p/AF1QipPewzQgOVaQMPYs9tPR1ezSxo3w6sZniOPIhBq4=w408-h306-k-no,true,9 am–8 pm,9 am–8 pm,8:30 am–5:30 pm,Closed,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Harrogate+York+UK/@53.99212,-1.541812,14z",2025-09-18T00:13:47.335Z,,,
