placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,error,info,attributes,isBlackOwned
https://www.google.com/maps/place/Overhead+Door+Company+of+Daytona+Beach%E2%84%A2/data=!4m7!3m6!1s0x88e6deb58cf1988f:0x75dfad5135a2fe81!8m2!3d29.1903895!4d-81.0784897!16s%2Fg%2F1ts3m0f_!19sChIJj5jxjLXe5ogRgf6iNVGt33U,Overhead Door Company of Daytona Beach™,4.9,539,Garage door supplier,"219 Fentress Blvd, Daytona Beach, FL 32114, United States","5WRC+5J Daytona Beach, Florida, USA",http://www.overheaddoordaytona.com/,+1 386-643-0078,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxex0QS3JAgYGbttGgcY5ZV3JoADOXJ2NAz04MP3jkkl26RlyDnUJNpTTZKEeSeHECNLsJHvuu5RHAzri4GjhMb5TEiJ09vgyF-hTykN_RPtksepqjT3MnLNQ6xJ2dP8SiM9EU=w408-h306-k-no,true,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:28.126Z,,,,
https://www.google.com/maps/place/Magic+Overhead+Door/data=!4m7!3m6!1s0x88e6da31b89f456f:0x5eae6842b6e7810f!8m2!3d29.2254272!4d-81.0255701!16s%2Fg%2F1tf_p3kd!19sChIJb0WfuDHa5ogRD4HntkJorl4,Magic Overhead Door,4.9,428,Garage door supplier,"700 N Beach St, Daytona Beach, FL 32114, United States","6XGF+5Q Daytona Beach, Florida, USA",http://www.magicoverheaddoor.com/,+1 386-253-5396,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNcShnFwKWpu4iNxf2mPHyf14Cvf318QWIA4Ayl=w408-h367-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:33.740Z,,,,
https://www.google.com/maps/place/Daytona+Beach+Garage+Door+Pros/data=!4m7!3m6!1s0x88e6d948e5029f1b:0xe72832953f51681e!8m2!3d29.1761304!4d-81.0285363!16s%2Fg%2F11xld_8w5l!19sChIJG58C5UjZ5ogRHmhRP5UyKOc,Daytona Beach Garage Door Pros,4.9,25,Garage door supplier,"1565 S Nova Rd, Daytona Beach, FL 32114, United States","5XGC+FH Daytona Beach, Florida, USA",,+1 386-516-0597,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPQ4Y3N2rgez-Le116W6UsZPuAa8r00JXua1WFP=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:38.945Z,,,,
https://www.google.com/maps/place/Grimes+Overhead+Door+Services/data=!4m7!3m6!1s0x88e6d9a22253fa03:0x34998cf1e1967973!8m2!3d29.1355824!4d-81.0333766!16s%2Fg%2F11fz734ln_!19sChIJA_pTIqLZ5ogRc3mW4fGMmTQ,Grimes Overhead Door Services,4.8,29,Garage door supplier,,,http://www.grimesoverhead.com/,+1 386-547-7105,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOj6tGmT_K70bjby7JbcjofyBxGBQX5yZ2Ko6cT=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:43.596Z,,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Ormond+Beach/data=!4m7!3m6!1s0x88e6c3686db3c4a7:0xf570e5b7401db192!8m2!3d29.3126468!4d-81.1011859!16s%2Fg%2F11kbkvd8pg!19sChIJp8SzbWjD5ogRkrEdQLflcPU,Precision Garage Door Service of Ormond Beach,5.0,1793,Garage door supplier,"1095 U.S. Rte 1, Ormond Beach, FL 32174, United States","8V7X+3G Ormond Beach, Florida, USA",https://daytonagaragedoors.com/?utm_source=gmb&utm_medium=location_ormondbeach&utm_campaign=website,+1 386-222-1302,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKF6KI3CD3UTE4k5yEu14hP4sYaK8AT51tzn97z5ocko8qjHYFZqCL6_JXdd_Jriy3kR2VRV0yhybwqVxP2tPZwhigqAUonClIdrmsTgZ6uQbCKWTNbE_eEwMEcTZhgP6rkuGA8w=w408-h306-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:48.378Z,,,,
https://www.google.com/maps/place/Matty%27s+Garage+Door+Sales+%26+Service/data=!4m7!3m6!1s0x88e6dc9825d68f0d:0x2db88cb39cc1ec45!8m2!3d29.2804967!4d-81.086137!16s%2Fg%2F1v29cvn7!19sChIJDY_WJZjc5ogRRezBnLOMuC0,Matty's Garage Door Sales & Service,4.9,42,Garage door supplier,"115 Colina Pl, Ormond Beach, FL 32174, United States","7WJ7+5G Ormond Beach, Florida, USA",http://www.facebook.com/mattysgaragedoor,+1 386-252-9900,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQrD1CQV4YQmlJm6ro2Q0TgcebMcPZsgQi0OBMQalhzBwfgT-EvmCczzhCP0Kemh94xy5dKNgZWn9YZktGXFvB0iImngvzlIOJ0SKWF_5LkQsEnIGhQ2m7NW4vOrVdDN_dZAu0=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:53.525Z,,,,
https://www.google.com/maps/place/Garage+Door+Repair+ASAP/data=!4m7!3m6!1s0x2d011389d72e8735:0x895ebadf0ec95252!8m2!3d29.1479514!4d-81.2060921!16s%2Fg%2F11x5rvnk2f!19sChIJNYcu14kTAS0RUlLJDt-6Xok,Garage Door Repair ASAP,5.0,11,Garage door supplier,,,https://garagedoorasapinc.com/,+1 386-269-8546,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipPZmPIo_eERb1KCelwx8hQjN5y8FKgHPhuJ_t8l=w408-h408-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:45:58.326Z,,,,
https://www.google.com/maps/place/BOSS+Garage+Door+%26+Screen+Solutions/data=!4m7!3m6!1s0x88e6da556486a3a7:0xb9321cc441248e1e!8m2!3d29.2303601!4d-81.0358275!16s%2Fg%2F11b6c9fz20!19sChIJp6OGZFXa5ogRHo4kQcQcMrk,BOSS Garage Door & Screen Solutions,4.9,152,Garage door supplier,"264 Carswell Ave, Holly Hill, FL 32117, United States","6XJ7+4M Holly Hill, Florida, USA",https://www.bossgaragedoor-screens.com/,+1 386-882-2677,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO31JgA3uy2HmRpJ-1pIfu2MT3lnfcRNd8y3Bok=w422-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:03.103Z,,,,
https://www.google.com/maps/place/365+Overhead+Garage+Door/data=!4m7!3m6!1s0x88e6d948c9ca4f8f:0x3becd6529e4b9f74!8m2!3d29.1515435!4d-81.0526737!16s%2Fg%2F11lp85thj7!19sChIJj0_KyUjZ5ogRdJ9LnlLW7Ds,365 Overhead Garage Door,4.9,9,Garage door supplier,"129 Mallard Ln, Daytona Beach, FL 32119, United States","5W2W+JW Daytona Beach, Florida, USA",,+1 386-463-3093,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFz567iWk9sXIFeFU6kJzKZlVeWKmdtfKpwPQIJn55Egoc-984VAh10WgBYb84HHQHLboNppOcKXLLTY8o2dorddIkUDYH7SDIOKvfkJdvDAHUxBbVRgAsWB4uwLCj_c5J7ISgsN2L16h0=w408-h378-k-no,false,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:07.799Z,,,,
https://www.google.com/maps/place/Gateway+Garage+Door+Services/data=!4m7!3m6!1s0xa935364739a5607:0xd6f75978bafa2def!8m2!3d29.1322855!4d-81.172182!16s%2Fg%2F11j_2hr91y!19sChIJB1aac2RTkwoR7y36unhZ99Y,Gateway Garage Door Services,5.0,114,Garage door supplier,,,http://gatewaygaragedoorservices.com/,+1 386-282-1582,,https://lh3.googleusercontent.com/p/AF1QipPmjqrMtHLO5U4MRAq8sAc_oq_ZYnLCkVMG5PBl=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:10.456Z,,,,
https://www.google.com/maps/place/On+the+Line+Garage+Doors/data=!4m7!3m6!1s0x301f86da0884545:0x8a2726f7918c8cf8!8m2!3d29.387876!4d-81.101382!16s%2Fg%2F11vj6pgxmd!19sChIJRUWIoG34AQMR-IyMkfcmJ4o,On the Line Garage Doors,5.0,26,Garage door supplier,,,,+1 386-299-1789,Closes soon ⋅ 6 pm ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipOAMZdJeW_6POs09rjnPdKPZjvnqdCzgOp0NGOW=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:14.771Z,,,,
https://www.google.com/maps/place/D+%26+D+Garage+Doors/data=!4m7!3m6!1s0x88e6db5a4f3df1a1:0x1a607f60ee27af8c!8m2!3d29.2905686!4d-81.0680862!16s%2Fg%2F1tz76t3z!19sChIJofE9T1rb5ogRjK8n7mB_YBo,D & D Garage Doors,4.8,512,Garage door supplier,"299 Kenilworth Ave, Ormond Beach, FL 32174, United States","7WRJ+6Q Ormond Beach, Florida, USA",https://www.danddgaragedoors.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Ormond-Beach-FL,+1 386-492-0151,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNqbaBKA5EqYqAtm5lcZFtYjAxaUx11MgcO50F4=w408-h249-k-no,true,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:19.314Z,,,,
"https://www.google.com/maps/place/Specialty+Distribution+Group,+LLC/data=!4m7!3m6!1s0x88e6df7439bd2639:0xc35f1ba81f12759e!8m2!3d29.1977786!4d-81.084215!16s%2Fg%2F11f01bd2dv!19sChIJOSa9OXTf5ogRnnUSH6gbX8M","Specialty Distribution Group, LLC",5.0,11,Garage door supplier,"475 N Williamson Blvd, Daytona Beach, FL 32114, United States","5WX8+48 Daytona Beach, Florida, USA",,+1 401-573-6287,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9GOYQrk-a34XojPUd2waIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.6067166&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2025-11-07T22:46:21.901Z,,,,
,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Ormond+Beach+Daytona+Beach+FL/@29.2858129,-81.0558894,14z",2025-11-07T22:46:30.119Z,No new results found,,,
https://www.google.com/maps/place/Jon+McGrew+Garage+Doors+Repairs+and+Replacements/data=!4m7!3m6!1s0x88e72ed6ca0f3d69:0x1c2e3af4e6f533ba!8m2!3d29.0114933!4d-80.9376491!16s%2Fg%2F124stcq75!19sChIJaT0PytYu54gRujP15vQ6Lhw,Jon McGrew Garage Doors Repairs and Replacements,4.8,119,Garage door supplier,"512 Old Mission Rd, New Smyrna Beach, FL 32168, United States","2366+HW New Smyrna Beach, Florida, USA",,+1 386-547-1138,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOWKbx9gTGgRQHSvkTDpKrLLajRwM3nGWaQ_rhx=w408-h272-k-no,true,8 am–7 pm,11 am–5 pm,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Port+Orange+Daytona+Beach+FL/@29.1383165,-80.9956105,14z",2025-11-07T22:46:42.940Z,,Identifies as veteran-owned,,
https://www.google.com/maps/place/East+Coast+Overhead+Door/data=!4m7!3m6!1s0x88e727f10c4dc945:0x82487adf86483b68!8m2!3d29.1072912!4d-81.002161!16s%2Fg%2F1tgtg9s2!19sChIJRclNDPEn54gRaDtIht96SII,East Coast Overhead Door,3.0,2,Garage door supplier,"720 Pine Forest Trail E, Port Orange, FL 32127, United States","4X4X+W4 Port Orange, Florida, USA",,+1 386-846-6807,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwD25_kF_xY2qHgxOhu4fGHrvgv94EwTHihLr6Rqr52_yyGwF18FnapWSD1s2KYRN3b8zirF2MnUf5c0F5Le3ztxnzTs-k1s5wfv-xEnN-dsUdRHf53RgbC8eMMjnlFiga_qvzePJaPtk4=w408-h323-k-no,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Port+Orange+Daytona+Beach+FL/@29.1383165,-80.9956105,14z",2025-11-07T22:46:46.014Z,,,,
https://www.google.com/maps/place/Garage+Door+Works+and+Repairs/data=!4m7!3m6!1s0x88e729efa936371f:0xe8bef4c00c512708!8m2!3d29.0600809!4d-80.9542714!16s%2Fg%2F11whr8l_4x!19sChIJHzc2qe8p54gRCCdRDMD0vug,Garage Door Works and Repairs,5.0,13,Garage door supplier,"2526 Chester Ave, New Smyrna Beach, FL 32168, United States","326W+27 New Smyrna Beach, Florida, USA",,+1 386-222-6875,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNOjHe52CzKGqbCrXHTXCMHZlL6Ah22gq8RF9gg=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Holly+Hill+Daytona+Beach+FL/@29.2435916,-81.0375555,14z",2025-11-07T22:47:04.910Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Florida+Door+%26+Supply/data=!4m7!3m6!1s0x88e6d925788c70c3:0x52fdf3cc6ac5b35f!8m2!3d29.1743649!4d-81.063953!16s%2Fg%2F1tfcc_j0!19sChIJw3CMeCXZ5ogRX7PFaszz_VI,Florida Door & Supply,4.2,29,Door supplier,"2411 Bellevue Ave Ext, Daytona Beach, FL 32114, United States","5WFP+PC Daytona Beach, Florida, USA",https://www.floridadoor.com/,+1 386-253-7898,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwy2nD2-CeC928I8H1_P2t8MS9w-j-msX53bPJo-s40yk920leKCjjFlZVyXDqZLToKDjBYp5hKFX324Q4ZEcuhKJGlrQrUMRvkkpjhwG0p0VMSbjgNqY01x0Pjb6Vx9ax1Vc1U=w408-h544-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Holly+Hill+Daytona+Beach+FL/@29.2435916,-81.0375555,14z",2025-11-07T22:47:09.921Z,,,,
https://www.google.com/maps/place/MOYE%27S+AUTO+SALVAGE+%26+JUNKYARD+USED+AUTO+PARTS+DAYTONA+BEACH/data=!4m7!3m6!1s0x88e6dba2a19b9c2d:0x256573e217996450!8m2!3d29.2470667!4d-81.05244!16s%2Fg%2F1tnjkd02!19sChIJLZyboaLb5ogRUGSZF-JzZSU,MOYE'S AUTO SALVAGE & JUNKYARD USED AUTO PARTS DAYTONA BEACH,4.7,208,Junkyard,"1335 Center Ave, Holly Hill, FL 32117, United States","6WWX+R2 Holly Hill, Florida, USA",http://moyesautoparts.com/,+1 386-255-1122,Closed ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipPnWXdxG14V0OQvNrSXDBiKsk97eQ9OSzIjWoRN=w408-h725-k-no,true,8 am–12 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Holly+Hill+Daytona+Beach+FL/@29.2435916,-81.0375555,14z",2025-11-07T22:47:14.898Z,,,,
