placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday
https://www.google.com/maps/place/Premier+Tax+and+Accounting+Group/data=!4m7!3m6!1s0x89ac59c4e08da40f:0xd75b691ec6251833!8m2!3d35.8266892!4d-78.6055755!16s%2Fg%2F11h2pf29pd!19sChIJD6SN4MRZrIkRMxglxh5pW9c,Premier Tax and Accounting Group,4.9,121,Tax preparation,"3301 Atlantic Ave Ste 110, Raleigh, NC 27604, United States","R9GV+MQ Raleigh, North Carolina, USA",http://ncpremiertax.com/,+1 919-452-5245,,Identifies as women-owned,true,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Va0r01MyvuR75oAddgIqyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.59055&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:20:53.283Z,,,,,,,
"https://www.google.com/maps/place/Tax+Guru-Jain+Consulting+-+Tax,+Accounting+%26+Payroll+Firm/data=!4m7!3m6!1s0x89ac8db089d1867b:0x9e752ad0d065548f!8m2!3d35.7850199!4d-78.7195036!16s%2Fg%2F11gy275jlx!19sChIJe4bRibCNrIkRj1Rl0NAqdZ4","Tax Guru-Jain Consulting - Tax, Accounting & Payroll Firm",5.0,234,Certified public accountant,"5535 Western Blvd STE 202, Raleigh, NC 27606, United States","Q7PJ+25 Raleigh, North Carolina, USA",http://www.vinicpa.com/,+1 919-349-5414,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPXXmr8BTgvxikIf1jOrenMmU9gxDgcfbuJ8azr=w408-h272-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:20:59.551Z,Closed,7 am–10 pm,8 am–5 pm,8 am–3 pm,Open 24 hours,Open 24 hours,Closed
"https://www.google.com/maps/place/C.+E.+Thorn,+CPA,+PLLC/data=!4m7!3m6!1s0x89acf62298be7ecd:0x1dab7ac25d22ab03!8m2!3d35.8346419!4d-78.6666549!16s%2Fg%2F1tnmslnm!19sChIJzX6-mCL2rIkRA6siXcJ6qx0","C. E. Thorn, CPA, PLLC",4.8,53,Accountant,"3725 National Dr #225, Raleigh, NC 27612, United States","R8MM+V8 Raleigh, North Carolina, USA",https://www.carsonthorncpa.com/,+1 919-420-0092,Closed ⋅ Opens 9 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jvEgT155NnGEx4w_vmAcqA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=298.79382&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:04.612Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed
https://www.google.com/maps/place/R.+Payne+LLC/data=!4m7!3m6!1s0x8834ef7bc5b59fa3:0xeab1162cec0b3628!8m2!3d35.757213!4d-78.6503345!16s%2Fg%2F11mx75ljyy!19sChIJo5-1xXvvNIgRKDYL7CwWseo,R. Payne LLC,4.8,21,Tax preparation service,"315 Hubert St Suite 2-M, Raleigh, NC 27603, United States","Q84X+VV Raleigh, North Carolina, USA",https://rpayne.org/,+1 412-229-7595,,Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipMDJdPJ3h9b5HXxEdA4e8rqPxmUQwEwqBdGX6oV=w408-h272-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:09.751Z,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed
"https://www.google.com/maps/place/Brian+B.+Bunn+CPA,+PLLC/data=!4m7!3m6!1s0x89acf7042500564f:0x19e81c16c147545c!8m2!3d35.8226188!4d-78.6287801!16s%2Fg%2F11f6lr_kn5!19sChIJT1YAJQT3rIkRXFRHwRYc6Bk","Brian B. Bunn CPA, PLLC",5.0,17,Certified public accountant,"211 E Six Forks Rd Suite 210-A, Raleigh, NC 27609, United States","R9FC+2F Raleigh, North Carolina, USA",http://www.brianbbunncpa.com/,+1 919-886-7094,,Identifies as veteran-owned,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CJUJo4SnsszunxN4lVEc_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.715008&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:12.681Z,,,,,,,
https://www.google.com/maps/place/Partners+Tax/data=!4m7!3m6!1s0x89ac5f004794ce73:0x1940d3abb61104fe!8m2!3d35.7781522!4d-78.6414917!16s%2Fg%2F11lzdgdjsp!19sChIJc86URwBfrIkR_gQRtqvTQBk,Partners Tax,5.0,47,Tax attorney,"127 W Hargett St Suite 706, Raleigh, NC 27601, United States","Q9H5+7C Raleigh, North Carolina, USA",https://partnerstg.com/tax-attorney-raleigh-nc/,+1 984-689-9230,Closed ⋅ Opens 8 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EfCBx8X_zeMZ2bkwNMg-xw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.94276&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:17.566Z,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed
"https://www.google.com/maps/place/BDO+USA,+LLP/data=!4m7!3m6!1s0x89acf41759293193:0xc35ec37a5c3ed073!8m2!3d35.7743427!4d-78.6387657!16s%2Fg%2F1tfk59b4!19sChIJkzEpWRf0rIkRc9A-XHrDXsM","BDO USA, LLP",5.0,1,Accounting firm,"421 Fayetteville St # 300, Raleigh, NC 27601, United States","Q9F6+PF Raleigh, North Carolina, USA",https://www.bdo.com/locations/bdo-raleigh-office,+1 919-754-9370,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 3 weeks ago",,,https://lh3.googleusercontent.com/p/AF1QipMdba2GFNvBp-_jXUybqIR82m-V6U24GBmrnTJP=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:22.674Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed
https://www.google.com/maps/place/Wapner+Presley+PLLC/data=!4m7!3m6!1s0x89ac59aa87f5bed3:0xe94fd370da2ea12f!8m2!3d35.8622978!4d-78.619895!16s%2Fg%2F11b7qx_mrx!19sChIJ0771h6pZrIkRL6Eu2nDTT-k,Wapner Presley PLLC,4.9,215,Certified public accountant,"5901 Falls of Neuse Rd Suite 203, Raleigh, NC 27609, United States","V96J+W2 Raleigh, North Carolina, USA",http://www.rafginc.com/,+1 919-781-9319,Closed ⋅ Opens 9 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipOp3c32pn-VCDm9I1U9q8J-EtgFKW72CLW7NVJf=w408-h544-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:27.774Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed
"https://www.google.com/maps/place/Jack+Perkins,+CPA/data=!4m7!3m6!1s0x89ac58662e295fdb:0x6c2d5825052020ae!8m2!3d35.861675!4d-78.636207!16s%2Fg%2F1tf3cdms!19sChIJ218pLmZYrIkRriAgBSVYLWw","Jack Perkins, CPA",4.6,30,Tax preparation service,"5932 Sandy Forks Rd Suite 103, Raleigh, NC 27609, United States","V967+MG Raleigh, North Carolina, USA",https://jackperkinscpa.com/,+1 919-846-6990,Closed ⋅ Opens 8:30 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipMM7BJppY47aXVnq5bp5Sc6FuNw594ZcShDqnTK=w408-h270-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:32.773Z,Closed,8:30 am–6:30 pm,8:30 am–6:30 pm,8:30 am–6:30 pm,8:30 am–6:30 pm,8:30 am–6:30 pm,Closed
"https://www.google.com/maps/place/Mark+Vitek+CPA,+P.A./data=!4m7!3m6!1s0x89ac587d2b5c9171:0xe806eec5727537f3!8m2!3d35.8565585!4d-78.6430465!16s%2Fg%2F1tj33_n1!19sChIJcZFcK31YrIkR8zd1csXuBug","Mark Vitek CPA, P.A.",4.4,20,Certified public accountant,"212 W Millbrook Rd, Raleigh, NC 27609, United States","V944+JQ Raleigh, North Carolina, USA",http://www.markvitekcpa.com/,+1 919-847-2981,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipOCxg6yxVok-bvsGrM-HFj7PmhIGSPYybP0BrLG=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-10-19T16:21:37.828Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed
