placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Horticare+Landscape+Companies/data=!4m7!3m6!1s0x87d2a63b8a08008b:0x71f4e54faa18640f!8m2!3d34.7123765!4d-92.3896607!16s%2Fg%2F1wcxdmv4!19sChIJiwAIijum0ocRD2QYqk_l9HE,Horticare Landscape Companies,4.4,34,Landscaper,"10200 Colonel Glenn Rd, Little Rock, AR 72204, United States","PJ66+X4 Little Rock, Arkansas, USA",https://horticare.net/,+1 501-407-2727,Closes soon · 4:30 pm · Opens 7:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6IkrDWcPiDCDYT1FgkepHvrLgGpm3JC-ayeY6DijYNT0EBulGxg6Xekzra-BeqFdml5sTnUmTgfnUJhI_CAGC3jWuNmA2JQasSkbv-GDMoHCc8sBeXLjBkTKXTXWMhrI3TeXFXlMVSQji=w426-h240-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:23.797Z,,,
https://www.google.com/maps/place/Hillcrest+Lawn+Care+LLC/data=!4m7!3m6!1s0x87d2a38286c91815:0xb37434dfc212baf0!8m2!3d34.7602061!4d-92.3422436!16s%2Fg%2F1tscpk16!19sChIJFRjJhoKj0ocR8LoSwt80dLM,Hillcrest Lawn Care LLC,3.0,2,Landscaper,"6201 I St, Little Rock, AR 72207, United States","QM65+34 Little Rock, Arkansas, USA",,+1 501-666-9405,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hz0M4DFPG5yhfyLjN_k3uA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.78247&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:26.379Z,,,
https://www.google.com/maps/place/Arkansas+Luxury+Lawns+%26+Greens/data=!4m7!3m6!1s0x87d2a3899c18bb2b:0xc1cd4887295cafc7!8m2!3d34.7690059!4d-92.3362893!16s%2Fg%2F11h77vhrvr!19sChIJK7sYnImj0ocRx69cKYdIzcE,Arkansas Luxury Lawns & Greens,4.9,28,Lawn care service,"1818 N Taylor St, Little Rock, AR 72207, United States","QM97+JF Little Rock, Arkansas, USA",https://www.arkansasluxurylawns.com/,+1 501-222-4519,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgNzpJ8n-wym9CaV1hVrGlOwob0f1L9Gb7Dtz-yB5q1X_qyvGNkPUaeiBV11dDUWtDVOJy14aMe-qRS1AILjX26hHylnS_yd0RYzSWn5_n9cuQ3DjleyNKF4l0G96YcAlahyfjOw=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:28.990Z,,,
https://www.google.com/maps/place/Botanica+Gardens/data=!4m7!3m6!1s0x87d2a34fb6011589:0x101702f03af4b162!8m2!3d34.7650829!4d-92.3099532!16s%2Fg%2F1tdw3_zc!19sChIJiRUBtk-j0ocRYrH0OvACFxA,Botanica Gardens,4.4,56,Garden center,"1601 Rebsamen Park Rd, Little Rock, AR 72202, United States","QM8R+22 Little Rock, Arkansas, USA",http://www.botanicagardens.com/,+1 501-614-3000,"Closes soon · 5 pm · Opens 9 am Thu

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8_lKz_gVfxC7Ahz7Q_-yok7c7H7_AEjJHgD-EdJ9ZYr4DD0L9nyA8qdcXYrMpNvhuxpeM1ucE1-dPvmTLSN2D1Loe9Et7rpKl5TznWEE-P8OE0nmPOQSRlTXXJVakrouJhQ1WLhNtAiBv=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,12–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:33.244Z,· In-store pick-up,,
https://www.google.com/maps/place/Going+the+Extra+Mile+Landscaping/data=!4m7!3m6!1s0x87d2bb4fb48ddd2f:0x574fc1a0b1593776!8m2!3d34.672406!4d-92.247966!16s%2Fg%2F1th7nfgt!19sChIJL92NtE-70ocRdjdZsaDBT1c,Going the Extra Mile Landscaping,4.7,82,Landscape designer,"1607 E Dixon Rd, Little Rock, AR 72206, United States","MQC2+XR Little Rock, Arkansas, USA",https://gtemlawnservice.com/,+1 501-214-8246,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFigrekUG7_bDGihFR6ueUARxUKhD4EapLzUU_kK4gYrN7ewnSabUDmX5BzbZwkDnn84eTWcB2UqzLyMFaa6rM2UXx_mWy6a8dwgWvzOzTBsi5HqSs4FYsQe2IHBsHdrNvPsInhdg=w408-h544-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:37.490Z,,,
https://www.google.com/maps/place/Jones+Landscaping+%26+Lawn+Services/data=!4m7!3m6!1s0x87d2a373eff00001:0x4d82739ce50a3a9f!8m2!3d34.7690599!4d-92.3363!16s%2Fg%2F11vkr39wv6!19sChIJAQDw73Oj0ocRnzoK5Zxzgk0,Jones Landscaping & Lawn Services,5.0,1,Landscaper,"1818 N Taylor St, Little Rock, AR 72207, United States","QM97+JF Little Rock, Arkansas, USA",https://joneslandscaping.net/contact-us/,+1 501-888-8789,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE63vPW5GaoWOLQY0fvQ5gXYIz2E8vKMLVgGhNTs86fmIh17-ISpxuDw8b13JWcLXlm44jSrvtDEkJJNb7GGrnDtuY8PXBJOb10OwrI_o2MzoL_eT2QUKNKyHn_xQ2OotDRO6f5AB9d80DX=w408-h408-k-no,false,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:39.771Z,,,
https://www.google.com/maps/place/Little+Rock+Landscape+INC/data=!4m7!3m6!1s0x87d2a9461dca6d2d:0x7eb6238d7c9ae766!8m2!3d34.6646503!4d-92.2606159!16s%2Fg%2F11h2pw1kqm!19sChIJLW3KHUap0ocRZueafI0jtn4,Little Rock Landscape INC,4.5,15,Landscaper,"9000 Construction Pl, Little Rock, AR 72206, United States","MP7Q+VQ Little Rock, Arkansas, USA",http://www.lrlandscape.com/,+1 501-847-4820,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6vVpC3ZM9nO9ECj2nDE1a6jt3cAqxHj8JTUDMRqXnHCr-_HkJoBjRQQGOtmPPtC39iGtMSMD0iBhvqlW25gj5Qg-qynhbkkkDV1spzs0lMievG2OmUl52EgFASwEiVX0dHhW3=w408-h274-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:44.048Z,,,
https://www.google.com/maps/place/Healthy+Lawns+%26+Shrubs+Inc/data=!4m7!3m6!1s0x87d2a471b66ddd3f:0xcf12b6c2dae4eb8f!8m2!3d34.7414934!4d-92.3546852!16s%2Fg%2F1tr9nz2b!19sChIJP91ttnGk0ocRj-vk2sK2Es8,Healthy Lawns & Shrubs Inc,2.5,6,Lawn care service,"7225 W 12th St, Little Rock, AR 72204, United States","PJRW+H4 Little Rock, Arkansas, USA",http://www.healthylawnsandshrubs.com/,+1 501-227-6143,Closes soon · 4:30 pm · Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TZTUH4nMXGXRJLhWVAxFrA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.12857&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:48.516Z,,,
"https://www.google.com/maps/place/BETTER+LAWNS+AND+GARDENS,+INC./data=!4m7!3m6!1s0x87cd5f51437de615:0xddd404c41271e9b!8m2!3d34.7520665!4d-92.3701921!16s%2Fg%2F11hcp1b_8y!19sChIJFeZ9Q1FfzYcRmx4nQUxA3Q0","BETTER LAWNS AND GARDENS, INC.",4.8,8,Lawn care service,"8600 Cunningham Lake Rd, Little Rock, AR 72205, United States","QJ2H+RW Little Rock, Arkansas, USA",http://betterlawnsar.com/,+1 501-454-9803,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHF5VFcUcpS7jJn4x2qv1JnM9tRzvUZJcTt745tAe2YS12t8OWKPCm-P8gW2tRxF5CAWmR4gEQVPN6slXtw7N2vs6VMTaMkdH4RD-Ruh9S4YYXoYvU6nlhA41y0PUJUUxLqDFqw=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:52.036Z,,,
https://www.google.com/maps/place/Walker+Landscape+Management/data=!4m7!3m6!1s0x87d2a1344fb15e69:0x13f04315485e9411!8m2!3d34.7693335!4d-92.2506983!16s%2Fg%2F1tql59m4!19sChIJaV6xTzSh0ocREZReSBVD8BM,Walker Landscape Management,5.0,3,Landscaper,"1304 N Hills Blvd, North Little Rock, AR 72114, United States","QP9X+PP North Little Rock, Arkansas, USA",https://www.wlmlandscapingar.com/,+1 501-835-0578,Closes soon · 5 pm · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgWHP8fxTuw_fg0bU2cD3wZDbv6LT2FVX_CciLSD4zyMA8qFrGouwp2FJjKg3xTBGaMQh_iW2d_8XxuzJ5eHo_-HaHrY96pa2eteWnvISSqTPKbJpyhyfgiZsL7VQlmEGnl5g=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-04-29T21:28:58.343Z,,,
