placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,error,isBlackOwned
https://www.google.com/maps/place/Decatur+Vein+Clinic+LLC/data=!4m7!3m6!1s0x886d7a595c87c3c5:0x3321bc4f7c0b9a74!8m2!3d39.4115462!4d-87.4068394!16s%2Fg%2F1tdm4gt_!19sChIJxcOHXFl6bYgRdJoLfE-8ITM,Decatur Vein Clinic LLC,1.0,2,Doctor,"4513 S 7th St, Terre Haute, IN 47802, United States","CH6V+J7 Terre Haute, Indiana, USA",http://www.decaturvein.com/,+1 812-244-0444,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SOPFMQ-a8CzehnYXbKh2_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=142.52893&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:05.973Z,,,,,,,,,,
https://www.google.com/maps/place/Lim+Laser+Center/data=!4m7!3m6!1s0x886d65588b68117b:0x865f2072c33be92e!8m2!3d39.4700671!4d-87.3821445!16s%2Fg%2F1td5s06f!19sChIJexFoi1hlbYgRLuk7w3IgX4Y,Lim Laser Center,5.0,1,Surgical center,"2235 Wabash Ave, Terre Haute, IN 47807, United States","FJC9+24 Terre Haute, Indiana, USA",http://limlasercenter.com/,+1 812-234-5273,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s09nPhu3FNnIhqhB6LlrkQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.01061&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:11.340Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,,
https://www.google.com/maps/place/Wabash+Valley+Infectious+Diseases/data=!4m7!3m6!1s0x886d7adba24cef2b:0xd6539ab8d3060353!8m2!3d39.4264698!4d-87.4139087!16s%2Fg%2F11byttxp11!19sChIJK-9Mott6bYgRUwMG07iaU9Y,Wabash Valley Infectious Diseases,3.3,7,Doctor,"315 E Davis Dr, Terre Haute, IN 47802, United States","CHGP+HC Terre Haute, Indiana, USA",https://www.woundcareandveinclinic.com/,+1 812-645-3472,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7RsvanHPWwfR9fwJ9OLHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=214.27928&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:16.261Z,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm",Closed,Closed,"9 am–12 pm, 1–5 pm",,,
https://www.google.com/maps/place/Wabash+Valley+Dermatology+and+Medspa/data=!4m7!3m6!1s0x886d7badc009f1db:0x59016b1ac452ab32!8m2!3d39.3985901!4d-87.3983761!16s%2Fg%2F11nnlx79ls!19sChIJ2_EJwK17bYgRMqtSxBprAVk,Wabash Valley Dermatology and Medspa,4.7,257,Dermatologist,"1208 E Canvasback Dr, Terre Haute, IN 47802, United States","9JX2+CJ Terre Haute, Indiana, USA",https://www.wvderm.net/,+1 812-917-7252,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNQT-JLbf1LLWUNPDy2cGAvtlhKn4Y2etCV3oCw=w408-h272-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:23.096Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–2 pm,Closed,Closed,8 am–5 pm,Identifies as women-owned,,
https://www.google.com/maps/place/Radiance+Aesthetics+%26+IV+Infusion+Bar/data=!4m7!3m6!1s0x886d6f8d188aaa0f:0x924ccc1b1826b966!8m2!3d39.4743144!4d-87.3592144!16s%2Fg%2F11sf6kwcc0!19sChIJD6qKGI1vbYgRZrkmGBvMTJI,Radiance Aesthetics & IV Infusion Bar,5.0,119,Medical spa,"3850 Wabash Ave, Terre Haute, IN 47803, United States","FJFR+P8 Terre Haute, Indiana, USA",http://812radiance.com/,+1 812-200-6078,Closes soon · 6 pm · Opens 10 am Wed,https://lh3.googleusercontent.com/p/AF1QipMi7k52_52BBqyx9X3P8GXDjLgnUCCFlvdVUvGG=w408-h408-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:27.929Z,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,Closed,Closed,10 am–6 pm,Identifies as women-owned,,
https://www.google.com/maps/place/Wabash+Valley+Surgery+Center/data=!4m7!3m6!1s0x886d6516c9e87227:0xc8dbb364bf1b9bc0!8m2!3d39.4836311!4d-87.4069564!16s%2Fg%2F1tf36q2k!19sChIJJ3LoyRZlbYgRwJsbv2Sz28g,Wabash Valley Surgery Center,4.4,17,Medical clinic,"1421 N 7th St, Terre Haute, IN 47807, United States","FHMV+F6 Terre Haute, Indiana, USA",https://www.myunionhealth.org/find-a-location/wabash-valley-surgery-center,+1 812-232-7192,Closed · Opens 6:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipMEjDn17Tr2lCgmBPDEG1llVNfTXRGE4lBMvHcy=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:32.930Z,6:30 am–5 pm,6:30 am–5 pm,6:30 am–5 pm,6:30 am–5 pm,Closed,Closed,6:30 am–5 pm,,,
https://www.google.com/maps/place/Randall+Dermatology+of+Terre+Haute/data=!4m7!3m6!1s0x886d6e2ee6400ab3:0x7a126a973920ac24!8m2!3d39.4622069!4d-87.3414588!16s%2Fg%2F11b5yv7hzj!19sChIJswpA5i5ubYgRJKwgOZdqEno,Randall Dermatology of Terre Haute,4.3,84,Dermatologist,"4949 Poplar St, Terre Haute, IN 47803, United States","FM65+VC Terre Haute, Indiana, USA",http://randallderm.com/,+1 812-877-0973,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlQJ2yhe3h6e-QlnTQLbOQnbSKY-Txn4tBKRLWmqx6ddNS1BO8GNfaP4wFMflAOK4_hMWEDPoQujVGtNfg3Cn4o1qNbjelim--rkByGvb7GGUSQBE99-bwUuNUM-rsKKMQZrn1=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:38.047Z,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,Closed,Closed,Closed,,,
https://www.google.com/maps/place/Heart+%26+Vascular+Institute/data=!4m7!3m6!1s0x886d6510e87f319b:0x7105d76f582d0a60!8m2!3d39.4850724!4d-87.4089829!16s%2Fg%2F11jk3r7wpw!19sChIJmzF_6BBlbYgRYAotWG_XBXE,Heart & Vascular Institute,2.0,1,Medical clinic,"8th Ave, Terre Haute, IN 47804, United States","FHPR+2C Terre Haute, Indiana, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5uHGVDauiDs7bdHWddEHBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.732901&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:40.681Z,,,,,,,,,,
https://www.google.com/maps/place/Cosmetic+Alternatives+Nonsurgical+Cosmetic+Services/data=!4m7!3m6!1s0x886d651b166b6e61:0x251f0d567cacf1d2!8m2!3d39.4876061!4d-87.414533!16s%2Fg%2F1tcx_l5v!19sChIJYW5rFhtlbYgR0vGsfFYNHyU,Cosmetic Alternatives Nonsurgical Cosmetic Services,3.1,19,Cosmetic surgeon,"1818 N 3rd St, Terre Haute, IN 47804, United States","FHQP+25 Terre Haute, Indiana, USA",http://www.dochaber.com/,+1 812-478-9494,Closed · Opens 9 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzyx_1Aj2KdP_lDjz2UxrKho0JI2AmZjf1O2c_sYbLFmF3ICxfWx88g85nJiMGXEtkLbrIDpRUeQZBrqgOI1ksj5Atz0cCoh9CfYgxRwR9WRD844YIrFslbUzKYSZ8UEFGWxBQFvETX6lg=w408-h544-k-no,false,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:45.658Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,,
https://www.google.com/maps/place/Cardiothoracic+%26+Vascular+Medicine/data=!4m7!3m6!1s0x886d651137ba1f87:0x8a2cfc197db5d5ef!8m2!3d39.4843897!4d-87.4076483!16s%2Fg%2F1tv24x3c!19sChIJhx-6NxFlbYgR79W1fRn8LIo,Cardiothoracic & Vascular Medicine,,,Cardiovascular and thoracic surgeon,"1530 N 7th St #102, Terre Haute, IN 47807, United States","FHMR+QW Terre Haute, Indiana, USA",,+1 812-238-7892,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X4Zr6KIxBNGYXdxq65HTNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.5672&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2025-12-16T22:07:48.444Z,,,,,,,,,,
