placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,error
https://www.google.com/maps/place/Kare+Health+And+Wellness/data=!4m7!3m6!1s0x87cf64ce67629d4f:0x76ddd28aa583f40!8m2!3d37.146743!4d-93.270662!16s%2Fg%2F1pp2xbr6t!19sChIJT51iZ85kz4cRQD9YqijdbQc,Kare Health And Wellness,4.7,207,Medical clinic,"1435 E Bradford Pkwy, Springfield, MO 65804, United States","4PWH+MP Springfield, Missouri, USA",https://integrativehealthcarespringfieldmo.com/,+1 417-881-4994,Closed ⋅ Opens 7:30 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipO-tafgBYJKx_7U-pAVCh4QZJmkoDsaDRk3tlew=w408-h612-k-no,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:50:59.905Z,
https://www.google.com/maps/place/Summit+Health+Clinic/data=!4m7!3m6!1s0x87cf7b0ae1d1db23:0xc934c6f34c048fa8!8m2!3d37.15983!4d-93.238844!16s%2Fg%2F11kjjlmdsg!19sChIJI9vR4Qp7z4cRqI8ETPPGNMk,Summit Health Clinic,5.0,49,Medical office,"2833 E Battlefield Rd b suite 106, Springfield, MO 65804, United States","5Q56+WF Springfield, Missouri, USA",http://www.summithealthmo.com/,+1 417-232-3000,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=57u1oJNZtsM9kRHSCIleBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.63657&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:05.537Z,
https://www.google.com/maps/place/Mercy+Oncology+Infusion+Center+-+Chub+O%27Reilly+Cancer+Center/data=!4m7!3m6!1s0x87cf635b4f6ba79f:0xcf524acf1ce2f997!8m2!3d37.1766614!4d-93.2726!16s%2Fg%2F1hc1npxmm!19sChIJn6drT1tjz4cRl_niHM9KUs8,Mercy Oncology Infusion Center - Chub O'Reilly Cancer Center,3.4,9,Cancer treatment center,"2055 S Fremont Ave, Springfield, MO 65804, United States","5PGG+MX Springfield, Missouri, USA",https://www.mercy.net/practice/mercy-oncology-infusion-center-chub-oreilly-cancer-center?utm_source=google&utm_medium=organic_search&utm_campaign=yext&utm_term=Central&utm_content=website&y_source=1_MTI5OTYzNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 417-820-8099,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRZe8an79_iN7NzJJhq4E0RmbLnUF3kRhDgOI9kttydB6gNPGR1G2M-d_3Kzrgcr3I-TV9wh-sM1eP4PUQzEsX43bs_qSvIxN0au4qqJmXzW8OYO29vtxpj0DbVSl6fde634X3=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:11.170Z,
https://www.google.com/maps/place/180+Health+Medical+%26+Wellness+Center/data=!4m7!3m6!1s0x87cf63c44a6b5bcd:0xcf70a8447d270e12!8m2!3d37.1786601!4d-93.2616423!16s%2Fg%2F11fn4n3thr!19sChIJzVtrSsRjz4cREg4nfUSocM8,180 Health Medical & Wellness Center,4.9,27,Medical clinic,"1936 S Glenstone Ave, Springfield, MO 65804, United States","5PHQ+F8 Springfield, Missouri, USA",,+1 417-882-9222,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN2IeyoQRrcA-AhzYhQFj9Yc6IQ_B0II_eRTOvC=w486-h240-k-no,true,Closed,"8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm","8 am–12:30 pm, 1:30–5 pm",Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:16.147Z,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x87cf65248c649d2d:0x6b3ae1a835f8e02a!8m2!3d37.1375874!4d-93.3130219!16s%2Fg%2F11ycbj7qw8!19sChIJLZ1kjCRlz4cRKuD4NajhOms,Metro Infusion Center,,,Medical Center,"1440 W Republic Rd suite 124, Springfield, MO 65807, United States","4MQP+2Q Springfield, Missouri, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qLDg3X1IE-t0KNrI0848EQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.64874&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:21.046Z,
https://www.google.com/maps/place/C.O.R.A.MED+HRT+%26+Regeneration+Center/data=!4m7!3m6!1s0x87cf63b0fdb08923:0x3e463b95b22f3e5f!8m2!3d37.1821069!4d-93.2741199!16s%2Fg%2F11vbvd2wtq!19sChIJI4mw_bBjz4cRXz4vspU7Rj4,C.O.R.A.MED HRT & Regeneration Center,4.9,47,Medical clinic,"1301 E Sunshine St Suite 118, Springfield, MO 65804, United States","5PJG+R9 Springfield, Missouri, USA",https://coramedregen.com/,+1 417-207-2441,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOeejE8WDwOc1c7Hw06ivW_1qZMyVVZIp8tzuJv=w408-h612-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8–11:30 am,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:25.921Z,
https://www.google.com/maps/place/Green+Health+Docs/data=!4m7!3m6!1s0x87cf63591de23b95:0x61aa44a06b251bf7!8m2!3d37.1826795!4d-93.2918843!16s%2Fg%2F11hdxc8x5z!19sChIJlTviHVljz4cR9xsla6BEqmE,Green Health Docs,4.8,245,Medical clinic,"225 E Sunshine St Suite 102, Springfield, MO 65807, United States","5PM5+36 Springfield, Missouri, USA",https://greenhealthdocs.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-[springfield],+1 240-356-1000,Closed ⋅ Opens 7 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOTivnOkJcA3vf8uZ8Khhe751XjxeofdVqxkki2=w408-h408-k-no,true,8 am–5 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,8 am–7 pm,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:36.156Z,
https://www.google.com/maps/place/Serotonin+Centers/data=!4m7!3m6!1s0x87cf65fa8b49b313:0x6ee6d37522b400ba!8m2!3d37.1585898!4d-93.2729114!16s%2Fg%2F11y46txv3_!19sChIJE7NJi_plz4cRugC0InXT5m4,Serotonin Centers,5.0,98,Medical spa,"1344 E Battlefield Rd, Springfield, MO 65804, United States","5P5G+CR Springfield, Missouri, USA",https://www.serotonincenters.com/springfield/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=springfield,+1 417-289-8424,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOMaQbIejPw8U40IwbwxNLL1hVfEX5djVnSasey=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–7 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:41.156Z,
https://www.google.com/maps/place/Specialty+Pharmacy+and+Home+Infusion+Services/data=!4m7!3m6!1s0x87cf6304b4844c63:0x884b40e17f363efc!8m2!3d37.1658975!4d-93.323389!16s%2Fg%2F11whzk_c40!19sChIJY0yEtARjz4cR_D42f-FAS4g,Specialty Pharmacy and Home Infusion Services,,,Medical Center,"2240 W Sunset St, Springfield, MO 65807, United States","5M8G+9J Springfield, Missouri, USA",,+1 417-269-0650,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2ewxfZhdTrlYRsPJAxO6WA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=161.83463&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-09-28T23:51:46.013Z,
"https://www.google.com/maps/place/Alps+Health+Infusion+Center/@37.0433863,-93.294353,14z/data=!4m6!3m5!1s0x87cf6fa47183a161:0xa51896ac6c12b61e!8m2!3d37.0428554!4d-93.2851844!16s%2Fg%2F11w29djw08",Alps Health Infusion Center,5.0,1,Medical Center,"105 S Ridgecrest Ave Suite 3C, Nixa, MO 65714, United States","2PV7+4W Nixa, Missouri, USA",https://www.alpspharmacy.com/specialty,+1 417-719-4510,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fk6G3NOll9SC-QOKez-cTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.9795&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Nixa+Springfield+MO/@37.0433863,-93.294353,14z",2025-09-28T23:51:55.372Z,
