placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,info
https://www.google.com/maps/place/Wayne+Pediatrics/data=!4m7!3m6!1s0x8824d33494fbf019:0x72ecbd63e6ed22a9!8m2!3d42.3481735!4d-83.0523216!16s%2Fg%2F11kl0qq77f!19sChIJGfD7lDTTJIgRqSLt5mO97HI,Wayne Pediatrics,4.6,18,Pediatrician,"400 Mack Ave Suite 1, Detroit, MI 48201, United States","8WXX+73 Detroit, Michigan, USA",http://www.waynepediatrics.org/,+1 313-448-9600,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQclXz1chTpQvcubbil8NPSWpWgL43zqqEwYWjh_kHMmn9Q5KmpVXQ-2VPq5E2f_B43z1g65QOqXdGr54ZUkjHSYOlCP-AgcvU_qSi2whd8WHegyE28CcfbM_A2_VooxccIV8mIw=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:07.272Z,,
"https://www.google.com/maps/place/Childrens+Hospital-Pediatrics/@42.352889,-83.0523779,17z/data=!3m1!4b1!4m6!3m5!1s0x8824d2c6370ad84b:0xfde0bad09a3ed7b6!8m2!3d42.352889!4d-83.0523779!16s%2Fg%2F1tf7h8wh",Childrens Hospital-Pediatrics,2.6,31,Children's hospital,"3950 Beaubien, Detroit, MI 48201, United States","9W3X+52 Detroit, Michigan, USA",https://www.childrensdmc.org/our-services/all-specialties/chm/general-pediatrics,+1 313-832-8290,Open · Closes 8 pm,,false,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:14.743Z,,
https://www.google.com/maps/place/DMC+Children%27s+Hospital+of+Michigan/data=!4m7!3m6!1s0x8824d35a8c76695f:0x2cd4933569ebd083!8m2!3d42.3509903!4d-83.0543498!16s%2Fg%2F11t0v_3x8c!19sChIJX2l2jFrTJIgRg9DraTWT1Cw,DMC Children's Hospital of Michigan,3.0,3,Pediatric clinic,"3901 Beaubien 4th Floor, Detroit, MI 48201, United States","9W2W+97 Detroit, Michigan, USA",https://www.childrensdmc.org/home,+1 313-745-5538,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ONiNtjsNL5ajnNHkPEWwaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.3609&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:18.897Z,,
https://www.google.com/maps/place/Lynn+Cameron+Smitherman/data=!4m7!3m6!1s0x8824d2c8d4dfac9b:0xdd2c643bd37bd437!8m2!3d42.3481735!4d-83.0523216!16s%2Fg%2F11ss_4jvt7!19sChIJm6zf1MjSJIgRN9R70ztkLN0,Lynn Cameron Smitherman,5.0,1,Pediatrician,"400 Mack Ave Suite 1, Detroit, MI 48201, United States","8WXX+73 Detroit, Michigan, USA",,+1 313-448-9600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZjB0iedyFLNTtnjzL9ipwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.99182&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:21.989Z,,
https://www.google.com/maps/place/Universal+Pediatrics/data=!4m7!3m6!1s0x8824d2c061fd8bb9:0xdae03a9c97a2d90f!8m2!3d42.3579919!4d-83.0564871!16s%2Fg%2F1tx47p0f!19sChIJuYv9YcDSJIgRD9mil5w64No,Universal Pediatrics,2.2,37,Pediatrician,"4727 St. Antoine St #404, Detroit, MI 48201, United States","9W5V+5C Detroit, Michigan, USA",https://www.universalpediatricspc.com/,+1 313-833-7266,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RmfZQ8lLsG0oFYw_zgH8ow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.14206&pitch=0&thumbfov=100,false,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,9 am–3 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:27.544Z,,
https://www.google.com/maps/place/Children%27s+Hospital+Of+Michigan-+General+Pediatrics/data=!4m7!3m6!1s0x8824d2c6370ad84b:0x8ef35a5b340611da!8m2!3d42.351517!4d-83.0545957!16s%2Fg%2F1ydpmbxh0!19sChIJS9gKN8bSJIgR2hEGNFta844,Children's Hospital Of Michigan- General Pediatrics,2.5,11,Doctor,"3901 Beaubien, Detroit, MI 48201, United States","9W2W+J5 Detroit, Michigan, USA",https://www.childrensdmc.org/services/general-pediatrics,+1 313-832-8290,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hPKK2j-WMaZicDwnqQ4mcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.50206&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:30.685Z,,
https://www.google.com/maps/place/Children%27s+Hospital+of+Michigan/data=!4m7!3m6!1s0x8824d2c6370ad84b:0xcab4857fd4cfc6ad!8m2!3d42.3516564!4d-83.0546227!16s%2Fm%2F04y77lz!19sChIJS9gKN8bSJIgRrcbP1H-FtMo,Children's Hospital of Michigan,3.2,797,Children's hospital,"3901 Beaubien, Detroit, MI 48201, United States","9W2W+M5 Detroit, Michigan, USA",http://www.childrensdmc.org/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-childrensdmc&utm_medium=google-local,+1 313-745-5437,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqmigNgibZht6SeowF5Zdn1j3i8C8_8XByVEGrpxqBdWzYfCTDq75VmFqP0KlLB_MyOjAwfkbWbwizaML3ZDCVxvFk9hsFBFenrUAWTqt0qHi2MMDQ0VZFGBUSe3j0KJkejO09V3Q=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:36.033Z,,
https://www.google.com/maps/place/Pioneer+Pediatrics/data=!4m7!3m6!1s0x883b2de41b983a69:0x7f22f0eff9a3e9b3!8m2!3d42.3297686!4d-83.0403798!16s%2Fg%2F11w4fx81dz!19sChIJaTqYG-QtO4gRs-mj-e_wIn8,Pioneer Pediatrics,,,Pediatrician,"400 Renaissance Center, Detroit, MI 48265, United States","8XH5+WR Detroit, Michigan, USA",,+1 219-819-8456,Closes soon · 5 pm · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GVCLcNdxL7cEitihcttRlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.99628&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:40.986Z,,
https://www.google.com/maps/place/Children%27s+Specialty+Center/data=!4m7!3m6!1s0x8824d2c6875d3ae3:0xdc747447ddf4e9da!8m2!3d42.3531089!4d-83.0523255!16s%2Fg%2F11c60jbzqm!19sChIJ4zpdh8bSJIgR2un03Ud0dNw,Children's Specialty Center,3.1,119,Specialized clinic,"3950 Beaubien, Detroit, MI 48201, United States","9W3X+63 Detroit, Michigan, USA",https://www.childrensdmc.org/locations/detail/childrens-hospital-of-michigan-specialty-center-detroit/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-childrens-hospital-of-michigan-specialty-center-detroit&utm_medium=google-local,+1 313-745-5437,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIIJsL4q1k7frWcSfRBKI5HpsQzlX3IxaZJ1y8rcLftTChu3XCa7BVCnJK56NVKmuutecnBmLbRvQZ1YjO4ArnXzQ9-_bVONNN-4kjttiTVQjw4xA56Y-oqDI3Hh4SGhxsXo5T=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:47.560Z,,
https://www.google.com/maps/place/University+Pediatricians/data=!4m7!3m6!1s0x8824d2c6370ad84b:0xfb4d568e42717991!8m2!3d42.3531259!4d-83.0525328!16s%2Fg%2F1trch0zf!19sChIJS9gKN8bSJIgRkXlxQo5WTfs,University Pediatricians,,,Pediatrician,"3950 Beaubien, Detroit, MI 48201, United States","9W3W+7X Detroit, Michigan, USA",https://www.universitypediatricians.org/,+1 313-745-5437,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l09PY5rjK5cR5GZmc7-9sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.2014&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-10T21:55:50.599Z,,
