placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Covers4pools/data=!4m7!3m6!1s0x487931f4e85fc761:0x5fdabcd9e44c3bd5!8m2!3d53.8738733!4d-0.6510639!16s%2Fg%2F1v8x1rp5!19sChIJYcdf6PQxeUgR1TtM5Nm82l8,Covers4pools,4.9,8,Swimming pool contractor,"Torr Hus, Goodmanham Rd, Goodmanham, York YO43 3HX, United Kingdom","V8FX+GH Goodmanham, York, UK",http://www.covers4pools.co.uk/,+44 1904 236344,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U_0-ZhyoTLY_d9otMX1sag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.4414&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:57:55.496Z,,,
https://www.google.com/maps/place/Adams+Aquatics+Swim+School/data=!4m7!3m6!1s0x4879310304421e2b:0x60b03ee232d41477!8m2!3d53.9529214!4d-1.0994435!16s%2Fg%2F11c602hftp!19sChIJKx5CBAMxeUgRdxTUMuI-sGA,Adams Aquatics Swim School,4.5,8,Swimming instructor,"The Mt School, Dalton Terrace, York YO24 4DD, United Kingdom","XW32+56 York, UK",http://www.adamsaquatics.co.uk/,+44 7714 917531,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPcxuMRvl7ysFJ0jNwh1PUvf3Mmdwu8R44ktozE=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:02.488Z,,,
"https://www.google.com/maps/place/Pooldavies+Ltd/@54.0033784,-0.9509655,17z/data=!3m1!4b1!4m6!3m5!1s0x48792c1a3df0319b:0x13a4ded1705817b3!8m2!3d54.0033784!4d-0.9509655!16s%2Fg%2F1hc324mk2",Pooldavies Ltd,,,Swimming pool contractor,"Common Farm Northgate Stud, Upper Helmsley, York YO41 1EW, United Kingdom","223X+9J Upper Helmsley, York, UK",,+44 7974 692628,,,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:07.416Z,,,
https://www.google.com/maps/place/J.P.+Swimming+Pool+Solutions/data=!4m7!3m6!1s0x4878d92115470001:0x1d53accb253cf181!8m2!3d53.8390186!4d-0.7664316!16s%2Fg%2F11j6wcg7fv!19sChIJAQBHFSHZeEgRgfE8JcusUx0,J.P. Swimming Pool Solutions,,,Swimming pool contractor,"Richmond House, 39 Old Rd, Holme-on-Spalding-Moor, York YO43 4AD, United Kingdom","R6QM+JC Holme-on-Spalding-Moor, York, UK",http://jppoolsolutions.co.uk/,+44 1430 861904,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ObOO3E713S95pwrNXstjGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.5907&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:10.728Z,,,
https://www.google.com/maps/place/York+Leisure+Centre/data=!4m7!3m6!1s0x4879317717587c4d:0x3264e391dacf7173!8m2!3d53.9848954!4d-1.0512975!16s%2Fg%2F11j0wg25hq!19sChIJTXxYF3cxeUgRc3HP2pHjZDI,York Leisure Centre,4.1,134,Leisure center,"Kathryn Avenue, Monks Cross Dr, Huntington, York YO32 9AF, United Kingdom","XWMX+XF Huntington, York, UK",https://www.better.org.uk/leisure-centre/york/york-leisure-centre?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 1904 942255,Open ⋅ Closes 9:30 pm,https://lh3.googleusercontent.com/p/AF1QipPWWUnoT1wG2Uq4lbX9T4_OuijDybz9zhoii6TO=w408-h272-k-no,true,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:16.435Z,,,
https://www.google.com/maps/place/THE+HAPPY+HOMEBIRTH+COMPANY/data=!4m7!3m6!1s0x48793102a8f4e26d:0xabd11d6c9b7a7bd!8m2!3d53.9441172!4d-1.0787384!16s%2Fg%2F11fxccs2rv!19sChIJbeL0qAIxeUgRvae3ydYRvQo,THE HAPPY HOMEBIRTH COMPANY,5.0,9,E-commerce service,"65 Maple Grove, York YO10 4EJ, United Kingdom","WWVC+JG York, UK",http://happyhomebirth.co.uk/,+44 7736 325871,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mrZYH-l_ZWc-pvHiLxNLIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.85655&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:19.347Z,,,
https://www.google.com/maps/place/The+One+Pool/data=!4m7!3m6!1s0x4878d797f4e77953:0xcb40578bdc05389!8m2!3d53.9240002!4d-0.8002261!16s%2Fg%2F11krp8sdny!19sChIJU3nn9JfXeEgRiVPAvXgFtAw,The One Pool,1.0,1,Swimming pool contractor,"Pocklington Industrial Estate, Hereford Rd, York YO42 1NR, United Kingdom","W5FX+JW Pocklington, York, UK",http://onepoolandspa.co.uk/the-one-pool,+44 1759 321135,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wNesvt9waTuSWqnEthae5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.72936&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:22.159Z,,,
https://www.google.com/maps/place/Yearsley+Swimming+Pool/data=!4m7!3m6!1s0x4879319771c8ed07:0x8a128b7eb4bf33ed!8m2!3d53.9755642!4d-1.0756872!16s%2Fg%2F1vfzdppy!19sChIJB-3IcZcxeUgR7TO_tH6LEoo,Yearsley Swimming Pool,4.4,391,Public swimming pool,"Haley's Terrace, Clifton, York YO31 8SB, United Kingdom","XWGF+6P York, UK",https://www.better.org.uk/leisure-centre/york/yearsley-pool?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 1904 403860,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipNjPpRsflJRjuQUk9BRhLgu2dmtU19Pgsw7tY_m=w408-h306-k-no,true,7:10 am–5:20 pm,7 am–5:20 pm,7:10 am–7 pm,7 am–5:20 pm,7 am–5:20 pm,8:10 am–3:30 pm,8 am–3:30 pm,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:27.163Z,"Expansive indoor pool offering family swimming hours, aquatic fitness classes & changing facilities.",,
https://www.google.com/maps/place/Bannatyne+Health+Club+And+Spa/data=!4m7!3m6!1s0x4879314e2ee50573:0x61c43effcd8128ed!8m2!3d53.9809274!4d-1.1316583!16s%2Fg%2F1vm_xd3x!19sChIJcwXlLk4xeUgR7SiBzf8-xGE,Bannatyne Health Club And Spa,4.0,480,Fitness center,"Unit 1A, The Millfield, York Business Park, White Rose Cl, Nether Poppleton, York YO26 6RL, United Kingdom","XVJ9+98 Nether Poppleton, York, UK",http://www.bannatyne.co.uk/healthandfitness/york,+44 1904 606100,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3oPT-6Lf_zLnhpyNYt0q86wJjHuDdWVPDpmJFwOgmLbqSAOWbGCAzEVtkMl4W4opGVt57gto6K1SQgRwFXEn6f6YyIcogi7J691TD_2yBgNZpn9lmp81AWTj4H_-rmqx3OcEg=w408-h306-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:32.330Z,,,
https://www.google.com/maps/place/York+Stadium+Leisure+Complex/data=!4m7!3m6!1s0x487931f0c78d3b5d:0xff60674ac3463a1c!8m2!3d53.9847034!4d-1.0513838!16s%2Fg%2F11bw39vt88!19sChIJXTuNx_AxeUgRHDpGw0pnYP8,York Stadium Leisure Complex,4.1,65,Sports complex,"Kathryn Ave, Monks Cross Dr, Huntington, York YO32 9AF, United Kingdom","XWMX+VC Huntington, York, UK",https://www.better.org.uk/destinations/york-stadium-leisure-complex?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+44 1904 942255,Open ⋅ Closes 9:30 pm,https://lh3.googleusercontent.com/p/AF1QipNuyyaeBIhePS73NxLYHCMIchJ581qSA03O_GyQ=w408-h305-k-no,true,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,6:30 am–9:30 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:37.516Z,,,
https://www.google.com/maps/place/Jorvik+Hot+Tub+Hire/data=!4m7!3m6!1s0x487931ea6981fdb9:0xb1941f3c24494ac9!8m2!3d53.9794721!4d-1.0971128!16s%2Fg%2F11v036npcw!19sChIJuf2BaeoxeUgRyUpJJDwflLE,Jorvik Hot Tub Hire,5.0,22,Hot tub store,"7 Lancaster Way, York YO30 5ZA, United Kingdom","XWH3+Q5 York, UK",http://www.jorvikhottubhire.co.uk/,+44 7915 222358,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMBNUuIl38PzTewDiXaSmT51YP5gj4sSYM1EfL6=w408-h306-k-no,true,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:42.891Z,· Delivery,,
https://www.google.com/maps/place/Able+handyman%2FProperty+maintenance+services/data=!4m7!3m6!1s0x487931212f549edf:0x6fd461a35cd853d7!8m2!3d53.954545!4d-1.0518268!16s%2Fg%2F1tdqn555!19sChIJ355ULyExeUgR11PYXKNh1G8,Able handyman/Property maintenance services,5.0,5,Handyman/Handywoman/Handyperson,"10 Milson Grove, York YO10 3AG, United Kingdom","XW3X+R7 York, UK",http://ablehandymanservicesyork.co.uk/,+44 7811 169368,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMbZHglHfl2vh543LGW1qkzpVPzTUuik8DQy7e8=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:48.264Z,,,
https://www.google.com/maps/place/Yorkshire+Pools/data=!4m7!3m6!1s0x4878cbd483b65213:0x9e2cab5e0d912530!8m2!3d54.0043696!4d-0.4401551!16s%2Fg%2F11y5p8_wnv!19sChIJE1K2g9TLeEgRMCWRDV6rLJ4,Yorkshire Pools,5.0,13,Swimming pool contractor,"22 Adelphi St, Driffield YO25 6RF, United Kingdom","2H35+PW Driffield, United Kingdom",https://www.yorkshirepools.co.uk/,+44 1377 822023,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlqBGQVOicy1P8eQgCL8TGQ9XA6gCdHwnrvUy_QOyhPqH8cNU8_ID66UPKPrNUn1laGDtbogaoLuEkyPj9SPaL9RBD0HGgRjGnm4A_De_EFL32oOV7P_5Zt-IX-I_phAbZ-w36_VbxxdxH=w408-h724-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-27T18:58:53.363Z,,,
