placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,error
"https://www.google.com/maps/place/Mary+Bird+Perkins+Cancer+Center+in+Shreveport+%7C+850+Olive+St,+Ste.+A/data=!4m7!3m6!1s0x8636cd7c49f160c7:0xf4afb9c65ae4fe8b!8m2!3d32.493039!4d-93.74795!16s%2Fg%2F11vyyf46lw!19sChIJx2DxSXzNNoYRi_7kWsa5r_Q","Mary Bird Perkins Cancer Center in Shreveport | 850 Olive St, Ste. A",4.5,2,Cancer treatment center,"850 Olive St Ste A, Shreveport, LA 71104, United States","F7V2+6R Shreveport, Louisiana, USA",http://marybird.org/shreveport,+1 318-239-4860,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EjFStxfKzGG4o4X2Dd-YUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.06071&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:37.033Z,,,,,,,,,,
https://www.google.com/maps/place/NL+Whole+Health+Treatment+Center+In+Louisiana/data=!4m7!3m6!1s0x8636cd5a11abd917:0x23ef1841911f2c98!8m2!3d32.497204!4d-93.7454989!16s%2Fg%2F11rnd1vzgc!19sChIJF9mrEVrNNoYRmCwfkUEY7yM,NL Whole Health Treatment Center In Louisiana,4.7,24,Mental health clinic,"1513 Line Ave Suite 111, Shreveport, LA 71101, United States","F7W3+VR Shreveport, Louisiana, USA",https://www.nlwholehealth.com/,+1 318-408-9929,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPtFdRgTiLmZUlZdpn2aKzoIRVlFGjKZMpdqjS0=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:43.460Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,
https://www.google.com/maps/place/Hematology%2FOncology+Associates/data=!4m7!3m6!1s0x8636cd7e061a131b:0xde0489e1e8104d6c!8m2!3d32.481406!4d-93.779331!16s%2Fg%2F1txnpv9m!19sChIJGxMaBn7NNoYRbE0Q6OGJBN4,Hematology/Oncology Associates,4.9,489,Cancer treatment center,"2600 Kings Hwy #340, Shreveport, LA 71103, United States","F6JC+H7 Shreveport, Louisiana, USA",http://www.wkhs.com/Cancer/Physicians/Hematology-Oncology,+1 318-212-8620,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bw8sm3o-9aEH6kLP3YVa5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.25732&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:48.789Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,
https://www.google.com/maps/place/Ben+Quinney/data=!4m7!3m6!1s0x8636cd4df7f63cb5:0xe6c9c8e93163e8f6!8m2!3d32.493039!4d-93.74795!16s%2Fg%2F11rwxg7qc4!19sChIJtTz2903NNoYR9uhjMenIyeY,Ben Quinney,,,Cancer treatment center,"850 Olive St, Shreveport, LA 71104, United States","F7V2+6R Shreveport, Louisiana, USA",,+1 225-264-6800,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EjFStxfKzGG4o4X2Dd-YUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.06071&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:51.920Z,,,,,,,,,,
https://www.google.com/maps/place/The+Healing+Clinics+Medical+Marijuana+Doctors+Shreveport/data=!4m7!3m6!1s0x8636cdbf743363d9:0x629005811965b1ff!8m2!3d32.4924113!4d-93.7456514!16s%2Fg%2F11gwmclgf5!19sChIJ2WMzdL_NNoYR_7FlGYEFkGI,The Healing Clinics Medical Marijuana Doctors Shreveport,4.8,274,Medical office,"745 Olive St #202, Shreveport, LA 71104, United States","F7R3+XP Shreveport, Louisiana, USA",https://www.thehealingclinics.com/,+1 318-227-4088,,https://lh3.googleusercontent.com/p/AF1QipPYKAY3j5C7fPTLVwdlnmlZsVE0jzeKeXFmBFbG=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:54.802Z,,,,,,,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Brentwood+Hospital+of+Shreveport/data=!4m7!3m6!1s0x863132b5b99ef813:0xcfac4675acee616b!8m2!3d32.5023569!4d-93.7400451!16s%2Fg%2F1tgkhnk8!19sChIJE_ieubUyMYYRa2HurHVGrM8,Brentwood Hospital of Shreveport,2.6,603,Mental health clinic,"1006 Highland Ave, Shreveport, LA 71101, United States","G725+WX Shreveport, Louisiana, USA",https://brentwoodbehavioral.com/,+1 877-678-7500,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTuIk5Z1UCGzGR23opRY6EP0MV2iwKhagLJBJNPR_A5O0EeSaneDq7ZAl8DqpSfdfLLJ7_6WRvUrhp2YNs5HZl_ZUPKgti8v09jkMnqu6XCsIbizyQ4YqbKB2iDLtPXIazEO4Q=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:42:59.747Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Willis+Knighton+Rehabilitation/data=!4m7!3m6!1s0x8636cd4a5f385373:0xbcb88b5374460f7b!8m2!3d32.502783!4d-93.745579!16s%2Fg%2F11g9gs_wgv!19sChIJc1M4X0rNNoYRew9GdFOLuLw,Willis Knighton Rehabilitation,4.4,19,Physical rehabilitation center,"1111 Line Ave, Shreveport, LA 71101, United States","G733+4Q Shreveport, Louisiana, USA",http://www.wkhs.com/Locations/Rehabilitation-Institute,+1 318-716-4720,,https://lh3.googleusercontent.com/p/AF1QipPp-XEFMCQJLy0BhI4TjQVwSKpaIDcez8fx_nRh=w408-h270-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:43:02.968Z,,,,,,,,,,
https://www.google.com/maps/place/Willis+Knighton+Cancer+Center/data=!4m7!3m6!1s0x8636cd7e061a131b:0x3dff020578eca458!8m2!3d32.4814284!4d-93.7792646!16s%2Fg%2F1jkvpl_7n!19sChIJGxMaBn7NNoYRWKTseAUC_z0,Willis Knighton Cancer Center,4.3,28,Cancer treatment center,"2600 Kings Hwy, Shreveport, LA 71103, United States","F6JC+H7 Shreveport, Louisiana, USA",https://www.wkhs.com/cancer,+1 318-212-8300,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNACVKu7m8n_l4NBpngkMJhrNkH6zGsq5KMASsZ=w720-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:43:08.163Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,LGBTQ+ friendly,,
https://www.google.com/maps/place/HOPE+Recovery+Clinics/data=!4m7!3m6!1s0x8636cd8a5d36eb23:0x52e70d3f9522be4d!8m2!3d32.4894557!4d-93.7454332!16s%2Fg%2F11jdsvv27n!19sChIJI-s2XYrNNoYRTb4ilT8N51I,HOPE Recovery Clinics,4.9,60,Psychiatrist,"721 Boulevard St, Shreveport, LA 71104, United States","F7Q3+QR Shreveport, Louisiana, USA",https://hoperecoveryclinics.com/,+1 318-828-2520,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QNrIjf8u-r9_I3m-td3_Tw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.51149&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:43:13.247Z,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–12 pm,Closed,,,
https://www.google.com/maps/place/Ochsner+LSU+Health+-+Feist-Weiller+Cancer+Center/data=!4m7!3m6!1s0x8636d31fad189f67:0x9fff2b76b9cfc562!8m2!3d32.4812447!4d-93.7591393!16s%2Fg%2F1vfp3_r3!19sChIJZ58YrR_TNoYRYsXPuXYr_58,Ochsner LSU Health - Feist-Weiller Cancer Center,3.6,29,Cancer treatment center,"1501 Kings Hwy, Shreveport, LA 71103, United States","F6JR+F8 Shreveport, Louisiana, USA",https://www.ochsnerlsuhs.org/locations/feist-weiller-cancer-center?y_source=1_MTU4MzEyMTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 318-813-1000,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMsfjuIFNQmX8ThH5SWL_-WUg-UVhVwWFVmHl0S=w408-h258-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2025-09-28T23:43:18.334Z,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,,,
