placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes
https://www.google.com/maps/place/Physicians+HolisticHealth+Alliance/data=!4m7!3m6!1s0x8816d207473bccb9:0x107279fbaca88a9b!8m2!3d41.7123719!4d-86.2024282!16s%2Fg%2F1tgpyth7!19sChIJucw7RwfSFogRm4qorPt5chA,Physicians HolisticHealth Alliance,4.1,41,Women's health clinic,"53800 Generations Dr, South Bend, IN 46635, United States","PQ6X+W2 South Bend, Indiana, USA",https://www.caringforthewholeyou.com/,+1 574-273-3880,Open · Closes 4 pm,true,https://lh3.googleusercontent.com/p/AF1QipNV-kQTAt6K-5JZcLpg3s6hvnP_qirjOQf5Befc=w408-h272-k-no,true,10 am–4 pm,10 am–4 pm,8 am–5 pm,10 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:00.921Z,,
https://www.google.com/maps/place/House+of+Health/data=!4m7!3m6!1s0x8816cda00a330217:0x33ba5c4456c98228!8m2!3d41.694758!4d-86.2158894!16s%2Fg%2F11h269fl7n!19sChIJFwIzCqDNFogRKILJVkRcujM,House of Health,5.0,31,Wellness center,"2307 Edison Rd, South Bend, IN 46615, United States","MQVM+WJ South Bend, Indiana, USA",http://houseofhealthusa.com/,+1 574-302-7212,"Closed · Opens 4 pm

Updated by this business 6 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipPe0Jts9cOKz8SkYaIkFGfu9_Ky1aT9XY0GfWyc=w408-h725-k-no,true,4–8 pm,8 am–2 pm,Closed,4 am–8 pm,8 am–2 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:07.023Z,,
"https://www.google.com/maps/place/Mind-Body+Holistic+Health+Group,+LLC/data=!4m7!3m6!1s0x8816cd79ae2714e1:0xe91b88add0b705d7!8m2!3d41.6749357!4d-86.2406586!16s%2Fg%2F11twv5v_by!19sChIJ4RQnrnnNFogR1wW30K2IG-k","Mind-Body Holistic Health Group, LLC",5.0,22,Wellness center,"714 E Jefferson Blvd, South Bend, IN 46617, United States","MQF5+XP South Bend, Indiana, USA",https://www.mindbodyhhg.com/,+1 574-208-1426,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipM5kiFRrn7yChCliZTxjT6y-FsHQ_A-fOtkbNZn=w408-h306-k-no,true,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,11 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:11.727Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Integrative+Health+and+Wellness/data=!4m7!3m6!1s0x8816d2273bf02c25:0xe95703ac1ea592f7!8m2!3d41.7226113!4d-86.1777197!16s%2Fg%2F11dyxt85rx!19sChIJJSzwOyfSFogR95KlHqwDV-k,Integrative Health and Wellness,4.5,39,Wellness center,"6910 N Main St #6th, Granger, IN 46530, United States","PRFC+2W Granger, Indiana, USA",http://wellnessmichiana.com/,+1 574-330-0464,,,https://lh3.googleusercontent.com/p/AF1QipM9zz_yXIvvXTHlYeBmZ6JQqds1O12xPrpgqSAW=w408-h449-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:14.614Z,,
https://www.google.com/maps/place/Lotus+Health+%26+Wellness/data=!4m7!3m6!1s0x8816cd0de934f223:0x23887b4865e11fa!8m2!3d41.6963489!4d-86.1816525!16s%2Fg%2F11nh47n6bj!19sChIJI_I06Q3NFogR-hFehrSHOAI,Lotus Health & Wellness,5.0,44,Medical clinic,"3838 N Main St #1c, Mishawaka, IN 46545, United States","MRW9+G8 Mishawaka, Indiana, USA",https://www.lotuswellnesshealth.com/,+1 574-404-3980,Open · Closes 3:30 pm,,https://lh3.googleusercontent.com/p/AF1QipPdcZxEQWae4Q1GH3xQLDd1gcVPr8h0jqPvJtyD=w408-h544-k-no,true,10 am–3:30 pm,10 am–3:30 pm,Closed,10 am–3:30 pm,10 am–3:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:19.289Z,,
"https://www.google.com/maps/place/Dr.+Susan+R+Hart-Cavallo/@41.7123471,-86.2023579,17z/data=!3m1!4b1!4m6!3m5!1s0x8816cd40d514a097:0xf5928ef4c58f5678!8m2!3d41.7123471!4d-86.2023579!16s%2Fg%2F1th57lnk",Dr. Susan R Hart-Cavallo,5.0,3,Doctor,"53800 Generations Dr, South Bend, IN 46635, United States","PQ6X+W3 South Bend, Indiana, USA",http://www.caringforthewholeyou.com/,+1 574-273-3880,Open · Closes 5 pm,,,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:25.947Z,,
https://www.google.com/maps/place/Kaurich+Chiropractic+and+Wellness+Center/data=!4m7!3m6!1s0x8811327d16dba901:0x1fffe694035c4ce4!8m2!3d41.7232093!4d-86.2831141!16s%2Fg%2F1th1vnhn!19sChIJAanbFn0yEYgR5ExcA5Tm_x8,Kaurich Chiropractic and Wellness Center,4.9,605,Chiropractor,"21421 Cleveland Rd, South Bend, IN 46628, United States","PPF8+7Q South Bend, Indiana, USA",https://www.kaurichchiropractic.com/?utm_source=google&utm_medium=social&utm_campaign=profile_link&utm_content=homepage,+1 574-282-2828,Open · Closes 6:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOT-H92qGT4AwT9ULSTttIW2BRxQzL-CeDZ_Hui=w426-h240-k-no,true,9:30 am–6:30 pm,12–6:30 pm,10:30 am–6:30 pm,9:30 am–6:30 pm,10 am–4 pm,11 am–12 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:31.144Z,,
"https://www.google.com/maps/place/Dr.+Natalie+Kilheeney+L.Ac.,+Dipl.+OM,+DAOM/data=!4m7!3m6!1s0x8816cca54ba75a37:0x6eb6182a18372c17!8m2!3d41.7296947!4d-86.1747921!16s%2Fg%2F11bw6yvb5h!19sChIJN1qnS6XMFogRFyw3GCoYtm4","Dr. Natalie Kilheeney L.Ac., Dipl. OM, DAOM",5.0,5,Acupuncturist,"318 Toscana Blvd, Granger, IN 46530, United States","PRHG+V3 Granger, Indiana, USA",http://www.beyondzenstudio.com/,+1 574-855-1405,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerwTo6fyTpQGktZpAEB0ZptabGih69VS_WEDt2Myuwsz2U8ow6b7d1SGSs3DfH4Un6s3GnVd1noy0NpSmZMZbsn4XU6G_IDNX73iN4Y18Hrf447fq1KP-RCSRbkG19UiQjM8-tr=w408-h272-k-no,true,1–7 pm,9:30 am–7 pm,9:30 am–7 pm,9:30 am–7 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:36.013Z,,
https://www.google.com/maps/place/Active+Health+%26+Wellness+Center/data=!4m7!3m6!1s0x8816cdb04b47aac3:0x8eb52aab14d09256!8m2!3d41.6659172!4d-86.2042376!16s%2Fg%2F1td_5swc!19sChIJw6pHS7DNFogRVpLQFKsqtY4,Active Health & Wellness Center,5.0,283,Chiropractor,"3027 E Mishawaka Ave, South Bend, IN 46615, United States","MQ8W+98 South Bend, Indiana, USA",https://activehealthcenter.com/,+1 574-259-9355,Open · Closes 6:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOTsdvoIcNmT-d5-bjvSodeNnJ0fe8gi2vFjtkv=w408-h544-k-no,true,7:30 am–6:30 pm,1:30–6:30 pm,7:30 am–6:30 pm,1:30–6:30 pm,7:30 am–12:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:40.968Z,LGBTQ+ friendly,
https://www.google.com/maps/place/River+Valley+Wellness+Center+PC/data=!4m7!3m6!1s0x8816d2b669272111:0xa3bd2291808c83eb!8m2!3d41.7179755!4d-86.2508968!16s%2Fg%2F1tdnxhx_!19sChIJESEnabbSFogR64OMgJEivaM,River Valley Wellness Center PC,5.0,5,Acupuncture clinic,"227 N Dixie Way #200, South Bend, IN 46637, United States","PP9X+5J South Bend, Indiana, USA",http://rivervalleywellness.com/,+1 574-272-7700,Closed · Opens 2 pm Tue,,https://lh3.googleusercontent.com/p/AF1QipPBuy-zkYJE5gIYh3BwrsykGTcF7LWn9QfwFvOR=w408-h544-k-no,true,10 am–1 pm,2–5 pm,Closed,2–5 pm,10 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2026-02-23T18:32:45.849Z,,
