placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Sanford+%26+Associates--CPAs+and+Trusted+Advisors/data=!4m7!3m6!1s0x87cf7cb6ccaed5c5:0xf1798b96eebd5578!8m2!3d37.1833!4d-93.2519226!16s%2Fg%2F1tj743xl!19sChIJxdWuzLZ8z4cReFW97paLefE,Sanford & Associates--CPAs and Trusted Advisors,5.0,13,Certified public accountant,"1655 S Enterprise Ave Unit B4, Springfield, MO 65804, United States","5PMX+86 Springfield, Missouri, USA",http://www.adifferentcpa.com/,+1 417-886-2220,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v75A8MjLDQ8cp-7WCjJjtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.893074&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:28.575Z,,,
"https://www.google.com/maps/place/Forvis+Mazars,+LLP/data=!4m7!3m6!1s0x87cf631e214a67f9:0x5ff2e4ca0e57cf14!8m2!3d37.2085128!4d-93.2817795!16s%2Fg%2F1tdftp5j!19sChIJ-WdKIR5jz4cRFM9XDsrk8l8","Forvis Mazars, LLP",4.6,10,Auditor,"910 E St Louis St, Springfield, MO 65806, United States","6P59+C7 Springfield, Missouri, USA",https://www.forvismazars.us/about-us/locations/springfield-mo?utm_source=yext&utm_medium=organic&utm_campaign=yext,+1 417-865-8701,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlt2O8p75WCiXgsxhnipg-ExG-c2kt9_GWc5tyBucuKcbF6NtDzw6Rspo3FgzkUakYjZUYOieUdMtvY_RspeHtUCJs_eOFRbhpHsx16MtpocD3cdEy7E836c7XzGFit7VpWX6e5A=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:34.947Z,,,
https://www.google.com/maps/place/Arndt+Company+CPAs/data=!4m7!3m6!1s0x87cf7b02e6425575:0xb7ba29ceac0bedc2!8m2!3d37.1607642!4d-93.2289443!16s%2Fg%2F11h42s17br!19sChIJdVVC5gJ7z4cRwu0LrM4purc,Arndt Company CPAs,4.8,26,Certified public accountant,"2847 S Ingram Mill Rd STE A-100, Springfield, MO 65804, United States","5Q6C+8C Springfield, Missouri, USA",https://arndtcpas.com/,+1 417-882-9000,"Closed ⋅ Opens 8:30 am Mon

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOsFmbKo65Dwd8zwied90bsMGsm2WYoilor1rwZ=w426-h240-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:40.030Z,Identifies as women-owned,,
"https://www.google.com/maps/place/Bell+CPA,+LLC/data=!4m7!3m6!1s0x87cf647c20de9625:0x3cfd523beccbdd33!8m2!3d37.1601977!4d-93.3021209!16s%2Fg%2F1tj2jf72!19sChIJJZbeIHxkz4cRM93L7DtS_Tw","Bell CPA, LLC",4.1,32,Certified public accountant,"805 W Battlefield Rd, Springfield, MO 65807, United States","5M6X+35 Springfield, Missouri, USA",http://www.bellcpaspringfield.com/,+1 417-882-0752,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipN1M32fWaM-cBGyg5f6z2c0nwn6LbE3owr3LgeY=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:45.289Z,,,
"https://www.google.com/maps/place/Jerod+Ostermeier,+CPA,+CFP/data=!4m7!3m6!1s0x87d0f895c2b2f8bd:0x5b695729cecabc56!8m2!3d37.182892!4d-93.22706!16s%2Fg%2F11d_7njf9h!19sChIJvfiywpX40IcRVrzKzilXaVs","Jerod Ostermeier, CPA, CFP",4.9,27,Certified public accountant,"1615 S Ingram Mill Rd Building A, Springfield, MO 65804, United States","5QMF+55 Springfield, Missouri, USA",http://www.ostermeiercpa.com/,+1 417-256-9299,"Closed ⋅ Opens 9 am Mon

Updated by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipMXezSZwOTFTHgupPOEwH1fTbSBhh_4ugb8LNCi=w408-h272-k-no,true,Closed,"9–11:30 am, 1–5 pm","9–11:30 am, 1–5 pm","9–11:30 am, 1–5 pm","9–11:30 am, 1–5 pm",9–11:30 am,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:50.294Z,,,
https://www.google.com/maps/place/Pro+Tax+Consultants+LLC/data=!4m7!3m6!1s0x87cf6415bfc5bb99:0x79d9a11c1bcd8dd6!8m2!3d37.185039!4d-93.2613061!16s%2Fg%2F1261ry1hy!19sChIJmbvFvxVkz4cR1o3NGxyh2Xk,Pro Tax Consultants LLC,4.8,56,Tax preparation service,"1740 S Glenstone Ave c, Springfield, MO 65804, United States","5PPQ+2F Springfield, Missouri, USA",http://www.protaxconsultants.net/,+1 417-831-5515,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipN_-KZZlyeBiTtwt20Qfadd_9VbzrT3juDUOHbq=w408-h258-k-no,true,Closed,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:20:55.729Z,Identifies as women-owned,,
https://www.google.com/maps/place/Accurate+Tax+Services/data=!4m7!3m6!1s0x87cf634cc64b062f:0x2bf2fcf7b709f53b!8m2!3d37.1811117!4d-93.2585055!16s%2Fg%2F1tnjk2yn!19sChIJLwZLxkxjz4cRO_UJt_f88is,Accurate Tax Services,4.8,21,Tax preparation service,"1944 E Sunshine St f, Springfield, MO 65804, United States","5PJR+CH Springfield, Missouri, USA",,+1 417-863-0829,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkj_oJELKKV8a8TWyevj_e4PB8bptm0UyEJrG6YqD_4ahVX5L1L2bg170PaS81gB7sZd2F7_ORjNNY3037fO84KC5M7RRLPOrshnoRZPvDsu9upRJS6G9tRfSSqKWfFBKgkUYQ=w408-h544-k-no,true,Closed,"9 am–2:30 pm, 3:30–6 pm","9 am–2:30 pm, 3:30–6 pm","9 am–2:30 pm, 3:30–6 pm","9 am–2:30 pm, 3:30–6 pm","9 am–2:30 pm, 3:30–6 pm",9 am–12 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:01.042Z,Identifies as women-owned,,
"https://www.google.com/maps/place/Hagan,+Tucker,+Schmitt+%26+Gintz,+LLC/data=!4m7!3m6!1s0x87cf7cb73e04c6ab:0xaf24bd700b0b5dc8!8m2!3d37.1846549!4d-93.2496492!16s%2Fg%2F1tdvq87j!19sChIJq8YEPrd8z4cRyF0LC3C9JK8","Hagan, Tucker, Schmitt & Gintz, LLC",4.9,7,Certified public accountant,"1609 S Enterprise Ave, Springfield, MO 65804, United States","5QM2+V4 Springfield, Missouri, USA",http://www.htsgcpa.com/,+1 417-881-6919,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bsUn9ul-kSHeTiV_XhZx5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.61676&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:06.273Z,,,
"https://www.google.com/maps/place/Kollmeyer+%26+Co+LLC:+Greg+Kollmeyer,+CPA/data=!4m7!3m6!1s0x87cf634e9d4b2cf5:0x5d9137746e1691fc!8m2!3d37.1806746!4d-93.2632107!16s%2Fg%2F1tfdd_kl!19sChIJ9SxLnU5jz4cR_JEWbnQ3kV0","Kollmeyer & Co LLC: Greg Kollmeyer, CPA",5.0,1,Certified public accountant,"3555 S Culpepper Cir # 200, Springfield, MO 65804, United States","5PJP+7P Springfield, Missouri, USA",https://kcocpa.com/,+1 417-881-9393,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NHMcLpiBeGoUxxjXyAINgg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.58167&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:11.208Z,,,
https://www.google.com/maps/place/Affordable+Financial+Services/data=!4m7!3m6!1s0x87cf63717c57f94f:0x3823820b17532548!8m2!3d37.181318!4d-93.2648064!16s%2Fg%2F11b6zbk0fv!19sChIJT_lXfHFjz4cRSCVTFwuCIzg,Affordable Financial Services,4.8,176,Tax preparation,"1664 E Sunshine St, Springfield, MO 65804, United States","5PJP+G3 Springfield, Missouri, USA",https://www.417afs.com/,+1 417-719-4069,Closed ⋅ Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ysJAYsV-Tii9ciB_d0yAXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.45775&pitch=0&thumbfov=100,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:16.281Z,,,
https://www.google.com/maps/place/Elliott+Robinson+%26+Co.+CPAs/data=!4m7!3m6!1s0x87cf6f1b04d9e43d:0x7d7bf46d254940f3!8m2!3d37.1721687!4d-93.2183303!16s%2Fg%2F1tn4ypsp!19sChIJPeTZBBtvz4cR80BJJW30e30,Elliott Robinson & Co. CPAs,5.0,5,Certified public accountant,"2305 S Blackman Rd suite d, Springfield, MO 65809, United States","5QCJ+VM Springfield, Missouri, USA",https://ercpa.com/,+1 417-887-0585,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPMkUcoEcP7GkWhQ3ilc4DHdQDqpyMT8VIQv5IE=w408-h256-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:21.373Z,,,
https://www.google.com/maps/place/Brandt+William+P+CPA/data=!4m7!3m6!1s0x87cf62e486f33c73:0x30c8baea59a4e786!8m2!3d37.2145862!4d-93.2865236!16s%2Fg%2F1tgc09cg!19sChIJczzzhuRiz4cRhuekWeq6yDA,Brandt William P CPA,4.2,9,Accountant,"540 E Chestnut Expressway #111, Springfield, MO 65806, United States","6P77+R9 Springfield, Missouri, USA",http://williampbrandtcpa.com/,+1 417-873-9628,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wt3L_7fH_kFKzN44wzjzdg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.586754&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:24.499Z,,,
"https://www.google.com/maps/place/Bates+%26+Associates,+CPAs,+LLC/data=!4m7!3m6!1s0x87cf7cba8e6ab2b1:0x402eb02383228776!8m2!3d37.1800542!4d-93.2474478!16s%2Fg%2F11d_bb06_b!19sChIJsbJqjrp8z4cRdocigyOwLkA","Bates & Associates, CPAs, LLC",5.0,2,Accountant,"2452 E Madrid St, Springfield, MO 65804, United States","5QJ3+22 Springfield, Missouri, USA",http://cbatescpa.com/,+1 417-720-4530,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7C47BjSAvvUQ80FIYIZLAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.65448&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Springfield+Springfield+MO/@37.2089572,-93.2922989,14z",2025-10-19T17:21:27.459Z,,,
