placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Parking+managment+Company/data=!4m7!3m6!1s0x88ecf54e6451f9ad:0x9ec74c609a9d9ebd!8m2!3d30.441546!4d-84.2817516!16s%2Fg%2F11v008gq07!19sChIJrflRZE717IgRvZ6dmmBMx54,Parking managment Company,,,Valet parking service,"101 S Adams St, Tallahassee, FL 32301, United States","CPR9+J7 Tallahassee, Florida, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AZxlObWG69UMHsXY30xdQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.88326&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:39:47.749Z,,,,
https://www.google.com/maps/place/American+Valet+Services/data=!4m7!3m6!1s0x88ec5f344b021d69:0x7666c15739ddb171!8m2!3d30.549339!4d-84.1939276!16s%2Fg%2F12mkvn6tt!19sChIJaR0CSzRf7IgRcbHdOVfBZnY,American Valet Services,4.7,54,Valet parking service,"3302 Lord Murphy Trail, Tallahassee, FL 32309, United States","GRX4+PC Tallahassee, Florida, USA",https://americanvaletservices.com/,+1 407-756-3475,Open ⋅ Closes 2 am,https://lh3.googleusercontent.com/p/AF1QipNaS5L06y27W9R_LER3vjpJ56nGrU8Ocg87fetz=w480-h240-k-no,true,7 am–2 am,7 am–2 am,7 am–2 am,7 am–2 am,7 am–2 am,7 am–2 am,7 am–2 am,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:39:53.543Z,,,,
https://www.google.com/maps/place/FSU+Transportation+and+Parking+Services/data=!4m7!3m6!1s0x88ecf54fb675759d:0x6b33b33204272dcb!8m2!3d30.444642!4d-84.2988275!16s%2Fg%2F11vkphtmpv!19sChIJnXV1tk_17IgRyy0nBDKzM2s,FSU Transportation and Parking Services,1.1,13,Corporate office,"Woodward Avenue Garage, 104 N Woodward Ave, Tallahassee, FL 32304, United States","CPV2+VF Tallahassee, Florida, USA",https://transportation.fsu.edu/,+1 850-644-5278,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HHCz8Q5whJiSwbfpz8O3AQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.541626&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:39:58.767Z,,,,
https://www.google.com/maps/place/Republic+Parking+System/data=!4m7!3m6!1s0x88ecf57a58d789ad:0x269982fa2ecfac9b!8m2!3d30.4404427!4d-84.278995!16s%2Fg%2F1td59fr5!19sChIJrYnXWHr17IgRm6zPLvqCmSY,Republic Parking System,4.4,29,Parking garage,"215 S Calhoun St, Tallahassee, FL 32301, United States","CPRC+5C Tallahassee, Florida, USA",https://www.republicparking.com/,+1 850-224-5524,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPb1glggvceUbSXAZec0D5TsHyJ9jA0Pld-1d4wpjrU_FUyIyHNKpgRZw8u8bFnUibO5xQED2dt7IV0EmRKWoNKjCZgIwZY1o1lX49gIMXjQG6mFY2d30BDzUL1SfiypXUr78=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:01.640Z,,,,
https://www.google.com/maps/place/Public+Parking+Garage+Lot+E/data=!4m7!3m6!1s0x88ecf557e28928f1:0xfa5945f86eb7d67!8m2!3d30.4370728!4d-84.2848221!16s%2Fg%2F11rtt3434w!19sChIJ8SiJ4lf17IgRZ33rhl-UpQ8,Public Parking Garage Lot E,2.3,3,Parking lot,"622 S Bronough St, Tallahassee, FL 32301, United States","CPP8+R3 Tallahassee, Florida, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R5dAbs-KC88e-OD8tHFsdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.023&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:04.420Z,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x88ecf51fe15278b3:0x83e580564d1886fc!8m2!3d30.4434908!4d-84.3114388!16s%2Fg%2F11wbzkxv_f!19sChIJs3hS4R_17IgR_IYYTVaA5YM,parkingmgt.com,,,Parking lot,"224 Chapel Dr, Tallahassee, FL 32304, United States","CMVQ+9C Tallahassee, Florida, USA",https://parkingmgt.com/parking-224-chapel-drive/,+1 855-244-8947,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XNx-Y6eGUP1YOnL-WnEloA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.94553&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:09.161Z,,,,
https://www.google.com/maps/place/Capital+Grand/data=!4m7!3m6!1s0x88ec5fcc6cdc5f87:0x3573a3d16ef57d99!8m2!3d30.4166268!4d-84.2312377!16s%2Fg%2F11p73qqcm7!19sChIJh1_cbMxf7IgRmX31btGjczU,Capital Grand,3.4,71,Property management company,"2250 Bluff Oak Way, Tallahassee, FL 32311, United States","CQ89+MG Tallahassee, Florida, USA",https://www.capitalgrandapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D,+1 850-404-1310,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPdERP_zp37N32-fwDWmcvjXyFP_pbPuDt-tG8y=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,10 am–5 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:14.122Z,,,,
https://www.google.com/maps/place/Professional+Parking+Services/data=!4m7!3m6!1s0x88ecf524d42f5b3b:0x1d5acb681bfd4008!8m2!3d30.4186061!4d-84.3019487!16s%2Fg%2F1tfm7h0r!19sChIJO1sv1CT17IgRCED9G2jLWh0,Professional Parking Services,1.5,425,Towing service,"2233 Lake Bradford Rd, Tallahassee, FL 32310, United States","CM9X+C6 Tallahassee, Florida, USA",,+1 850-576-4600,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN-VsRIXm9k_Pa6rsGX3f86j15XM8Npcc062kBJ=w408-h543-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:19.181Z,,,,
https://www.google.com/maps/place/State+Employee+Only+Parking+Garage+%23D/data=!4m7!3m6!1s0x88ecf56e2f7acbc1:0xea7341dd9fc234b7!8m2!3d30.4370604!4d-84.2837928!16s%2Fg%2F11d_8m0nxt!19sChIJwct6L2717IgRtzTCn91Bc-o,State Employee Only Parking Garage #D,4.3,4,Parking garage,"622 S Duval St, Tallahassee, FL 32301, United States","CPP8+RF Tallahassee, Florida, USA",http://www.dms.myflorida.com/business_operations/real_estate_development_and_management/facilities_management/parking_services,+1 850-488-6683,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxU3xuPaON9Ky1ar254sP89iCm8IfVeapz3Lmw9vWuOUgGyjhDS9ARm6xDKaSqN-Wy9uHha0tx4rJcUdj9i48bHT4CYyxQwWhXuXGpftYXHKQE2QDeUbhBufx0xRA-wfUg3s4jYsw=w408-h305-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:22.073Z,,,,
https://www.google.com/maps/place/Executive+Valet+Services+LLC./data=!4m7!3m6!1s0x88ecf56e95c0c57d:0x11bf5c141ef092ba!8m2!3d30.4339624!4d-84.284735!16s%2Fg%2F1wc48t1w!19sChIJfcXAlW717IgRupLwHhRcvxE,Executive Valet Services LLC.,,,,"310 Blount St Apartment 109, Tallahassee, FL 32317, United States","CPM8+H4 Tallahassee, Florida, USA",,+1 850-459-6371,Permanently closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wY-9YGRLI3iM16VbMLck0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=14.490547&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-10-28T18:40:26.995Z,,,,
