placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/McCallister%E2%80%98s+Garden+Center/data=!4m7!3m6!1s0x87cd519614ba774d:0x2f50ed2e8e3dac55!8m2!3d34.5906624!4d-92.5925062!16s%2Fg%2F12hm_s2zw!19sChIJTXe6FJZRzYcRVaw9ji7tUC8,McCallister‘s Garden Center,4.9,128,Landscaping supply store,· In-store shopping · Delivery,"2719 Salt Creek Rd, Benton, AR 72019, United States","HCR4+7X Benton, Arkansas, USA",https://www.mclandscapeandgarden.com/home,+1 501-574-1522,"Open · Closes 5 pm

Updated by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJ86hbg8K-Q3mqFVe_SjAcg1AILk2zQ-DXVL2nEAxKTiXfZq9yTnoejb6p4kK4VyRbh-YZ6ZGmOwkWnu6N5qU7T5LVIu3vUC5QXOVptuhxxO5O3o9w7_HOmBNaGNDq9d0WqsT5DaaXeQwq=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:04.686Z,,
https://www.google.com/maps/place/GreensKeeper/data=!4m7!3m6!1s0x87cd4cc6e2ec8b59:0x6d16bab5b07e768c!8m2!3d34.5716655!4d-92.5696129!16s%2Fg%2F11c6ts3q0s!19sChIJWYvs4sZMzYcRjHZ-sLW6Fm0,GreensKeeper,5.0,15,Lawn care service,,"1 Alcoa Blvd, Benton, AR 72015, United States","HCCJ+M5 Benton, Arkansas, USA",https://m.facebook.com/greenskeeperlawncare/,+1 501-722-3464,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE08L50Ik5m5dM9-iP6XvBK4wZo62YMbilNoKENscR3gDnT1caEyyb2wjEmqxCKGCzRx17JsqyVmfLIv0g8UK0tieTB000yqSbWzddwJuZ7OCqi8HgQzbz0Doc7D2SvJreWB5S8=w408-h805-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:10.171Z,,
https://www.google.com/maps/place/Sam+Johnson+Construction+Inc/data=!4m7!3m6!1s0x87cd515423249013:0x2f9062f260f8e373!8m2!3d34.5747004!4d-92.5439143!16s%2Fg%2F1x6q28p9!19sChIJE5AkI1RRzYcRc-P4YPJikC8,Sam Johnson Construction Inc,4.5,36,Excavating contractor,,"3701 Alcoa Rd, Benton, AR 72015, United States","HFF4+VC Benton, Arkansas, USA",http://www.samjohnsonconstruction.com/,+1 501-315-0358,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfBf5t5eDGqyW7WqzJJfCQ_MFIob_PhNJ_Nli3RFadA9b5ZX0cxpB_cqxSyXecp-FQ70WOKuhcvbbksM9ZpgLVcUHpbz7oJnzhwg1z8FOfcfBp2wXw17L1zEClzv6Xomt85RFA=w408-h525-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:15.463Z,,
https://www.google.com/maps/place/Roseberry+Landscape+Services/data=!4m7!3m6!1s0x87cd5228e7322bd7:0xf2e6c4f5488c7fb5!8m2!3d34.5648969!4d-92.5907437!16s%2Fg%2F11c530mhrg!19sChIJ1ysy5yhSzYcRtX-MSPXE5vI,Roseberry Landscape Services,3.5,8,Landscape designer,,"409 W Sevier St, Benton, AR 72015, United States","HC75+XP Benton, Arkansas, USA",http://roseberrylandscape.com/,+1 501-722-8547,Open · Closes 3:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=84_rSeieeqho4_UBAvpVCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.2535295&pitch=0&thumbfov=100,true,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,Closed,Closed,8 am–3:30 am,8 am–3:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:20.125Z,,
https://www.google.com/maps/place/Point+of+View+Landscape+LLC/data=!4m7!3m6!1s0x87cd517944811e71:0xe46f2f8960a6fddb!8m2!3d34.6198678!4d-92.5583868!16s%2Fg%2F11wq8cjqx2!19sChIJcR6BRHlRzYcR2_2mYIkvb-Q,Point of View Landscape LLC,5.0,21,Landscape designer,,"6069 Gregory Rd, Benton, AR 72019, United States","JC9R+WJ Benton, Arkansas, USA",,+1 501-239-1923,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGu7s7ucD9kOfuShEf2J0kkProkSzC38l8PoV2TfsSR-FHbSbrl7PapjT757ljZyEYJER-6yfmIYqr-bHM2U0g9ET0lfk5KQaX2GXadJUUwFaRHpzjI_gjYzxVT_TWVcdyjZLk=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:24.820Z,,
https://www.google.com/maps/place/Sanders+Ground+Essentials+Inc/data=!4m7!3m6!1s0x87cd517f518b953b:0x7c375e6beb68d449!8m2!3d34.574854!4d-92.575844!16s%2Fg%2F1tgzbwng!19sChIJO5WLUX9RzYcRSdRo62teN3w,Sanders Ground Essentials Inc,4.3,53,Lawn care service,,"1215 Military Rd #1, Benton, AR 72015, United States","HCFF+WM Benton, Arkansas, USA",http://www.sandersground.com/,+1 501-315-9395,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4he-VpUYYXRIWrDDUtU5RQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=23.808773&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:29.609Z,,
https://www.google.com/maps/place/J%27s+Green+Lawns+Forever/data=!4m7!3m6!1s0x87cd53bdaef091e7:0x36662b51a4450b25!8m2!3d34.6539325!4d-92.407973!16s%2Fg%2F11t0qw_1zq!19sChIJ55Hwrr1TzYcRJQtFpFErZjY,J's Green Lawns Forever,4.8,16,Lawn care service,,,,http://www.jsgreenlawnsforever.com/,+1 501-842-4641,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8aI-DrHpzeBa1Z-0bvvgsfmVRHndPa-ZSFJ8xZtTQwl17bsGz_aKH7UpYxThKeKcMLj6I9yzlu_HvDW34pYfQI645RqzNFSOpGKMnC1bsNk9pSmesTicUlbZdAs3fN-iAJO9Wlwn769F5=w408-h272-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:34.321Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Advantage+Lawn+%26+Landscape+Inc/data=!4m7!3m6!1s0x87cd50bfed7376fd:0x368c3533d77471e2!8m2!3d34.5829899!4d-92.6242476!16s%2Fg%2F1tfj3pvm!19sChIJ_XZz7b9QzYcR4nF01zM1jDY,Advantage Lawn & Landscape Inc,3.7,3,Landscaper,,"2114 Southland Cir, Benton, AR 72019, United States","H9MG+58 Benton, Arkansas, USA",,+1 501-412-3464,Open · Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=txupAAZtjtNCzWkx-5PCEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=286.97864&pitch=0&thumbfov=100,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:39.133Z,,
https://www.google.com/maps/place/P+%26+A+LAWNCARE+LLC/data=!4m7!3m6!1s0x87cd512888231e09:0x9f0bb128c6d8a5a7!8m2!3d34.5726611!4d-92.5905212!16s%2Fg%2F11ypd0p3f0!19sChIJCR4jiChRzYcRp6XYxiixC58,P & A LAWNCARE LLC,5.0,4,Lawn care service,,"Fairplay rd, Benton, AR 72018, United States","HCF5+3Q Benton, Arkansas, USA",https://www.yardbook.com/hp/115356,+1 501-574-8795,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRD4vtb5sjxlj5IY-Fz1q5QhYNd16-_wExpntEvatLHVr-qfohG5wR3adBy-sRAH8QWRCdMDds4KLHutW-1Px9diZx3NCUHoXs65QuZf6kGi5dmdpFU3Xne9lcVkCfLvXmkApj4Z7mYxpE=w408-h549-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:43.925Z,,
https://www.google.com/maps/place/Folsom+Mulch+%26+More/data=!4m7!3m6!1s0x87cd516c9b986021:0x6ea17e051545eb9e!8m2!3d34.5905617!4d-92.5647326!16s%2Fg%2F11fzf4xh2d!19sChIJIWCYm2xRzYcRnutFFQV-oW4,Folsom Mulch & More,4.1,14,Mulch supplier,,"1810 Thomas Rd Suite C, Benton, AR 72019, United States","HCRP+64 Benton, Arkansas, USA",http://www.folsommulch.com/,+1 501-650-3478,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGWhSu7_gnNWyrhkSp0pNin5VWaJCKr-sdUhrE5yfbfCT7_rIqmxQcsiPsn9qNeDAzIlcmkfi9kVxSj-wStmtXi9qagox8wBwcTOwoRJtrKoS2NFGhhrO68bzXkHnC7hzjrVI2=w408-h272-k-no,true,8 am–12 pm,8 am–12 pm,8 am–12 pm,Closed,Closed,8 am–12 pm,8 am–12 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-04-29T18:49:48.624Z,,
