placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,isBlackOwned,attributes
"https://www.google.com/maps/place/Pain+Management+Center/@40.7416005,-74.19122,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25361031afab7:0x401c7cec266c14ff!8m2!3d40.7416005!4d-74.19122!16s%2Fg%2F1tjbt22h",Pain Management Center,4.0,1,Pain management physician,"90 Bergen St, Newark, NJ 07103, United States","PRR5+JG Newark, New Jersey, USA",https://njms.rutgers.edu/departments/anesthesiology/pain_center/pain_center.php,+1 973-972-2085,,,false,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:30.337Z,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Patrick+Foye,+M.D./data=!4m7!3m6!1s0x89c25361031afab7:0x43633b424ed88705!8m2!3d40.7414886!4d-74.1912884!16s%2Fg%2F1tgq7kl_!19sChIJt_oaA2FTwokRBYfYTkI7Y0M","Dr. Patrick Foye, M.D.",4.3,41,Pain management physician,"90 Bergen St DOC 3100, Newark, NJ 07103, United States","PRR5+HF Newark, New Jersey, USA",https://www.tailbonedoctor.com/,+1 973-972-2802,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNH6-eYTsdOCWslub8YW0ThKiJHLMB9oA8qV7c7=w408-h611-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:35.593Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/North+American+Spine+and+Pain/data=!4m7!3m6!1s0x89c25553c83ed603:0x7981e143d3a4493b!8m2!3d40.7536138!4d-74.2119712!16s%2Fg%2F11lqtdydrp!19sChIJA9Y-yFNVwokRO0mk00PhgXk,North American Spine and Pain,4.6,75,Pain management physician,"240 Central Ave, East Orange, NJ 07018, United States","QQ3Q+C6 East Orange, New Jersey, USA",http://www.naspacmd.com/,+1 855-862-7767,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hsx1xouWy0uJSrtrsfdZxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.200893&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:40.105Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/North+American+Spine+and+Pain+Institute/data=!4m7!3m6!1s0x89c253886fcbc33d:0xa29001a77f615b2c!8m2!3d40.7196679!4d-74.1629432!16s%2Fg%2F11tfdcv_wz!19sChIJPcPLb4hTwokRLFthf6cBkKI,North American Spine and Pain Institute,4.7,13,Orthopedic clinic,"119 Clifford St Suite 101, Newark, NJ 07105, United States","PR9P+VR Newark, New Jersey, USA",https://naspinstitute.com/,+1 844-666-2774,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pq1RuI-l3zdjN16R1Q3qdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=209.7134&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:44.424Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–7 pm,9 am–5 pm,,,
https://www.google.com/maps/place/Newark+Pain+and+Rehab+Center/data=!4m7!3m6!1s0x89c2539aaee671bd:0xee5d07ecdef1b13b!8m2!3d40.7300952!4d-74.1598388!16s%2Fg%2F1xgrnvp2!19sChIJvXHmrppTwokRO7Hx3uwHXe4,Newark Pain and Rehab Center,4.9,164,Chiropractor,"128 Ferry St, Newark, NJ 07105, United States","PRJR+23 Newark, New Jersey, USA",https://www.newarkpainandrehab.com/,+1 973-344-0012,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipPT8VFbYD1Jr1x157i_i4td0y1behIB1xxayv94=w648-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:48.928Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,Closed,9 am–7 pm,9 am–7 pm,,,
"https://www.google.com/maps/place/Jose+Colon,+MD+New+Jersey/data=!4m7!3m6!1s0x89c25456e10ced09:0x1f314e9aa9e1b30e!8m2!3d40.7739764!4d-74.1669707!16s%2Fg%2F1tc_ry04!19sChIJCe0M4VZUwokRDrPhqZpOMR8","Jose Colon, MD New Jersey",4.3,6,Pain management physician,"638 Mt Prospect Ave, Newark, NJ 07104, United States","QRFM+H6 Newark, New Jersey, USA",http://www.njpainmd.com/,+1 973-481-4040,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOZK_ukRYuUKOPR1YjMT2X6no9TrTcWgE935xk0=w408-h336-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:53.382Z,8 am–7 pm,8 am–7 pm,8 am–4 pm,Closed,Closed,8 am–7 pm,8 am–7 pm,,,
https://www.google.com/maps/place/Lakeland+Center+for+Pain+Management/data=!4m7!3m6!1s0x89c2532a18f8c90d:0xf99447f5ed5b22d9!8m2!3d40.7095888!4d-74.2125754!16s%2Fg%2F11c60jm6j0!19sChIJDcn4GCpTwokR2SJb7fVHlPk,Lakeland Center for Pain Management,5.0,1,Pain management physician,"177 Lyons Ave, Newark, NJ 07112, United States","PQ5P+RX Newark, New Jersey, USA",,+1 973-498-8563,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OyPXXqykNBCkvvTdnquxCA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.08691&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:54:56.149Z,,,,,,,,,,
https://www.google.com/maps/place/Pain+Treatment+Specialists/data=!4m7!3m6!1s0x89c255fd7bea32e7:0xa63f34bac2c54a1b!8m2!3d40.7432223!4d-74.1509444!16s%2Fg%2F11m6dxwdd3!19sChIJ5zLqe_1VwokRG0rFwro0P6Y,Pain Treatment Specialists,5.0,2,Medical Center,"620 Essex St #202, Harrison, NJ 07029, United States","PRVX+7J Harrison, New Jersey, USA",https://www.paintreatmentspecialists.com/locations/new-jersey/Harrison/?utm_source=google&utm_medium=gmb&utm_campaign=gmb+harrison,+1 973-936-9540,Open · Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v8zKX6Ve702oFNM8Wfl3nA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.70157&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:55:00.466Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,Closed,9 am–7 pm,9 am–7 pm,,,
https://www.google.com/maps/place/Garden+State+Pain+Management/data=!4m7!3m6!1s0x89c2539aeeb0ed9d:0x23f5c9dc90280bc5!8m2!3d40.7292508!4d-74.1611487!16s%2Fg%2F11h5616dvp!19sChIJne2w7ppTwokRxQsokNzJ9SM,Garden State Pain Management,,,Pain management physician,"99 Madison St, Newark, NJ 07105, United States","PRHQ+PG Newark, New Jersey, USA",https://www.gspmweb.com/contactus,+1 973-306-0464,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d-prMF-GVVSesuWncdvwpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.9819&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:55:02.667Z,,,,,,,,,,
https://www.google.com/maps/place/Spine+and+Joint+Pain+Center/data=!4m7!3m6!1s0x89c2550257b75f7b:0x882b4159578a2226!8m2!3d40.7848227!4d-74.1796697!16s%2Fg%2F1th4b9c1!19sChIJe1-3VwJVwokRJiKKV1lBK4g,Spine and Joint Pain Center,4.5,8,Pain management physician,"77 Newark Ave, Belleville, NJ 07109, United States","QRMC+W4 Belleville, New Jersey, USA",https://www.spinejointnj.com/,+1 908-889-2168,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f85crMTW_zgCCESYS7EKRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=250.32135&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-28T19:55:07.134Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
