placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x8644b506b2c2c499:0x7a7485091d4e7aff!8m2!3d30.2583851!4d-97.7459354!16s%2Fg%2F1thy05r0!19sChIJmcTCsga1RIYR_3pOHQmFdHo,Firestone Complete Auto Care,3.7,369,Tire shop,· In-store shopping · Kerbside pickup,"311 S Congress Ave, Austin, TX 78704, United States","7753+9J Austin, Texas, USA",https://www.firestonecompleteautocare.com/texas/austin/311-s-congress-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 512-937-1387,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqsFIIJk-8wxRiPylaCECZtmkuCOQ4ed2I8jHcKaMVQPzMy-ENarB4PqOfBAtkg0n-voRC5gc4xSBcpyh_3qE0U9swAdDz_KzgOI9KJk1C3aGrAmPHvn6OrnccmoTlVMXLY7vXS25gnB88s=w408-h544-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:48:36.358Z,
https://www.google.com/maps/place/Lube+Pitstop/data=!4m7!3m6!1s0x8644b4d9dc70b827:0xedf25e1824a79c90!8m2!3d30.2472222!4d-97.7738889!16s%2Fg%2F1tj7ffw9!19sChIJJ7hw3Nm0RIYRkJynJBhe8u0,Lube Pitstop,4.6,593,Oil change service,,"2223 S Lamar Blvd, Austin, TX 78704, United States","66WG+VC Austin, Texas, USA",,+1 512-440-1892,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwephSH-FcNTqrhQeiHvdg9BO0xqwxnpdugORVNL5NXCpQnof05KuPEqvZgHpfcROwlYgVEd7dK23dabUMe-ou_PiDSfVvbvNgcviF54UrYsTYxly9wb1S4EYoQfcfcqbRCqaFj3ROrFH1bUO=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:48:41.841Z,
https://www.google.com/maps/place/Auto+Stop+Used+Tires/data=!4m7!3m6!1s0x8644b5cebb8de803:0x81327166e75593f2!8m2!3d30.2696468!4d-97.6971156!16s%2Fg%2F1tdp0vy0!19sChIJA-iNu861RIYR8pNV52ZxMoE,Auto Stop Used Tires,4.4,125,Tire shop,· In-store pick-up,"1136 Airport Blvd, Austin, TX 78702, United States","7893+V5 Austin, Texas, USA",http://autostopusedtires.com/,+1 512-482-8566,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZXA3gjKSR9PlPP6jDrXFsbaT5xBk0g6FnadG1yZkujJ1IlK0IbYtAXd8IlUJ_mB-b6fd2NjOPqvCGZDWRzVya1KvczkXU8mw0N37AiBdsxs5l1MzNSQuZPEbskF7xcG2cZSwM=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:48:46.879Z,
https://www.google.com/maps/place/Jimmy%27s+Top+Tech+Auto/data=!4m7!3m6!1s0x8644b4e687cc1d71:0xf7a0307d744c7a95!8m2!3d30.2435398!4d-97.7585501!16s%2Fg%2F1tjyp2yz!19sChIJcR3Mh-a0RIYRlXpMdH0woPc,Jimmy's Top Tech Auto,4.5,167,Auto repair shop,,"2216 S 1st St, Austin, TX 78704, United States","66VR+CH Austin, Texas, USA",https://www.austinautorepairshop.com/,+1 512-768-2965,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzNUSOC6f92EOXiOIaQoAFPx1eHTKiFAPow1lXdc2yLmLOUgpUVst4w__1Oz9-G8RC89LTaEYU-Jjw-ZpvmkmYvcDRA5V4WAU8_9pRzLQ804b20f6ktsQSRxS_4u8-G2COwSKQUg=w762-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:48:51.575Z,
https://www.google.com/maps/place/ATX+512+Mobile+Mechanic+Global/data=!4m7!3m6!1s0x8644b5444ab423f9:0xedfc5acdc69c2f55!8m2!3d30.2728475!4d-97.7244246!16s%2Fg%2F11ts396qyy!19sChIJ-SO0SkS1RIYRVS-cxs1a_O0,ATX 512 Mobile Mechanic Global,4.5,262,Mechanic,,"1401 E 12th St #118, Austin, TX 78702, United States","77FG+46 Austin, Texas, USA",https://atx512mobilemechanic.com/,+1 512-413-2387,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCmZ45HWuFaii3dp_kxyJAx9CeOIIpVOp1JUnwCZBf5kR2iAIAd2GZqijzsbMKZZv72-pGBtwewipmjeas4S-pB6OUfvSeq4JJuiyhiIE0arI59B5wXcnuGRayOZ74EHTy3LgrEw=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:48:56.566Z,true
https://www.google.com/maps/place/Groovy+Automotive/data=!4m7!3m6!1s0x8644b58a8f72c9ab:0x1f4b7be52bf22e75!8m2!3d30.2991605!4d-97.7221519!16s%2Fg%2F1tdywrpq!19sChIJq8lyj4q1RIYRdS7yK-V7Sx8,Groovy Automotive,4.1,293,Auto repair shop,,"4011 Red River St, Austin, TX 78751, United States","77XH+M4 Austin, Texas, USA",http://groovyautomotive.com/tires-auto-repair-austin-tx,+1 512-450-0951,Open · Closes 6 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqBjwj9HSDacBEi-7mNSd9e8rxvGnUJ8X80YDVelj1Te7_RAsr3LjGAi3mp1zno3mUA7TFuxLWM1PD53P34FYkrAaaxFXtf5bZFBjt87JvFXWLEKkfliYegoBVoDKiDGWI1hadL=w408-h247-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:49:01.352Z,
https://www.google.com/maps/place/Road+Roar+Tires/data=!4m7!3m6!1s0x8644b5202509b8ef:0xe0faab03a4a54611!8m2!3d30.2767442!4d-97.742027!16s%2Fg%2F11lh6c8rm9!19sChIJ77gJJSC1RIYREUalpAOr-uA,Road Roar Tires,5.0,1,Tire shop,,"1401 Lavaca St #511609, Austin, TX 78701, United States","77G5+M5 Austin, Texas, USA",,,Temporarily closed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1o3-RmQXSpJSLIy4aEs3tA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=24.565432&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:49:06.017Z,
https://www.google.com/maps/place/Capital+City+Automotive/data=!4m7!3m6!1s0x8644b4fb684a1411:0x9cf77f662b4b3c51!8m2!3d30.2456967!4d-97.7514654!16s%2Fg%2F1tgd6y2l!19sChIJERRKaPu0RIYRUTxLK2Z_95w,Capital City Automotive,4.8,207,Auto repair shop,,"1802 S Congress Ave, Austin, TX 78704, United States","66WX+7C Austin, Texas, USA",http://www.capitalcityautoaustin.com/,+1 512-447-2886,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkVv1ldlXlxX5ZhyNlvWym1UPzD1GtTyXHGVe5JTIxtCvofN7Fv2JkLazH0j3P9Fg5RNYnnidq-xZaFqf0eIFpisgwIr8D1Xq95VAkil0fcW4gURYkyr1Ohish6fUFvZ0-Kco=w408-h270-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:49:10.875Z,
https://www.google.com/maps/place/Rising+Sun+Automotive/data=!4m7!3m6!1s0x8644b51f1a100d03:0xc6fb7a56a0055db0!8m2!3d30.2557232!4d-97.7613253!16s%2Fg%2F1tdc5m5t!19sChIJAw0QGh-1RIYRsF0FoFZ6-8Y,Rising Sun Automotive,4.6,378,Auto repair shop,,"1001 S Lamar Blvd, Austin, TX 78704, United States","764Q+7F Austin, Texas, USA",https://risingsunautomotive.com/,+1 512-443-4122,"Open · Closes 5:30 pm

Confirmed by this business 6 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwernYnKFKpTny1bDhznBMJh6SO2qoxjRUJGsLVkueRdIGyKOg5ec9oWaU4gmp0uZhHsCzuQay84j0FjdS3UtUEWhLAWs7c-b2-O6M8mpPVgzfo50oygU4-UUjCvPAZAZgoGzDNB6=w408-h272-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:49:15.968Z,
https://www.google.com/maps/place/Hi-Tech+Automotive/data=!4m7!3m6!1s0x8644b4fb663958db:0xbf6f738cd0e16fe0!8m2!3d30.2458331!4d-97.7507573!16s%2Fg%2F1tdc5m5k!19sChIJ21g5Zvu0RIYR4G_h0Ixzb78,Hi-Tech Automotive,4.6,341,Auto repair shop,,"1801 S Congress Ave, Austin, TX 78704, United States","66WX+8M Austin, Texas, USA",http://www.hitechaustin.com/,+1 512-441-1933,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwereukSqzVMRp2oyAWZNsEU452lRLEWNpBuOJqKtFEhcesFHMIvQJMRCtvnVXTQTNzqfj6whZTiiWJncn5BP3SZyX6p3XyegqF9KPLyUw8I8NZhclTZ4FXhjqfc6EBDJ-1VL9jWzQQ=w408-h270-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2026-03-23T14:49:20.945Z,
