placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,info,attributes,error
https://www.google.com/maps/place/Kasel+Rocks+Facility+Services/data=!4m7!3m6!1s0x89c430522e6fa7db:0xbfe09e697c7bedfd!8m2!3d35.9280704!4d-77.26017!16s%2Fg%2F1vhklh9n!19sChIJ26dvLlIwxIkR_e17fGme4L8,Kasel Rocks Facility Services,4.6,43,Snow removal service,,,https://www.kaselrocks.com/,+1 610-395-6409,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSt4FRyRDIg7X2Sc1nSPSq32_3NugCTDVj0S8bcCmPr97YLvx_2U-GPGAayoxuQra80xEz98xWXCf9RWeNKVPSm9rwvVYUrHHMF6b7gBpEv3Zg3LB0Q1w8-4J8gPLreUY13Y2F9jVN8KQC=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:48:43.973Z,,,,
https://www.google.com/maps/place/Blue+Ridge+Landscape+Contractors/data=!4m7!3m6!1s0x89c43b44df7ea3c3:0x37480ba004ed48eb!8m2!3d40.613834!4d-75.535756!16s%2Fg%2F11h91htc83!19sChIJw6N-30Q7xIkR60jtBKALSDc,Blue Ridge Landscape Contractors,4.7,27,Landscaper,"1636 N Cedar Crest Blvd #522, Allentown, PA 18104, United States","JF77+GM Allentown, Pennsylvania, USA",https://blueridgelc.org/,+1 484-358-6808,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_Q0hiFBqp6kSOVJiCCrBLfQyo1UVqSlU6eLEnL4-BPgmn3cdf0efQ5nMVwS_voN-HUQAWnbbDtcQ3NyzS1RCZJMHmk9fOJ2RQiwSQarSYAbuq1dvCJ72fEQ5EGUb3Bh9HOR28eg=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:48:49.825Z,,,,
https://www.google.com/maps/place/Preferred+Lawn+%26+Landscaping/data=!4m7!3m6!1s0x89c4397610089993:0x3dbf69cc10459148!8m2!3d40.6144377!4d-75.5034107!16s%2Fg%2F11pztscxr0!19sChIJk5kIEHY5xIkRSJFFEMxpvz0,Preferred Lawn & Landscaping,5.0,14,Landscaper,"1228 N 18th St, Allentown, PA 18104, United States","JF7W+QJ Allentown, Pennsylvania, USA",http://preferredlawnpa.com/,+1 484-560-8803,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnbgjOL5vKTEm--bC8guqphOiWd_TBIALtQWujfSqpI-Kgg84lFuQSF4Mh2KXs8SqodrOtKlHwbtWkQzmCzi89SikhauR8hcT4Jb5_6c3ZqMURe_k0NPAPmzu9w-nnmFg3B8LW=w408-h306-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–3 pm,Closed,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:48:54.744Z,,,,
https://www.google.com/maps/place/BrightView+Landscapes/data=!4m7!3m6!1s0x89c4392a6a77fac9:0x4219c6015624aade!8m2!3d40.633379!4d-75.4385876!16s%2Fg%2F11hc_8fc53!19sChIJyfp3aio5xIkR3qokVgHGGUI,BrightView Landscapes,4.4,21,Landscaper,"241 Lloyd St, Allentown, PA 18109, United States","JHM6+9H Allentown, Pennsylvania, USA",https://www.brightview.com/local/allentown-pa/landscape-services,+1 610-266-8595,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNUC5GpObfFWC8n8_YaQc8CgWOpLRVTz6RcjvnrpziGWZHxl5IzRTdJgNGJoyQwKHHrSXDZP2_wLZcAmLy0r31nibwSrNwxW-4C7p3O1ZhkjEMyJzjV0sjGhQx2sdFf2kITYEQ=w420-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:48:59.664Z,,,,
https://www.google.com/maps/place/M%26Z+Seasonal+Landscaping+Inc/data=!4m7!3m6!1s0x89c43b865c133731:0x30e12fd5887fb437!8m2!3d40.5521401!4d-75.4920291!16s%2Fg%2F11gycqb8gf!19sChIJMTcTXIY7xIkRN7R_iNUv4TA,M&Z Seasonal Landscaping Inc,4.7,41,Landscaper,"3440 Lehigh St # 286, Allentown, PA 18103, United States","HG25+V5 Allentown, Pennsylvania, USA",https://landscapingmz.com/,+1 610-751-0069,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHH6gx0CbTppf68CapCBu78L9JdQsCjXCmIIbvYDdmhAvjGD6VpDpLDUY7gim_Ip8BIHwfqHmrtUljMYdAfX8Q5rCGfzLlI67rFHNRZ_1CfBUcHF9V9rAJ11l7LHARGHi9K_MIK=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–2 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:04.768Z,,,,
https://www.google.com/maps/place/Always+Greener+Landscaping/data=!4m7!3m6!1s0x89c43179207ba727:0xfb7051cc487a9f70!8m2!3d40.634069!4d-75.4429719!16s%2Fg%2F11fd6l0z7d!19sChIJJ6d7IHkxxIkRcJ96SMxRcPs,Always Greener Landscaping,4.6,20,Landscaper,,,https://www.alwaysgreenerlawnpa.com/,+1 610-392-8362,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGa4oxs4J7xsEI_T6Zpnw0UYN5GP-FEfsOBblEA04dHayuNvXIHLuEwPfmxC3zQTQ0MMyRxR_4dMDpNksnKBxe8qEXz-ZHHqAC3qYsj-hwlOafHwH1JC5LDfhpJ-gJ3E2QCy8w=w408-h509-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:09.626Z,,,,
https://www.google.com/maps/place/Fresh+Cuts+Lawn+%26+Maintenance/data=!4m7!3m6!1s0x89c43a6e7f07b439:0x7d9619f80b5a5d37!8m2!3d40.5961959!4d-75.5868852!16s%2Fg%2F11cp7qppln!19sChIJObQHf246xIkRN11aC_gZln0,Fresh Cuts Lawn & Maintenance,5.0,19,Lawn care service,,,https://freshcutslawns.com/service-areas/allentown/,+1 610-737-9440,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFS8Ft4E5CeCaqJv-KFGEDHZVmDMtvpkog6OCRhmGUbtNiWpB6EiFuyqT68PyOiPrt3lWuTibfRQEvJv9KB3XZ39IXyZtrDPSyNDq81CU5dMnjxgK6KI5Dkj17pinnorx-lr72x=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:14.407Z,,,,
https://www.google.com/maps/place/OSS+landscaping/data=!4m7!3m6!1s0x89c43941b0039287:0x8b0970cd01d6853f!8m2!3d40.6234124!4d-75.4417354!16s%2Fg%2F11sw_rcf3d!19sChIJh5IDsEE5xIkRP4XWAc1wCYs,OSS landscaping,5.0,5,Landscaper,"878 N Jasper St, Allentown, PA 18109, United States","JHF5+98 Allentown, Pennsylvania, USA",http://www.osslandscaping.com/,+1 484-834-7809,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhv25KbuttcUpwwePwGB3d4s_oidb_BHUCgn7_3z3XPrkhOj0jZ5rRhtCi127wxMGc4eeWtWdOLYFA8_fkKIociXzaiiq_1PCdS6_34XFuraAem9Y-Tu-ARLxurBk7AP6Pb1k4kA=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,9 am–5 pm,10 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:19.153Z,,,,
https://www.google.com/maps/place/Tres+Reyes+Landscaping+Services/data=!4m7!3m6!1s0x89c43ba6c90fe729:0x5741257d957af0d2!8m2!3d40.5839699!4d-75.4553641!16s%2Fg%2F11ty31j780!19sChIJKecPyaY7xIkR0vB6lX0lQVc,Tres Reyes Landscaping Services,5.0,2,Landscape designer,"237 W Montgomery St, Allentown, PA 18103, United States","HGMV+HV Allentown, Pennsylvania, USA",,,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiWVbhR8O_BzWpXLCuSCKYPCMnQm6mHM_VT7jxEma6Pt7nDXQks_wIlLI8kVTKvLCzV2YojAyx5yC2Vi07sAi3ddJDVE52uIgRURIDnqXXtZW5H2FByV32T_YrBM81bOQ_p3Gchg=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:24.196Z,,,,
"https://www.google.com/maps/place/CXC+Contracting,+LLC/data=!4m7!3m6!1s0xcb16491100809bf:0xaa86e051eb4b146c!8m2!3d40.7762195!4d-75.3826286!16s%2Fg%2F11mdpf3j63!19sChIJvwkIEJFksQwRbBRL61Hghqo","CXC Contracting, LLC",5.0,13,Contractor,,,http://cxccontractingllc.com/,+1 484-460-4040,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGl2zkZhnsbPdILu1V6KozPjIImOM-Drb-cfONjKyqQNqO5a-fs_pMkch683ErBwJGF7A2eRGA2Aut2Zpop1SJxzctKAwmQMNxPsGBQoUBlLKZE6KrmWGhlb1GdCBAoQIHXY8DlVuzi0l9u=w472-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-04-29T18:49:29.141Z,,,,
