placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,isBlackOwned,error
https://www.google.com/maps/place/Key+West+Express/data=!4m7!3m6!1s0x88d1b6bf8c6551a3:0x25c8859a9d90f8fa!8m2!3d24.56241!4d-81.798862!16s%2Fg%2F1td4qhhm!19sChIJo1FljL-20YgR-viQnZqFyCU,Key West Express,4.5,1805,Ferry service,"Ferry linking Fort Myers & Marco Island with Key West, offering snacks & a sundeck. 



Marco Island","100 Grinnell St, Key West, FL 33040, United States","H662+XF Key West, Florida, USA",https://www.keywestexpress.net/?utm_source=Listing&utm_medium=KW&utm_campaign=GMB,+1 239-463-5733,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNlu-FLsnRoWlJOg5WBUnj1IIDUy_PajzwslZQs=w408-h288-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:32.904Z,,,,,,,,,
https://www.google.com/maps/place/parking/data=!4m7!3m6!1s0x88d1b6e825e8606b:0x8330115fb07fafa9!8m2!3d24.5525665!4d-81.8009618!16s%2Fg%2F11c6pqn2wq!19sChIJa2DoJei20YgRqa9_sF8RMIM,parking,4.0,19,Parking lot,,"422 Petronia St, Key West, FL 33040, United States","H53X+2J Key West, Florida, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DxGCT4LdnJuXpj1lkIMODw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.33316&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:36.453Z,,,,,,,,,
https://www.google.com/maps/place/Professional+parking+management/data=!4m7!3m6!1s0x88d1b7f06a8dcd59:0xd31811b750e13e63!8m2!3d24.560239!4d-81.8056558!16s%2Fg%2F11shgg_vv_!19sChIJWc2NavC30YgRYz7hULcRGNM,Professional parking management,1.0,2,Parking lot,,"101 Duval St, Key West, FL 33040, United States","H56V+3P Key West, Florida, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=145TmHv-wD-P8IWSOvEE4g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.61797&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:39.107Z,,,,,,,,,
https://www.google.com/maps/place/Parking+Key+West/data=!4m7!3m6!1s0x88d1b6eb042befbf:0x77c5f465e998d742!8m2!3d24.5522501!4d-81.8001494!16s%2Fg%2F11b8r7pcd3!19sChIJv-8rBOu20YgRQteY6WX0xXc,Parking Key West,3.8,192,Parking lot,,"Simonton St, Key West, FL 33040, United States","H52X+WW Key West, Florida, USA",https://keywest.co/parking/,+1 305-367-8228,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMbgu8NGLTMUY2Q8ABH5SaPTTt8WapVH-GkMOHU=w426-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:44.568Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
"https://www.google.com/maps/place/Downtown+Parking,+LLC/data=!4m7!3m6!1s0x88d1b7b1783a3a99:0xb45f2a0acccb936c!8m2!3d24.5577212!4d-81.8052184!16s%2Fg%2F11f7p1ddvd!19sChIJmTo6eLG30YgRbJPLzAoqX7Q","Downtown Parking, LLC",2.6,55,Parking lot,,"411 Caroline St, Key West, FL 33040, United States","H55V+3W Key West, Florida, USA",,+1 410-336-4692,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOhuqK-62fqBL-w6tlwVt95gn3dYt8PhRqU9DMc=w426-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:49.577Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Parcheggio/data=!4m7!3m6!1s0x88d1b6ec803d3453:0x644d479b7cc0952d!8m2!3d24.5596582!4d-81.8060825!16s%2Fg%2F11dyp18hh7!19sChIJUzQ9gOy20YgRLZXAfJtHTWQ,Parcheggio,1.3,25,Parking lot,,"418 Front St, Key West, FL 33040, United States","H55V+VH Key West, Florida, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7T4zGS5nU-BGbvbEUvM9LUgKJimJ4i7hy80lwDomLfh7WvBokxFxciphiMKef5MB-zjbofx7AeA3HjtK3rBtF7BjAI_qU6rsB812ja5kcsPbLOXV3IkC54wBR12zba2ZMDY8Sag=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:52.338Z,,,,,,,,,
https://www.google.com/maps/place/City+of+Key+West+Old+Town+Garage+%28Park+N+Ride%29/data=!4m7!3m6!1s0x88d1b6c06eeb3289:0x6144a8ab108235de!8m2!3d24.5612769!4d-81.7984702!16s%2Fg%2F1thmg5kw!19sChIJiTLrbsC20YgR3jWCEKuoRGE,City of Key West Old Town Garage (Park N Ride),4.1,312,Parking garage,,"300 Grinnell St #236, Key West, FL 33040, United States","H662+GJ Key West, Florida, USA",https://www.cityofkeywest-fl.gov/334/Old-Town-Parking-Garage,+1 305-809-3910,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwUow4mcOwRgGb_rMm4fA10h4_60y7MMhaYLM16GLBEacM7yLKhVaQ2unuBcoV4SqTiUdmWQ5riUwbZNT97C2h3OePXR4_syh_WgUUWrCScAEov9g-JcIgCVzksXPFgq54SwT75=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:55.260Z,,,,,,,,,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x88d1b6c0653df0cd:0xede5fb4074d75de9!8m2!3d24.5613101!4d-81.7984912!16s%2Fg%2F11c607syyd!19sChIJzfA9ZcC20YgR6V3XdED75e0,Public Parking,3.7,23,Public parking space,,"300 Grinnell St #236, Key West, FL 33040, United States","H662+GJ Key West, Florida, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1-txlhfTS9LYYi9kF6B51XaOtQN157SWDlaWFWGF4zCNPpmk2ehblKjq5rXcGE0AIIMqTMNJLIOe3adq1uQ54XYJoXEr4sTlKc1ImHKwQDJ7zKAM_iH30TDYYbDlDRMyRLxUKAA=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:58:58.108Z,,,,,,,,,
https://www.google.com/maps/place/201+Front+St+Garage/data=!4m7!3m6!1s0x88d1b6ec173360ad:0x21475bb60529a31c!8m2!3d24.5575187!4d-81.8070694!16s%2Fg%2F11gd67yy50!19sChIJrWAzF-y20YgRHKMpBbZbRyE,201 Front St Garage,3.8,56,Parking lot,,"201 Front St, Key West, FL 33040, United States","H55V+25 Key West, Florida, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzumQGXx8j2fH9LgPHONK2_zH_Ilgg__vPrPJi3AscrsyOtXYcXQGU3qIcon_hhhN4wWa1Voflj4ldyFkIW9sowAf8TPHkizVu7JkZZnEtQW_tIDajiFqSUmf9CoBsczEpbeneo=w408-h538-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:59:00.928Z,,,,,,,,,
https://www.google.com/maps/place/Park+Key+West+Parking+on+Truman/data=!4m7!3m6!1s0x88d1b7a5e32ba521:0xd5ca49c92737571d!8m2!3d24.5514106!4d-81.7989773!16s%2Fg%2F11w91gwgyk!19sChIJIaUr46W30YgRHVc3J8lJytU,Park Key West Parking on Truman,4.3,4,Parking lot,,"511 Truman Ave, Key West, FL 33040, United States","H622+HC Key West, Florida, USA",https://parkkeywest.com/,+1 954-900-7639,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9hvirnXZ-4xjgcDZPe0rVxX6zQT7DuZ0rmpdXAUzErENUOReN25KdnqJN8DErHFUwn5s1RuOB17pgCO_CxnCjwKCp5TN1gA8egi2OZ_Ub5aTK1hfEwELwY_G6oYf_tVIiPjEW=w408-h320-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:59:05.982Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Parking/data=!4m7!3m6!1s0x88d1b6eb1c056cd7:0xaa7d5590d0785d72!8m2!3d24.5604901!4d-81.803612!16s%2Fg%2F11f_p3d3wq!19sChIJ12wFHOu20YgRcl140JBVfao,Parking,3.3,10,Parking lot,,"613-631 Greene St, Key West, FL 33040, United States","H56W+5H Key West, Florida, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznmpt5y6VupBv1_sfDFIEWLL4cpa6QTat3ipfRICUDg-Djd6UPWeVY7JMjr7pF6YfQB7ewHIBVRj_Hka9J2HUAtdWtQZN8qSbyYwJNyWmQo7pEFlHY9Mi4TxfRM8CbPiG7g0n2=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:59:08.832Z,,,,,,,,,
https://www.google.com/maps/place/Key+West+Parking+Collections/data=!4m7!3m6!1s0x88d1b6e9dff34bfd:0x56fc77b87c24997b!8m2!3d24.5523615!4d-81.7897383!16s%2Fg%2F1tg16j8c!19sChIJ_Uvz3-m20YgRe5kkfLh3_FY,Key West Parking Collections,2.4,11,City government office,,"1300 White St, Key West, FL 33040, United States","H626+W4 Key West, Florida, USA",https://www.cityofkeywest-fl.gov/322/Parking-Department,+1 305-809-3864,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=krZ_9JUJdWtFbErzhwFEWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.75986&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Key+West+FL/@24.5550593,-81.7799871,14z",2025-10-28T18:59:13.759Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/West+Palm+Beach+Parking+Administration/data=!4m7!3m6!1s0x88d8d662574cb35b:0x81b63540d8adacf0!8m2!3d26.7143481!4d-80.0554392!16s%2Fg%2F11cmd15qt6!19sChIJW7NMV2LW2IgR8Kyt2EA1toE,West Palm Beach Parking Administration,1.6,54,City government office,,"500 Banyan Blvd, West Palm Beach, FL 33401, United States","PW7V+PR West Palm Beach, Florida, USA",https://www.wpb.org/Departments/Parking-Administration,+1 561-822-1500,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwsJu9qaSez-ldNbQZOvRzZJkZ9NMIj2Wa95pQHEjBzqtVFqMThf4CKhWGPvgY8gGwDEtjHPwE6LjKO2_CvG8HrqEt2wGgEVjbTQa6q_2jCU6s4buNH0LLzwnnVwPTYRIcpA7p6ag=w408-h307-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Palm+Beach+FL/@26.7152563,-80.0560692,14z",2025-10-28T18:59:33.919Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/One+Parking/data=!4m7!3m6!1s0x88d8d661acd65f55:0x4b89b321c26befe4!8m2!3d26.7087174!4d-80.0558458!16s%2Fg%2F12mkzcw4l!19sChIJVV_WrGHW2IgR5O9rwiGziUs,One Parking,4.1,31,Parking garage,,"545 Hibiscus St #6017, West Palm Beach, FL 33401, United States","PW5V+FM West Palm Beach, Florida, USA",https://oneparking.com/,+1 561-833-7222,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcbTQrTrMBO_u1iGYEqQM8wpQesdObGl8aRzJ--8sGbDOJvDWUz22uYr9Pg0Q5dz-dIAJZoQtSklh6G_iUyQYgTXFatVNw6AkTPOxPG3X_GYPOiVX0hFfTvW5pj7PV2Jw_kVQq=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Palm+Beach+FL/@26.7152563,-80.0560692,14z",2025-10-28T18:59:38.821Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/One+Parking/data=!4m7!3m6!1s0x88d8d661739a4bfb:0xafd84ba49b070818!8m2!3d26.7075021!4d-80.0566103!16s%2Fg%2F1td0tph1!19sChIJ-0uac2HW2IgRGAgHm6RL2K8,One Parking,3.1,16,Parking garage,,"700 S Rosemary Ave, West Palm Beach, FL 33401, United States","PW5V+29 West Palm Beach, Florida, USA",http://www.oneparking.com/,+1 561-833-7222,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyiVHS5gvvinbzDsAx9IXosWuDm7oe2TOVbJFOFg5NvmBP9xzwQHRBjxALs5uOag18pLWms-k9eDsSKGTNYm_moIL4nHXkN4_4sjyPBN6iYenispcsf7mCvnrbjFbwvLFIy3nzHQ=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Palm+Beach+FL/@26.7152563,-80.0560692,14z",2025-10-28T18:59:43.700Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/City+Center+Public+Parking+Garage/data=!4m7!3m6!1s0x88d8d66277a465a7:0xe05f6f7f78690934!8m2!3d26.7142773!4d-80.0537115!16s%2Fg%2F11bz_1q_vy!19sChIJp2Wkd2LW2IgRNAlpeH9vX-A,City Center Public Parking Garage,4.4,94,Parking garage,,"199 N Dixie Hwy, West Palm Beach, FL 33401, United States","PW7W+PG West Palm Beach, Florida, USA",https://www.wpb.org/government/parking-administration/parking-locations,+1 561-822-2222,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwPfkEnwAkRboBtj5JRGCyei3abLNDUNl3dmDoNwO3Pof6OgizJWb4BXWw-asDlhrab0-tFdgzo7G10r5fti53QXL6Woqjm3Yeb8bLKQBc0yiu4V9Mm1nS-_ZLkNS97r-Cho6nM=w507-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+West+Palm+Beach+FL/@26.7152563,-80.0560692,14z",2025-10-28T18:59:48.687Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
