placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,info,attributes,error
"https://www.google.com/maps/place/Premier+Plumbing+%26+Leak+Detection,+LLC/data=!4m7!3m6!1s0x88e8a451d64e025f:0x6f824f0796863f73!8m2!3d29.6975831!4d-82.3346554!16s%2Fg%2F11f54tmvr8!19sChIJXwJO1lGk6IgRcz-GlgdPgm8","Premier Plumbing & Leak Detection, LLC",4.6,414,Plumber,"4605 NW 6th St STE F, Gainesville, FL 32609, United States","MMX8+24 Gainesville, Florida, USA",http://premierplumbingandleakdetection.com/?utm_source=GMB-organic,+1 352-219-5880,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNVUgReUm6nIhfxiFTcaA-UFpX3IctbeUq6RI3I=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:32:58.965Z,,,,
https://www.google.com/maps/place/J.W.+Freeman+Plumbing/data=!4m7!3m6!1s0x88e8bb94286d6f19:0xd26cefbed559d51c!8m2!3d29.6993585!4d-82.3346515!16s%2Fg%2F12lkz30yx!19sChIJGW9tKJS76IgRHNVZ1b7vbNI,J.W. Freeman Plumbing,4.9,696,Plumber,"4637 NW 6th St, Gainesville, FL 32609, United States","MMX8+P4 Gainesville, Florida, USA",https://jwfreemanplumbing.com/?utm_source=GMB&utm_medium=Website&utm_campaign=mapstakeover,+1 352-316-3229,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMo8gGhrwD-dS8bQsSv04xQDoRnfPBiWNwgGWgt=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:04.029Z,,,,
"https://www.google.com/maps/place/Snyder+Air+Conditioning,+Plumbing+%26+Electric+%28Buckhalter+Heating+%26+AC%29/data=!4m7!3m6!1s0x88e8a528e92248c5:0xf3d351d343de5f2c!8m2!3d29.673718!4d-82.391327!16s%2Fg%2F11g0c9ygmf!19sChIJxUgi6Sil6IgRLF_eQ9NR0_M","Snyder Air Conditioning, Plumbing & Electric (Buckhalter Heating & AC)",4.9,1389,HVAC contractor,"4509 NW 23rd Ave, Gainesville, FL 32606, United States","MJF5+FF Gainesville, Florida, USA",https://snyderac.com/gainesville/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*54*snyder-air-gainesville,+1 352-353-7103,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPAWL9tMhEyNHzF9-zYlkXzvMp-jpY0QLJpLglk=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:08.982Z,,,,
"https://www.google.com/maps/place/Dee-Rooter+Plumbing,+Sewer+%26+Drain.+Co./data=!4m7!3m6!1s0x266f6405462831e7:0x98672c032a25b7ad!8m2!3d29.6894847!4d-82.3315936!16s%2Fg%2F11rw8_y_v9!19sChIJ5zEoRgVkbyYRrbclKgMsZ5g","Dee-Rooter Plumbing, Sewer & Drain. Co.",4.9,140,Plumber,"4002 NW 6th St, Gainesville, FL 32609, United States","MMQ9+Q9 Gainesville, Florida, USA",https://dee-rooterplumbing.com/?y_source=1_MTA1MjE1MzA3OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 352-225-8169,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOxWIwG0y59vf8AszgRL1dVW6n1Li8q6YKoibw4=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:13.437Z,,,,
https://www.google.com/maps/place/1st+Plumber+Gainesville+FL+Rooter/data=!4m7!3m6!1s0xab91169dd38093b9:0xeb689d27c4c41b17!8m2!3d29.6532658!4d-82.3848929!16s%2Fg%2F11lts__xbp!19sChIJuZOA050WkasRFxvExCedaOs,1st Plumber Gainesville FL Rooter,5.0,37,Plumber,"4001 Newberry Rd Suite E-1, Gainesville, FL 32607, United States","MJ38+82 Gainesville, Florida, USA",https://1stplumbergainesvilleflrooter.com/,+1 352-565-9292,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylwjSwr9tI7JvLhNJYMlwCMyqrrfxWna28e3nhuSa_yFNU-64R19SUfyv3mGGKKWmiYiQrb7DwrfChje9XPd3TZObmSPEd7gxbLibBSBeAwp9Z1sATBKTYLuqrHgmqktCs8xd7UQ=w408-h527-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:17.907Z,true,,,
https://www.google.com/maps/place/AA+Plumbing+and+Drain/data=!4m7!3m6!1s0x88e7d54aa9fc5773:0x163b245009c316cd!8m2!3d29.6545672!4d-82.3259646!16s%2Fg%2F11ftf__q2n!19sChIJc1f8qUrV54gRzRbDCVAkOxY,AA Plumbing and Drain,4.8,228,Plumber,"320 NW 1st St, Gainesville, FL 32601, United States","MM3F+RJ Gainesville, Florida, USA",http://www.aaplumbinganddrain.com/,+1 352-538-9741,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipP2T6mfl8fm7RZdvVWsizvFaGhSLBLqWuP7_xSM=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:22.496Z,,,,
https://www.google.com/maps/place/Scarborough+Plumbing+LLC/data=!4m7!3m6!1s0x88e8a451dafdd0f7:0xa697f9f3bf815bf2!8m2!3d29.6982552!4d-82.3347865!16s%2Fg%2F11b6bsdfg6!19sChIJ99D92lGk6IgR8luBv_P5l6Y,Scarborough Plumbing LLC,4.7,91,Plumber,"4647 NW 6th St i, Gainesville, FL 32609, United States","MMX8+83 Gainesville, Florida, USA",http://scarboroughplumbingfl.com/,+1 352-472-7385,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMX8dwe_PEf4sKS-4VEdA8NxAXKToCpRyAQFDdt=w408-h255-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:26.879Z,,,,
https://www.google.com/maps/place/Clarks+Plumbing+LLC/data=!4m7!3m6!1s0x8c22c4b1c0570405:0xd3c82499cfe9e6e8!8m2!3d29.6811555!4d-82.3538029!16s%2Fg%2F11t_l_csgt!19sChIJBQRXwLHEIowR6Obpz5kkyNM,Clarks Plumbing LLC,4.8,13,Plumber,,,http://www.clarksplumbingfl.com/,+1 352-727-1965,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPIkmG3FoIVfqZNJIgTQlMD1FGbk5hEvGXFnb1Z=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:31.345Z,,,,
https://www.google.com/maps/place/Sunshine+Services/data=!4m7!3m6!1s0x88e8a39458472423:0x937854717cfa97d4!8m2!3d29.6020669!4d-82.3776444!16s%2Fg%2F1v26mylm!19sChIJIyRHWJSj6IgR1Jf6fHFUeJM,Sunshine Services,4.7,986,Plumber,"5510 SW 41st Blvd #101, Gainesville, FL 32608, United States","JJ2C+RW Gainesville, Florida, USA",http://sunshineservices.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB,+1 352-234-8707,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNNOxMFkiLw2JEI4qpbn9SGfO4EH5uBG-4tumBl=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:35.944Z,,,,
https://www.google.com/maps/place/Quality+Plumbing+of+Gainesville+Inc./data=!4m7!3m6!1s0x88e8a50736e9f71f:0x893d853f1b9fec7a!8m2!3d29.7128862!4d-82.3481008!16s%2Fg%2F12623yy4t!19sChIJH_fpNgel6IgReuyfGz-FPYk,Quality Plumbing of Gainesville Inc.,4.5,432,Plumber,"6318 NW 18th Dr, Gainesville, FL 32653, United States","PM72+5Q Gainesville, Florida, USA",https://www.quality-plumbing.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB,+1 352-377-1009,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPUgm8T-S_JHSRFntkbttdH-HpzLPNVJ_mnWObX=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Newberry+Gainesville+FL/@29.6557754,-82.3904126,14z",2025-11-11T04:33:40.324Z,,,,
