placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Fayetteville+Garage+Door+Co/data=!4m7!3m6!1s0x87c96954b2d7b2ef:0xe8544a0daf1eeca9!8m2!3d36.0999849!4d-94.151346!16s%2Fg%2F1vl5h9g8!19sChIJ77LXslRpyYcRqewerw1KVOg,Fayetteville Garage Door Co,5.0,633,Garage door supplier,"2709 N Drake St, Fayetteville, AR 72703, United States","3RXX+XF Fayetteville, Arkansas, USA",http://www.faydoor.com/,+1 479-521-7877,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOcqVeVn0iKvVJI-idTQpQpoknzurZKIA6CeWzq=w408-h306-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:13.807Z,,,,
https://www.google.com/maps/place/Maxwell%27s+Garage+Door+Service/data=!4m7!3m6!1s0x87c96932fdacfb15:0xc739090da7166719!8m2!3d36.1094775!4d-94.1525795!16s%2Fg%2F11rbt70dhp!19sChIJFfus_TJpyYcRGWcWpw0JOcc,Maxwell's Garage Door Service,5.0,323,Repair service,,,https://www.maxwellsgaragedoorservice.com/,+1 479-326-1516,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHHUdPbInAmn5Z_sR4uekuWt9JTlpOAlclbU6_ZQcy-UQg3OgMpREDSfHEUnjutofvSyYGNwQpDimN1POLw77rCM4RhPlXPY5mRNnK9vvboGIRHM18lUwjpSZZMqhX_mY9RRd3=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:18.637Z,,,,
https://www.google.com/maps/place/Direct+Service+Overhead+Garage+Doors+of+Fayetteville/data=!4m7!3m6!1s0x87c96f567ca8693d:0xf5abc669ed3c66d9!8m2!3d36.0953286!4d-94.2048524!16s%2Fg%2F11ny1t1hwv!19sChIJPWmofFZvyYcR2WY87WnGq_U,Direct Service Overhead Garage Doors of Fayetteville,,,Garage door supplier,"3214 W Drakestone St, Fayetteville, AR 72704, United States","3QWW+43 Fayetteville, Arkansas, USA",https://directserviceoverhead.com/locations/fayetteville,+1 479-755-3667,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMMb__HVd2yYYEzupdQpRXPDgW8Goh9tlw0yQJQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:23.112Z,,,,
https://www.google.com/maps/place/Kc+Doors/data=!4m7!3m6!1s0x87c96ebe3eb6aaab:0xf99f5cf6704e4a4e!8m2!3d36.085958!4d-94.1707638!16s%2Fg%2F11h3vbywdy!19sChIJq6q2Pr5uyYcRTkpOcPZcn_k,Kc Doors,5.0,2,Garage door supplier,"807 W Davis St, Fayetteville, AR 72703, United States","3RPH+9M Fayetteville, Arkansas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=31B0DKO_7o_4k92zH_vk8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.57031&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:25.710Z,,,,
https://www.google.com/maps/place/Elite+Garage+Door+Services+of+Northwest+Arkansas/data=!4m7!3m6!1s0x87c93d65bc255f73:0x6a424c9b5033b427!8m2!3d36.3242645!4d-94.1488736!16s%2Fg%2F11qn7h0f83!19sChIJc18lvGU9yYcRJ7QzUJtMQmo,Elite Garage Door Services of Northwest Arkansas,5.0,618,Garage door supplier,"8007 W Pine St, Rogers, AR 72756, United States","8VF2+PF Rogers, Arkansas, USA",https://www.elitegaragedoornwa.com/,+1 479-391-7829,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMrsFmnqy6xvxUxaTV6AFkWsBG-moGh3WIdXmLM=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:30.192Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Chuck%27s+Door+Service/data=!4m7!3m6!1s0x87c96be2da9a0bfd:0x57abdaa82b09be2e!8m2!3d36.0713103!4d-94.1525795!16s%2Fg%2F11b6dkd1hv!19sChIJ_Qua2uJryYcRLr4JK6jaq1c,Chuck's Door Service,4.8,150,Garage door supplier,,,http://www.chucksdoorservice.com/,+1 479-422-4691,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOfuU3P9qBf3Q4ICrzHuQHAFWw-sSkxyFx3wNPz=w417-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:34.526Z,,,,
https://www.google.com/maps/place/Done+Doors/data=!4m7!3m6!1s0x8963d953bf1d3b25:0xa9d38af4cffbf557!8m2!3d35.8496076!4d-94.0317995!16s%2Fg%2F11vzxsw1q6!19sChIJJTsdv1PZY4kRV_X7z_SK06k,Done Doors,5.0,35,Garage door supplier,,,https://www.garagedoorsfayettevillear.com/,+1 479-422-4204,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipMyI0NgyKLUEJybveI-_9E5JOMd2RxUItKJfX4d=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:39.304Z,,,,
https://www.google.com/maps/place/Coney%27s+Garage+Doors/data=!4m7!3m6!1s0x87c9711b6244e8c7:0x77d7a79251cae627!8m2!3d36.0377615!4d-94.2486885!16s%2Fg%2F11lf7r_092!19sChIJx-hEYhtxyYcRJ-bKUZKn13c,Coney's Garage Doors,5.0,8,Garage door supplier,"140 Southwinds Rd Suite 138, Farmington, AR 72730, United States","2QQ2+4G Farmington, Arkansas, USA",https://coneygaragedoor.com/nw-arkansas/,+1 479-973-9626,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO5ruxXOgSm3Vs_hWPt9T_APOxDkJll-p9c-cvV=w408-h544-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:44.428Z,,,,
https://www.google.com/maps/place/Precision+Door+Service+of+Northwest+Arkansas/data=!4m7!3m6!1s0x87c9174e5b75adbb:0x3552a575337d6a00!8m2!3d36.351865!4d-94.1448801!16s%2Fg%2F11gdw4pv5k!19sChIJu611W04XyYcRAGp9M3WlUjU,Precision Door Service of Northwest Arkansas,4.8,1710,Garage door supplier,"1907 Town W Dr, Rogers, AR 72756, United States","9V24+P2 Rogers, Arkansas, USA",https://precisiondoornwa.com/?utm_source=GMBListing&utm_medium=organic,+1 479-282-3042,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMPV89hC4V7bqK4MoZfboa8UZy9rHTfmZVBtFtK=w408-h544-k-no,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:49.766Z,,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Springdale/data=!4m7!3m6!1s0x87c96b645760c391:0xa5981bd734efd478!8m2!3d36.1621174!4d-94.1443339!16s%2Fg%2F1hc6th0yl!19sChIJkcNgV2RryYcReNTvNNcbmKU,Overhead Door Company of Springdale,4.0,47,Garage builder,"2400 S Thompson St, Springdale, AR 72764, United States","5V64+R7 Springdale, Arkansas, USA",https://ohdoor-spd.com/,+1 479-377-2013,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMh3tZnzhN_tPUT-u4L_uL3FqWhm4QTbDcXtwnM=w408-h272-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Fayetteville+AR/@36.0618652,-94.1579484,14z",2025-11-07T22:44:54.737Z,,,,
