placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Evernest+Property+Management+Chattanooga/data=!4m7!3m6!1s0x88605d00fc304759:0x3aa404289d666619!8m2!3d35.0379631!4d-85.2807954!16s%2Fg%2F11qrwvzy7c!19sChIJWUcw_ABdYIgRGWZmnSgEpDo,Evernest Property Management Chattanooga,4.5,986,Property management company,"1418 McCallie Ave, Chattanooga, TN 37404, United States","2PQ9+5M Chattanooga, Tennessee, USA",http://chattanooga-property-management.com/,+1 423-648-7368,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOZ-PmgBdHCn1cySVYUjVu6prSuJ_qd6YDPywCT=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:01:41.581Z,,,,
https://www.google.com/maps/place/HomeRiver+Group+Chattanooga/data=!4m7!3m6!1s0x88608a8f932063d9:0x3f1937404df2b939!8m2!3d35.0436127!4d-85.3089752!16s%2Fg%2F11r8x_tw2!19sChIJ2WMgk4-KYIgRObnyTUA3GT8,HomeRiver Group Chattanooga,4.1,380,Property management company,"1100 Market St Suite 700, Chattanooga, TN 37402, United States","2MVR+CC Chattanooga, Tennessee, USA",https://www.homeriver.com/tennessee/chattanooga-property-management?utm_source=Google&utm_medium=GBP&utm_campaign=chattanooga,+1 423-648-6676,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPQrc_USRz-BmosKX7wPo3s266q_cDhZ02B8eQ_=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:01:47.849Z,,,,
https://www.google.com/maps/place/Best+Property+Management+of+Chattanooga/data=!4m7!3m6!1s0x8860653a56c6ce23:0xa81f42ffc3c2ea2b!8m2!3d35.0305975!4d-85.1878858!16s%2Fg%2F11ll66mcxv!19sChIJI87GVjplYIgRK-rCw_9CH6g,Best Property Management of Chattanooga,4.7,26,Property management company,"6172 Airways Blvd Suite 113, Chattanooga, TN 37421, United States","2RJ6+6R Chattanooga, Tennessee, USA",https://www.bpmofchatt.com/,+1 423-541-9633,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPD5-v81LdCYBS_ZiI44M0wdE5bCXfBknNN42H9=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:01:52.959Z,Identifies as women-owned,,,
https://www.google.com/maps/place/First+Property+Management/data=!4m7!3m6!1s0x8860624b2aa90fdb:0xed444b2760eb623a!8m2!3d35.0509405!4d-85.1820012!16s%2Fg%2F11b7kg8jpf!19sChIJ2w-pKktiYIgROmLrYCdLRO0,First Property Management,3.6,379,Property management company,"6170 Shallowford Rd #102, Chattanooga, TN 37421, United States","3R29+95 Chattanooga, Tennessee, USA",http://www.firstpmusa.com/,+1 423-475-7368,Closes soon ⋅ 2 pm ⋅ Opens 10 am Fri,https://lh3.googleusercontent.com/p/AF1QipMxomHc0UjrFwUXkakxuO7ZcJbbmf8Ky4ltfJs=w408-h544-k-no,true,10 am–2 pm,10 am–2 pm,Closed,Closed,10 am–2 pm,10 am–2 pm,10 am–2 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:01:58.149Z,,,,
https://www.google.com/maps/place/Doorby+Property+Management/data=!4m7!3m6!1s0x88605fea8623a8a1:0x8d8fe118ad1018bc!8m2!3d35.0390463!4d-85.2834967!16s%2Fg%2F11trygr19c!19sChIJoagjhupfYIgRvBgQrRjhj40,Doorby Property Management,4.6,378,Property management company,"1214 McCallie Ave #130, Chattanooga, TN 37404, United States","2PQ8+JJ Chattanooga, Tennessee, USA",https://www.doorby.com/,+1 423-455-8902,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8zBwkL1LqNAi3VgctojLn9VYhz08RN8WikDkUBRJ9tGOhsrbWPXzB16jHIQs78yuTfaJ8P59MFifEhxioWHFhH8DUYJ_bkUp3EvYoZ22Gt9ANvQZM9vLlhub-zCGoch7CJ6mP=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:03.284Z,,,,
https://www.google.com/maps/place/PMI+Chattanooga/data=!4m7!3m6!1s0x886063017b99d067:0x69b2fde6a7402fbc!8m2!3d35.0355279!4d-85.1744998!16s%2Fg%2F11j4j_5df5!19sChIJZ9CZewFjYIgRvC9Ap-b9smk,PMI Chattanooga,4.5,144,Property management company,"6720 Heritage Business Ct Suite 601, Chattanooga, TN 37421, United States","2RPG+66 Chattanooga, Tennessee, USA",https://www.chattanoogapropertymanagementinc.com/,+1 423-708-6407,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOYYy3JmGTlrUJ4T4R2zGHm4vAg-6xjDrfoxwDU=w457-h240-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:08.581Z,,,,
https://www.google.com/maps/place/SVN+Second+Story+Real+Estate+Management/data=!4m7!3m6!1s0x88605fa69f65d045:0xb86c4eee78444cac!8m2!3d35.0467357!4d-85.3087169!16s%2Fg%2F11p6hs_cqp!19sChIJRdBln6ZfYIgRrExEeO5ObLg,SVN Second Story Real Estate Management,4.7,244,Commercial real estate agency,"800 Market St Ste 207, Chattanooga, TN 37402, United States","2MWR+MG Chattanooga, Tennessee, USA",http://www.secondstory.properties/,+1 423-682-8241,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOcO7bgR9BPazfJ_Mj3jFbwfBhkYakD0IKaJr54=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:13.622Z,,,,
https://www.google.com/maps/place/Generation+Property+Management/data=!4m7!3m6!1s0x88605f8c23da8879:0x460a54d20e1ef3ae!8m2!3d35.0459955!4d-85.3079181!16s%2Fg%2F11j7gr0z6z!19sChIJeYjaI4xfYIgRrvMeDtJUCkY,Generation Property Management,4.2,161,Property management company,"832 Georgia Ave Suite 501, Chattanooga, TN 37402, United States","2MWR+9R Chattanooga, Tennessee, USA",http://generationmgt.com/,+1 423-541-5054,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipOsxsPiJhk7FoPWOh_5QXSQ1EWu5vRqmumVFYab=w408-h272-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:18.760Z,,,,
https://www.google.com/maps/place/Link+Property+Management+Team/data=!4m7!3m6!1s0x886063e8026558a5:0x46ee448757094062!8m2!3d35.0461062!4d-85.1596684!16s%2Fg%2F11k540chpz!19sChIJpVhlAuhjYIgRYkAJV4dE7kY,Link Property Management Team,4.7,47,Property management company,"7030 Lee Hwy Suite 102, Chattanooga, TN 37421, United States","2RWR+C4 Chattanooga, Tennessee, USA",https://lpmteam.com/,+1 423-833-5465,,https://lh3.googleusercontent.com/p/AF1QipNdcPg3q9iaLSxxuReWlKW_e8IT92c70MsO6TLo=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:23.815Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Innovative+Management+Services+LLC/data=!4m7!3m6!1s0x88605f3109516a77:0xbe501b8c757dc954!8m2!3d35.046772!4d-85.308863!16s%2Fg%2F11h60lx22v!19sChIJd2pRCTFfYIgRVMl9dYwbUL4,Innovative Management Services LLC,5.0,2,Property management company,"800 Market St Suite 102, Chattanooga, TN 37402, United States","2MWR+PF Chattanooga, Tennessee, USA",,+1 423-805-7892,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CvDjPm0d-aAatgyD7Al3QQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.27695&pitch=0&thumbfov=100,false,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-25T17:02:28.875Z,,,,
