placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,attributes,error
"https://www.google.com/maps/place/BioScrip+Infusion+Services/@32.0722634,-81.1474479,17z/data=!3m1!4b1!4m6!3m5!1s0x88fb9f6a5d22e5d5:0xc41f9c48f6b05a19!8m2!3d32.0722634!4d-81.1474479!16s%2Fg%2F1hc4qbym3",BioScrip Infusion Services,4.5,15,Specialized clinic,"7001 Chatham Center Dr Suite 2000, Savannah, GA 31405, United States","3VC3+W2 Savannah, Georgia, USA",https://optioncarehealth.com/locations/savannah-ga-7001-chatham-center-drive,+1 912-238-1881,,,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:56:42.787Z,,,,,,,,,,,
https://www.google.com/maps/place/Palmetto+Infusion+-+Savannah/data=!4m7!3m6!1s0x88fb759f26b8a0bb:0xe92ca288c0dafbc9!8m2!3d31.9967617!4d-81.114073!16s%2Fg%2F11nx1f3432!19sChIJu6C4Jp91-4gRyfvawIiiLOk,Palmetto Infusion - Savannah,4.0,3,Medical clinic,"7426 Hodgson Memorial Dr Suite B, Savannah, GA 31406, United States","XVWP+P9 Savannah, Georgia, USA",http://www.palmettoinfusion.com/,+1 800-809-1265,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMbBCWL6VyHOnEwiJrrFMyOalTeC0t-kL8XG8l6=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:56:48.430Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Advantage+Infusions/data=!4m7!3m6!1s0x88fb75ddb5d7ed11:0x7d21d06eea3d895d!8m2!3d32.006586!4d-81.108424!16s%2Fg%2F11fnw_w5vz!19sChIJEe3Xtd11-4gRXYk96m7QIX0,Advantage Infusions,5.0,13,Medical Center,"200 Commercial Ct ste a, Savannah, GA 31406, United States","2V4R+JJ Savannah, Georgia, USA",https://advantageinfusions.com/,+1 912-777-7314,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPY0-efVhaRuBWzLopGybGlYTFTbGgBASylgwC1=w408-h271-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:56:54.015Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,,
https://www.google.com/maps/place/The+Corner+Suite/data=!4m7!3m6!1s0x88fb9f129451439f:0x6f315e042688b8c4!8m2!3d32.0636915!4d-81.0987291!16s%2Fg%2F11g0t67bb5!19sChIJn0NRlBKf-4gRxLiIJgReMW8,The Corner Suite,4.8,105,Wellness center,"24 W Henry St, Savannah, GA 31401, United States","3W72+FG Savannah, Georgia, USA",http://www.thecornersuite.com/,+1 912-200-4095,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipOUROXy0zHHnuaSsvXwSzGcK0Yetr0rw-ioldby=w408-h408-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:56:58.915Z,10 am–4 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Identifies as women-owned,true,,
https://www.google.com/maps/place/Candler+Hospital/data=!4m7!3m6!1s0x88fb75930f9fbda5:0xa75705dd13d7e333!8m2!3d32.0281014!4d-81.1003141!16s%2Fg%2F11cn9k6mw2!19sChIJpb2fD5N1-4gRM-PXE90FV6c,Candler Hospital,4.6,8298,Hospital,"5353 Reynolds St, Savannah, GA 31405, United States","2VHX+6V Savannah, Georgia, USA",https://www.sjchs.org/hospitals-and-facilities/hospitals?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing#candlerhospital,+1 912-819-6000,,https://lh3.googleusercontent.com/p/AF1QipPHKsauuDKFg7wKxTAmtVRsUxANa6TO6Gz8MoUH=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:03.844Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Infusion+Partners/data=!4m7!3m6!1s0x88fb9ff6d217d921:0x648428733c3dd8ca!8m2!3d32.062016!4d-81.1586019!16s%2Fg%2F1260mrkyc!19sChIJIdkX0vaf-4gRytg9PHMohGQ,Infusion Partners,5.0,1,Home health care service,"107 Southern Oaks Ct # 304, Savannah, GA 31405, United States","3R6R+RH Savannah, Georgia, USA",,+1 912-232-1588,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OakJVW752lQprZORCTjwaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.4976&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:06.679Z,,,,,,,,,,,
https://www.google.com/maps/place/Nancy+N.+and+J.C+Lewis+Cancer+%26+Research+Pavilion/data=!4m7!3m6!1s0x88fb7593c51a09d7:0x9728799bcb789aa0!8m2!3d32.0282477!4d-81.1021491!16s%2Fg%2F11bbrlzzhr!19sChIJ1wkaxZN1-4gRoJp4y5t5KJc,Nancy N. and J.C Lewis Cancer & Research Pavilion,4.8,870,Cancer treatment center,"225 Candler Dr, Savannah, GA 31405, United States","2VHX+74 Savannah, Georgia, USA",https://www.sjchs.org/cancer,+1 912-819-5704,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipM5wa1FuNTY5uc5qBIwSnpEG6_SyY3ufbHjJXL4=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:11.679Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,,
https://www.google.com/maps/place/Shrink+Savannah/data=!4m7!3m6!1s0x88fb75a4454d7987:0x5ba8abcf02e19068!8m2!3d32.0602422!4d-81.0967641!16s%2Fg%2F11clfkj122!19sChIJh3lNRaR1-4gRaJDhAs-rqFs,Shrink Savannah,4.0,96,Mental health service,"1601 Abercorn St, Savannah, GA 31401, United States","3W63+37 Savannah, Georgia, USA",http://www.shrinksavannah.com/,+1 912-712-2550,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipO6hUT8usSUE0GZ10NResK1OYO3ZH8pxRpOTdoT=w408-h612-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:16.695Z,Closed,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,8 am–3 pm,Closed,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Low+Country+Cancer+Care/data=!4m7!3m6!1s0x88fb7593ecde8b61:0x2184a80b4dd83ca4!8m2!3d32.0304809!4d-81.0874603!16s%2Fg%2F1tgqk8bk!19sChIJYYve7JN1-4gRpDzYTQuohCE,Low Country Cancer Care,4.7,487,Oncologist,"ACI Bld, 4700 Waters Ave Suite 201, Savannah, GA 31404, United States","2WJ7+52 Savannah, Georgia, USA",https://www.lcccsav.com/?utm_source=GMBSocialClimb&utm_medium=LowCountryCancerCare,+1 912-692-2000,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrKLtNpBvHFRkPVH5fGTDgd4FEg_UiHN0jneo7S1V9MvFkqBqTWN1pXI-_NnhirQ_S6mubukLZNcNExuX_9JQM7ArEsmO5gu5MaJGtd7YzvsTzcYIgCU5KS3hMmqkhBI09P0dofMQ=w408-h544-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:21.842Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,,
https://www.google.com/maps/place/Summit+Cancer+Care/data=!4m7!3m6!1s0x88fb7593c51a09d7:0xdfe8307671ed6ad3!8m2!3d32.0283353!4d-81.1022431!16s%2Fg%2F11bbwlp43j!19sChIJ1wkaxZN1-4gR02rtcXYw6N8,Summit Cancer Care,5.0,2,Cancer treatment center,"225 Candler Dr, Savannah, GA 31405, United States","2VHX+84 Savannah, Georgia, USA",http://www.summitcancercare.com/,+1 912-354-6187,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z9dBA44Xk2OBnqjC5ch0jg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.59302&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-09-28T23:57:26.644Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,,
