placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,isBlackOwned,attributes
https://www.google.com/maps/place/Blue+Sky+Mental+Health/data=!4m7!3m6!1s0x8807afb96652bcef:0xe239abb67f360e57!8m2!3d43.0690683!4d-89.4534531!16s%2Fg%2F11p64_9smp!19sChIJ77xSZrmvB4gRVw42f7arOeI,Blue Sky Mental Health,4.7,15,Mental health clinic,"4506 Regent St #10, Madison, WI 53705, United States","3G9W+JJ Madison, Wisconsin, USA",http://blueskymentalhealth.org/,+1 608-610-1001,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNPYn-u8p1NhWX4I0uNRQPqmrl6tI_7rfFMcCs5=w408-h255-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:12.105Z,,,,,,,,,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Madison/data=!4m7!3m6!1s0x880653e384c84b0f:0x1df27535385eb286!8m2!3d43.0736707!4d-89.3864094!16s%2Fg%2F11g310h38q!19sChIJD0vIhONTBogRhrJeODV18h0,LifeStance Therapists & Psychiatrists Madison,4.5,20,Mental health clinic,"122 W Washington Ave Ste 630, Madison, WI 53703, United States","3JF7+FC Madison, Wisconsin, USA",https://lifestance.com/location/madison-wi-122-w-washington-ave/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 608-319-1828,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMYCfVci1PWT0VGMVmoLMSIRyvw41vvViOhzMa7=w427-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:18.598Z,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,Closed,Closed,,
https://www.google.com/maps/place/UnityPoint+Health+-+Meriter:+Adult+Inpatient+Psychiatry/data=!4m7!3m6!1s0x8807acd255d5a065:0xf1552a34fc422657!8m2!3d43.0656265!4d-89.4014177!16s%2Fg%2F1vn_zjq0!19sChIJZaDVVdKsB4gRVyZC_DQqVfE,UnityPoint Health - Meriter: Adult Inpatient Psychiatry,3.4,19,Psychiatric hospital,"202 S Park St, Madison, WI 53715, United States","3H8X+7C Madison, Wisconsin, USA",https://www.unitypoint.org/madison/adult-psychiatry.aspx,+1 608-417-6000,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqKCmLz-x0gD1lIKXCG4rIdJVFUVq3YsPIbjwFDI1XneUYEIU0QaJi5QOJEUFAmX4nE2IVfphJjZAK3DJQhJHBsgrB2xAu4zQwMoyu7ZWjGtZ9pZA5zAPv_VQxOARHdGOgrhk=w498-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:21.354Z,,,,,,,,,
"https://www.google.com/maps/place/VA+Madison+Mental+Health+Clinic/@43.0742239,-89.4310268,17z/data=!3m1!4b1!4m6!3m5!1s0x8807acf2f8931737:0x4c3ae5942e708dfd!8m2!3d43.0742239!4d-89.4310268!16s%2Fg%2F1tdb4v_h",VA Madison Mental Health Clinic,2.8,5,Mental health clinic,"2500 Overlook Terrace, Madison, WI 53705, United States","3HF9+MH Madison, Wisconsin, USA",http://www.madison.va.gov/contact/,+1 608-280-7084,Open 24 hours,,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:27.954Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Psychiatric+Institute+and+Clinic/data=!4m7!3m6!1s0x8807ae632effef7f:0x978671abc6c6b82b!8m2!3d43.054237!4d-89.4835449!16s%2Fg%2F1tf6xy3v!19sChIJf-__LmOuB4gRK7jGxqtxhpc,Psychiatric Institute and Clinic,2.8,20,Mental health clinic,"6001 Research Park Blvd #1176, Madison, WI 53719, United States","3G38+MH Madison, Wisconsin, USA",https://www.uwhealth.org/findadoctor/location/131,+1 608-232-3171,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyqW2-hWJecPaQqlgHDKHca1EWueQrC159ufqhuomPrqq5SaSPQimuoFBiNmm3UIkAPne1d05kMPR0sVE0R7CCqPFwSSnDIj3eVU0Nwxh6x8tPkNzSLKIz4Qw-ZZDl8l23QRTwD=w408-h302-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:32.837Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/UW+Health+Psychiatric+Institute+and+Clinic+-+Behavioral+Health+Clinic/data=!4m7!3m6!1s0x8807afb0b2781c77:0xa4c22bb3a8148060!8m2!3d43.0541896!4d-89.4837625!16s%2Fg%2F11yfg9jbt2!19sChIJdxx4srCvB4gRYIAUqLMrwqQ,UW Health Psychiatric Institute and Clinic - Behavioral Health Clinic,4.0,1,Medical clinic,"6001 Research Park Blvd, Madison, WI 53719, United States","3G38+MF Madison, Wisconsin, USA",https://www.uwhealth.org/locations/psychiatric-institute-and-clinic-131/behavioral-health-clinic-107,+1 608-232-3171,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipNHW06FQYeRcZFEyLjlBVmwFtPcIYHkj_S6ku9k=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:37.812Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
"https://www.google.com/maps/place/UW+Health+Psychiatry/@43.0543705,-89.469738,17z/data=!3m1!4b1!4m6!3m5!1s0x88065332c5b6c845:0x75b34716c845e4b3!8m2!3d43.0543705!4d-89.469738!16s%2Fg%2F1vfwdfh6",UW Health Psychiatry,1.7,21,Psychiatrist,"6001 Research Park Blvd, Madison, WI 53719, United States","3G3J+P4 Madison, Wisconsin, USA",http://www.uwhealth.org/10665,+1 608-232-3171,Closed · Opens 8 am Tue,,,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:44.601Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Madison+Psychiatric+Associates/data=!4m7!3m6!1s0x8807ae7849e726d3:0x79bd6a2c77e824a7!8m2!3d43.0486182!4d-89.4764942!16s%2Fg%2F1tgwsvf1!19sChIJ0ybnSXiuB4gRpyTodyxqvXk,Madison Psychiatric Associates,2.8,45,Mental health clinic,"5534 Medical Cir, Madison, WI 53719, United States","2GXF+CC Madison, Wisconsin, USA",http://www.mpamadison.com/,+1 608-274-0355,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q5AWVMx1M1N-Qc_BZfM0gw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=331.67694&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:49.476Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/Collaborative+Solutions+in+Psychiatry+-+Westside/data=!4m7!3m6!1s0x8807af0709c3eb71:0xdc198857cf22705f!8m2!3d43.0588176!4d-89.4938274!16s%2Fg%2F11bw5x9__3!19sChIJcevDCQevB4gRX3Aiz1eIGdw,Collaborative Solutions in Psychiatry - Westside,4.5,271,Psychiatrist,"6515 Grand Teton Plaza STE 220, Madison, WI 53719, United States","3G54+GF Madison, Wisconsin, USA",https://www.csipmadison.com/,+1 608-713-9898,Closed · Opens 7 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPLhyTgzaB7WpOF7zOfompfqjHpG4c0Po8IvlsT=w408-h306-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:54.278Z,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,,
https://www.google.com/maps/place/UW+Health+1102+S+Park+St+Clinic+Behavioral+Health+and+Recovery+Clinic/data=!4m7!3m6!1s0x8807ae7a65617c79:0x4e97256e9b4a0d93!8m2!3d43.0550376!4d-89.3977864!16s%2Fg%2F1tdw8mzn!19sChIJeXxhZXquB4gRkw1Km24ll04,UW Health 1102 S Park St Clinic Behavioral Health and Recovery Clinic,2.8,20,Medical clinic,"1102 S Park St, Madison, WI 53715, United States","3J42+2V Madison, Wisconsin, USA",https://www.uwhealth.org/locations/1102-s-park-st-clinic-258/behavioral-health-clinic-959,+1 608-282-8270,"Closed · Opens 8 am Tue

Confirmed by this business 12 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOjfUMPxO5dNV-jMJjC7P1MOIlcqT2EtB50eqKc=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:25:59.391Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Madison/data=!4m7!3m6!1s0x8807ac46e9cfb555:0x3f128aea9448cf6a!8m2!3d43.0594293!4d-89.4705837!16s%2Fg%2F1tvm3bjl!19sChIJVbXP6UasB4gRas9IlOqKEj8,LifeStance Therapists & Psychiatrists Madison,4.1,52,Mental health clinic,"440 Science Dr Suite 300, Madison, WI 53711, United States","3G5H+QQ Madison, Wisconsin, USA",https://lifestance.com/location/madison-wi-440-science-dr/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 608-540-2967,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPcJzbHLwGSo0GovFYeiw-ZLmz7JA2Vv9vZ5cHe=w427-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:26:04.411Z,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,Closed,Closed,,
https://www.google.com/maps/place/Rogers+Behavioral+Health/data=!4m7!3m6!1s0x8807ac2b97934dd9:0x9cb8847d5b9df3f1!8m2!3d43.0602294!4d-89.4709331!16s%2Fg%2F1hc3kxjlq!19sChIJ2U2TlyusB4gR8fOdW32EuJw,Rogers Behavioral Health,2.9,47,Mental health service,"406 Science Dr #110, Madison, WI 53711, United States","3G6H+3J Madison, Wisconsin, USA",https://rogersbh.org/locations/madison?utm_source=local&utm_medium=organic&utm_campaign=gmb,+1 608-238-4411,"Closed · Opens 8:30 am Tue

Confirmed by this business 6 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPPGxrPdgNQDJHFbMoenkRY-1J6nbhsnFqz6a5_=w408-h272-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:26:09.326Z,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–4:30 pm,Closed,Closed,,
https://www.google.com/maps/place/Psychiatric+Services+SC/data=!4m7!3m6!1s0x8807ac5f8bf0b221:0x9dae75cf8caacf62!8m2!3d43.0748055!4d-89.4365916!16s%2Fg%2F1tfshzyt!19sChIJIbLwi1-sB4gRYs-qjM91rp0,Psychiatric Services SC,2.8,32,Mental health clinic,"2727 Marshall Ct, Madison, WI 53705, United States","3HF7+W9 Madison, Wisconsin, USA",http://www.psychsvcs.com/,+1 608-238-9354,"Closed · Opens 7:30 am Tue

Confirmed by this business 6 days ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OE42gpN5-srnps-VM0xt8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.26201&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:26:14.291Z,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/LifeStance+Therapists+%26+Psychiatrists+Madison/data=!4m7!3m6!1s0x8807ad5967f3dd5d:0xe7f3eb4ec6205860!8m2!3d43.0343537!4d-89.4277227!16s%2Fg%2F11ssfv9d2x!19sChIJXd3zZ1mtB4gRYFggxk7r8-c,LifeStance Therapists & Psychiatrists Madison,4.5,38,Mental health clinic,"2901 W Beltline Hwy Suite 301, Madison, WI 53713, United States","2HMC+PW Madison, Wisconsin, USA",https://lifestance.com/location/madison-wi-2901-w-beltline-hwy/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1 608-236-4460,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPweqiQcU0nl5VOULQUqi9KiHtePXsLz7TslMGY=w427-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-12-16T03:26:19.368Z,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,Closed,Closed,,
