placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned
"https://www.google.com/maps/place/Gary%27s+Plumbing+%26+Fire,+Inc./data=!4m7!3m6!1s0x88d1b178214016c1:0x39c319709be3d41c!8m2!3d24.5710013!4d-81.7365591!16s%2Fg%2F1tggpf75!19sChIJwRZAIXix0YgRHNTjm3AZwzk","Gary's Plumbing & Fire, Inc.",4.5,21,Plumber,"6409 2nd Terrace, Key West, FL 33040, United States","H7C7+C9 Key West, Florida, USA",https://garysplumbingandfire.com/,+1 305-296-6013,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOXlCH-VdrM6uLr_f_6lr4vLCZX6xMBMsRHKch7=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:19.059Z,,
https://www.google.com/maps/place/Patti+The+Plumber/data=!4m7!3m6!1s0x4eef88a5a74db4eb:0x445826191b7ae404!8m2!3d24.779223!4d-81.1740499!16s%2Fg%2F11kr_v257j!19sChIJ67RNp6WI704RBOR6GxkmWEQ,Patti The Plumber,5.0,526,Plumber,,,https://www.pattitheplumber.com/,+1 305-985-8122,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipN3QzQiXFRxLTU_PxJoJYKDL2l15XhllT5wlhTJ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:23.925Z,,
https://www.google.com/maps/place/Keys+Plumbing/data=!4m7!3m6!1s0x88d1b7d3584d9797:0x6cf5cd2e56fafd6d!8m2!3d24.5556019!4d-81.8031505!16s%2Fg%2F11n5wqtdy4!19sChIJl5dNWNO30YgRbf36Vi7N9Ww,Keys Plumbing,5.0,27,Plumber,"422 Fleming St, Key West, FL 33040, United States","H54W+6P Key West, Florida, USA",https://www.facebook.com/KeysPlumbingLLC/,+1 305-394-3300,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOvQbb1Y1dKNBYlGFtmN2Ip_cXI5I5r3jvKYqaf=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:28.764Z,,
https://www.google.com/maps/place/George%27s+Plumbing/data=!4m7!3m6!1s0x88d1ad08d279050f:0x1ed7f76a16b3a02e!8m2!3d24.5531122!4d-81.7781847!16s%2Fg%2F11mv6clr75!19sChIJDwV50git0YgRLqCzFmr31x4,George's Plumbing,5.0,405,Plumber,"1707 Bertha St, Key West, FL 33040, United States","H63C+6P Key West, Florida, USA",http://georgecanfixit.com/,+1 305-916-0500,Closed ⋅ Opens 7:30 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipO3Z06yNO1yzjRe163RhSS7qbV2hIyItQdNAxB7=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:33.142Z,,
https://www.google.com/maps/place/Shores+Plumbing+Service+%26+Repair/data=!4m7!3m6!1s0x88d1b1a3ae233f95:0xf9415c0de38c64f6!8m2!3d24.5692796!4d-81.7354627!16s%2Fg%2F11jmywctvm!19sChIJlT8jrqOx0YgR9mSM4w1cQfk,Shores Plumbing Service & Repair,5.0,1,Plumber,"5700 4th Ave #2, Key West, FL 33040, United States","H797+PR Key West, Florida, USA",,+1 305-735-3565,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNrF3cJR4002zSFTYk8ggTJBfTrWfOpQibu7vPL=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:37.445Z,,
https://www.google.com/maps/place/Frank%27s+Plumbing+Inc./data=!4m7!3m6!1s0x88d1b6c95af51b6b:0xff3e5bf58241b52!8m2!3d24.556267!4d-81.7847136!16s%2Fg%2F1tqp_0wh!19sChIJaxv1Wsm20YgRUhskWL_l8w8,Frank's Plumbing Inc.,4.9,48,Plumber,"1609 United St, Key West, FL 33040, United States","H648+G4 Key West, Florida, USA",https://www.frankskeywestplumbing.com/,+1 305-293-0227,Closed ⋅ Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwt3g90HRccZoqa-HRQSKPErDfOKCKrLy_xtXs-z2YCSactgqvWAwJin3mOxIFwowcdpm_vUUPgzvmXvuBC04AgHrfTctEj30QBY_Do9QxGz8boUvbkSFWQDSm9EFxLqLNEa4zJCg=w493-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:42.061Z,,
"https://www.google.com/maps/place/Shawn+Hudgins+Plumbing,+Inc/data=!4m7!3m6!1s0x88d1b1779c1a7ac9:0x2e52c63105c0ea09!8m2!3d24.5697182!4d-81.7371891!16s%2Fg%2F1tf038b1!19sChIJyXoanHex0YgRCerABTHGUi4","Shawn Hudgins Plumbing, Inc",4.6,17,Plumber,"5607 3rd Ave #4, Key West, FL 33040, United States","H797+V4 Key West, Florida, USA",https://www.shawnhudginsplumbing.com/,+1 305-295-7349,Closed ⋅ Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPJ9x2EsDlHksHqj35ZTpWNb10JbUEbZY02h0tk=w573-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:46.576Z,,
https://www.google.com/maps/place/Nene%27s+Drain+Cleaning+Services/data=!4m7!3m6!1s0x88d1b6cc968b32d3:0x156c3f99a205fd81!8m2!3d24.5541683!4d-81.7803001!16s%2Fg%2F1tfxyt_b!19sChIJ0zKLlsy20YgRgf0Fopk_bBU,Nene's Drain Cleaning Services,5.0,21,Plumber,"1510 Josephine St, Key West, FL 33040, United States","H639+MV Key West, Florida, USA",,+1 305-797-6477,Closed ⋅ Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qAQsKwoIwUsJFr1IEeLmlA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.32875&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:51.013Z,,
"https://www.google.com/maps/place/Middle+Keys+Plumbing,+Inc./data=!4m7!3m6!1s0x88d1b11ec9e50421:0x176d14e863d13de4!8m2!3d24.5692572!4d-81.7354832!16s%2Fg%2F11j6trt3vb!19sChIJIQTlyR6x0YgR5D3RY-gUbRc","Middle Keys Plumbing, Inc.",5.0,10,Plumber,"5700 4th St, Key West, FL 33040, United States","H797+PR Key West, Florida, USA",,+1 305-735-3565,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMknB9A1PIUt_zk1mEOfJT9cjNq-e6_Id48DbB3=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:55.357Z,,
https://www.google.com/maps/place/Gulf+Atlantic+Plumbing+Inc/data=!4m7!3m6!1s0xa2a7ac866a6ea00d:0x758d9da3b7b2e333!8m2!3d24.644605!4d-81.5733119!16s%2Fg%2F11x2720v2t!19sChIJDaBuaoasp6IRM-Oyt6OdjXU,Gulf Atlantic Plumbing Inc,5.0,11,Plumber,,,https://gulfatlanticplumbing.com/,,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPbL5J_wCm624_iFmUp5C41jBBzi9cNYnxOnjm0=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,10 am–3 pm,Closed,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:39:59.695Z,,
https://www.google.com/maps/place/Pipes+Plumbing+Inc/data=!4m7!3m6!1s0x88d1b14816472315:0x6c641f3a67bde485!8m2!3d24.5614701!4d-81.7690271!16s%2Fg%2F1tlkd4pc!19sChIJFSNHFkix0YgRheS9ZzofZGw,Pipes Plumbing Inc,5.0,3,Plumber,"2904 Seidenberg Ave, Key West, FL 33040, United States","H66J+H9 Key West, Florida, USA",,+1 305-304-0639,Open ⋅ Closes 5 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eQu8FY9UwpbHzQvwRVVipg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.6951&pitch=0&thumbfov=100,true,9 am–5 am,9 am–5 am,9 am–5 am,9 am–5 am,9 am–5 am,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:40:04.033Z,,
https://www.google.com/maps/place/Tony+Herce+Plumbing/data=!4m7!3m6!1s0x88d1b6c4aa8e678b:0x38127d50dbc268d7!8m2!3d24.5501794!4d-81.7950767!16s%2Fg%2F1tgcyvs8!19sChIJi2eOqsS20YgR12jC21B9Ejg,Tony Herce Plumbing,4.7,20,Plumber,"626 Louisa St, Key West, FL 33040, United States","H623+3X Key West, Florida, USA",,+1 305-294-1903,Closed ⋅ Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrFN3QIdvYPmVwIofyLnA7UNCV1QOjaco2rzbYarOVa7w_hT2_1VSosMfZjvqzyuqH_IoxnJB0iQcL7B0QJXyVU4SvqxZcfAGd1QxiFjXkROGzi94ZTb_1DpweqwjSIVkR6oGf=w408-h306-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-11-11T03:40:08.467Z,,
