placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,isBlackOwned,error,attributes
https://www.google.com/maps/place/Washington+Duke+Inn+%26+Golf+Club/data=!4m7!3m6!1s0x89ace6bee019e98d:0x35f41a712441051c!8m2!3d35.99282!4d-78.947446!16s%2Fg%2F1tf5r2t1!19sChIJjekZ4L7mrIkRHAVBJHEa9DU,Washington Duke Inn & Golf Club,4.7,1543,,"3001 Cameron Blvd, Durham, NC 27705, United States","X3V3+42 Durham, North Carolina, USA",http://www.washingtondukeinn.com/,+1 919-490-0999,,,https://lh3.googleusercontent.com/p/AF1QipPaLRXJpXRJz0C9rPPNWU1RYZp4ZuojJQgvvFjc=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-17T23:27:33.970Z,,,,,,,,,,
https://www.google.com/maps/place/Duke+Clinic+Palliative+Care+-+Clinic+2F%2F2G/data=!4m7!3m6!1s0x89ace7abe22bba95:0xeb3a79917d33e84d!8m2!3d36.0059727!4d-78.9373908!16s%2Fg%2F11pd79x34c!19sChIJlbor4qvnrIkRTegzfZF5Ous,Duke Clinic Palliative Care - Clinic 2F/2G,5.0,1,Specialized clinic,"40 Duke Medicine Circle Clinic 2F/2G, Durham, NC 27710, United States","2347+92 Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-clinic-palliative-care-clinic-2f2g?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-385-0572,Closed ⋅ Opens 1 pm Mon,,https://lh3.googleusercontent.com/p/AF1QipNfqoQFdABVufHMaC6iACn3ikWFWjM328Kmi2y9=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-17T23:27:39.471Z,8 am–12 pm,Closed,Closed,Closed,Closed,1–5 pm,Closed,,,
https://www.google.com/maps/place/Hock+Family+Pavilion/data=!4m7!3m6!1s0x89ace3b5d8f9b751:0x5425718fac7637b!8m2!3d36.045016!4d-78.9042423!16s%2Fg%2F1pty0rsgp!19sChIJUbf52LXjrIkRe2PH-hhXQgU,Hock Family Pavilion,4.8,45,Hospice,"4023 N Roxboro St, Durham, NC 27704, United States","23WW+28 Durham, North Carolina, USA",https://www.dukehealth.org/locations/hock-family-pavilion?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-620-3853,,,https://lh3.googleusercontent.com/p/AF1QipNAXy0-JxvnxcYgprpBz7GIzsqu4ilfG5U3qYW3=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-17T23:27:42.362Z,,,,,,,,,,
"https://www.google.com/maps/place/Duke+HomeCare+%26+Hospice,+Infusion,+%26+Grief+Services/data=!4m7!3m6!1s0x89ace3ad4e819545:0x3f76a713e9d42de8!8m2!3d36.0489616!4d-78.8932189!16s%2Fg%2F1v2pr23z!19sChIJRZWBTq3jrIkR6C3U6ROndj8","Duke HomeCare & Hospice, Infusion, & Grief Services",3.2,22,Home health care service,"4321 Medical Park Dr # 101, Durham, NC 27704, United States","24X4+HP Durham, North Carolina, USA",https://www.dukehealth.org/treatments/home-care-and-hospice,+1 919-620-3853,"Open 24 hours

Confirmed by this business 1 week ago",,https://lh3.googleusercontent.com/p/AF1QipOfnn03rq-jka1Vj5u4tTqPHMLBdZ_bgOMJJdqu=w408-h271-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-17T23:27:47.774Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Palliative+Care+Research+Cooperative+Group+%28PCRC%29/data=!4m7!3m6!1s0x89ace1533c7355a5:0x40554ee3e38590b9!8m2!3d36.0113389!4d-78.9363384!16s%2Fg%2F11b6ghdkdx!19sChIJpVVzPFPhrIkRuZCF4-NOVUA,Palliative Care Research Cooperative Group (PCRC),,,Hospice,"2400 Pratt St, Durham, NC 27705, United States","2367+GF Durham, North Carolina, USA",http://palliativecareresearch.org/,,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ho1qx8bBOjKA_QqPSuibPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.1717&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:03.404Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Durham+Hospice+Palliative/data=!4m7!3m6!1s0x89ace46e44d32e55:0x910aa5efc4268197!8m2!3d35.9940833!4d-78.8986696!16s%2Fg%2F11f1zld9m5!19sChIJVS7TRG7krIkRl4EmxO-lCpE,Durham Hospice Palliative,,,Hospice,"265-291 E Main St, Durham, NC 27701, United States","X4V2+JG Durham, North Carolina, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S2ipgn5ZWN6qoq8orm9DGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=37.82396&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:06.364Z,,,,,,,,,,
https://www.google.com/maps/place/Hillcrest+Convalescent+Center/data=!4m7!3m6!1s0x89ace4066eb1b197:0xf40a71d156713e84!8m2!3d36.0041523!4d-78.9196395!16s%2Fg%2F1tfrhmy6!19sChIJl7GxbgbkrIkRhD5xVtFxCvQ,Hillcrest Convalescent Center,4.6,267,Nursing home,"1417 W Pettigrew St, Durham, NC 27705, United States","233J+M4 Durham, North Carolina, USA",https://hillcrestnc.com/,+1 919-286-7705,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrY_It2D4KVAS3t76juwMG6KBlolbVVuj-Oom2wIEaKQ4OivcfsmWs0xnwevhnTnfUXKf74PCU3WIql4AH95De-w8QtbIHeC6gI3gyIsQOenw5ul012wEGharqfK9N2DCI557IjUA=w408-h511-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:09.191Z,,,,,,,,,,
https://www.google.com/maps/place/PruittHealth+-+Durham/data=!4m7!3m6!1s0x89ace6b6259ce36f:0xb45057ee94a8ba1!8m2!3d36.0040319!4d-78.9509261!16s%2Fg%2F11bbtpcz0y!19sChIJb-OcJbbmrIkRoYtK6X4FRQs,PruittHealth - Durham,3.4,143,Nursing home,"3100 Erwin Rd, Durham, NC 27705, United States","223X+JJ Durham, North Carolina, USA",http://www.pruitthealth.com/microsite/facilityid389?utm_source=GMB&utm_medium=WebsiteClick&utm_campaign=Durham&utm_content=PHD3,+1 919-383-1546,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogdM6gXhzlSR4N6n_FQso0zlZbYPkvNfy8NVgzHr8Id_uGX9fj-3X_0Qxt1AbyTwf0JR8JY3PmhmwGxEViRmQnNq5xiLuQhN0dRuTcVqI88Vewj6upfdruP96y6606pn7ux-cz=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:14.124Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Duke+Hospice/data=!4m7!3m6!1s0x89ace3b5d8b242e5:0x45a4d81a5fc768cd!8m2!3d36.0450924!4d-78.904356!16s%2Fg%2F11bwkdyymd!19sChIJ5UKy2LXjrIkRzWjHXxrYpEU,Duke Hospice,,,Hospital,"4023 N Roxboro St, Durham, NC 27704, United States","23WW+27 Durham, North Carolina, USA",https://www.dukehealth.org/treatments/home-care-and-hospice,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ob7Y3sdmFSmVzVZtT0F3Gg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.99518&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:16.938Z,,,,,,,,,,
https://www.google.com/maps/place/Pettigrew+Rehabilitation+Center/data=!4m7!3m6!1s0x89ace406e5ddee75:0xd388f634379801d7!8m2!3d36.0051648!4d-78.9214674!16s%2Fg%2F1tjl6sd_!19sChIJde7d5QbkrIkR1wGYNzT2iNM,Pettigrew Rehabilitation Center,3.3,72,Rehabilitation center,"1515 W Pettigrew St, Durham, NC 27705, United States","234H+3C Durham, North Carolina, USA",https://www.pettigrewrehab.com/,+1 919-286-0751,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOaAL8iFufVaZREoaRaD1KqvgjAkzomFaABoxpN=w408-h291-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Forest+Hills+Durham+NC/@35.9787288,-78.9146798,14z",2025-09-17T23:28:21.856Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
