placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Georgia+Hospice+Care/data=!4m7!3m6!1s0x88f9d3089c310cc9:0x4cc8a492cb4fce6b!8m2!3d33.4875384!4d-82.0849984!16s%2Fg%2F11qsrkywq2!19sChIJyQwxnAjT-YgRa85Py5KkyEw,Georgia Hospice Care,4.6,27,Hospice,"2743 Perimeter Pkwy Ste. 230 Building 2, Augusta, GA 30909, United States","FWQ8+22 Augusta, Georgia, USA",https://georgiahospicecare.com/,+1 888-428-7348,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TC2o3liyKMB99IWho8ZUrw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.48976&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:08.435Z,,
https://www.google.com/maps/place/PruittHealth+Hospice+%28Augusta%29/data=!4m7!3m6!1s0x88f9d4a49d1e7059:0x9ac4bc4ca0cf671f!8m2!3d33.4804036!4d-82.0890196!16s%2Fg%2F1tf3_6q4!19sChIJWXAenaTU-YgRH2fPoEy8xJo,PruittHealth Hospice (Augusta),4.6,8,Hospice,"1220 Augusta W Pkwy, Augusta, GA 30909, United States","FWJ6+59 Augusta, Georgia, USA",http://www.pruitthealth.com/microsite/facilityid478?utm_source=GMB&utm_medium=WebsiteClick&utm_campaign=Augusta&utm_content=PHHOA5,+1 706-650-1522,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNMRM3f2xP8UX2HG6ER03tbyR7-ZjQdlsdsxN0s=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:13.639Z,,
https://www.google.com/maps/place/Helping+Hands+Hospice/data=!4m7!3m6!1s0x88f9d3b402c61813:0xe68ede4729a6a9c8!8m2!3d33.4671028!4d-82.085395!16s%2Fg%2F12hk6s68k!19sChIJExjGArTT-YgRyKmmKUfejuY,Helping Hands Hospice,5.0,18,Hospice,"1350 Augusta W Pkwy, Augusta, GA 30909, United States","FW87+RR Augusta, Georgia, USA",http://www.hhhospiceofga.com/,+1 706-432-8321,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMJZB-AwslPB-2HUAJM1CPscnMvVdryoyn8WqCG=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:18.188Z,Identifies as women-owned,true
https://www.google.com/maps/place/Regency+SouthernCare/data=!4m7!3m6!1s0x88f9d2ff12ce3261:0xb39dc8936aad2cc2!8m2!3d33.5129708!4d-82.0853565!16s%2Fg%2F1tnbl_61!19sChIJYTLOEv_S-YgRwiytapPInbM,Regency SouthernCare,4.4,19,Hospice,"3730 Washington Rd #100, Augusta, GA 30907, United States","GW77+5V Augusta, Georgia, USA",http://regencysoutherncarehospice.com/,+1 706-868-4422,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN1VO0anR8LuWrbQP4qXi2TTyJKpmErv2IHiniU=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:23.052Z,,
https://www.google.com/maps/place/Southeast+Hospice/data=!4m7!3m6!1s0x88f9d3b46cc45c75:0x79a766718e467f9d!8m2!3d33.5089595!4d-82.0830028!16s%2Fg%2F11fxb98c8w!19sChIJdVzEbLTT-YgRnX9GjnFmp3k,Southeast Hospice,4.7,31,Hospice,"3736 Executive Center Dr, Martinez, GA 30907, United States","GW58+HQ Martinez, Georgia, USA",https://www.sehospice.com/,+1 706-364-3108,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOAwl9NyDFCavuGs0U8UJ0H0VkpF3AQM1V3Q-lm=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:27.523Z,,
https://www.google.com/maps/place/Affinis+Hospice/data=!4m7!3m6!1s0x88f9d3ae22656387:0xadf2b8a03b139785!8m2!3d33.480097!4d-82.0379889!16s%2Fg%2F11bbx0vly8!19sChIJh2NlIq7T-YgRhZcTO6C48q0,Affinis Hospice,4.4,13,Hospice,"2945 Walton Wy, Augusta, GA 30909, United States","FXJ6+2R Augusta, Georgia, USA",http://www.affinishospice.org/,+1 706-434-0421,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qLKhlFrd9-Wbz4XCfPFMOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.85492&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:32.037Z,,
"https://www.google.com/maps/place/Hospice+Services+of+GA,+LLC/data=!4m7!3m6!1s0x88f9d3541f7cb1d5:0x2c706577e0070b1d!8m2!3d33.4991639!4d-82.0821044!16s%2Fg%2F11lkh_p_lw!19sChIJ1bF8H1TT-YgRHQsH4HdlcCw","Hospice Services of GA, LLC",5.0,2,Hospice,"3744 Walton Wy Ext ste c, Augusta, GA 30907, United States","FWX9+M5 Augusta, Georgia, USA",https://www.hospiceservicesofga.com/,+1 706-364-1933,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mGVF_ln1gOtm0PShcfHaHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.24084&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:36.360Z,,
https://www.google.com/maps/place/Georgia+Health+Sciences+University:+Palliative+Care/data=!4m7!3m6!1s0x88f9d3b431756d97:0x7d342efa2d4a363f!8m2!3d33.4709094!4d-81.9898848!16s%2Fg%2F12mkv3wrd!19sChIJl211MbTT-YgRPzZKLfouNH0,Georgia Health Sciences University: Palliative Care,,,Hospice,"1120 15th St, Augusta, GA 30912, United States","F2C6+92 Augusta, Georgia, USA",,+1 706-945-2564,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=31rvWnwN8gqTXlgqznMF7w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.63708&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:38.690Z,,
https://www.google.com/maps/place/Crescent+Hospice/data=!4m7!3m6!1s0x88f9d39ce4842499:0xd08f8259614ebae9!8m2!3d33.4949198!4d-82.0869213!16s%2Fg%2F11hzz1sc04!19sChIJmSSE5JzT-YgR6bpOYVmCj9A,Crescent Hospice,4.3,6,Hospice,"621 NW Frontage Rd Suite 101, Augusta, GA 30907, United States","FWV7+X6 Augusta, Georgia, USA",https://www.hospicesc.com/,+1 706-447-2461,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPqqg0PiSi6j9gm8PJcrxu-OZMclxZiQnhAh5L8=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:43.271Z,,
https://www.google.com/maps/place/MSA+%7C+Medical+Services+of+America+Home+Health+%26+Hospice/data=!4m7!3m6!1s0x88f9d3a59a211239:0x17240f7d6c936124!8m2!3d33.48271!4d-82.1262623!16s%2Fg%2F1tht298l!19sChIJORIhmqXT-YgRJGGTbH0PJBc,MSA | Medical Services of America Home Health & Hospice,4.0,9,Hospice,"Interstate Business Park, 4314 Belair Frontage Rd Suite E, Augusta, GA 30909, United States","FVMF+3F Augusta, Georgia, USA",https://www.msahealthcare.com/,+1 706-447-2626,,https://lh3.googleusercontent.com/p/AF1QipPmrAl0tBBPSBcTWI8n_JnUaIt2ePEk2uLxVZZT=w427-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-09-18T00:01:45.782Z,,
