placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Mr.+Electric+of+Daytona+Beach/data=!4m7!3m6!1s0x88e6d95516dd2885:0x1267b027913bcce1!8m2!3d29.2082104!4d-81.0185586!16s%2Fg%2F11vry_j6h_!19sChIJhSjdFlXZ5ogR4cw7kSewZxI,Mr. Electric of Daytona Beach,4.6,53,Electrician,"128 Orange Ave, Daytona Beach, FL 32114, United States","6X5J+7H Daytona Beach, Florida, USA",https://mrelectric.com/daytona-beach?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 386-217-0620,Open 24 hours,Identifies as veteran-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MAj0bo0ITWvzGkCujfdhjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=325.718&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:30.415Z,,,
https://www.google.com/maps/place/Generator+GENERAC+SALES+AND+SERVICE+Maintenance+of+Florida+LLC/data=!4m7!3m6!1s0x88e6db16c2414443:0x870126a250a433e2!8m2!3d29.2567149!4d-81.0642031!16s%2Fg%2F11fjzkkmbq!19sChIJQ0RBwhbb5ogR4jOkUKImAYc,Generator GENERAC SALES AND SERVICE Maintenance of Florida LLC,5.0,29,Electric generator shop,"101 Riviera Estates Blvd, Ormond Beach, FL 32174, United States","7W4P+M8 Ormond Beach, Florida, USA",http://www.generatormaintenanceofflorida.com/,+1 386-631-8982,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNzJIzVD_g5Nmr0zcrGd8oqWyo6yAfCGDWU-Ypn=w408-h408-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:36.216Z,,,
https://www.google.com/maps/place/Advanced+Generators/data=!4m7!3m6!1s0x88e6d99fb2322c93:0xb95837e547547b41!8m2!3d29.1891155!4d-81.0283584!16s%2Fg%2F1td2123k!19sChIJkywysp_Z5ogRQXtUR-U3WLk,Advanced Generators,3.5,31,Electric generator shop,"825 Gatepark Dr # 11, Daytona Beach, FL 32114, United States","5XQC+JM Daytona Beach, Florida, USA",,+1 386-304-1999,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eyeNYaBIEsuWMxPDjHnfNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.45845&pitch=0&thumbfov=100,false,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:41.043Z,,,
https://www.google.com/maps/place/Daytona+Outdoor+Power/data=!4m7!3m6!1s0x88e6d94fd4a84121:0x4c8c6959404305a7!8m2!3d29.1993274!4d-81.0674667!16s%2Fg%2F11gd39w0mp!19sChIJIUGo1E_Z5ogRpwVDQFlpjEw,Daytona Outdoor Power,4.7,148,Lawn mower store,"331 Bill France Blvd, Daytona Beach, FL 32114, United States","5WXM+P2 Daytona Beach, Florida, USA",https://opedaytona.com/,+1 386-301-5149,"Closed · Opens 8 am Mon

Updated by this business 11 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipNHR3NdfmwrvlAGbELOrhz1VpLzRXIlKFw1Cqcu=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:46.261Z,· In-store shopping · In-store pick-up · Delivery,,
https://www.google.com/maps/place/G+Henry+Electric/data=!4m7!3m6!1s0x88e6dbb6749abcbf:0x33f17a09d191e518!8m2!3d29.2345973!4d-81.0371261!16s%2Fg%2F11vkr35lh0!19sChIJv7yadLbb5ogRGOWR0Ql68TM,G Henry Electric,5.0,16,Electrician,"525 Carswell Ave, Daytona Beach, FL 32117, United States","6XM7+R4 Daytona Beach, Florida, USA",https://ghenryelectric.com/contact-us,+1 407-871-9590,Closed · Opens 9 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-JYbCHdnuoIMZYAkKWi9sZlzRoenHZprNJ8llKD0XWJMfp9b6madhnqrSXBHgaultoRMPH2P8PCMaoxH61mYDo1B7PDcUUKvS7fEpJafbF-lma0ZuaTBnZiUZd41D5vuT22Yc=w408-h306-k-no,false,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:51.170Z,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Daytona+Beach/data=!4m7!3m6!1s0x88e7274585671b09:0x6e01fb2a3276f116!8m2!3d29.1007738!4d-81.0272217!16s%2Fg%2F11l339qh10!19sChIJCRtnhUUn54gRFvF2Mir7AW4,Generator Supercenter of Daytona Beach,5.0,7,Electric generator shop,"5889 S Williamson Blvd Suite 1307, Port Orange, FL 32128, United States","4X2F+84 Port Orange, Florida, USA",https://generatorsupercenterofdaytonabeach.com/,+1 386-999-3300,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8ej-nxCjTXOioYVbMzuvCA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.95905&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:24:56.436Z,· Delivery,,
"https://www.google.com/maps/place/Giles+Electric+Company,+Inc./data=!4m7!3m6!1s0x88e6d9bf5113e12b:0x405ccad87f3255cd!8m2!3d29.1677246!4d-81.0211639!16s%2Fg%2F1tcv741v!19sChIJK-ETUb_Z5ogRzVUyf9jKXEA","Giles Electric Company, Inc.",4.8,172,Electrician,"952A Big Tree Rd, South Daytona, FL 32119, United States","5X9H+3G South Daytona, Florida, USA",http://gileselectriccompany.com/,+1 386-767-5895,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPMI56VCdD6PwtMvyheWLBsYjc6VgY9Ni9gOL20=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:25:01.446Z,,,
https://www.google.com/maps/place/Cates+Electric+Co+Inc/data=!4m7!3m6!1s0x88e6dbcbb2f9545d:0xa008f50cbaa8ff8d!8m2!3d29.2298771!4d-81.034855!16s%2Fg%2F1tf6y51h!19sChIJXVT5ssvb5ogRjf-ougz1CKA,Cates Electric Co Inc,4.6,33,Electrician,"247 Carswell Ave, Holly Hill, FL 32117, United States","6XH8+X3 Holly Hill, Florida, USA",,+1 386-255-8588,"Closed · Opens 7:30 am Mon

Updated by this business 8 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfVQreb_QFf3c8sj-QAK-j3zLG3jXjYyj6U9FLHav0xPBJvwd_V2Rlcf0tvfabi4lBveblENigtyqwftHza90zhu25MJERjsBWPf7zNgZY0OcTpC0sDU7K6XGp8nx1OeMbUTY9Eg=w408-h544-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:25:06.428Z,,,
https://www.google.com/maps/place/Mister+Sparky/data=!4m7!3m6!1s0x4ff8a8e9b7e6aa73:0xf8e43c065712b72b!8m2!3d29.1568553!4d-81.0219752!16s%2Fg%2F11qb8y17r2!19sChIJc6rmt-mo-E8RK7cSVwY85Pg,Mister Sparky,4.8,742,Electrician,"2444 S Nova Rd, Daytona Beach, FL 32119, United States","5X4H+P6 Daytona Beach, Florida, USA",https://daytonamistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=daytonagbp,+1 386-221-4260,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOIGZL58suBBImvCmhCfdGLphWixx_pqC-AuSrA=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:25:11.282Z,,,
"https://www.google.com/maps/place/Cunningham+AC,+Heat+%26+Propane/data=!4m7!3m6!1s0x88e6dbc9fe9a7105:0x8f10f6ff90af206a!8m2!3d29.2329963!4d-81.0370146!16s%2Fg%2F1tfgq6ck!19sChIJBXGa_snb5ogRaiCvkP_2EI8","Cunningham AC, Heat & Propane",4.9,1724,HVAC contractor,"400 Carswell Ave, Holly Hill, FL 32117, United States","6XM7+55 Holly Hill, Florida, USA",https://cunninghamoil.com/,+1 386-253-7621,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMf3gFZPswXZ4t5uaJ1i5TW7_1aCAKIqdgEBgx8=w789-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Daytona+Beach+Daytona+Beach+FL/@29.2071029,-81.0196796,14z",2026-01-10T21:25:16.108Z,,,
