placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes
"https://www.google.com/maps/place/Soda+City+Pools+and+Spas,+LLC/data=!4m7!3m6!1s0x88f8bb69b6964bdf:0xed2033e57181bafc!8m2!3d33.9935816!4d-81.0582914!16s%2Fg%2F11t5l_8sk7!19sChIJ30uWtmm7-IgR_LqBceUzIO0","Soda City Pools and Spas, LLC",4.6,28,Pool cleaning service,"505 Meeting St, West Columbia, SC 29169, United States","XWVR+CM West Columbia, South Carolina, USA",https://sodacitypools.com/,+1 803-590-2409,Open ⋅ Closes 5 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/p/AF1QipMSl429RAETY0Ya_31a4Hl7jYOHS8UTwFIigbmm=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:12.080Z,
https://www.google.com/maps/place/Juliano%27s+Pools/data=!4m7!3m6!1s0x88f8bd068adab4c7:0x30a1e64e43d5ba90!8m2!3d33.9889287!4d-81.1185262!16s%2Fg%2F11y45ympdm!19sChIJx7Taiga9-IgRkLrVQ07moTA,Juliano's Pools,4.9,17,Swimming pool contractor,"1336 Methodist Park Rd, West Columbia, SC 29170, United States","XVQJ+HH West Columbia, South Carolina, USA",https://julianospoolssc.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+1 803-206-1412,"Open ⋅ Closes 5 pm

Updated by this business 8 weeks ago",,,https://lh3.googleusercontent.com/p/AF1QipM-qopubtTBxCC9B0NTW62Hd2BAQaV_owt9fdeP=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:18.143Z,
"https://www.google.com/maps/place/American+Pools+%26+Spas,+Inc/data=!4m7!3m6!1s0x88f8bc8bf923c1ed:0x9b499927ded1cf0b!8m2!3d33.9690017!4d-81.0924402!16s%2Fg%2F1td268xf!19sChIJ7cEj-Yu8-IgRC8_R3ieZSZs","American Pools & Spas, Inc",4.7,113,Swimming pool supply store,"2225 Platt Springs Rd, West Columbia, SC 29169, United States","XW95+J2 West Columbia, South Carolina, USA",http://www.americanpools-sc.com/,+1 803-796-8339,"Open ⋅ Closes 6 pm

Confirmed by this business 4 weeks ago",,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSycYnVuOWpIhwRwu8cBittjdRNPWvrlaoKfg4APIYGtbCwVFQ_WyU2t6ArSlaObE6KNB77S8UYf8ckVJlxchGvkNL74aJ7xXSaOdqebxq6uHf7n9isyAGdLkFrgyCqhbk2BKGCk=w408-h306-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:23.122Z,
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Columbia/data=!4m7!3m6!1s0x88f8bacf95ae1a25:0x10efe163988f8316!8m2!3d34.0264695!4d-80.992824!16s%2Fg%2F1xg5tjm0!19sChIJJRqulc-6-IgRFoOPmGPh7xA,ASP - America's Swimming Pool Company of Columbia,4.3,136,Swimming pool contractor,,,https://www.asppoolco.com/columbia/?utm_source=GMB&utm_medium=organic&utm_campaign=columbia,+1 803-592-9280,Open ⋅ Closes 6 pm,,,https://lh3.googleusercontent.com/p/AF1QipPlbVoV6rUh5nIVAwpGI2DIo1Du7MtnXhxGMI3O=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:28.056Z,
https://www.google.com/maps/place/Gaston+Pools+Inc/data=!4m7!3m6!1s0x88f8bb2155555555:0xc5152290e4cb3495!8m2!3d33.9873389!4d-81.0368211!16s%2Fg%2F1262y4622!19sChIJVVVVVSG7-IgRlTTL5JAiFcU,Gaston Pools Inc,4.0,1,Swimming pool contractor,"Columbia, SC 29201, United States",,https://gastonpools.com/,+1 803-926-8420,Open ⋅ Closes 5 pm,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OVXU9iLKU01xesZI13_16Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.97058&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:32.859Z,
https://www.google.com/maps/place/Jack+Oliver%27s+Pool+Spa+%26+Patio/data=!4m7!3m6!1s0x88f8a55c19fb4e05:0x4a48e27e4590414a!8m2!3d34.0183465!4d-80.9931644!16s%2Fg%2F1hm2n2tw4!19sChIJBU77GVyl-IgRSkGQRX7iSEo,Jack Oliver's Pool Spa & Patio,4.6,219,Swimming pool supply store,"3303 Forest Dr, Columbia, SC 29204, United States","2294+8P Columbia, South Carolina, USA",http://www.jackoliverpools.com/,+1 803-251-0272,"Open ⋅ Closes 6 pm

Updated by this business 7 weeks ago",,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8bZYpYauQreXuu0paiGHvJe3GFx0euGvCWvlySa2DGvP3q4IZJhiQUKb9IfWRW7fm43rBedv-cZtsNz7pdN26MaNVkWg9FS45cF3RzGLDA-D-ccWYz_KbyD-FlUQhQLzgfyDB=w408-h307-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:38.107Z,· In-store shopping · In-store pick-up
https://www.google.com/maps/place/Just+Us+Pools/data=!4m7!3m6!1s0xa54eb52417d729a9:0x81eabdc4da5907c6!8m2!3d33.895836!4d-80.9518246!16s%2Fg%2F11rvb83zvp!19sChIJqSnXFyS1TqURxgdZ2sS96oE,Just Us Pools,4.9,17,Pool cleaning service,,,,+1 803-809-2129,Open ⋅ Closes 5:30 pm,,,https://lh3.googleusercontent.com/p/AF1QipOU2Mpq798hsFZBNc7LO4BISJNjRVFDE6Mw-IqA=w408-h544-k-no,true,8 am–5:30 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:42.958Z,
https://www.google.com/maps/place/The+Pool+Installer+By:Pool+Cleaning+Service+LLC/data=!4m7!3m6!1s0x88f8afc57e1f6bc5:0x916a8a6508184044!8m2!3d33.8792583!4d-81.15908!16s%2Fg%2F11h0vq_nyc!19sChIJxWsffsWv-IgRREAYCGWKapE,The Pool Installer By:Pool Cleaning Service LLC,5.0,15,Swimming pool contractor,,,https://thepoolinstaller.com/,+1 803-546-3219,Open ⋅ Closes 8 pm,,,https://lh3.googleusercontent.com/p/AF1QipMuiliF-Kgfr2Qj_P7EUmYQPXSPREsnoMLkfYfS=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:47.850Z,
"https://www.google.com/maps/place/Contemporary+Pool+Works,+LLC/data=!4m7!3m6!1s0x88f8bc6959883e67:0x51310f4236420375!8m2!3d34.1126232!4d-81.1927286!16s%2Fg%2F1tfd7v76!19sChIJZz6IWWm8-IgRdQNCNkIPMVE","Contemporary Pool Works, LLC",4.8,408,Swimming pool contractor,"10020 Broad River Rd, Irmo, SC 29063, United States","4R74+2W Irmo, South Carolina, USA",https://contemporarypoolworks.com/,+1 803-403-1968,Open ⋅ Closes 4:30 pm,,,https://lh3.googleusercontent.com/p/AF1QipNzweMNdM1yEd1IYDkh8CCvnpUf8pVyKFq0VgG-=w426-h240-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:52.809Z,
https://www.google.com/maps/place/All+Clear+Pool+Service/data=!4m7!3m6!1s0x6e03f1e50171fcf3:0x650bbb103a45f6d4!8m2!3d34.040102!4d-80.9375599!16s%2Fg%2F11y8ww48kg!19sChIJ8_xxAeXxA24R1PZFOhC7C2U,All Clear Pool Service,4.8,50,Pool cleaning service,,,http://allclearpoolserve.com/,+1 803-351-8789,Open ⋅ Closes 6 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfZc54wlWy8x4g89USZhQNWWVx1BvxDhcokpE7O0MbneTeLAL4hQkKln0Z2QYF7KYqMadArFlQY-aJWm_NrTZGO6r6VwciT0M0E8E3MAOz6mnqqhW-Rb502Mqr_hAMs9agE8YyB2AtAAvq=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Cayce+Columbia+SC/@33.9657091,-81.0739827,14z",2025-10-27T17:39:57.906Z,
